calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
53,2,1,22,"Appetizer, Main Course, Snack",Italian,"These , are easy to make, full of flavor, and high in protein. Made with ground chicken, ground beef and sun-dried tomatoes, there's many different ways to enjoy these. Simply bake in the oven, and put over pasta sauce and spaghetti, make into meatball subs or enjoy as is, for a delicious and easy meal the whole family will love. ",2,,Egg Free Beef and Chicken Meatballs with Sun-dried Tomatoes,https://ohsnapmacros.com/wp-content/uploads/2024/08/noeggmeatballs-300x300.jpg,11,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef, (96/4)', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken, (99/1)', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes (not in oil)', 'notes': '50g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese', 'notes': '58g'}, {'amount': '1/3', 'unit': 'cup', 'name': 'Italian breadcrumbs', 'notes': '45g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]","Preheat the oven to 350 degrees fahrenheit. ,In a large mixing bowl, combine the beef, chicken and remaining ingredients. Using your hands, mix so everything is fully combined and evenly distributed. Be sure to mix well so that you get between the meat when it clumps together.,Spray a foil lined baking sheet with nonstick spray.,Using a 1.5 Tbsp. cookie scoop or spoon, scoop meatballs out onto the pan. You will have 32, approximately 1.1 oz, meatballs. Using your hands, roll the meatballs into balls. ,Place in the oven and bake for 20-22 minutes until the meatballs are fully cooked through.,Remove and enjoy as a protein snack, or in pasta, on meatball subs, etc. ",,,,3,15,7,50132,,32,112,,Meatballs without Eggs
459,67,38,15,Main Course,American,"This , is a one-pot meal loaded with ground beef and pasta shells in a creamy cottage cheese pumpkin sauce. Full of fall flavors, this is a great recipe to warm you up on cold winter nights. It's like hamburger helper went to the pumpkin patch drinking a pumpkin spice latte and came home a high protein, light but hearty meal that's also ready in less than 30 minutes.",7,5,30 Minute One Pot Pumpkin Pasta with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/pumpkinpasta-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'yellow onion, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'garlic cloves, minced', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef ', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2-1/4', 'unit': 'tsp.', 'name': 'chipotle chili powder ', 'notes': 'see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'medium shell pasta', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium beef broth ', 'notes': '32 oz.'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1', 'unit': 'can', 'name': 'pumpkin puree', 'notes': '15 oz.'}, {'amount': '1', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tomato paste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh basil', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sage leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Parmesan cheese', 'notes': None}]","Add the olive oil to a large skillet over medium heat. Add the onions and garlic and saute until the onion is translucent. ,Add the ground beef and cook, breaking into bite size pieces, until cooked through. Approximately 5 minutes. Add the salt, chipotle powder, cumin, rosemary and pepper. Stir to combine.,Add the uncooked pasta, beef broth and water to the pan, stirring to submerge the pasta shells as best as possible. Bring to a boil and reduce to medium heat. Cook, stirring often for 12-14 minutes or until the pasta is cooked. ,Optional, add the cottage cheese, pumpkin puree, tomato paste and cinnamon to a blender and blend so the cottage cheese is smooth. Or, just add in chunky, I promise it doesn’t effect the taste or texture of the pasta. ,Add the cottage cheese, pumpkin puree, tomato paste and cinnamon directly to the pan with the pasta. Stir and cook for a few additional minutes to warm through and evenly coat the pasta shells. ,Adjust with salt and pepper to taste, serve and enjoy! ",,,,644,10,33,50914,1,6,490,7,Pumpkin Pasta
186,24,23,50,"Appetizer, Side Dish",American,"These , have crispy potato skins, crunchy turkey bacon bits and shredded cheddar cheese. These are the ultimate decadent but easy side dish to make for a busy weeknight or even a fancy dinner with friends. ",7,2,Air Fryer Twice Baked Greek Yogurt Loaded Potatoes,https://ohsnapmacros.com/wp-content/uploads/2024/04/twicebakedpotatoes-300x300.jpg,6,"[{'amount': '2.5', 'unit': 'lbs.', 'name': 'russet potatoes ', 'notes': '4 potatoes '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': '0% plain Greek yogurt', 'notes': '224g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}, {'amount': '6', 'unit': 'slices', 'name': 'turkey bacon', 'notes': 'cooked and chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}]","Preheat the air fryer to 400 degrees Fahrenheight. ,Wash and dry your potatoes. Using a fork, poke holes around the skin of the potatoes. Spray them with olive oil spray and season with salt and pepper. Place in the air fryer basket and cook at 400 for 40-45 minutes or until the skin is crispy and the inside is fork tender, flipping halfway through. The cooking time will vary based on the size of your potatoes. ,While the potatoes cook, cook the turkey bacon on a skillet and chop into bite size pieces. Set aside to mix into your mashed potatoes.,Once cooked, remove the cooked potatoes from the air fryer and slice lengthwise in half. Using a spoon remove the insides of the potatoes, leaving the skin in tact and some of the potato along the skin to help keep its shape. Place the potato flesh in a large mixing bowl. Repeat with all potato halves. ,Mash the potatoes with a fork, potato masher or hand mixer until smooth. Add the greek yogurt, cheddar cheese, butter and cooked bacon to the bowl with the potatoes and combine. Season with salt and pepper to taste. Evenly add the mashed potato mixture back into the skins of the potatoes. Optional: top with additional cheddar cheese. ,Place the potato halves back in the air fryer basket, you may need to work in 2 batches depending on the size of your air fryer basket. Cook at 400 degrees Fahrenheit for 5 minutes.,Once done, remove and top with fresh chives and enjoy! ",1,,,589,10,9,40139,3,8,188,4,Air Fryer Twice Baked Potatoes
93,17,,,Main Course,"American, Italian","This ,is the perfect light and flavorful homemade sauce. This easy recipe is made with herbs, spices, tomatoes, garlic and a touch of honey, for a classic red sauce that pairs perfectly with any pasta dish. ",2,3,Low Fat Garlic Tomato Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-12-300x300.jpg,12,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans) '}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,Serve with your favorite pasta noodles or package up and freeze for later. ",,,,292,8,3,51960,,9,1106,11,Garlic Tomato Sauce
334,,124,,Main Course,American,"Make a perfect bacon wrapped , tonight! This recipe results in a restaurant style filet with gorgonzola cheese on top, all cooked directly in your air fryer. This gluten-free, carb-free steak is the perfect main course for a special dinner or occasion, paired with your favorite sides. ",18,,Air Fryer Bacon Wrapped Filet Mignon with Gorgonzola Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/baconwrappedfiletmignon-12-300x300.jpg,5,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'beef tenderloin steaks (filet mignon)', 'notes': '1 1/2 to 2 inch thick'}, {'amount': '4', 'unit': 'slices', 'name': 'thick cut bacon ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'black pepper', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'gorgonzola or blue cheese crumbles ', 'notes': None}]","Set the filet out for at least 30 minutes before cooking. Cut the tenderloin into four 6 oz. filets and season all sides well with kosher salt and fresh cracked black pepper (optional), you can also do 4 oz. filets.,Preheat the air fryer to 400 degrees Fahrenheit. Take one piece of bacon per filet and wrap it around the top and bottom of the filet or around the outer edge of the filet and secure with a toothpick. ,Add the filets to the air fryer basket, spray the tops with cooking spray and cook at 400 for 10-15 minutes, depending on the desired doneness. (See the notes section for temperature ranges.) You want to remove your steaks when they are 5 ºF BELOW the desired temperature. ,If adding cheese crumbles, top the filet with 0.5 oz. each of cheese crumbles (more if desired!) and cook for one additional minute to melt and soften.,When done, remove the steaks from the air fryer and let rest for 5 minutes. During this time the center of the steak will continue to warm as they rest. Serve and enjoy! ",5,,1,519,5,44,51419,7,4,397,,Air Fryer Filet Mignon
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
233,32,31,15,Main Course,Italian,"Look no further than this list for ,for all your weeknight needs. From chicken gnocchi soup to homemade chicken meatballs, we have it all. Each delicious recipe is filled with flavor, is high in protein and is sure to please even the pickiest of eaters. ",4,4,Delicious and Healthy Recipes Using Ground Chicken,https://ohsnapmacros.com/wp-content/uploads/2023/09/IPchickengnocchisoup-20-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken', 'notes': None}, {'amount': '1', 'unit': 'medium ', 'name': 'yellow onion', 'notes': 'diced'}, {'amount': '2', 'unit': None, 'name': 'carrots', 'notes': 'peeled and diced in rounds'}, {'amount': '2', 'unit': 'stalks', 'name': 'celery', 'notes': 'diced'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'paprika ', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'potato gnocchi', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'fresh spinach', 'notes': 'packed'}, {'amount': '1', 'unit': 'cup ', 'name': 'frozen peas', 'notes': '130g'}, {'amount': '1', 'unit': 'cup', 'name': 'frozen corn', 'notes': '140g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half-and-half', 'notes': '115g'}, {'amount': None, 'unit': None, 'name': 'fresh chopped parsley', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh grated Parmesan cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","Set your Instant Pot to the sauté setting. Add the olive oil, once hot, add the ground chicken. Cook until browned, breaking into bite size pieces. This takes about 5 minutes. If using frozen ground chicken do the same this may just take longer to cook. ,Add the salt, pepper, basil, paprika and oregano to the chicken. Stir to evenly coat. ,Add the garlic, onions, carrots, and celery. Sauté for about 2 minutes until the vegetables start to soften and garlic is fragrant. ,Pour in the chicken broth, stirring well to combine and to scrape any bits off the bottom of the pot. This will prevent the ""burn"" warning.,Add the gnocchi to the pot. Stir well to combine.,Put the lid on the Instant Pot, set the valve to sealing position, and cook on Manual High Pressure for 4 minutes.,When the timer beeps, quick release the pressure. Once the pressure is fully released, remove the lid.,Set the Instant Pot back to the sauté setting. Stir in the spinach, peas and corn. Cook for a few minutes until the spinach has wilted and the peas and corn are warmed through.,Add in the fat-free half-and-half, stirring until well combined.,Allow the soup to simmer for a few more minutes until it's heated through and the peas and corn are warm. ,Taste and adjust seasonings as needed.,Serve the soup hot, garnished with a sprinkle of fresh chopped parsley. ",2,,1,510,10,19,51749,1,8,843,5,Instant Pot Chicken Gnocchi Soup
348,17,46,14,Main Course,American,"This , recipe is the perfect weeknight dinner. The salmon is easy to make, full of spicy Cajun flavors and takes only a few minutes of prep. The delicious chimichurri sauce is made with herbs, garlic and honey and makes enough to last the week. Pair with your favorite sides for a complete meal.",19,1,Sweet Heat Baked Salmon with Easy Chimichurri Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/08/salmonandchimi-1-1-300x300.jpg,16,"[{'amount': '1 1/2', 'unit': 'lbs.', 'name': 'salmon filets', 'notes': '24 oz.'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar (for top of fish)', 'notes': None}, {'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]","Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,In a small mixing bowl, combine the coconut aminos, Cajun seasoning and light brown sugar and stir to create your marinade. If using one large fish filet, I like cutting into smaller 4 oz. filets for easy serving. ,Lay the filets in a sealable container and add the marinade. If keeping skin on, be sure to place the fish with the skin-side up so the meat gets marinated. Place in the fridge and let the salmon marinate for 15 minutes. ,Preheat the oven to 400 degrees Fahrenheit. Remove the filets from the marinade and discard any excess. Place the fish on a foil lined baking sheet sprayed with cooking spray. ,Sprinkle the remaining 2 Tbsp. of brown sugar on top of the filets and place in the oven for 12-15 minutes or until the fish flakes with a fork and is no longer mushy. ,The cook time will vary depending on the thickness of your filets. ,Serve topped with ¼ cup (56g) of chimichurri and your favorite sides like rice, roasted potatoes, mashed potatoes or steamed veggies. ",,,,358,30,22,50060,4,6,774,9,Chimichurri and Salmon
308,27,93,20,Main Course,Mexican,"These ,are the best way to cozy up on a cold night. Each warm bowl of soup is easy to make, filled with flavor and a great addition to your meal prep rotation. The best part? These healthy recipes are brimming with protein to keep you full, all winter long.",8,6,Easy High Protein Soup and Chili Recipes,https://ohsnapmacros.com/wp-content/uploads/2022/02/chickenenchiladasoup-300x300.jpg,18,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, raw', 'notes': None}, {'amount': '1', 'unit': None, 'name': '\xa0red bell pepper, chopped ', 'notes': '144g'}, {'amount': '1', 'unit': None, 'name': '\xa0small yellow onion, chopped ', 'notes': '150g'}, {'amount': '15', 'unit': 'oz.', 'name': 'can Whole Kernel Corn (no salt added) ', 'notes': 'drained'}, {'amount': '15', 'unit': 'oz.', 'name': 'can low sodium Black Beans Low Sodium', 'notes': 'drained and rinsed'}, {'amount': '15', 'unit': 'oz.', 'name': 'can petite diced Tomatoes (no salt added)', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'can mild Red Enchilada Sauce ', 'notes': None}, {'amount': '4', 'unit': 'oz.', 'name': 'can diced green chilies', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium Chicken Broth', 'notes': '32 oz. '}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '4', 'unit': 'oz', 'name': '1/3 less fat Cream Cheese', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '56g'}]","Add the chicken the the base of the crockpot. Top with bell pepper, onions, corn, beans, tomatoes, chilies, enchilada sauce, seasonings and chicken broth. ,Stir to combine and set the crockpot to cook on low for 6-8 hours or high for 3 hours, or until the chicken is tender. ,Remove the chicken from the crockpot and shred with forks. Return to the pot. ,Add the cream cheese and greek yogurt and stir until melted and combined. Serve and enjoy with desired toppings. ,Add all ingredients except the cream cheese and greek yogurt to the instant pot. ,Set the instant pot on manual (pressure cook mode) for 20 minutes. Quick release the pressure when the timer in done. ,Remove the chicken and shred with forks. Add the chicken back to the instant pot.,Add cream cheese and greek yogurt to the soup and stir until completely melted into the soup. Serve and enjoy with desired toppings. ,In a large pot, sauté the chopped bell pepper and onion over medium heat until they begin to soften.,Place the raw chicken breasts on top of the sautéed vegetables. Add the corn, black beans, diced tomatoes, green chilies, enchilada sauce, and all the seasonings. Pour the chicken broth over everything, ensuring the chicken is mostly submerged.,Bring the pot to a boil, then reduce the heat to a simmer. Cover the pot and let it cook for about 20-30 minutes, or until the chicken is cooked through and tender.,Carefully remove the chicken breasts from the pot. Shred the chicken using forks and then return the shredded chicken to the pot.,Stir in the cream cheese and Greek yogurt until they are fully melted and combined with the rest of the ingredients.,Let the pot simmer for an additional 5-10 minutes to allow the flavors to meld together.",1,56g,1,772,5,32,52251,2,8,674,9,Chicken Enchilada Soup
245,7,111,20,Main Course,American,"This , is a savory combo of juicy chicken and creamy mushroom sauce. Using a can of mushroom soup and a few spices, you have a sauce that's mostly homemade but super easy and ready in less than 20 minutes. Add to pasta, rice veggies, or eat as is.",7,1,Weeknight Cream of Mushroom Chicken Skillet,https://ohsnapmacros.com/wp-content/uploads/2024/09/mushroomskilletchicken-20-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts ', 'notes': 'raw'}, {'amount': '1.5', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '8', 'unit': 'oz.', 'name': 'mushrooms', 'notes': 'sliced'}, {'amount': '3', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'can', 'name': 'reduced-sodium cream of mushroom soup', 'notes': '10.5 oz can '}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'cornstarch (or arrowroot powder)', 'notes': 'optional '}, {'amount': '1/2-1', 'unit': 'Tbsp.', 'name': 'water (to mix)', 'notes': 'optional with cornstarch '}]","Slice all of the chicken breasts in half to butterfly into two pieces. Using a meat pounder, pound the chicken to create even cutlets, approximately ½ inch thick. Season with ½ the salt and chili powder on each side along with freshly cracked black pepper. ,Heat the olive oil in a large skillet over medium heat. Place the seasoned chicken in the pan and cook on each side for 4-5 minutes. Transfer to a plate and set aside. ,Add the sliced mushrooms and garlic to the pan. Cook, stirring, for a couple of minutes to brown the mushrooms. ,Add the cream of mushroom soup to the pan. Fill the can with water and add to the pan (1 cup of water). Using a whisk, whisk until the soup has combined with the water and no chunks remain and bring to a boil. ,Add the chicken back to the pan and simmer for 5 minutes or until the chicken is cooked through to an internal temperature of 165 degrees Fahrenheit. ,Optional: if you want a thicker sauce then in a small bowl, combine the cornstarch and water and mix to combine. Remove the chicken and set aside, add the slurry to the sauce and whisk to combine. Simmer for 1 minute to thicken (add more if you want it thicker). ,. ,Either return the chicken to the pan and coat in the sauce or serce the chicken over brown or white rice, cauliflower rice, a combination of both, mashed potatoes or roasted veggies with sauce poured on top. ",3,optional with cornstarch ,1,844,5,36,51338,2,6,885,2,Cream of Mushroom Chicken Skillet
