calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
452,45,231,18,Main Course,Chinese,"This , , makes busy weeknights a breeze. Tender shrimp, juicy chicken, and crispy veggies are tossed in a flavorful rice for a high protein meal the whole family can dig into. This fried rice recipe is made in one pan and make delicious leftovers for the week. ",7,3,One Pan Shrimp and Chicken Fried Rice (high protein),https://ohsnapmacros.com/wp-content/uploads/2024/07/chickenandshrimpfriedrice-300x300.jpg,19,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, cubed', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of ground ginger', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'shrimp, peeled and deveined, patted dry', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': None, 'notes': '184g'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen cauliflower rice, cooked and drained', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'carrots, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'frozen green peas', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper, to taste', 'notes': None}]","Chop the chicken into bite-size pieces and place in a bowl. Top with coconut aminos and ginger and mix to combine. In a separate bowl, add the shrimp and top with coconut aminos and garlic powder. Let both marinate while you cook the rice in the microwave. ,In a microwaveable bowl, add the dry rice and water and cook for 12 minutes (or according to the package instructions). Remove and place in the refrigerator right away until ready to add. Cook the cauliflower rice according to the package instructions and drain any excess liquid. ,Heat a large skillet over medium heat and add the olive oil. Once hot, add the chicken and spread into an even layer in the pan. Let the chicken cook, untouched, for 4-5 minutes to cook and brown on one side. Flip and cook an additional 3-4 minutes until the chicken is cooked through. Remove from the pan and set aside.,Add the raw shrimp to the same pan and cook for 2-3 minutes on each side until the shrimp is cooked through, pink, and no longer translucent. Set aside with the cooked chicken. ,To the same pan, add the garlic, bell peppers, carrots and frozen peas. Saute for 5 minutes to brown and then add the coconut aminos to the pan. Without lowering the heat, let this boil and simmer for 3-4 minutes.,Using a spatula push the vegetable mixture to the outer edges of the pan. Directly to the liquid in the center of the pan, crack the two eggs in and begin to stir and scramble. Mix to cook the eggs in the hot liquid, similar to dropping an egg in soup. You're scrambling the egg directly in the liquid. As it begins to cook, start to combine it into the vegetable mixture until fully combined and cooked through.,Add the rice, cauliflower rice and the remaining 2 Tbsp. of coconut aminos to the pan and mix to combine. I like to let the rice burn on the bottom a little before mixing for crispy rice pieces. Mix and cook for an additional 5 minutes to heat the rice and burn the bottom some. ,Return the cooked chicken and shrimp to the pan and stir to mix into the rice. Let the rice cook until the chicken and shrimp are warm and ready to enjoy. ,Top with green onions and desired toppings.",3,,1,685,10,48,49326,3,5,998,9,Shrimp and Chicken Fried Rice
336,39,49,,Breakfast,American,"These vanilla , are an easy to make and totally customizable, high-protein breakfast. Toss everything together, throw it in the fridge and enjoy the next morning with your favorite toppings. ",6,6,Vanilla Protein Overnight Oats with Water,https://ohsnapmacros.com/wp-content/uploads/2024/12/overnightoatswithwater3-300x300.jpg,6,"[{'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': 'PeScience'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey (or maple syrup)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}]","Add everything to a mason jar or sealable container, shake, and let sit in the refrigerator overnight. ,When ready to enjoy remove from the fridge, stir and enjoy cold. ,Top with your favorite toppings like fresh berries, chopped nuts, a little peanut butter or an extra dollop of Greek yogurt. ",1,,3,253,5,34,54489,1,1,253,20,Overnight Oats with Water
233,32,31,15,Main Course,Italian,"Look no further than this list for ,for all your weeknight needs. From chicken gnocchi soup to homemade chicken meatballs, we have it all. Each delicious recipe is filled with flavor, is high in protein and is sure to please even the pickiest of eaters. ",4,4,Delicious and Healthy Recipes Using Ground Chicken,https://ohsnapmacros.com/wp-content/uploads/2023/09/IPchickengnocchisoup-20-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken', 'notes': None}, {'amount': '1', 'unit': 'medium ', 'name': 'yellow onion', 'notes': 'diced'}, {'amount': '2', 'unit': None, 'name': 'carrots', 'notes': 'peeled and diced in rounds'}, {'amount': '2', 'unit': 'stalks', 'name': 'celery', 'notes': 'diced'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'paprika ', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'potato gnocchi', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'fresh spinach', 'notes': 'packed'}, {'amount': '1', 'unit': 'cup ', 'name': 'frozen peas', 'notes': '130g'}, {'amount': '1', 'unit': 'cup', 'name': 'frozen corn', 'notes': '140g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half-and-half', 'notes': '115g'}, {'amount': None, 'unit': None, 'name': 'fresh chopped parsley', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh grated Parmesan cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","Set your Instant Pot to the sauté setting. Add the olive oil, once hot, add the ground chicken. Cook until browned, breaking into bite size pieces. This takes about 5 minutes. If using frozen ground chicken do the same this may just take longer to cook. ,Add the salt, pepper, basil, paprika and oregano to the chicken. Stir to evenly coat. ,Add the garlic, onions, carrots, and celery. Sauté for about 2 minutes until the vegetables start to soften and garlic is fragrant. ,Pour in the chicken broth, stirring well to combine and to scrape any bits off the bottom of the pot. This will prevent the ""burn"" warning.,Add the gnocchi to the pot. Stir well to combine.,Put the lid on the Instant Pot, set the valve to sealing position, and cook on Manual High Pressure for 4 minutes.,When the timer beeps, quick release the pressure. Once the pressure is fully released, remove the lid.,Set the Instant Pot back to the sauté setting. Stir in the spinach, peas and corn. Cook for a few minutes until the spinach has wilted and the peas and corn are warmed through.,Add in the fat-free half-and-half, stirring until well combined.,Allow the soup to simmer for a few more minutes until it's heated through and the peas and corn are warm. ,Taste and adjust seasonings as needed.,Serve the soup hot, garnished with a sprinkle of fresh chopped parsley. ",2,,1,510,10,19,51749,1,8,843,5,Instant Pot Chicken Gnocchi Soup
53,2,1,22,"Appetizer, Main Course, Snack",Italian,"These , are easy to make, full of flavor, and high in protein. Made with ground chicken, ground beef and sun-dried tomatoes, there's many different ways to enjoy these. Simply bake in the oven, and put over pasta sauce and spaghetti, make into meatball subs or enjoy as is, for a delicious and easy meal the whole family will love. ",2,,Egg Free Beef and Chicken Meatballs with Sun-dried Tomatoes,https://ohsnapmacros.com/wp-content/uploads/2024/08/noeggmeatballs-300x300.jpg,11,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef, (96/4)', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken, (99/1)', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes (not in oil)', 'notes': '50g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese', 'notes': '58g'}, {'amount': '1/3', 'unit': 'cup', 'name': 'Italian breadcrumbs', 'notes': '45g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]","Preheat the oven to 350 degrees fahrenheit. ,In a large mixing bowl, combine the beef, chicken and remaining ingredients. Using your hands, mix so everything is fully combined and evenly distributed. Be sure to mix well so that you get between the meat when it clumps together.,Spray a foil lined baking sheet with nonstick spray.,Using a 1.5 Tbsp. cookie scoop or spoon, scoop meatballs out onto the pan. You will have 32, approximately 1.1 oz, meatballs. Using your hands, roll the meatballs into balls. ,Place in the oven and bake for 20-22 minutes until the meatballs are fully cooked through.,Remove and enjoy as a protein snack, or in pasta, on meatball subs, etc. ",,,,3,15,7,50132,,32,112,,Meatballs without Eggs
100,16,3,,Main Course,"American, Italian","This , is comfort food made healthy. Similar to a vodka sauce with garlic and tomatoes, this high protein sweet and savory sauce is the perfect way to curb creamy pasta cravings, in a low calorie way. Pair with your favorite noodle and protein for a delicious meal for the whole family. ",2,3,Tomato Garlic Cottage Cheese Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-21-300x300.jpg,14,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion, finely chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans)'}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low fat cottage cheese ', 'notes': '220g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'beef broth', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,When the sauce is done, add the cottage cheese and remaining broth to a high speed blender or single cup and blend until smooth. ,Add the blended cottage cheese to the pasta sauce. Stir to combine and let simmer another 5 minutes to heat through. ,Add desired garnish and serve over your favorite pasta noodle.",1,,,279,5,5,51526,1,9,1063,10,Cottage Cheese Pasta Sauce
308,27,93,20,Main Course,Mexican,"These ,are the best way to cozy up on a cold night. Each warm bowl of soup is easy to make, filled with flavor and a great addition to your meal prep rotation. The best part? These healthy recipes are brimming with protein to keep you full, all winter long.",8,6,Easy High Protein Soup and Chili Recipes,https://ohsnapmacros.com/wp-content/uploads/2022/02/chickenenchiladasoup-300x300.jpg,18,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, raw', 'notes': None}, {'amount': '1', 'unit': None, 'name': '\xa0red bell pepper, chopped ', 'notes': '144g'}, {'amount': '1', 'unit': None, 'name': '\xa0small yellow onion, chopped ', 'notes': '150g'}, {'amount': '15', 'unit': 'oz.', 'name': 'can Whole Kernel Corn (no salt added) ', 'notes': 'drained'}, {'amount': '15', 'unit': 'oz.', 'name': 'can low sodium Black Beans Low Sodium', 'notes': 'drained and rinsed'}, {'amount': '15', 'unit': 'oz.', 'name': 'can petite diced Tomatoes (no salt added)', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'can mild Red Enchilada Sauce ', 'notes': None}, {'amount': '4', 'unit': 'oz.', 'name': 'can diced green chilies', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium Chicken Broth', 'notes': '32 oz. '}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '4', 'unit': 'oz', 'name': '1/3 less fat Cream Cheese', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '56g'}]","Add the chicken the the base of the crockpot. Top with bell pepper, onions, corn, beans, tomatoes, chilies, enchilada sauce, seasonings and chicken broth. ,Stir to combine and set the crockpot to cook on low for 6-8 hours or high for 3 hours, or until the chicken is tender. ,Remove the chicken from the crockpot and shred with forks. Return to the pot. ,Add the cream cheese and greek yogurt and stir until melted and combined. Serve and enjoy with desired toppings. ,Add all ingredients except the cream cheese and greek yogurt to the instant pot. ,Set the instant pot on manual (pressure cook mode) for 20 minutes. Quick release the pressure when the timer in done. ,Remove the chicken and shred with forks. Add the chicken back to the instant pot.,Add cream cheese and greek yogurt to the soup and stir until completely melted into the soup. Serve and enjoy with desired toppings. ,In a large pot, sauté the chopped bell pepper and onion over medium heat until they begin to soften.,Place the raw chicken breasts on top of the sautéed vegetables. Add the corn, black beans, diced tomatoes, green chilies, enchilada sauce, and all the seasonings. Pour the chicken broth over everything, ensuring the chicken is mostly submerged.,Bring the pot to a boil, then reduce the heat to a simmer. Cover the pot and let it cook for about 20-30 minutes, or until the chicken is cooked through and tender.,Carefully remove the chicken breasts from the pot. Shred the chicken using forks and then return the shredded chicken to the pot.,Stir in the cream cheese and Greek yogurt until they are fully melted and combined with the rest of the ingredients.,Let the pot simmer for an additional 5-10 minutes to allow the flavors to meld together.",1,56g,1,772,5,32,52251,2,8,674,9,Chicken Enchilada Soup
406,49,,3,Breakfast,American,"This , packs a serious nutritional punch. High in essential vitamins and minerals from fresh ingredients like apples, pears, avocado and spinach, this smoothie is a great way to start your day. ",19,12,Nutrient Dense Green Protein Smoothie (freezer prep),https://ohsnapmacros.com/wp-content/uploads/2024/12/greenproteinsmoothie3-300x300.jpg,14,"[{'amount': '1', 'unit': None, 'name': 'large ripe avocado ', 'notes': None}, {'amount': '4', 'unit': 'handfuls', 'name': 'fresh spinach', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'green pear', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'green apple', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'fresh parsley ', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons', 'notes': 'for making the smoothie'}, {'amount': '3', 'unit': 'cups', 'name': 'pineapple juice, 100% pure ', 'notes': 'for making the smoothie'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': 'for making the smoothie'}, {'amount': '4', 'unit': 'servings', 'name': 'Vanilla Protein Powder (Vegan Preferred)', 'notes': 'FlavCity highly recommended'}, {'amount': '1/4', 'unit': None, 'name': 'avocado', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'handful spinach', 'notes': None}, {'amount': '1/4', 'unit': None, 'name': 'green pear', 'notes': None}, {'amount': '1/4', 'unit': None, 'name': 'green apple', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'fresh parsley ', 'notes': None}]","Add 1/4 avocado, 1 handful of spinach, 1/4 of the pear, 1/4 the apple, and 2 Tbsp. of parsley to each of your 4 freezer safe bags. Place the bags in the freezer and freezer overnight before using. This ensures a nice cold thick smoothie in the morning and preps you for smoothies for the week.  ,When ready to enjoy, add the contents of one freezer bag to a high speed blender with 1/2 lemon juiced, 3/4 cup of pineapple juice, 1/2 cup of water and 1 serving of protein powder.  Blend until smooth and no chunks remain. If needed add extra water to your desired consistency. ,Optional: top with chia seeds and hemp seeds for added nutrition and crunch. Adjust with added lemon juice as needed. ",3,,1,1111,10,24,55142,3,4,153,26,Green Protein Smoothie
273,1,124,20,Main Course,American,"These , are made in the oven, with no crispy coating and a deliciously subtle teriyaki flavor. They go with just about anything you can dream up and are perfect for meal prep.",11,,The Juiciest Oven Baked Chicken Tenderloins,,6,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'chicken tenderloins', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'soy sauce ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'spicy brown mustard', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}]","Remove the tendon from the tenderloin by grabbing it with a paper towel and placing it between the tines of a fork and pulling down (see step by step images). ,Place the tenderloins in a sealable container and add the soy sauce, olive oil, spicy brown mustard, garlic powder and ground ginger. Put the lid on and shake so everything is evenly covered. Let set overnight OR just be sure to let it marinate while you preheat the oven. ,Preheat the oven to 350 degrees Fahrenheit. Spray a baking sheet with olive oil spray or nonstick spray. Remove the tenderloins from the marinade dish and add them to the prepared baking sheet in a even layer.,Place in the preheated oven and bake for 15-17 minutes or until cooked through and no longer pink. Internal temperature should reach 165 degrees Fahrenheit with a meat thermometer for safety. ,Remove and enjoy. ",1,,1,570,5,39,54782,1,4,595,,Baked Chicken Tenderloins
240,10,120,5,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4,for serving,2,23,5,24,42254,3,6,594,9,Honey Garlic Lemon Pepper Chicken Thighs
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
