calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
19,4,,15,Side Dish,American,"This , is a great companion to burgers, fries, chicken wings and more! If you love bbq sauce but want something healthier and lower sugar, this easy recipe is a good option. With a sweet and tangy flavor, gluten free, and no added sugar, this homemade sauce is a must-have at your next bbq.",,,Homemade Sweet and Smoky Sugar-Free BBQ Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/03/bbqsauce-300x300.jpg,15,"[{'amount': '8', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic vinegar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'hickory liquid smoke', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'arrowroot powder (or cornstarch)', 'notes': None}, {'amount': '1 ', 'unit': 'Tbsp. ', 'name': 'water', 'notes': 'mixed with arrowroot or cornstarch '}]","Add the tomato sauce, water, honey, apple cider vinegar, coconut aminos, liquid smoke, paprika, garlic powder, onion powder, chili powder, salt and pepper to a sauce pan and bring to a boil. ,Lower the heat and simmer for 10-15 minutes. Combine the arrowroot or cornstarch and water in a small bowl and mix to combine. Gradually add a little at a time while whisking and allowing the sauce to simmer for a few minutes between each addition. If you want a thinner sauce, use 1/2-3/4 of the mixture. I find using all of it is a great consistency. Be sure to whisk well while adding the arrowroot or cornstarch to avoid clumping. ,Remove from the heat and let the barbeque sauce cool completely and thicken.,Store in a mason jar or air tight container for up to 2 weeks.",,mixed with arrowroot or cornstarch ,,47,5,,44880,,19,239,3,Sugar-Free BBQ Sauce
93,17,,,Main Course,"American, Italian","This ,is the perfect light and flavorful homemade sauce. This easy recipe is made with herbs, spices, tomatoes, garlic and a touch of honey, for a classic red sauce that pairs perfectly with any pasta dish. ",2,3,Low Fat Garlic Tomato Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-12-300x300.jpg,12,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans) '}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,Serve with your favorite pasta noodles or package up and freeze for later. ",,,,292,8,3,51960,,9,1106,11,Garlic Tomato Sauce
53,7,,5,"Appetizer, Salad, Side Dish, Snack",American,"This , is amazing on absolutely everything. It's ready in less than 5 minutes, is insanely flavorful and has a fraction of the calories and fat from using PB2 instead of natural peanut butter. Add to veggie bowls, rice noodles or use as a dipping sauce with raw veggies for a healthy snack. ",1,,Homemade Lower Calorie Peanut Sauce (made with PB2),https://ohsnapmacros.com/wp-content/uploads/2024/01/lowcaloriepeanutsauce-300x300.jpg,8,"[{'amount': '1', 'unit': 'cup', 'name': 'PB2 powdered peanut butter', 'notes': '78g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': '30g'}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '75g'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'red curry paste', 'notes': '(1 Tbsp. for MILD)'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced, 10g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'red pepper flakes. ', 'notes': None}]","In a medium bowl combine the peanut sauce ingredients and mix well to fully combine. ,Add to wraps, stir fry, salad or dip with grilled chicken. ",1,,,,5,4,43944,,10,298,5,Low Calorie Peanut Sauce
14,3,,1,seasoning,Creole,"Your spice drawer will never be the same after you make your very own sugar free,. With a few common spices you'll have a homemade spice blend to add to everything from meats and stews to vegetarian dishes. This seasoning has a spicy kick that honors the flavorful and robust spices of southern cooking and is one my favorites!",,1,Sugar-Free Cajun Seasoning,https://ohsnapmacros.com/wp-content/uploads/2023/11/cajunseasoning-300x300.jpg,7,"[{'amount': '3', 'unit': 'Tbsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cayenne pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","Whisk all ingedients together in a small bowl. ,Store in a sealed container in a cool place for up to 6 months. ",,,,49,5,1,39581,,1,1139,,Homemade Cajun Seasoning
100,16,3,,Main Course,"American, Italian","This , is comfort food made healthy. Similar to a vodka sauce with garlic and tomatoes, this high protein sweet and savory sauce is the perfect way to curb creamy pasta cravings, in a low calorie way. Pair with your favorite noodle and protein for a delicious meal for the whole family. ",2,3,Tomato Garlic Cottage Cheese Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-21-300x300.jpg,14,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion, finely chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans)'}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low fat cottage cheese ', 'notes': '220g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'beef broth', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,When the sauce is done, add the cottage cheese and remaining broth to a high speed blender or single cup and blend until smooth. ,Add the blended cottage cheese to the pasta sauce. Stir to combine and let simmer another 5 minutes to heat through. ,Add desired garnish and serve over your favorite pasta noodle.",1,,,279,5,5,51526,1,9,1063,10,Cottage Cheese Pasta Sauce
116,8,,1,Main Course,American,"This , is a flavor powerhouse! Made with fresh herbs and spices there's many different ways to enjoy this easy recipe. This versatile sauce comes together in minutes and is perfectly paired with grilled meats, salmon or shrimp. ",8,1,Sweet Chimichurri Sauce with Cilantro,https://ohsnapmacros.com/wp-content/uploads/2024/09/chimichurri-sauce-300x300.jpg,11,"[{'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]",Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,,,,,5,1,51201,,6,170,6,Sweet Chimichurri Sauce
20,3,,1,Main Course,Mexican,"Never buy store-bought packets again with this ,! This spice blend has just six simple spices and can be used for everything! Make a big batch and store in an airtight container to make flavorful, delicious taco recipes. ",,1,Simple Homemade Taco Seasoning Recipe,https://ohsnapmacros.com/wp-content/uploads/2023/10/homemadetacoseasoning-300x300.jpg,6,"[{'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}]","Mix all ingredients in a mason jar and shake to combine. ,Mix the seasoning with 1/4 cup of water to create a paste and add to your cooked ground meat (turkey, beef, chicken, etc.) and mix together to evenly coat. ",,,,43,5,,37769,,5,502,,Homemade Taco Seasoning
68,15,,5,seasoning,American,"This , is easy to make, filled with ranch flavor and made with 7 simple spices. Make into ranch dressing and dips or add to casseroles and pasta bakes for a flavorful spice blend. This seasoning is Inexpensive, dairy and gluten-free and elevates any dish. ",,3,Dairy Free Ranch Seasoning,https://ohsnapmacros.com/wp-content/uploads/2024/03/homemaderanchseasoning-300x300.jpg,7,"[{'amount': '3', 'unit': 'Tbsp.', 'name': 'dried parsley', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried chives', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'fresh cracked black pepper', 'notes': None}]","Mix all ingredients in a small bowl.,Store In an air-tight container in a cool dry place for up to 6 months.",,,,333,2,3,45354,,4,4577,1,Dairy Free Ranch Seasoning
21,1,2,5,"Appetizer, Snack",American,"This , is an easy and flavorful dip to make in less then 5 minutes. The tangy flavor of cottage cheese blended with fresh herbs and spices make a healthy ranch dip with so many delicious ways to enjoy. Serve with fresh vegetables, pita chips or make into a creamy dressing. ",,,Easy Cottage Cheese Ranch Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheeseranch-300x300.jpg,8,"[{'amount': '1.5 ', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': 'strain water if needed*'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chicken bone broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried parsley ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]",Put everything in a blender and blend until smooth. You will want to be sure to blend at LEAST 5 minutes to ensure the cottage cheese breaks down completely and leaves no chalkiness. ,,,,23,2,3,48583,,14,154,,Cottage Cheese Ranch Dip
91,10,,1,Side Dish,American,"This homemade , is the low-calorie version of Secret Sauce. It's great on burgers, Big Mac Casserole, and as a dipping sauce for french fries. ",6,,Homemade Copycat Big Mac Sauce (only 4 ingredients),https://ohsnapmacros.com/wp-content/uploads/2023/12/bigmacsauce-300x300.jpg,4,"[{'amount': '1/3', 'unit': 'cup', 'name': 'light mayonnaise', 'notes': '90g'}, {'amount': '1/3', 'unit': 'cup', 'name': 'ketchup', 'notes': '100g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dill pickles ', 'notes': 'finely chopped'}, {'amount': '1.5', 'unit': 'Tbsp. ', 'name': 'pickle juice', 'notes': None}]","Add the mayonnaise, ketchup, chopped dill pickles and pickle juice to a small mixing bowl and combine.",1,,3,93,5,,42455,2,4,734,7,Big Mac Sauce
