calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
116,8,,1,Main Course,American,"This , is a flavor powerhouse! Made with fresh herbs and spices there's many different ways to enjoy this easy recipe. This versatile sauce comes together in minutes and is perfectly paired with grilled meats, salmon or shrimp. ",8,1,Sweet Chimichurri Sauce with Cilantro,https://ohsnapmacros.com/wp-content/uploads/2024/09/chimichurri-sauce-300x300.jpg,11,"[{'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]",Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,,,,,5,1,51201,,6,170,6,Sweet Chimichurri Sauce
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
186,24,23,50,"Appetizer, Side Dish",American,"These , have crispy potato skins, crunchy turkey bacon bits and shredded cheddar cheese. These are the ultimate decadent but easy side dish to make for a busy weeknight or even a fancy dinner with friends. ",7,2,Air Fryer Twice Baked Greek Yogurt Loaded Potatoes,https://ohsnapmacros.com/wp-content/uploads/2024/04/twicebakedpotatoes-300x300.jpg,6,"[{'amount': '2.5', 'unit': 'lbs.', 'name': 'russet potatoes ', 'notes': '4 potatoes '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': '0% plain Greek yogurt', 'notes': '224g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}, {'amount': '6', 'unit': 'slices', 'name': 'turkey bacon', 'notes': 'cooked and chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}]","Preheat the air fryer to 400 degrees Fahrenheight. ,Wash and dry your potatoes. Using a fork, poke holes around the skin of the potatoes. Spray them with olive oil spray and season with salt and pepper. Place in the air fryer basket and cook at 400 for 40-45 minutes or until the skin is crispy and the inside is fork tender, flipping halfway through. The cooking time will vary based on the size of your potatoes. ,While the potatoes cook, cook the turkey bacon on a skillet and chop into bite size pieces. Set aside to mix into your mashed potatoes.,Once cooked, remove the cooked potatoes from the air fryer and slice lengthwise in half. Using a spoon remove the insides of the potatoes, leaving the skin in tact and some of the potato along the skin to help keep its shape. Place the potato flesh in a large mixing bowl. Repeat with all potato halves. ,Mash the potatoes with a fork, potato masher or hand mixer until smooth. Add the greek yogurt, cheddar cheese, butter and cooked bacon to the bowl with the potatoes and combine. Season with salt and pepper to taste. Evenly add the mashed potato mixture back into the skins of the potatoes. Optional: top with additional cheddar cheese. ,Place the potato halves back in the air fryer basket, you may need to work in 2 batches depending on the size of your air fryer basket. Cook at 400 degrees Fahrenheit for 5 minutes.,Once done, remove and top with fresh chives and enjoy! ",1,,,589,10,9,40139,3,8,188,4,Air Fryer Twice Baked Potatoes
93,17,,,Main Course,"American, Italian","This ,is the perfect light and flavorful homemade sauce. This easy recipe is made with herbs, spices, tomatoes, garlic and a touch of honey, for a classic red sauce that pairs perfectly with any pasta dish. ",2,3,Low Fat Garlic Tomato Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-12-300x300.jpg,12,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans) '}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,Serve with your favorite pasta noodles or package up and freeze for later. ",,,,292,8,3,51960,,9,1106,11,Garlic Tomato Sauce
334,,124,,Main Course,American,"Make a perfect bacon wrapped , tonight! This recipe results in a restaurant style filet with gorgonzola cheese on top, all cooked directly in your air fryer. This gluten-free, carb-free steak is the perfect main course for a special dinner or occasion, paired with your favorite sides. ",18,,Air Fryer Bacon Wrapped Filet Mignon with Gorgonzola Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/baconwrappedfiletmignon-12-300x300.jpg,5,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'beef tenderloin steaks (filet mignon)', 'notes': '1 1/2 to 2 inch thick'}, {'amount': '4', 'unit': 'slices', 'name': 'thick cut bacon ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'black pepper', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'gorgonzola or blue cheese crumbles ', 'notes': None}]","Set the filet out for at least 30 minutes before cooking. Cut the tenderloin into four 6 oz. filets and season all sides well with kosher salt and fresh cracked black pepper (optional), you can also do 4 oz. filets.,Preheat the air fryer to 400 degrees Fahrenheit. Take one piece of bacon per filet and wrap it around the top and bottom of the filet or around the outer edge of the filet and secure with a toothpick. ,Add the filets to the air fryer basket, spray the tops with cooking spray and cook at 400 for 10-15 minutes, depending on the desired doneness. (See the notes section for temperature ranges.) You want to remove your steaks when they are 5 ºF BELOW the desired temperature. ,If adding cheese crumbles, top the filet with 0.5 oz. each of cheese crumbles (more if desired!) and cook for one additional minute to melt and soften.,When done, remove the steaks from the air fryer and let rest for 5 minutes. During this time the center of the steak will continue to warm as they rest. Serve and enjoy! ",5,,1,519,5,44,51419,7,4,397,,Air Fryer Filet Mignon
100,16,3,,Main Course,"American, Italian","This , is comfort food made healthy. Similar to a vodka sauce with garlic and tomatoes, this high protein sweet and savory sauce is the perfect way to curb creamy pasta cravings, in a low calorie way. Pair with your favorite noodle and protein for a delicious meal for the whole family. ",2,3,Tomato Garlic Cottage Cheese Pasta Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/09/cottagecheesepastasauce-21-300x300.jpg,14,"[{'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'Tbsp', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion, finely chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '30', 'unit': 'oz.', 'name': 'tomato sauce', 'notes': '(two 15 oz. cans)'}, {'amount': '6', 'unit': 'oz.', 'name': 'tomato paste', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low fat cottage cheese ', 'notes': '220g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'beef broth', 'notes': None}]","Add the olive oil to a large soup pot or Dutch oven over medium-high heat. Add garlic and onion and cook, stirring until fragrant and translucent.,Add the basil, oregano, salt and pepper to the garlic and onions and stir to coat. Pour in the tomato sauce, tomato paste, beef broth, coconut aminos and honey and stir to combine. Bring to a boil and right when it starts popping, lower to a LOW simmer. Simmer for 1 hour, stirring occasionally. ,When the sauce is done, add the cottage cheese and remaining broth to a high speed blender or single cup and blend until smooth. ,Add the blended cottage cheese to the pasta sauce. Stir to combine and let simmer another 5 minutes to heat through. ,Add desired garnish and serve over your favorite pasta noodle.",1,,,279,5,5,51526,1,9,1063,10,Cottage Cheese Pasta Sauce
120,4,21,,Appetizer,American," has everything you love about a blue cheese stuffed dirty martini but in dip form. This creamy appetizer is great for parties, special events or when you want a dirty martini with more protein and no tini. ",8,,High Protein Blue Cheese Stuffed Dirty Martini Dip,https://ohsnapmacros.com/wp-content/uploads/2024/11/Dirtymartinidip10-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': '440g'}, {'amount': '4', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened '}, {'amount': '1/4', 'unit': 'cup', 'name': 'non-fat plain greek yogurt', 'notes': '56g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh black pepper', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'green olive juice', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'pimento-stuffed green olives, chopped', 'notes': '5.75 oz container'}, {'amount': '2', 'unit': 'oz.', 'name': 'blue cheese crumbles ', 'notes': None}]","In a medium mixing bowl combine the cottage cheese, softened cream cheese, greek yogurt, garlic powder, pepper and olive juice. Mix to combine until the cream cheese is fully combined into the mixture and no chunks remain. (See note below on blending.),Fold in the chopped green olives and blue cheese. Transfer to a sealable container and store in the fridge overnight or at least 4 hours. This allows the flavors to meld and the dip to thicken.,When ready to serve, transfer mixture to a serving bowl and top with additional green olives for garnish and blue cheese crumbles. Serve with pita chips, veggies and/or wheat thins. ",,,,52,10,10,54287,3,8,617,2,Dirty Martini Dip
299,21,9,,"Salad, Side Dish",American,"This , makes the perfect side dish to your dinner party or holiday meal. It's an elegant salad with the perfect combination of flavors and textures from peppery arugula, crisp pears, crunchy walnuts and creamy feta cheese. It comes together quickly and is a perfect dish for special occasions. ",22,5,Rocket Fennel and Pear Salad,https://ohsnapmacros.com/wp-content/uploads/2024/10/rocketpearsalad-300x300.jpg,12,"[{'amount': '6', 'unit': 'cups', 'name': 'spring mix with arugula (rocket salad)', 'notes': None}, {'amount': '1', 'unit': 'medium', 'name': 'ripe pear', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'shallot, thinly sliced', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'walnuts, chopped', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'fennel bulb, thinly sliced ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","To prepare the dressing, add all dressing ingredients (olive oil, apple cider vinegar, dijon mustard, honey, sea salt, black pepper) to a small jar. Secure lid onto the jar and shake well until all of the ingredients are combined. Set aside.,Thinly slice pears, set aside. Add mixed greens to a large serving dish. Add pears, shallots, feta cheese, walnuts and fennel on top.,Generously pour dressing over the top of the salad. Gently toss salad ingredients with the dressing until everything is evenly coated. Serve immediately. ",11,,5,350,15,6,53489,4,5,202,12,Rocket Pear Salad
146,11,15,0,Appetizer,American,"This sweet and spicy , ,is the perfect appetizer. Made with feta cheese, cottage cheese, simple spices and a drizzle of hot honey, this creamy appetizer is perfectly paired with pita chips, veggies or as a spread on a sandwich.",8,,Sweet Heat Whipped Feta Dip with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/10/fetadip-10-300x300.jpg,12,"[{'amount': '8', 'unit': 'oz.', 'name': 'feta cheese, block or crumbled ', 'notes': 'full fat '}, {'amount': '1/3', 'unit': 'cup', 'name': 'low fat cottage cheese (drain excess water, if needed)', 'notes': '88g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'milk ', 'notes': 'any milk works! '}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'hot honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chopped chives', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'crushed red pepper flakes', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black sesame seeds', 'notes': None}]","Add the feta, cottage cheese, lemon juice, olive oil, sea salt and black pepper to a food processor. Blend for 5 minutes until fully combined and smooth. Add the milk and blend again for another 3-5 minutes. This will help get that final smooth whip we want. ,Place the dip in the refridgerator to set for 2 hours prior to serving. The longer the better so it can thicken. ,Once thickened, pour the feta mixture into a serving dish.,Drizzle the hot honey over the whipped feta and sprinkle the chives, red pepper flakes, sesame seeds and black pepper on top. ",,,2,6,10,7,52905,4,8,341,8,Whipped Feta Dip
327,26,5,35,Side Dish,American,"A nutrient powerhouse, this , is one to add to your holiday or meal prep menu. It's loaded with crispy quinoa, fresh roasted kale, feta cheese and peptias and topped with a creamy lemon dressing that wraps this delicious salad with a bow.  ",24,6,Crispy Quinoa Kale and Apple Salad with Chili Oil,https://ohsnapmacros.com/wp-content/uploads/2024/10/crispyquinoakalesalad-20-300x300.jpg,19,"[{'amount': '1', 'unit': 'cup', 'name': 'cooked and cooled quinoa', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili oil ', 'notes': '*'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '8 ', 'unit': 'cups', 'name': 'roughly chopped kale', 'notes': 'ribs removed'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado ', 'notes': 'peeled and sliced thin'}, {'amount': '1', 'unit': 'small', 'name': 'shallot', 'notes': 'thily sliced '}, {'amount': '1', 'unit': 'small', 'name': 'apple', 'notes': 'thinly sliced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pepitas', 'notes': 'pumpkin seeds'}, {'amount': '3', 'unit': 'Tbsp. ', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic glaze', 'notes': '**'}, {'amount': '1', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'black pepper ', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit. Line two rimmed baking sheets with parchment paper.,Spread the quinoa on the first baking sheet and toss with 2 tablespoons chili oil, 1/2 teaspoon salt, and 1/8 teaspoon ground cinnamon. Roast in the preheated oven for 15 minutes. Stir and shake the pan, then return to the oven for another 5 to 10 minutes, until golden brown. Set aside to cool.,Toss the kale leaves with 1 tbsp. olive oil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Transfer to the second baking sheet and arrange in a single layer. Add to the oven when the quinoa is nearly done and roast for 8 to 10 minutes, stirring once, until softened and crisped.***,Prepare the salad dressing by whisking all the ingredients together until emulsified.,Assemble the salad by transferring the kale to a large serving bowl and topping it with avocado, shallot, apple, cranberries, pepitas, and feta. Drizzle the dressing over the salad and top with the crispy quinoa. Mix and serve immediately.",,,,460,10,6,53739,4,5,110,11,Crispy Quinoa Kale Salad
