calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
190,31,31,20,"Breakfast, Dessert, Snack",American,"These healthy , are fluffy, moist and perfectly sweet. Low calorie and filled with wholesome ingredients, these are the perfect breakfast or snack to keep you energized and full thoughout the day. ",5,2,Healthy Blackberry Oatmeal Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/07/blackberryoatmealmuffins-300x300.jpg,12,"[{'amount': '1 1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '150g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '30g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'rolled oats', 'notes': '75g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': None, 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2 cup + 2 Tbsp. ', 'unit': None, 'name': 'honey', 'notes': '202g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil, melted', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': '**fresh blackberries', 'notes': '192g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners.,Add the flours, rolled oats, baking powder, baking soda, salt, and ground cinnamon to a medium-sized bowl and whisk to combine. In a separate larger bowl, whisk together the Greek yogurt, eggs, honey, and coconut oil until smooth.,**Add the blackberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blackberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined.,Fold in the blackberries. ,Divide the muffin batter between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter.,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a toothpick inserted into the middle comes out clean.,Cool the muffins in the pan for 10 minutes before moving to a cooling rack.",,192g,,142,15,5,49700,,12,131,15,Healthy Blackberry Oatmeal Muffins
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
189,29,31,18,"Breakfast, Dessert, Snack",bowl,"These , are moist, tender and bursting with lemon flavor. Made with fresh blueberries, no refined sugars and Greek yogurt, these delicious muffins are the perfect healthy snack or quick breakfast. Ready in less than 25 minutes, this easy recipe is calling your name.",6,1,Healthy Blueberry Lemon Muffins with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2024/02/lemonblueberrymuffins-300x300.jpg,13,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'whole-wheat flour', 'notes': '60g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon zest', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'fresh lemon juice ', 'notes': '44g'}, {'amount': '2/3', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'honey', 'notes': '160g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '60g'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'fresh blueberries', 'notes': '190g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners. ,Add the flours, baking powder, baking soda, and salt to a medium-sized bowl and whisk to aerate and combine. In a separate large bowl, whisk together the lemon zest and juice, Greek yogurt, eggs, honey, vanilla, and olive oil until smooth. ,Add the blueberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blueberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined. Fold in the blueberries. Divide the batter evenly between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter. ,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a tooth pick inserted into the middle comes out clean.,Cool in the pan for 10 minutes before moving the muffins to a cooling rack.",4,190g,1,113,10,5,44656,1,12,149,13,Healthy Blueberry Lemon Muffins
52,13,,5,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188,5,1,42710,,1,64,10,Blueberry Mint Mocktail
385,35,29,40,"Breakfast, Main Course, Side Dish",American,"This , is a recipe favorite for parties, bridal showers, Mother's Day and Sunday brunch. Made with a flaky pie crust, egg whites and crispy bacon, this quiche is easy to make and delicious.",22,,Easy Bacon and Mushroom Egg White Breakfast Quiche,https://ohsnapmacros.com/wp-content/uploads/2024/04/Baconandmushroomquiche-14-300x300.jpg,8,"[{'amount': '1', 'unit': None, 'name': 'pie crust', 'notes': 'store-bought'}, {'amount': '6', 'unit': 'pieces', 'name': None, 'notes': 'cooked and chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'cremini mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'liquid egg whites', 'notes': '350g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low fat milk', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese, shredded', 'notes': '56g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}]","Pre-heat oven according to pie crust package. Place one pie crust in a pie dish, poke a few holes in the bottom and bake 1/2 the recommended time. Example: if the package asks to bake at 425F for 12 minutes, cook at 425F for 6 minutes.,When the crust is done cooking, remove from the oven and lower the temperature to 350 degrees Fahrenheit. ,While the pie crust bakes, cook the bacon until cooked through and browned. Chop into bite size pieces. ,Drain the excess bacon fat from the pan and in the same pan sautee the garlic and mushrooms over medium heat until the mushrooms are soft and browned. Return the chopped bacon to the pan and mix to combine and remove from the heat. ,In a bowl whisk together egg whites, milk, cheese, salt and pepper.,Place the sautéed mushrooms and bacon in the pie dish on top of the pie crust and evenly coat the bottom.,Pour egg mixture over the bacon mixture. Be sure the cheese does not pool to the middle of the quiche, use a spoon to move around as needed.,Bake at 350F for 35-40 minutes or longer until the egg its fully cooked and toothpick comes out clean. Note, bake times will vary oven to oven.,Slice into 6 equal slices and enjoy!",8,,2,213,15,13,44704,9,6,675,2,Bacon and Mushroom Quiche
90,11,10,5,Breakfast,American,"These , take high protein breakfast to the next level. Fluffy, light and delicious, these waffles are made with wholesome ingredients but taste like classic waffles. They are a satisfying breakfast for the entire family and are extremely freezer-friendly, making busy mornings a breeze. ",1,1,High Protein Waffles with Oat Flour,https://ohsnapmacros.com/wp-content/uploads/2024/02/proteinwaffles-15-300x300.jpg,8,"[{'amount': '1.5', 'unit': 'cups', 'name': 'old-fashioned oats (or oat flour)', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '45g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '4', 'unit': None, 'name': 'egg whites¼', 'notes': '~ 120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': '120ml'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '21g'}, {'amount': '2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'salt', 'notes': None}]","Add the oats to a high-speed blender and pulse into a flour consistency. Alternatively, you can use oat flour.,Add the oats, protein powder, yogurt, egg whites, almond milk, honey, baking powder and salt to a bowl and mix until fully combined. You should have a nice not too runny and not too thick batter. ,Heat a small single waffle maker and spray with non-stick cooking spray. Using a ¼ cup as a spoon, spoon the waffle mix into the hot waffle maker and close. ,Cook until fully cooked through and browned. Remove from the waffle maker and continue with all remaining waffles. Optional, toast them after to get them extra crispy. ,Top with sliced fruit, butter, real maple syrup and enjoy! ",,,,75,5,9,44105,,10,219,2,Protein Waffles
305,35,35,10,Breakfast,American,"This , is a delicious way to get in a high protein breakfast when craving something sweet. Made with Brioche bread, this French toast is buttery, fluffy and rich, perfect for lazy Sunday mornings or fancy brunches. ",8,1,Easy High Protein French Toast with Brioche Bread,https://ohsnapmacros.com/wp-content/uploads/2023/12/proteinfrenchtoast-7-300x300.jpg,11,"[{'amount': '6', 'unit': 'slices ', 'name': 'Brioche bread ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'liquid egg whites', 'notes': '220g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': '120ml'}, {'amount': '1', 'unit': 'scoop', 'name': 'vanilla protein powder (31g)', 'notes': '(PeScience Gourmet Vanilla)'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground cinnamon ', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': None, 'unit': None, 'name': 'powdered sugar or sugar replacement ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'maple syrup ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'peanut butter', 'notes': None}, {'amount': None, 'unit': None, 'name': 'chocolate sauce ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh fruit', 'notes': None}]","In a shallow mixing bowl combine the egg whites, almond milk, protein powder, cinnamon, nutmeg and whisk until well combine and minimal, if any, chunks of protein powder remain. ,Heat a large pan or griddle over medium heat and spray with cooking spray. ,Place one slice of brioche bread into the egg mixture and let it soak on both sides. Remove and let any excess drip off prior to adding to the hot pan. Cook on both sides for 3-4 minutes until the liquid eggs have cooked through and the french toast is nice and brown. Remove from the pan and repeat with the remaining bread.,Serve with maple syrup, peanut butter, chocolate sauce, powdered sugar or fresh fruit. ",,,,120,5,21,37186,4,3,525,10,Protein French Toast
65,18,,1,Drinks,drinks,"This , is perfect for hot summer days or your next spring get together. With a fizzy taste and tart flavor, this virgin sangria recipe is a blend of grape juice, soda water and fresh fruit and is guaranteed to please the crowd. ",,,White Sparkling Sangria Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/sangriamocktail-300x300.jpg,7,"[{'amount': '3', 'unit': 'cups', 'name': 'white grape juice', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'sliced strawberries', 'notes': 'plus extra for garnish'}, {'amount': '2', 'unit': 'small', 'name': 'lemons', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'orange', 'notes': 'sliced'}, {'amount': '4', 'unit': 'cups', 'name': 'plain sparkling water', 'notes': 'or seltzer'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}]","Add the white grape juice, lemon juice, sliced strawberries, sliced lemons, and sliced orange to a large pitcher. Stir to combine. Cover and refrigerate overnight or for at least 6-8 hours.,When you’re ready to serve, add the sparkling water to the pitcher. Stir gently, making sure not to break up the fruit. ,Fill wine glasses or rocks glasses three quarters full of ice, then pour the sangria over the ice. ,If desired, you can use extra fruit to garnish each drink. ",,,,85,5,1,42690,,8,6,15,White Sangria Mocktail
44,1,,35,"Breakfast, Snack",American,"These homemade, are a meal prep must-have! Made with egg whites, cottage cheese, veggies and turkey sausage, these creamy bites are high protein, low-carb and totally delicious. This recipe makes 24 little egg bites to make breakfast a breeze all week. ",2,,Cheesy Oven Baked Egg White Bites with Turkey Sausage,https://ohsnapmacros.com/wp-content/uploads/2024/02/eggwhitebites-20-300x300.jpg,6,"[{'amount': '1', 'unit': 'lb.', 'name': None, 'notes': 'Jeannie-O'}, {'amount': '1', 'unit': 'large', 'name': 'bell pepper', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'spinach', 'notes': 'chopped'}, {'amount': '16', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'shredded gruyere cheese', 'notes': 'or any preferred cheese'}]","Preheat oven to 350 degrees F. Prep muffin pans by placing each silicone pan on a baking sheet or spray muffin trays well with non-stick spray.,In a skillet over medium heat, cook the turkey, breaking into bite sized pieces until browned. Add the bell peppers and sauté until softened. Add the spinach and stir to wilt. Drain any excess liquid. ,Place each silicone muffin pan on a baking sheet or spray muffin trays well with non-stick spray. Evenly distribute the turkey mixture between the 24 muffin cups. ,In a blender combine the egg whites and cottage cheese. Blend until the cottage cheese is smooth. ,Evenly distribute the egg white mixture between to each cup followed by the shredded cheese over the 24 cups. Using a spoon slightly stir each cup to spread the cheese throughout vs. just on top. ,Bake in a preheated oven at 350 degrees Fahrenheit for 30-35 minutes until the eggs are cooked through and no longer runny. ,If baking one tray at a time or halving the recipe bake for 15-20 minutes or until the eggs are fully cooked through and no longer runny. ",,or any preferred cheese,,27,10,6,42183,1,24,139,,Egg White Bites
89,16,1,1,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2,3,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198,10,4,31207,,8,35,12,Broccoli Crunch Salad
