calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
403,31,100,10,Main Course,American,"These , are the easiest way to make the best burgers, ever! Made with homemade bbq sauce, crispy bacon and fresh toppings, these burgers are perfect for busy weeknights when you want something quick and easy but completely delicious.",15,1,Frozen BBQ Bacon Burgers in the Air Fryer,https://ohsnapmacros.com/wp-content/uploads/2024/03/bbqbaconburgers-300x300.jpg,25,"[{'amount': '2', 'unit': None, 'name': 'burger patties', 'notes': 'Signature Farms 100% Beef 91/9 are my favorite'}, {'amount': '2', 'unit': 'slices', 'name': None, 'notes': 'Hemplers Zero Sugar'}, {'amount': '2', 'unit': 'tsp.', 'name': 'burger seasoning', 'notes': 'I like Kinders Seasonings'}, {'amount': '2', 'unit': 'slices', 'name': 'thin cut cheddar cheese', 'notes': 'optional'}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomato', 'notes': None}, {'amount': None, 'unit': None, 'name': 'onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pickles', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sprouts', 'notes': None}, {'amount': None, 'unit': None, 'name': None, 'notes': 'Signature Select '}, {'amount': '8', 'unit': 'oz.', 'name': 'tomato sauce ', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic vinegar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'hickory liquid smoke', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'arrowroot powder', 'notes': 'or constrarch '}, {'amount': '1-2 ', 'unit': 'Tbsp. ', 'name': 'water', 'notes': 'mixed with arrowroot or cornstarch '}]","Add the tomato sauce, water, honey, apple cider vinegar, coconut aminos, liquid smoke, paprika, garlic powder, onion powder, chili powder, salt and pepper to a sauce pan and bring to a boil. ,Lower the heat and simmer for 10-15 minutes. Combine the arrowroot or cornstarch and water in a small bowl and mix to combine. Gradually add a little at a time while whisking and allowing the sauce to simmer for a few minutes between each addition. If you want a thinner sauce, use 1/2-3/4 of the mixture. I find using all of it is a great consistency. Be sure to whisk well while adding the arrowroot or cornstarch to avoid clumping. ,Remove from the heat and let the barbeque sauce cool completely while you cook your burgers and bacon.,Season the burgers with your preferred burger seasoning on both sides, ½ tsp per side. I like using Kinders Steak Blend.,Add the burgers and slices of bacon the air fryer basket. Cook at 380 for 8 minutes, flipping both the burgers and bacon halfway through. This will give you a medium to medium-well burger. Cook 3 mins each side for medium-rare and and 5 mins each side for well-done (160 degrees Fahrenheit internal temperature using a meat thermometer). ,If adding cheese, top the burgers with cheese and cook for an additional 1 minute until melted. ,Assemble your burgers with a bun of choice, I like using Brioche buns. Top your bottom bun with lettuce, then burger patty, then bacon, tomato, pickles, onion, and 2 Tbsp. of homemade barbecue sauce. ",5,mixed with arrowroot or cornstarch ,,94,15,32,44938,6,2,683,11,BBQ Bacon Burgers
21,1,2,5,"Appetizer, Snack",American,"This , is an easy and flavorful dip to make in less then 5 minutes. The tangy flavor of cottage cheese blended with fresh herbs and spices make a healthy ranch dip with so many delicious ways to enjoy. Serve with fresh vegetables, pita chips or make into a creamy dressing. ",,,Easy Cottage Cheese Ranch Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheeseranch-300x300.jpg,8,"[{'amount': '1.5 ', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': 'strain water if needed*'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chicken bone broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried parsley ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]",Put everything in a blender and blend until smooth. You will want to be sure to blend at LEAST 5 minutes to ensure the cottage cheese breaks down completely and leaves no chalkiness. ,,,,23,2,3,48583,,14,154,,Cottage Cheese Ranch Dip
127,18,10,10,Dessert,American,"These , are the perfect no bake dessert. Made with chocolate chips, marshmallows, Rice Krispies and a sneaky scoop of undetectable protein powder, this easy recipe is a chocolate lovers dream.  ",5,1,Chocolate Rice Krispie Treats with Protein Powder,https://ohsnapmacros.com/wp-content/uploads/2024/10/chocolatericekrispietreats-2-300x300.jpg,7,"[{'amount': '4', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': 'cubed'}, {'amount': '10', 'unit': 'oz.', 'name': 'mini marshmallows', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder, 31g', 'notes': 'PeScience Chocolate Truffle'}, {'amount': '1 ½', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}, {'amount': '½', 'unit': 'cup', 'name': 'chocolate chips', 'notes': '170g'}, {'amount': '5', 'unit': 'cups', 'name': 'Rice Krispie Cereal', 'notes': '133g'}, {'amount': None, 'unit': None, 'name': 'flaky sea salt', 'notes': None}]","Melt the cubed butter in a large saucepan over medium heat. Add the mini marshmallows, protein powder, cocoa powder and chocolate chips and stir to combine and melt the marshmallows and chocolate into a sauce. ,Remove from the heat and immediately mix in the cereal, stirring to combine. This will take some arm power to get it to fully mix and combine, just keep mixing. ,Add the mixture to a parchment or wax paper lined 8×8-inch square pan and press it down to mold into the baking dish. Don’t smash the treats in the pan too hard or you’ll have dense Rice Krispies treats. You want some spacing between and pockets to get in there. Let it sit until completely cooled and hardened, approximately 1 hour or more. ,Cut into 16 equal squares and top with flakey sea salt for serving. ",1,,,17,2,3,52713,3,16,100,7,Chocolate Rice Krispie Treats
74,,42,45,"Appetizer, Main Course",American,"These oven baked , are made with a homemade Cajun seasoning and dry ranch mix, and are the easiest way to make juicy wings. Crispy and full of spicy flavors, these awesome wings are perfect for a big game, parties or simple snacking. Serve with French fries or with your favorite dipping sauce for a complete spread.",5,,Dry Rub Oven Baked Crispy Cajun Ranch Wings,https://ohsnapmacros.com/wp-content/uploads/2024/05/cajunranchwings-14-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'wings (drumlettes and winglettes)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': '2 Tbsp. for added heat'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried oregano ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cayenne pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit and line a baking sheet with foil. Spray with nonstick spray to keep the wings from sticking to the foil. ,Pat the wings dry with paper towels and add to a large mixing bowl or ziplock bag. Add the baking powder to the bag, seal and shake or mix in the bowl to evenly coat. Do not skip this part, this helps make the wings extra crispy. ,Add 1.5 Tbsp. cajun seasoning and 1.5 Tbsp. dry ranch seasoning to the bag or bowl and shake or mix to evenly coat the wings.,Place the wings on the baking sheet without overlapping. Bake for 45 minutes. Flip halfway through baking. (Optional: Lightly spray the top of the wings with avocado oil or olive oil spray before baking.),Remove from the oven and enjoy your dry rub ribs alone or dipped in ranch dressing.",1,,2,137,5,7,45123,1,24,113,,Dry Rubbed Wings
218,32,36,25,Dessert,American,"Chocolate chip cookies and s'mores collide with these , They have a golden brown outside with a soft and chewy center of melted chocolate and mini marshmallows. This easy recipe can be thrown together with classic cookie ingredients in less then 10 minutes with a 25 minute bake time. ",9,1,S’mores Cookie Bars (without graham crackers),https://ohsnapmacros.com/wp-content/uploads/2024/06/smorescookiebars-19-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened '}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar substitute) ', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract ', 'notes': None}, {'amount': '1.5 ', 'unit': 'cups', 'name': 'all-purpose flour ', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'semi-sweet chocolate chips', 'notes': '60g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mini marshmallows ', 'notes': '38g'}, {'amount': '1/2', 'unit': None, 'name': 'chocolate bar ', 'notes': 'chopped'}]","Preheat your oven to 350 degrees Fahrenheit. Line a 9×9-inch baking pan with parchment paper or spray with nonstick spray. ,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined.,Gently fold in the chocolate chips and marshmallows. ,Add the cookie dough to the prepared baking pan and using a rubber spatula or your hands work the dough so it covers the entire surface of the pan. ,Optional: add 1/2 chopped chocolate bar on top.,Bake for 20-25  minutes until the edges are browned and a toothpick comes out with a few crumbs. ,Remove from the oven and allow the cookie bars to cool in the pan for about 5-10 minutes. When ready to transfer either remove with the parchment paper or a place cutting board over the top of the pan and flip out onto the cutting board. To flip the top side back up use a second surface or cutting board, place on the bottom of the bars and flip over. Or just enjoy right out of the pan. ,Cut into 12 equal squares and enjoy. ",,chopped,,28,10,3,48890,6,12,134,11,S’mores Cookie Bars
146,11,15,0,Appetizer,American,"This sweet and spicy , ,is the perfect appetizer. Made with feta cheese, cottage cheese, simple spices and a drizzle of hot honey, this creamy appetizer is perfectly paired with pita chips, veggies or as a spread on a sandwich.",8,,Sweet Heat Whipped Feta Dip with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/10/fetadip-10-300x300.jpg,12,"[{'amount': '8', 'unit': 'oz.', 'name': 'feta cheese, block or crumbled ', 'notes': 'full fat '}, {'amount': '1/3', 'unit': 'cup', 'name': 'low fat cottage cheese (drain excess water, if needed)', 'notes': '88g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'milk ', 'notes': 'any milk works! '}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'hot honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chopped chives', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'crushed red pepper flakes', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black sesame seeds', 'notes': None}]","Add the feta, cottage cheese, lemon juice, olive oil, sea salt and black pepper to a food processor. Blend for 5 minutes until fully combined and smooth. Add the milk and blend again for another 3-5 minutes. This will help get that final smooth whip we want. ,Place the dip in the refridgerator to set for 2 hours prior to serving. The longer the better so it can thicken. ,Once thickened, pour the feta mixture into a serving dish.,Drizzle the hot honey over the whipped feta and sprinkle the chives, red pepper flakes, sesame seeds and black pepper on top. ",,,2,6,10,7,52905,4,8,341,8,Whipped Feta Dip
312,35,39,5,Dessert,American,"These , require minimal prep work, have zero bake time and a short 2-hour chill time. Made with Greek yogurt, low-fat cream cheese and sweetened with honey and brown sugar, these dreamy creamy cheesecake cups make the perfect party dessert. ",13,1,Greek Yogurt Mini No Bake Cheesecake Cups,https://ohsnapmacros.com/wp-content/uploads/2024/03/nobakecheesecakecups-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'plain Greek yogurt (2%)', 'notes': '453g'}, {'amount': '8', 'unit': 'oz.', 'name': '1/3 less fat cream cheese', 'notes': 'softened'}, {'amount': '1/4', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'lemon juice', 'notes': 'add more to taste, as needed'}, {'amount': '8', 'unit': None, 'name': None, 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': 'melted'}]","Place graham crackers and melted butter in a food processor. Blend until mixture turns into a crumble.,Spoon graham cracker mixture into 6 small containers and use a spoon or your fingers to press into the bottom. Each container should get approx. 3 Tbsp. ,Clean out the food processor so you don’t get crumbs in the cheesecake mixture. ,Add Greek yogurt, cream cheese, honey, brown sugar, vanilla and lemon juice into the food processor. Blend until combined. ,Evenly spoon the cheesecake mixture on top of graham cracker layer, 128 grams.,Cover each cup with plastic wrap and place in the refrigerator for 1-2 hours to set. ,Garnish with your choice of berries, graham cracker crumbles or whipped cream. ",1,melted,1,,11,11,44751,8,6,307,24,No Bake Cheesecake Cups
240,10,120,5,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4,for serving,2,23,5,24,42254,3,6,594,9,Honey Garlic Lemon Pepper Chicken Thighs
206,42,2,,Side Dish,American,"This , is just what you need for your next summer barbecue. Tender potatoes, crunchy veggies with a flavorful and creamy sauce, this easy to make recipe can be a light lunch or tasty addition to your party table. ",2,2,Greek Yogurt Potato Salad,https://ohsnapmacros.com/wp-content/uploads/2023/06/healthypotatosalad-1-300x300.jpg,13,"[{'amount': '3', 'unit': 'lbs.', 'name': 'petite gold potatoes', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'non-fat plain 0% Greek yogurt', 'notes': '226g'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'celery seed', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chives', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'spear', 'name': 'dill pickles ', 'notes': 'chopped 35g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'dill pickle juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red onion ', 'notes': 'chopped'}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","First, chop the potatoes into quarters or smaller if using larger potatoes. You want to have bite size pieces. Place the chopped potatoes in a pot and fill with water to cover. Season the water generously with salt and bring to a boil. Boil the potatoes for 6-8 minutes until they’re fork tender but not mashed potato soft.,Once the potatoes are done strain them in a strainer and let them sit until completely cooled.,In a bowl, combine the remaining ingredients to make the sauce. Mix together well to combine and adjust the flavor with salt and pepper as needed.,Add the cooled potatoes to a large mixing bowl and cover with the sauce. Mix to combine. Be gentle when mixing to not smash the potatoes. Cover with a lid or plastic wrap and place in the fridge for at least one hour prior to serving.,Remove from the fridge and serve.",,to taste,,1037,10,8,30879,,8,133,2,Greek Yogurt Potato Salad
89,16,1,1,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2,3,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198,10,4,31207,,8,35,12,Broccoli Crunch Salad
