calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
327,26,5,35,Side Dish,American,"A nutrient powerhouse, this , is one to add to your holiday or meal prep menu. It's loaded with crispy quinoa, fresh roasted kale, feta cheese and peptias and topped with a creamy lemon dressing that wraps this delicious salad with a bow.  ",24,6,Crispy Quinoa Kale and Apple Salad with Chili Oil,https://ohsnapmacros.com/wp-content/uploads/2024/10/crispyquinoakalesalad-20-300x300.jpg,19,"[{'amount': '1', 'unit': 'cup', 'name': 'cooked and cooled quinoa', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili oil ', 'notes': '*'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '8 ', 'unit': 'cups', 'name': 'roughly chopped kale', 'notes': 'ribs removed'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado ', 'notes': 'peeled and sliced thin'}, {'amount': '1', 'unit': 'small', 'name': 'shallot', 'notes': 'thily sliced '}, {'amount': '1', 'unit': 'small', 'name': 'apple', 'notes': 'thinly sliced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pepitas', 'notes': 'pumpkin seeds'}, {'amount': '3', 'unit': 'Tbsp. ', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic glaze', 'notes': '**'}, {'amount': '1', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'black pepper ', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit. Line two rimmed baking sheets with parchment paper.,Spread the quinoa on the first baking sheet and toss with 2 tablespoons chili oil, 1/2 teaspoon salt, and 1/8 teaspoon ground cinnamon. Roast in the preheated oven for 15 minutes. Stir and shake the pan, then return to the oven for another 5 to 10 minutes, until golden brown. Set aside to cool.,Toss the kale leaves with 1 tbsp. olive oil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Transfer to the second baking sheet and arrange in a single layer. Add to the oven when the quinoa is nearly done and roast for 8 to 10 minutes, stirring once, until softened and crisped.***,Prepare the salad dressing by whisking all the ingredients together until emulsified.,Assemble the salad by transferring the kale to a large serving bowl and topping it with avocado, shallot, apple, cranberries, pepitas, and feta. Drizzle the dressing over the salad and top with the crispy quinoa. Mix and serve immediately.",,,,460,10,6,53739,4,5,110,11,Crispy Quinoa Kale Salad
212,30,43,25,Dessert,American,"This , is moist and fluffy with a delicious brown sugar streusel topping. Made with Greek yogurt and applesauce instead of traditional sour cream, this lighter version of a classic coffee cake has the flavor and texture you love, without an overload of calories.",8,1,Applesauce and Greek Yogurt Coffee Cake,https://ohsnapmacros.com/wp-content/uploads/2024/12/applesaucecoffeecake14-300x300.jpg,13,"[{'amount': '1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '30g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar, lightly packed', 'notes': '24g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': '28g'}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1 ½\xa0', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '95g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened applesauce ', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsalted butter, melted and slightly cooled', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'nonfat Greek yogurt', 'notes': '55g'}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}]","Preheat the oven to 350 degrees. Lightly grease an 8-inch square pan then line it with parchment paper leaving an overhang.,Make the streusel topping first. Add all of the ingredients to a small bowl. Mix with a rubber spatula, pressing into it to break up the butter and rubbing it into the dry ingredients. It’s ready once it looks moist and sandy. Set the streusel topping aside.,To make the cake batter, combine flour, baking powder, salt, and brown sugar in a medium-sized bowl until combined. Make sure to break up any lumps of brown sugar.,In a separate larger bowl, whisk together the applesauce, melted butter, Greek yogurt, egg, and vanilla until smooth. Add the flour mixture to the wet ingredients and mix until just combined. The batter will be thick and sticky, that is ok! Pour batter into an even layer in the prepared pan. ,Sprinkle the streusel topping over the batter in an even layer. ,Bake the cake in the preheated oven on the center rack for 23-25 minutes or until a toothpick inserted into the middle comes out clean and the top of the cake springs back when gently touched. ,Cool the cake in the pan for at least 20 minutes before serving. Cut into 9 equal squares for serving. ",2,,,142,10,4,53069,5,9,138,12,Applesauce Coffee Cake
385,35,29,40,"Breakfast, Main Course, Side Dish",American,"This , is a recipe favorite for parties, bridal showers, Mother's Day and Sunday brunch. Made with a flaky pie crust, egg whites and crispy bacon, this quiche is easy to make and delicious.",22,,Easy Bacon and Mushroom Egg White Breakfast Quiche,https://ohsnapmacros.com/wp-content/uploads/2024/04/Baconandmushroomquiche-14-300x300.jpg,8,"[{'amount': '1', 'unit': None, 'name': 'pie crust', 'notes': 'store-bought'}, {'amount': '6', 'unit': 'pieces', 'name': None, 'notes': 'cooked and chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'cremini mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'liquid egg whites', 'notes': '350g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low fat milk', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese, shredded', 'notes': '56g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}]","Pre-heat oven according to pie crust package. Place one pie crust in a pie dish, poke a few holes in the bottom and bake 1/2 the recommended time. Example: if the package asks to bake at 425F for 12 minutes, cook at 425F for 6 minutes.,When the crust is done cooking, remove from the oven and lower the temperature to 350 degrees Fahrenheit. ,While the pie crust bakes, cook the bacon until cooked through and browned. Chop into bite size pieces. ,Drain the excess bacon fat from the pan and in the same pan sautee the garlic and mushrooms over medium heat until the mushrooms are soft and browned. Return the chopped bacon to the pan and mix to combine and remove from the heat. ,In a bowl whisk together egg whites, milk, cheese, salt and pepper.,Place the sautéed mushrooms and bacon in the pie dish on top of the pie crust and evenly coat the bottom.,Pour egg mixture over the bacon mixture. Be sure the cheese does not pool to the middle of the quiche, use a spoon to move around as needed.,Bake at 350F for 35-40 minutes or longer until the egg its fully cooked and toothpick comes out clean. Note, bake times will vary oven to oven.,Slice into 6 equal slices and enjoy!",8,,2,213,15,13,44704,9,6,675,2,Bacon and Mushroom Quiche
107,19,67,5,"Breakfast, Dessert, Snack",American,"These high-protein blender , are a fun twist on breakfast. Easy to make and perfect for meal prep, this quick breakfast will satisfy your morning sweet tooth.  ",2,1,Banana Cream Cottage Cheese Waffles,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesewaffles-300x300.jpg,8,"[{'amount': '1', 'unit': 'ripe', 'name': 'banana', 'notes': '117g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'cottage cheese (2% or 5%)', 'notes': '110g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'protein powder', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'milk (dairy or non-dairy)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}]","Add all ingredients to a high speed blender and blend until smooth. ,Heat a small single waffle waffle maker and spray with nonstick spray. Add ¼ cup of the waffle batter to the waffle maker and cook until cooked through and browned. Repeat with the remaining waffle mix. ",1,,,91,5,8,48796,1,7,106,5,Cottage Cheese Waffles
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
299,21,9,,"Salad, Side Dish",American,"This , makes the perfect side dish to your dinner party or holiday meal. It's an elegant salad with the perfect combination of flavors and textures from peppery arugula, crisp pears, crunchy walnuts and creamy feta cheese. It comes together quickly and is a perfect dish for special occasions. ",22,5,Rocket Fennel and Pear Salad,https://ohsnapmacros.com/wp-content/uploads/2024/10/rocketpearsalad-300x300.jpg,12,"[{'amount': '6', 'unit': 'cups', 'name': 'spring mix with arugula (rocket salad)', 'notes': None}, {'amount': '1', 'unit': 'medium', 'name': 'ripe pear', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'shallot, thinly sliced', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'walnuts, chopped', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'fennel bulb, thinly sliced ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","To prepare the dressing, add all dressing ingredients (olive oil, apple cider vinegar, dijon mustard, honey, sea salt, black pepper) to a small jar. Secure lid onto the jar and shake well until all of the ingredients are combined. Set aside.,Thinly slice pears, set aside. Add mixed greens to a large serving dish. Add pears, shallots, feta cheese, walnuts and fennel on top.,Generously pour dressing over the top of the salad. Gently toss salad ingredients with the dressing until everything is evenly coated. Serve immediately. ",11,,5,350,15,6,53489,4,5,202,12,Rocket Pear Salad
189,29,31,18,"Breakfast, Dessert, Snack",bowl,"These , are moist, tender and bursting with lemon flavor. Made with fresh blueberries, no refined sugars and Greek yogurt, these delicious muffins are the perfect healthy snack or quick breakfast. Ready in less than 25 minutes, this easy recipe is calling your name.",6,1,Healthy Blueberry Lemon Muffins with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2024/02/lemonblueberrymuffins-300x300.jpg,13,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'whole-wheat flour', 'notes': '60g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon zest', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'fresh lemon juice ', 'notes': '44g'}, {'amount': '2/3', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'honey', 'notes': '160g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '60g'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'fresh blueberries', 'notes': '190g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners. ,Add the flours, baking powder, baking soda, and salt to a medium-sized bowl and whisk to aerate and combine. In a separate large bowl, whisk together the lemon zest and juice, Greek yogurt, eggs, honey, vanilla, and olive oil until smooth. ,Add the blueberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blueberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined. Fold in the blueberries. Divide the batter evenly between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter. ,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a tooth pick inserted into the middle comes out clean.,Cool in the pan for 10 minutes before moving the muffins to a cooling rack.",4,190g,1,113,10,5,44656,1,12,149,13,Healthy Blueberry Lemon Muffins
190,31,31,20,"Breakfast, Dessert, Snack",American,"These healthy , are fluffy, moist and perfectly sweet. Low calorie and filled with wholesome ingredients, these are the perfect breakfast or snack to keep you energized and full thoughout the day. ",5,2,Healthy Blackberry Oatmeal Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/07/blackberryoatmealmuffins-300x300.jpg,12,"[{'amount': '1 1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '150g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '30g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'rolled oats', 'notes': '75g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': None, 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2 cup + 2 Tbsp. ', 'unit': None, 'name': 'honey', 'notes': '202g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil, melted', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': '**fresh blackberries', 'notes': '192g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners.,Add the flours, rolled oats, baking powder, baking soda, salt, and ground cinnamon to a medium-sized bowl and whisk to combine. In a separate larger bowl, whisk together the Greek yogurt, eggs, honey, and coconut oil until smooth.,**Add the blackberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blackberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined.,Fold in the blackberries. ,Divide the muffin batter between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter.,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a toothpick inserted into the middle comes out clean.,Cool the muffins in the pan for 10 minutes before moving to a cooling rack.",,192g,,142,15,5,49700,,12,131,15,Healthy Blackberry Oatmeal Muffins
89,16,1,1,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2,3,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198,10,4,31207,,8,35,12,Broccoli Crunch Salad
44,1,,35,"Breakfast, Snack",American,"These homemade, are a meal prep must-have! Made with egg whites, cottage cheese, veggies and turkey sausage, these creamy bites are high protein, low-carb and totally delicious. This recipe makes 24 little egg bites to make breakfast a breeze all week. ",2,,Cheesy Oven Baked Egg White Bites with Turkey Sausage,https://ohsnapmacros.com/wp-content/uploads/2024/02/eggwhitebites-20-300x300.jpg,6,"[{'amount': '1', 'unit': 'lb.', 'name': None, 'notes': 'Jeannie-O'}, {'amount': '1', 'unit': 'large', 'name': 'bell pepper', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'spinach', 'notes': 'chopped'}, {'amount': '16', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'shredded gruyere cheese', 'notes': 'or any preferred cheese'}]","Preheat oven to 350 degrees F. Prep muffin pans by placing each silicone pan on a baking sheet or spray muffin trays well with non-stick spray.,In a skillet over medium heat, cook the turkey, breaking into bite sized pieces until browned. Add the bell peppers and sauté until softened. Add the spinach and stir to wilt. Drain any excess liquid. ,Place each silicone muffin pan on a baking sheet or spray muffin trays well with non-stick spray. Evenly distribute the turkey mixture between the 24 muffin cups. ,In a blender combine the egg whites and cottage cheese. Blend until the cottage cheese is smooth. ,Evenly distribute the egg white mixture between to each cup followed by the shredded cheese over the 24 cups. Using a spoon slightly stir each cup to spread the cheese throughout vs. just on top. ,Bake in a preheated oven at 350 degrees Fahrenheit for 30-35 minutes until the eggs are cooked through and no longer runny. ,If baking one tray at a time or halving the recipe bake for 15-20 minutes or until the eggs are fully cooked through and no longer runny. ",,or any preferred cheese,,27,10,6,42183,1,24,139,,Egg White Bites
