calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title,4th_july,christmas,cinco_de_mayo,combined_tagged_recipes_by_holiday,easter,fathers_day,labor_day,memorial_day,mothers_day,tagged_recipes_by_holiday,thanksgiving,valentienes_day
89.0,16.0,1.0,1.0,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2.0,3.0,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198.0,10.0,4.0,31207.0,,8.0,35.0,12.0,Broccoli Crunch Salad,1,0,0,0,0,0,0,0,0,0,0,0
403.0,31.0,100.0,10.0,Main Course,American,"These , are the easiest way to make the best burgers, ever! Made with homemade bbq sauce, crispy bacon and fresh toppings, these burgers are perfect for busy weeknights when you want something quick and easy but completely delicious.",15.0,1.0,Frozen BBQ Bacon Burgers in the Air Fryer,https://ohsnapmacros.com/wp-content/uploads/2024/03/bbqbaconburgers-300x300.jpg,25,"[{'amount': '2', 'unit': None, 'name': 'burger patties', 'notes': 'Signature Farms 100% Beef 91/9 are my favorite'}, {'amount': '2', 'unit': 'slices', 'name': None, 'notes': 'Hemplers Zero Sugar'}, {'amount': '2', 'unit': 'tsp.', 'name': 'burger seasoning', 'notes': 'I like Kinders Seasonings'}, {'amount': '2', 'unit': 'slices', 'name': 'thin cut cheddar cheese', 'notes': 'optional'}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomato', 'notes': None}, {'amount': None, 'unit': None, 'name': 'onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pickles', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sprouts', 'notes': None}, {'amount': None, 'unit': None, 'name': None, 'notes': 'Signature Select '}, {'amount': '8', 'unit': 'oz.', 'name': 'tomato sauce ', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic vinegar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'hickory liquid smoke', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'arrowroot powder', 'notes': 'or constrarch '}, {'amount': '1-2 ', 'unit': 'Tbsp. ', 'name': 'water', 'notes': 'mixed with arrowroot or cornstarch '}]","Add the tomato sauce, water, honey, apple cider vinegar, coconut aminos, liquid smoke, paprika, garlic powder, onion powder, chili powder, salt and pepper to a sauce pan and bring to a boil. ,Lower the heat and simmer for 10-15 minutes. Combine the arrowroot or cornstarch and water in a small bowl and mix to combine. Gradually add a little at a time while whisking and allowing the sauce to simmer for a few minutes between each addition. If you want a thinner sauce, use 1/2-3/4 of the mixture. I find using all of it is a great consistency. Be sure to whisk well while adding the arrowroot or cornstarch to avoid clumping. ,Remove from the heat and let the barbeque sauce cool completely while you cook your burgers and bacon.,Season the burgers with your preferred burger seasoning on both sides, ½ tsp per side. I like using Kinders Steak Blend.,Add the burgers and slices of bacon the air fryer basket. Cook at 380 for 8 minutes, flipping both the burgers and bacon halfway through. This will give you a medium to medium-well burger. Cook 3 mins each side for medium-rare and and 5 mins each side for well-done (160 degrees Fahrenheit internal temperature using a meat thermometer). ,If adding cheese, top the burgers with cheese and cook for an additional 1 minute until melted. ,Assemble your burgers with a bun of choice, I like using Brioche buns. Top your bottom bun with lettuce, then burger patty, then bacon, tomato, pickles, onion, and 2 Tbsp. of homemade barbecue sauce. ",5.0,mixed with arrowroot or cornstarch ,,94.0,15.0,32.0,44938.0,6.0,2.0,683.0,11.0,BBQ Bacon Burgers,1,0,0,0,0,0,0,0,0,0,0,0
50.0,11.0,,1.0,Drinks,drinks,"Using freshly squeezed orange juice and instant espresso this , is one you'll keep coming back to. Whether it's a summer refresher, afternoon pick me up or an after-dinner mocktail, it's delicious any time of the day and leaves you with zero buzz. ",,,Fizzy Orange Coffee Mocktail (Non-Alcoholic),https://ohsnapmacros.com/wp-content/uploads/2023/12/coffeemocktail-300x300.jpg,8,"[{'amount': '2', 'unit': 'tsp. ', 'name': 'instant espresso powder', 'notes': 'or instant coffee'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cold water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'freshly squeezed orange juice ', 'notes': 'or storebought juice'}, {'amount': '1', 'unit': 'tsp.', 'name': 'maple syrup', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'plain selzter ', 'notes': 'or sparking water'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Orange Slice', 'notes': 'garnish'}]","Add the instant espresso powder, cold water, orange juice, maple syrup, and vanilla extract to a small jar. Cover with a tight fitting lid then shake vigorously for 30-60 seconds or until the espresso powder has fully dissolved.,Fill a tall tumbler or Collins glass half full with ice, then pour the shaken espresso mixture over it. Make sure to get the foam as well. ,Top with the seltzer or sparkling water and garnish with an orange slice if desired.",,garnish,,17.0,5.0,,42667.0,,1.0,1.0,9.0,Coffee Mocktail,1,0,0,0,0,0,0,0,0,0,0,0
265.0,5.0,78.0,,"Appetizer, Snack",American,"This , will be your new favorite appetizer. With a creamy blend of cottage cheese, cream cheese, shredded cheese and jalapeño peppers, this flavorful dip is a high protein crowd pleaser, every single time.",18.0,,Crockpot Chicken Jalapeno Popper Cottage Cheese Dip,https://ohsnapmacros.com/wp-content/uploads/2024/05/jalapenopopperdip-2-300x300.jpg,15,"[{'amount': '8', 'unit': 'slices', 'name': None, 'notes': 'cooked and chopped (4 inside, 4 on top)'}, {'amount': '16', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'cubed'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat cottage cheese', 'notes': None}, {'amount': '4', 'unit': None, 'name': 'jalapeños (2 seedless, 2 with seeds)', 'notes': 'chopped, see heat note'}, {'amount': '1', 'unit': 'cup', 'name': 'Mexican blend shredded cheese', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'mozzarella cheese low moisture', 'notes': 'shredded'}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '1', 'unit': 'lb. ', 'name': 'boneless skinless chicken breast, raw', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sliced jalapeños', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","In a large skillet cook the bacon, remove from the heat and chop into bite size pieces. ,Add the cream cheese, cottage cheese (no need to blend), jalapeños, half the chopped bacon, shredded cheeses, garlic powder, salt and pepper to the crockpot. Place the lid on and cook on high for 1 hour. Stir a couple times throughout the hour to get everything moving and melting and ensure the edges do not burn. ,While the base cooks in the crockpot, prepare the shredded chicken (this can be done the day before). Add the chicken to a large pot, cover with water and bring to a boil. Cook for 15-20 minutes or until the chicken is fully cooked through, no longer pink and has an internal temperate of 165 degrees Fahrenheit. ,Remove the chicken and shred with two forks or in a large mixing bowl with a hand mixer. ,Once the base has cooked for one hour, add the shredded chicken and 1 cup chicken broth to the crockpot. Stir everything together and let cook on high for an additional hour. ,Once done, stir together, adjust with salt and pepper and serve. Top with the remaining chopped bacon, sliced jalapenos, red onions, green onions or whatever you desire. ",1.0,,,191.0,15.0,22.0,47460.0,10.0,14.0,669.0,4.0,Crockpot Chicken Jalapeno Popper Dip,1,0,0,0,0,0,0,0,0,0,0,0
65.0,18.0,,1.0,Drinks,drinks,"This , is perfect for hot summer days or your next spring get together. With a fizzy taste and tart flavor, this virgin sangria recipe is a blend of grape juice, soda water and fresh fruit and is guaranteed to please the crowd. ",,,White Sparkling Sangria Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/sangriamocktail-300x300.jpg,7,"[{'amount': '3', 'unit': 'cups', 'name': 'white grape juice', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'sliced strawberries', 'notes': 'plus extra for garnish'}, {'amount': '2', 'unit': 'small', 'name': 'lemons', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'orange', 'notes': 'sliced'}, {'amount': '4', 'unit': 'cups', 'name': 'plain sparkling water', 'notes': 'or seltzer'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}]","Add the white grape juice, lemon juice, sliced strawberries, sliced lemons, and sliced orange to a large pitcher. Stir to combine. Cover and refrigerate overnight or for at least 6-8 hours.,When you’re ready to serve, add the sparkling water to the pitcher. Stir gently, making sure not to break up the fruit. ,Fill wine glasses or rocks glasses three quarters full of ice, then pour the sangria over the ice. ,If desired, you can use extra fruit to garnish each drink. ",,,,85.0,5.0,1.0,42690.0,,8.0,6.0,15.0,White Sangria Mocktail,1,0,0,0,0,0,0,0,0,0,0,0
206.0,42.0,2.0,,Side Dish,American,"This , is just what you need for your next summer barbecue. Tender potatoes, crunchy veggies with a flavorful and creamy sauce, this easy to make recipe can be a light lunch or tasty addition to your party table. ",2.0,2.0,Greek Yogurt Potato Salad,https://ohsnapmacros.com/wp-content/uploads/2023/06/healthypotatosalad-1-300x300.jpg,13,"[{'amount': '3', 'unit': 'lbs.', 'name': 'petite gold potatoes', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'non-fat plain 0% Greek yogurt', 'notes': '226g'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'celery seed', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chives', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'spear', 'name': 'dill pickles ', 'notes': 'chopped 35g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'dill pickle juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red onion ', 'notes': 'chopped'}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","First, chop the potatoes into quarters or smaller if using larger potatoes. You want to have bite size pieces. Place the chopped potatoes in a pot and fill with water to cover. Season the water generously with salt and bring to a boil. Boil the potatoes for 6-8 minutes until they’re fork tender but not mashed potato soft.,Once the potatoes are done strain them in a strainer and let them sit until completely cooled.,In a bowl, combine the remaining ingredients to make the sauce. Mix together well to combine and adjust the flavor with salt and pepper as needed.,Add the cooled potatoes to a large mixing bowl and cover with the sauce. Mix to combine. Be gentle when mixing to not smash the potatoes. Cover with a lid or plastic wrap and place in the fridge for at least one hour prior to serving.,Remove from the fridge and serve.",,to taste,,1037.0,10.0,8.0,30879.0,,8.0,133.0,2.0,Greek Yogurt Potato Salad,1,0,0,0,0,0,0,0,0,0,0,0
21.0,1.0,2.0,5.0,"Appetizer, Snack",American,"This , is an easy and flavorful dip to make in less then 5 minutes. The tangy flavor of cottage cheese blended with fresh herbs and spices make a healthy ranch dip with so many delicious ways to enjoy. Serve with fresh vegetables, pita chips or make into a creamy dressing. ",,,Easy Cottage Cheese Ranch Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheeseranch-300x300.jpg,8,"[{'amount': '1.5 ', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': 'strain water if needed*'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chicken bone broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried parsley ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]",Put everything in a blender and blend until smooth. You will want to be sure to blend at LEAST 5 minutes to ensure the cottage cheese breaks down completely and leaves no chalkiness. ,,,,23.0,2.0,3.0,48583.0,,14.0,154.0,,Cottage Cheese Ranch Dip,1,0,0,0,0,0,0,0,0,0,0,0
52.0,13.0,,5.0,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1.0,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188.0,5.0,1.0,42710.0,,1.0,64.0,10.0,Blueberry Mint Mocktail,1,0,0,0,0,0,0,0,0,0,0,0
240.0,10.0,120.0,5.0,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13.0,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4.0,for serving,2.0,23.0,5.0,24.0,42254.0,3.0,6.0,594.0,9.0,Honey Garlic Lemon Pepper Chicken Thighs,1,0,0,0,0,0,0,0,0,0,0,0
160.0,25.0,8.0,,Dessert,American,"These , bars taste like strawberry crunch bars from the ice cream truck but higher in protein. A graham cracker crust topped with cottage cheese ice cream and a crunchy cookie topping, this high protein dessert has everything you love about traditional ice cream but made in your own kitchen.",5.0,1.0,Strawberry Crunch Cottage Cheese Ice Cream Bars,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheeseicecreambars-300x300.jpg,7,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese (Good Culture)', 'notes': '16 oz.'}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': 'strawberries ', 'notes': 'halved'}, {'amount': '4', 'unit': 'sheets', 'name': 'graham crackers', 'notes': 'crumbled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted'}, {'amount': '4', 'unit': None, 'name': 'Golden Oreo Thins', 'notes': 'crumbled'}, {'amount': '1/4', 'unit': 'cup', 'name': 'freeze-dried strawberries', 'notes': '8g crumbled'}]","In a high-speed blender, add the cottage cheese, honey and strawberries. Blend for at least 5 minutes until completely smooth.,Add the graham crackers to a ziplock and crush with a rolling pin and transfer to a small bowl. Add the melted coconut oil and mix to combine until it resembles wet sand. ,Line a loaf pan with parchment paper so the long side hangs over, this will help pull the bars out once frozen. Add the graham cracker mixture to the bottom and press it down well.,Pour the cottage cheese ice cream mixture over the graham crackers. ,To another ziplock, add the Golden Oreo Thins and freeze dried strawberries and crush with rolling pin. Sprinkle on top of the ice cream to evenly coat the top.,Top with foil and freeze for 4-5 hours. Remove and pull the ice cream bars out using the parchment paper. Cut down the center lengthwise and into 8 equal squares (you can eat them at this point though they'll be slightly soft in the center still). Return to the pan, top with foil and freeze for another 3-4 hours.   ,When ready to enjoy you MUST let these defrost for 15-20 minutes before eating to ensure they're soft and creamy and no longer icy. Let the pan sit at room temp until you can easily pull the bars out using the parchment paper. The longer you freeze the ice cream bars, the longer it will take to defrost. ,: it’s easier to cut halfway through freezing ~ after 4-5 hours in the freezer before it’s super hard, otherwise you'll have to let the entire pan defrost before cutting vs. pre cutting and pulling out however many you want to enjoy to defrost! Return to the freezer to easily enjoy the bars, when desired. ",,8g crumbled,,105.0,10.0,8.0,49486.0,3.0,8.0,228.0,18.0,Strawberry Crunch Cottage Cheese Ice Cream Bars,1,0,0,0,0,0,0,0,0,0,0,0
