calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
62,6,6,0,"Appetizer, Snack",American,"This , is made with simple ingredients like Greek yogurt, cottage cheese, spinach and flavorful spices. This healthier option to a classic dip is low in fat, high in protein and perfect for game days, parties or when you want a healthy snack. Serve this great dip with pita chips, fresh veggies or fresh bread.",1,1,Low Fat Cottage Cheese Spinach Dip,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesespinachdip-10-300x300.jpg,8,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '112g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen chopped spinach', 'notes': 'cooked, cooled and squeezed dry'}, {'amount': '1', 'unit': 'package', 'name': 'Knorr Vegetable Recipe Mix', 'notes': None}, {'amount': '8', 'unit': 'oz', 'name': 'water chestnuts', 'notes': 'drained and chopped'}, {'amount': '3', 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'garlic powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}]","In a high-speed blender add the cottage cheese and Greek yogurt. Blend until smooth and no chalkiness from the cottage cheese remains approx 5 minutes. ,Remove the blade and add the remaining ingredients directly to the blender, this helps to ensure you get all the cottage cheese mixture out easier. Combine with a rubber spatula and transfer to a large bowl. ,Cover and refrigerate for 2 hours before serving. Adjust with salt and pepper or additional garlic powder to taste. ,Optional! You can add 1-2 tsp of honey to cut the taste of the Greek yogurt some if it’s too tart for you. ",,to taste,,115,5,7,48729,0.5,11,390,3,Cottage Cheese Spinach Dip
56,16,,2,Drinks,American,"This , is the perfect drink for holiday celebrations. Made with unsweetened cranberry juice, soda water and homemade rosemary simple syrup, this 60 calorie non-alcoholic drink can be shared with everyone. Hangover not included.",,,Cranberry Lime Mocktail with Easy Rosemary Simple Syrup,https://ohsnapmacros.com/wp-content/uploads/2024/09/cranberrylimemocktail-1-1-300x300.jpg,11,"[{'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'white sugar ', 'notes': None}, {'amount': '1', 'unit': 'sprig ', 'name': 'fresh rosemary ', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'rosemary syrup', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeeze lime juice', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'pure unsweetened cranberry juice', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'lime or lemon flavored sparkling water or seltzer', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ice, as needed', 'notes': None}, {'amount': None, 'unit': None, 'name': 'rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime slices ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cranberries ', 'notes': None}]","Make a rosemary simple syrup by adding the water, granulated sugar, and rosemary to a small pot or saucepan. Set it over medium heat. Stir frequently to encourage the sugar to dissolve. Once the syrup just begins to simmer, remove it from the heat. Set it aside for 30 minutes to cool and allow the rosemary to further infuse its flavor. After 30 minutes, strain out the rosemary and bottle the syrup. Keep leftovers in the refrigerator for up to 2 weeks. ,Add 1 ½ teaspoons of the rosemary simple syrup to a rocks glass or short tumbler along with the lime juice and the cranberry juice. Stir to combine.,Fill the glass ½ to ¾ full of ice.,Top the drink with ¼ to ½ cup lime flavored sparkling water. ,If you prefer, you can garnish the mocktail with a rosemary sprig, a lime slice, and fresh cranberries before enjoying. ",,,,83,30,,52472,,1,2,14,Cranberry Lime Mocktail
299,21,9,,"Salad, Side Dish",American,"This , makes the perfect side dish to your dinner party or holiday meal. It's an elegant salad with the perfect combination of flavors and textures from peppery arugula, crisp pears, crunchy walnuts and creamy feta cheese. It comes together quickly and is a perfect dish for special occasions. ",22,5,Rocket Fennel and Pear Salad,https://ohsnapmacros.com/wp-content/uploads/2024/10/rocketpearsalad-300x300.jpg,12,"[{'amount': '6', 'unit': 'cups', 'name': 'spring mix with arugula (rocket salad)', 'notes': None}, {'amount': '1', 'unit': 'medium', 'name': 'ripe pear', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'shallot, thinly sliced', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'walnuts, chopped', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'fennel bulb, thinly sliced ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","To prepare the dressing, add all dressing ingredients (olive oil, apple cider vinegar, dijon mustard, honey, sea salt, black pepper) to a small jar. Secure lid onto the jar and shake well until all of the ingredients are combined. Set aside.,Thinly slice pears, set aside. Add mixed greens to a large serving dish. Add pears, shallots, feta cheese, walnuts and fennel on top.,Generously pour dressing over the top of the salad. Gently toss salad ingredients with the dressing until everything is evenly coated. Serve immediately. ",11,,5,350,15,6,53489,4,5,202,12,Rocket Pear Salad
327,26,5,35,Side Dish,American,"A nutrient powerhouse, this , is one to add to your holiday or meal prep menu. It's loaded with crispy quinoa, fresh roasted kale, feta cheese and peptias and topped with a creamy lemon dressing that wraps this delicious salad with a bow.  ",24,6,Crispy Quinoa Kale and Apple Salad with Chili Oil,https://ohsnapmacros.com/wp-content/uploads/2024/10/crispyquinoakalesalad-20-300x300.jpg,19,"[{'amount': '1', 'unit': 'cup', 'name': 'cooked and cooled quinoa', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili oil ', 'notes': '*'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '8 ', 'unit': 'cups', 'name': 'roughly chopped kale', 'notes': 'ribs removed'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado ', 'notes': 'peeled and sliced thin'}, {'amount': '1', 'unit': 'small', 'name': 'shallot', 'notes': 'thily sliced '}, {'amount': '1', 'unit': 'small', 'name': 'apple', 'notes': 'thinly sliced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pepitas', 'notes': 'pumpkin seeds'}, {'amount': '3', 'unit': 'Tbsp. ', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic glaze', 'notes': '**'}, {'amount': '1', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'black pepper ', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit. Line two rimmed baking sheets with parchment paper.,Spread the quinoa on the first baking sheet and toss with 2 tablespoons chili oil, 1/2 teaspoon salt, and 1/8 teaspoon ground cinnamon. Roast in the preheated oven for 15 minutes. Stir and shake the pan, then return to the oven for another 5 to 10 minutes, until golden brown. Set aside to cool.,Toss the kale leaves with 1 tbsp. olive oil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Transfer to the second baking sheet and arrange in a single layer. Add to the oven when the quinoa is nearly done and roast for 8 to 10 minutes, stirring once, until softened and crisped.***,Prepare the salad dressing by whisking all the ingredients together until emulsified.,Assemble the salad by transferring the kale to a large serving bowl and topping it with avocado, shallot, apple, cranberries, pepitas, and feta. Drizzle the dressing over the salad and top with the crispy quinoa. Mix and serve immediately.",,,,460,10,6,53739,4,5,110,11,Crispy Quinoa Kale Salad
189,16,33,40,"Appetizer, Side Dish",American,"This , is sweet, creamy, cheesy, and perfectly crunchy. This easy recipe is made with a corn and cream cheese base with crunchy crackers on top. The perfect side dish for sharing, this delicious dish is also a great holiday season appetizer dip! ",12,2,Creamy Low-Carb Corn Casserole with Green Chiles,https://ohsnapmacros.com/wp-content/uploads/2023/10/corncasserole-16-300x300.jpg,10,"[{'amount': '2', 'unit': 'cans', 'name': 'whole kernel corn', 'notes': 'drained, 15.25 oz each'}, {'amount': '1', 'unit': 'can', 'name': 'chopped green chilies', 'notes': 'undrained, 4.5 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat 2% milk', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': '1/3 less fat cream cheese', 'notes': 'softened, 8 oz.'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': 'melted'}, {'amount': '1/2', 'unit': 'cup', 'name': 'reduced fat sharp cheddar cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Monterey Jack cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2 ', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'whole grain Triscuit crackers', 'notes': 'crushed, 56g'}]","Preheat your oven to 350 degrees Fahrenheit. Prepare an 9×13 casserole dish with cooking spray. Melt butter in a microwave-safe dish. ,In a large bowl, combine the corn, green chilies, milk, cream cheese, melted butter, half of the cheddar cheese, half of the Monterey Jack cheese, salt, and pepper. Stir this cream cheese mixture until everything is well mixed.,Pour the corn mixture into a prepared 9 x 13 inch casserole dish. Sprinkle the remaining cheddar and Monterey Jack cheeses on top, then sprinkle the crushed crackers on top of the casserole. Top with a dash of extra salt and pepper.,Bake in the preheated oven for 35-40 minutes, until the casserole is hot, bubbly, and golden brown. Let the casserole cool for a few minutes before serving.,Garnish with fresh cilantro, parsley, or chopped greens onions as desired. ",1,"crushed, 56g",,170,5,6,32178,7,10,448,6,Corn Casserole with Green Chiles
393,54,88,20,Dessert,American,"This , is the perfect holiday dessert. Spiced with nutmeg, cinnamon and vanilla, the creamy sweet potato filling is decadent, rich and easy to make. No one will even notice the store-bought pie dough to help save on time and ensure a perfect flaky crust. Serve this pie with whipped cream and cinnamon for a beautiful holiday pie. ",19,3,Simple Sweet Potato Pie (store-bought crust),https://ohsnapmacros.com/wp-content/uploads/2024/10/sweetpotatopie-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'sweet potatoes', 'notes': 'approx 3 medium sweet potatoes'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': 'packed'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': None}, {'amount': '2', 'unit': 'eggs', 'name': 'room temperature ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'whole milk', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'nutmeg', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'refrigerated pie crust', 'notes': None}]","Preheat oven to 400 degrees Fahrenheit.  Poke several holes in the potatoes with a fork.  Place potatoes on a baking sheet, bake until fork tender, about one hour.  Remove from oven and allow to cool for 5-10 minutes.,While the potatoes cool blind bake the pie crust. Roll the pie crust into a 9-inch pie plate and line with parchment paper or foil, fill it with pie weights or even raw beans.  Bake for 15-20 minutes, remove from the oven, carefully remove the pie weights, and set aside to cool.,Reduce oven temperature to 350 degrees Fahreneight.,Remove the skin from the cooked sweet potatoes, with a knife remove any scorched flesh or dark areas.,Add potatoes to the bowl of a food processor, and blend until the potatoes are pureed.  Or mash with a potato masher or ricer, until no large lumps remain. You should have 2 ¼ to 2 ½ cups of potato puree.,In a large bowl add the puree and softened butter.  Stir until the butter is melted and thoroughly incorporated.,Add brown sugar, white sugar, salt, cinnamon, and nutmeg and stir to combine.,Add the eggs, milk, and vanilla extract, stirring with a whisk until fully incorporated.,Pour the mixture into the par baked pie crust.  Bake for 1 hour, or until pie is puffed up and the center wiggles slightly.  Tent crust with foil the final 15 minutes of baking if it is getting too browned.,Remove the pie from the oven and cool for an hour, refrigerate until ready to serve.",6,,1,37,25,4,52627,10,8,413,33,Sweet Potato Pie
228,34,4,,Main Course,American,"This higher protein , is silky, light and full of fall flavors. Made with roasted vegetables, herbs and spices this , soup packs a punch of cream with cottage cheese for protein and richness. It's a wonderful easy recipe that's both simple and satisfying. ",4.4,3,Roasted Garlic Butternut Squash and Red Pepper Soup (13g protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/butternutsquashsoup-300x300.jpg,14,"[{'amount': '2', 'unit': None, 'name': 'red bell peppers ', 'notes': ""chopped, 2' pieces""}, {'amount': '20', 'unit': 'oz.', 'name': 'frozen cubed butternut squash', 'notes': 'or fresh'}, {'amount': '6', 'unit': 'small', 'name': ' garlic cloves ', 'notes': 'peeled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'chicken bone broth', 'notes': '32 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': '*see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Preheat the oven to 400 degrees fahrenheit. Add the bell peppers, butternut squash and garlic to a large sheet pan. Drizzle the olive oil, salt and pepper over the top and mix to combine and coat. Roast in the oven for 40-45 minutes or until the bell peppers are nice and chared and soft. ,Remove the peppers and squash from the oven and scoop into a large high speed blender. Add 1 cup bone broth and the cottage cheese and blend for approximately 5 minutes or until everything is smooth and well blended.,Over medium heat, add the blended peppers and squash to a large dutch oven or soup pot. Pour 2 cups of the broth into the blender and swish around, this is how you’ll get all the blended mixture out, and pour into the dutch oven. ,Add the remaining broth, salt, onion powder, garlic powder, ginger, coconut aminos and lots of fresh cracked pepper. Bring to a simmer and simmer until it’s warmed through while whisking to ensure the mixture incorporates into the broth. ,Serve topped with blended cottage cheese for extra creaminess, or cream, croutons, fresh basil or chopped green onions and a dash of red pepper flakes for some heat is desired.",2.5,,0.5,461,10,13,52533,0.9,4,1479,10,Butternut Squash and Red Pepper Soup
165,22,54,35,Dessert,American,"These chocolate , are the perfect treat. Layers of fudgy chocolate brownies and pumpkin cake are swirled together, with each bite filled with the rich flavors of chocolate and pumpkin. ",8,2,Chocolate Pumpkin Swirl Fudge Brownies,https://ohsnapmacros.com/wp-content/uploads/2024/08/pumpkinbrownies-300x300.jpg,15,"[{'amount': '1', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '192g'}, {'amount': '2', 'unit': None, 'name': 'eggs, room temperature ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder', 'notes': '80g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'sugar', 'notes': '48g'}, {'amount': '1', 'unit': None, 'name': 'egg, room temperature ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'pumpkin puree', 'notes': '108g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'creamy peanut butter (or almond butter)', 'notes': '33g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '60g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'pumpkin pie spice', 'notes': None}]","Preheat the oven at 350 degrees. Lightly grease an 8×8-inch pan and line it with parchment paper, leaving an overhand. This will make it easier to remove and slice the brownies later on.,Start by making the chocolate brownie batter. Add the sugar, eggs, and vanilla extract to a medium sized bowl and whisk to combine. ,Slowly add in the melted butter, whisking as you go so that any residual warmth from the butter doesn’t scramble the egg.,Once you’ve incorporated the butter, add the cocoa powder, salt, and baking soda to the bowl. Whisk until you have a smooth batter and there are no longer any pockets of dry ingredients remaining. Set the bowl aside and give your whisk a quick rinse. ,Make the pumpkin batter next. Add the sugar, egg, pumpkin puree, and peanut butter to a bowl and whisk until smooth. Add the flour, salt, baking soda, and pumpkin pie spice and whisk until just combined. ,Spread about two-thirds of the chocolate brownie batter on the bottom of the prepared pan in an even layer. ,Then, gently spread half of the pumpkin layer on top., Lastly, alternate placing dollops of the remaining pumpkin and brownie batters across the top of the surface. Gently swirl the dollops together with a butter knife or spoon, then tap the pan on the counter firmly a few times to help settle the batter. ,Bake the brownies in the preheated oven for 30-35 minutes or until a tester comes out with a few moist crumbs. Cool the brownies in the pan completely before slicing into 16 squares.",3,,1,111,15,3,50749,4,16,88,16,Pumpkin Brownies
125,5,27,30,"Appetizer, Side Dish",American,"This high-protein, low fat hot , is the perfect party appetizer! A creamy lightened-up version of the classic filled with decadent cheeses, fresh crab meat, artichoke hearts and zero guilt.",5,,High Protein Low-Calorie Crab Spinach and Artichoke Dip,https://ohsnapmacros.com/wp-content/uploads/2023/11/crabartichokespinachdip-300x300.jpg,16,"[{'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1', 'unit': 'cup', 'name': 'non-fat Greek yogurt', 'notes': '226g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'light mayoniase', 'notes': '60g'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp', 'name': 'black pepper or fresh cracked pepper', 'notes': 'to taste'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'crushed red pepper flakes', 'notes': 'optional'}, {'amount': '8', 'unit': 'oz.', 'name': None, 'notes': 'fresh or canned'}, {'amount': '8', 'unit': 'oz.', 'name': 'frozen spinach', 'notes': 'thawed and squeezed dry'}, {'amount': '7.6', 'unit': 'oz.', 'name': 'jarred artichoke hearts', 'notes': 'drained and chopped'}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded or grated, 56g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'Monterey Jack cheese', 'notes': 'shredded, 28g'}, {'amount': '2', 'unit': None, 'name': 'green onions', 'notes': 'thinly sliced, for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh parsley ', 'notes': 'chopped, for garnish'}, {'amount': None, 'unit': None, 'name': 'dash of hot sauce', 'notes': None}]","Preheat your oven to 375 degrees Fahrenheight. Begin by preparing all your ingredients. Drain and rinse the crab meat ensuring there are no shells. Thaw the frozen spinach and use paper towels or a clean kitchen towel to squeeze out all the excess moisture. Chop the artichoke hearts and set aside.,In a blender, food processor or a immersion blender, puree the cottage cheese until smooth. This will create a creamy base for the dip.,In a large mixing bowl, combine the smoothed cottage cheese, Greek yogurt, light maypnnaise, minced garlic, lemon juice, salt, black pepper, and red pepper flakes if using. Stir until well combined.,Fold in the crab meat, squeezed spinach, chopped artichokes, and half of the Parmesan cheese. Mix until all ingredients are evenly distributed.,Pour the mixture into a 8×8-inch baking dish, spreading it out evenly. Sprinkle the top with the remaining Parmesan cheese and the shredded monterey jack.,Place the baking dish in the preheated oven and bake for 25-30 minutes, or until the top is golden brown and the edges are nice and bubbly. You can broil the top for 1-2 minutes at the end to really brown the top if preferred. ,Remove from the oven and allow to cool slightly before garnishing with sliced green onions and chopped fresh parsley. ",1,,1,44,15,13,36985,2,10,428,2,Crab Spinach Artichoke Dip
233,33,46,,Side Dish,American,"This gluten-free , is a holiday season must! Fresh sweet potatoes, warming spices, and a honey walnut topping make this a perfect side dish for any table. This easy, lightened up casserole is a sweet and savory twist on a holiday favorite.",9,5,Gluten-Free Sweet Potato Casserole with Honey Walnut Topping,https://ohsnapmacros.com/wp-content/uploads/2023/10/gfsweetpotatocasserole-20-300x300.jpg,13,"[{'amount': '3.5', 'unit': 'lbs.', 'name': 'sweet potatoes (4-5 potatoes)', 'notes': 'peeled and cut into chunks'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'butter or coconut oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'almond milk', 'notes': 'almond, coconut or regular based on preference'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '113g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'chopped walnuts', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '42g'}, {'amount': '1/2 ', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}]","Preheat your oven to 375 degrees Fahrenheit and grease a 9×13-inch casserole dish.  ,In a large pot, cover the sweet potato chunks with water. Bring to a boil, then reduce the heat and simmer until the sweet potatoes are tender when poked with a fork (about 20-25 minutes). Drain and let them cool for a few minutes.,In a large bowl, mash the sweet potatoes with a potato masher or hand-held mixer ensuring a smooth texture. For best results on a super creamy texture, use a hand mixer.,Add butter, milk, eggs, honey, vanilla extract, salt, cinnamon, and nutmeg to the mashed sweet potatoes. Mix until well combined. Transfer the sweet potato mixture into a greased 9×13-inch baking dish.,In a separate bowl, combine the walnuts and honey and mix to evenly combine. Evenly sprinkle the walnuts over the sweet potato mixture followed by cinnamon and salt. I like to pour the cinnamon in my palm and evenly spread it over the top. You will need to work the nuts around the top as they will be sticky. ,Bake in the preheated oven for 25-30 minutes, or until the topping is golden and the casserole is hot. Remove from the oven, serve and enjoy.",2,,3,447,15,5,35475,3,10,293,18,Sweet Potato Casserole
