calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
120,4,21,,Appetizer,American," has everything you love about a blue cheese stuffed dirty martini but in dip form. This creamy appetizer is great for parties, special events or when you want a dirty martini with more protein and no tini. ",8,,High Protein Blue Cheese Stuffed Dirty Martini Dip,https://ohsnapmacros.com/wp-content/uploads/2024/11/Dirtymartinidip10-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': '440g'}, {'amount': '4', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened '}, {'amount': '1/4', 'unit': 'cup', 'name': 'non-fat plain greek yogurt', 'notes': '56g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh black pepper', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'green olive juice', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'pimento-stuffed green olives, chopped', 'notes': '5.75 oz container'}, {'amount': '2', 'unit': 'oz.', 'name': 'blue cheese crumbles ', 'notes': None}]","In a medium mixing bowl combine the cottage cheese, softened cream cheese, greek yogurt, garlic powder, pepper and olive juice. Mix to combine until the cream cheese is fully combined into the mixture and no chunks remain. (See note below on blending.),Fold in the chopped green olives and blue cheese. Transfer to a sealable container and store in the fridge overnight or at least 4 hours. This allows the flavors to meld and the dip to thicken.,When ready to serve, transfer mixture to a serving bowl and top with additional green olives for garnish and blue cheese crumbles. Serve with pita chips, veggies and/or wheat thins. ",,,,52,10,10,54287,3,8,617,2,Dirty Martini Dip
186,24,23,50,"Appetizer, Side Dish",American,"These , have crispy potato skins, crunchy turkey bacon bits and shredded cheddar cheese. These are the ultimate decadent but easy side dish to make for a busy weeknight or even a fancy dinner with friends. ",7,2,Air Fryer Twice Baked Greek Yogurt Loaded Potatoes,https://ohsnapmacros.com/wp-content/uploads/2024/04/twicebakedpotatoes-300x300.jpg,6,"[{'amount': '2.5', 'unit': 'lbs.', 'name': 'russet potatoes ', 'notes': '4 potatoes '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': '0% plain Greek yogurt', 'notes': '224g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}, {'amount': '6', 'unit': 'slices', 'name': 'turkey bacon', 'notes': 'cooked and chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}]","Preheat the air fryer to 400 degrees Fahrenheight. ,Wash and dry your potatoes. Using a fork, poke holes around the skin of the potatoes. Spray them with olive oil spray and season with salt and pepper. Place in the air fryer basket and cook at 400 for 40-45 minutes or until the skin is crispy and the inside is fork tender, flipping halfway through. The cooking time will vary based on the size of your potatoes. ,While the potatoes cook, cook the turkey bacon on a skillet and chop into bite size pieces. Set aside to mix into your mashed potatoes.,Once cooked, remove the cooked potatoes from the air fryer and slice lengthwise in half. Using a spoon remove the insides of the potatoes, leaving the skin in tact and some of the potato along the skin to help keep its shape. Place the potato flesh in a large mixing bowl. Repeat with all potato halves. ,Mash the potatoes with a fork, potato masher or hand mixer until smooth. Add the greek yogurt, cheddar cheese, butter and cooked bacon to the bowl with the potatoes and combine. Season with salt and pepper to taste. Evenly add the mashed potato mixture back into the skins of the potatoes. Optional: top with additional cheddar cheese. ,Place the potato halves back in the air fryer basket, you may need to work in 2 batches depending on the size of your air fryer basket. Cook at 400 degrees Fahrenheit for 5 minutes.,Once done, remove and top with fresh chives and enjoy! ",1,,,589,10,9,40139,3,8,188,4,Air Fryer Twice Baked Potatoes
245,7,111,20,Main Course,American,"This , is a savory combo of juicy chicken and creamy mushroom sauce. Using a can of mushroom soup and a few spices, you have a sauce that's mostly homemade but super easy and ready in less than 20 minutes. Add to pasta, rice veggies, or eat as is.",7,1,Weeknight Cream of Mushroom Chicken Skillet,https://ohsnapmacros.com/wp-content/uploads/2024/09/mushroomskilletchicken-20-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts ', 'notes': 'raw'}, {'amount': '1.5', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '8', 'unit': 'oz.', 'name': 'mushrooms', 'notes': 'sliced'}, {'amount': '3', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'can', 'name': 'reduced-sodium cream of mushroom soup', 'notes': '10.5 oz can '}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'cornstarch (or arrowroot powder)', 'notes': 'optional '}, {'amount': '1/2-1', 'unit': 'Tbsp.', 'name': 'water (to mix)', 'notes': 'optional with cornstarch '}]","Slice all of the chicken breasts in half to butterfly into two pieces. Using a meat pounder, pound the chicken to create even cutlets, approximately ½ inch thick. Season with ½ the salt and chili powder on each side along with freshly cracked black pepper. ,Heat the olive oil in a large skillet over medium heat. Place the seasoned chicken in the pan and cook on each side for 4-5 minutes. Transfer to a plate and set aside. ,Add the sliced mushrooms and garlic to the pan. Cook, stirring, for a couple of minutes to brown the mushrooms. ,Add the cream of mushroom soup to the pan. Fill the can with water and add to the pan (1 cup of water). Using a whisk, whisk until the soup has combined with the water and no chunks remain and bring to a boil. ,Add the chicken back to the pan and simmer for 5 minutes or until the chicken is cooked through to an internal temperature of 165 degrees Fahrenheit. ,Optional: if you want a thicker sauce then in a small bowl, combine the cornstarch and water and mix to combine. Remove the chicken and set aside, add the slurry to the sauce and whisk to combine. Simmer for 1 minute to thicken (add more if you want it thicker). ,. ,Either return the chicken to the pan and coat in the sauce or serce the chicken over brown or white rice, cauliflower rice, a combination of both, mashed potatoes or roasted veggies with sauce poured on top. ",3,optional with cornstarch ,1,844,5,36,51338,2,6,885,2,Cream of Mushroom Chicken Skillet
152,14,29,20,Dessert,American,"The next time you're in the mood for cheesecake, these , are incredible. With a creamy strawberry filling and a graham cracker crust, this dessert is easy to make and serve, with little clean up. Ideal for gatherings, parties and quick snacking, these cheesecakes are made with lighter ingredients for zero guilt and all the taste.",10,,Mini Strawberry Cheesecakes with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2024/06/minicheesecakes-300x300.jpg,11,"[{'amount': '2.7', 'unit': 'oz.', 'name': 'graham crackers', 'notes': '5 sheets'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'coconut oil or butter', 'notes': 'melted'}, {'amount': '8', 'unit': 'oz.', 'name': '1/3 less fat cream cheese', 'notes': 'softened to room temperature '}, {'amount': '1/3', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '74g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'sugar free strawberry jam', 'notes': None}, {'amount': '4', 'unit': 'Tbsp. ', 'name': 'sugar free strawberry jam', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sliced strawberries', 'notes': None}]","Preheat the oven to 325 degrees Fahrenheit and line a muffin tin with cupcake liners and spray with nonstick spray. In a food processor, crumble the graham crackers until well crushed and you have a bowl of fine crumbs.,Pour in the melted coconut oil or butter and pulse to combine. The mixture should resemble wet sand.  ,Evenly split the graham cracker crust in the bottom of each liner in the muffin pan and press firmly into the bottom.  Bake for 6-10 minutes or until the edges begin to brown. Allow to cool while making the cheesecake filling. ,To make the cheesecake filling, in a large bowl beat the less-fat cream cheese and sugar until light and fluffy with a hand or electric mixer, about 3-5 minutes. The sugar should not be grainy at this point but well incorporated into the cream cheese.,Mix in the greek yogurt, vanilla extract, and flour until incorporated.  ,Slowly beat in the large egg, just until combined. Do not overmix your cheesecake batter.  ,Using a large cookie scoop (1.5 Tbsp.) place one scoop of the cheesecake filling in each prepared and cooled crust using the cookie scoop. Evenly distributed between all 12 muffin tins. ,Top each filling with 1 tsp. strawberry jam and swirl into the cheesecake filling with a small spoon or toothpick being carful not to move the crust. ,Bake cheesecakes for 14-16 minutes or until the edges are set and the middle slightly wobbles.  ,Allow the mini cupcakes to cool to room temperature, cover with plastic wrap, and refrigerate for 2 hours or overnight for best results. ,When ready to serve, top each with an additional 1 tsp. of jam, freshly sliced strawberries and serve. ",1,,,31,15,3,43295,7,12,120,9,Mini Strawberry Cheesecakes
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
133,16,22,15,Dessert,American,"These , are soft and chewy with chunks of dark chocolate perfectly paired with a deep coffee flavor. Perfect for coffee lovers with a sweet tooth, these easy to make cookies are ready in about 25 minutes in one bowl with simple ingredients. ",7,1,Dark Chocolate Coffee Cookies,https://ohsnapmacros.com/wp-content/uploads/2024/11/coffeecookies26-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '96g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': '96g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': 'room temperature'}, {'amount': '3/4', 'unit': 'Tbsp.', 'name': 'espresso powder', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '210g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': '(3.5 oz.)', 'name': 'dark chocolate bar, roughly chopped into bite-sized chunks', 'notes': '90g'}, {'amount': None, 'unit': None, 'name': 'flaky sea salt, for sprinkling on top', 'notes': None}]","Preheat the oven to 350 degrees. Line two baking sheets with parchment paper. ,Cream the butter for 1 minute in a stand mixer or with a hand mixer. Scrape the sides of the bowl down, then add both sugars and cream for 2-3 minutes until the mixture looks fluffy. Mix in the egg until incorporated, then add the espresso powder and vanilla and mix well.,In a separate medium bowl, whisk together the flour, baking powder, baking soda, and salt. Add the flour to the butter mixture, mixing until just combined. Fold in the dark chocolate chunks by hand, I like to keep chocolate 2 squares to break and press into the tops of the cookies after scooping.,Scoop up 2 tablespoon-sized portions of dough (or use a 1-ounce sized cookie scoop) and place the dough on the prepared baking sheet at least 2-inches apart. Add the reserved chocolate chunks. Sprinkle a pinch of flaky sea salt on top of each cookie.,Bake the cookies for 12-14 minutes in the preheated oven or until the edges are just beginning to turn golden. To ensure a soft and chewy texture, rap the baking sheet on the counter firmly once or twice to deflate the baked cookies. Cool the cookies on the pan for 10 minutes before moving them to a cooling rack.",1,,,32,10,2,52978,4,19,87,7,Coffee Cookies
208,21,,,"Dessert, Snack",American,"These healthy frozen ,Bars are the perfect chocolatey treat. They're a twist on the classic candy bar but a nice frozen and refreshing dessert that uses up all those ripe bananas. ",12.9,3,Frozen Banana Snickers Bars,https://ohsnapmacros.com/wp-content/uploads/2024/06/bananasnickers-300x300.jpg,8,"[{'amount': '2', 'unit': 'ripe ', 'name': 'bananas', 'notes': '300g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'creamy peanut butter', 'notes': 'melted'}, {'amount': '1', 'unit': 'oz.', 'name': 'roasted salted peanuts', 'notes': 'chopped, 28g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chocolate chips', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted'}]","Add the banana, almond milk, vanilla and salt to a high speed blender and blend until smooth.,Line a rectangle 6×8 glass dish or freezer safe container (rectangle meal prep containers work best!) with parchment paper overlapping 2 sides to make it easy to remove once frozen.,Pour the banana mixture in the container so that it creates your banana ice cream layer for the ice cream bars. Top the banana mixture the melted peanut butter drizzled over the top, spread with a rubber spatula to evenly cover the top followed by the chopped peanuts. ,Place in the freezer for 4-6 hours until frozen solid. Once frozen remove from the container using the overlapping parchment paper. Cut into 6 equal bars. ,Add the chocolate chips and coconut oil to a microwave-safe bowl and microwave to melt in 20-30 second intervals until completely melted. ,Place a banana bar into the melted chocolate and cover completely. Transfer to a parchment lined baking sheet, sprinkle with flakey sea salt and repeat with all 6 bars. Return to the freezer and enjoy once solid.",4,melted,2,274,5,5,43974,5,6,49,12,Banana Snickers
356,45,98,10,Main Course,American,"The sweet and salty combination of this , makes the best fried rice! Your whole family will love this vibrant and satiating meal, that's ready in less than 15 minutes. Even better, it's a great recipe for using up holiday ham or leftover rice.",9,3,Sweet and Savory Ham and Pineapple Fried Rice,https://ohsnapmacros.com/wp-content/uploads/2024/03/hamandpineapplerice-300x300.jpg,11,"[{'amount': '2', 'unit': 'cups', 'name': 'uncooked jasmine Minute Rice', 'notes': '192g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen riced cauliflower', 'notes': 'cooked'}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': 'split'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'lb.', 'name': 'pre cooked diced ham', 'notes': 'chopped'}, {'amount': '1.5', 'unit': 'cups', 'name': 'pineapple chunks', 'notes': 'fresh preferred or canned, 250g,'}, {'amount': '1', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'diced'}, {'amount': '1/2', 'unit': 'cup', 'name': 'frozen peas', 'notes': 'thawed'}, {'amount': '2', 'unit': 'whole', 'name': 'eggs', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': None, 'notes': '105g (or soy sauce)'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Microwave 2 cups of rice plus 2 cups of water for 8 minutes, according to the package instructions. Once cooked, transfer the bowl to the fridge to cool rice. Cook the cauliflower rice according to the package, strain any excess liquid and and it to the bowl of the jasmine rice and combine. ,In a large pan or wok, heat 1 Tbsp. sesame oil over medium heat. Add the garlic and saute for a couple minutes until fragrant. Add the ham and red pepper to sear and soften the peppers. You want a nice browning on the ham chunks, this will take approximately 5 minutes. ,Add the thawed peas to the pan and stir to combine. Push everything to the outer edges of the pan and add the remaining 1 Tbsp. oil, crack 2 eggs in the center. Stir to scramble and cook until fully cooked through. Mix into the ham mixture to combine. ,Add the chilled cooked rice and cauliflower blend, breaking apart any large clumps, stirring together to combine everything evenly. Let it fry on the bottom for a minute at a time before stirring everything together. Pour the coconut aminos over the rice, and season with pepper. Mix everything well.,Stir in the pineapple chunks and cook for another 2 minutes.,Once everything is well combined and the rice is hot, serve and garnish with chopped green onions if desired. ",2,,2,217,5,21,39605,2,6,1148,10,Ham and Pineapple Fried Rice
127,18,10,10,Dessert,American,"These , are the perfect no bake dessert. Made with chocolate chips, marshmallows, Rice Krispies and a sneaky scoop of undetectable protein powder, this easy recipe is a chocolate lovers dream.  ",5,1,Chocolate Rice Krispie Treats with Protein Powder,https://ohsnapmacros.com/wp-content/uploads/2024/10/chocolatericekrispietreats-2-300x300.jpg,7,"[{'amount': '4', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': 'cubed'}, {'amount': '10', 'unit': 'oz.', 'name': 'mini marshmallows', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder, 31g', 'notes': 'PeScience Chocolate Truffle'}, {'amount': '1 ½', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}, {'amount': '½', 'unit': 'cup', 'name': 'chocolate chips', 'notes': '170g'}, {'amount': '5', 'unit': 'cups', 'name': 'Rice Krispie Cereal', 'notes': '133g'}, {'amount': None, 'unit': None, 'name': 'flaky sea salt', 'notes': None}]","Melt the cubed butter in a large saucepan over medium heat. Add the mini marshmallows, protein powder, cocoa powder and chocolate chips and stir to combine and melt the marshmallows and chocolate into a sauce. ,Remove from the heat and immediately mix in the cereal, stirring to combine. This will take some arm power to get it to fully mix and combine, just keep mixing. ,Add the mixture to a parchment or wax paper lined 8×8-inch square pan and press it down to mold into the baking dish. Don’t smash the treats in the pan too hard or you’ll have dense Rice Krispies treats. You want some spacing between and pockets to get in there. Let it sit until completely cooled and hardened, approximately 1 hour or more. ,Cut into 16 equal squares and top with flakey sea salt for serving. ",1,,,17,2,3,52713,3,16,100,7,Chocolate Rice Krispie Treats
52,13,,5,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188,5,1,42710,,1,64,10,Blueberry Mint Mocktail
