calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
452,45,231,18,Main Course,Chinese,"This , , makes busy weeknights a breeze. Tender shrimp, juicy chicken, and crispy veggies are tossed in a flavorful rice for a high protein meal the whole family can dig into. This fried rice recipe is made in one pan and make delicious leftovers for the week. ",7,3,One Pan Shrimp and Chicken Fried Rice (high protein),https://ohsnapmacros.com/wp-content/uploads/2024/07/chickenandshrimpfriedrice-300x300.jpg,19,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, cubed', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of ground ginger', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'shrimp, peeled and deveined, patted dry', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': None, 'notes': '184g'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen cauliflower rice, cooked and drained', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'carrots, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'frozen green peas', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper, to taste', 'notes': None}]","Chop the chicken into bite-size pieces and place in a bowl. Top with coconut aminos and ginger and mix to combine. In a separate bowl, add the shrimp and top with coconut aminos and garlic powder. Let both marinate while you cook the rice in the microwave. ,In a microwaveable bowl, add the dry rice and water and cook for 12 minutes (or according to the package instructions). Remove and place in the refrigerator right away until ready to add. Cook the cauliflower rice according to the package instructions and drain any excess liquid. ,Heat a large skillet over medium heat and add the olive oil. Once hot, add the chicken and spread into an even layer in the pan. Let the chicken cook, untouched, for 4-5 minutes to cook and brown on one side. Flip and cook an additional 3-4 minutes until the chicken is cooked through. Remove from the pan and set aside.,Add the raw shrimp to the same pan and cook for 2-3 minutes on each side until the shrimp is cooked through, pink, and no longer translucent. Set aside with the cooked chicken. ,To the same pan, add the garlic, bell peppers, carrots and frozen peas. Saute for 5 minutes to brown and then add the coconut aminos to the pan. Without lowering the heat, let this boil and simmer for 3-4 minutes.,Using a spatula push the vegetable mixture to the outer edges of the pan. Directly to the liquid in the center of the pan, crack the two eggs in and begin to stir and scramble. Mix to cook the eggs in the hot liquid, similar to dropping an egg in soup. You're scrambling the egg directly in the liquid. As it begins to cook, start to combine it into the vegetable mixture until fully combined and cooked through.,Add the rice, cauliflower rice and the remaining 2 Tbsp. of coconut aminos to the pan and mix to combine. I like to let the rice burn on the bottom a little before mixing for crispy rice pieces. Mix and cook for an additional 5 minutes to heat the rice and burn the bottom some. ,Return the cooked chicken and shrimp to the pan and stir to mix into the rice. Let the rice cook until the chicken and shrimp are warm and ready to enjoy. ,Top with green onions and desired toppings.",3,,1,685,10,48,49326,3,5,998,9,Shrimp and Chicken Fried Rice
309,16,55,,Main Course,American,"This , recipe is lasagna with a twist. Made with oven-ready noodles, tender chicken, and buffalo wing sauce, this easy meal takes lasagna to the next level. High protein and delicious, this is a weeknight winner the entire family will love. ",16,2,Buffalo Ranch Chicken Lasagna (oven-ready noodles),https://ohsnapmacros.com/wp-content/uploads/2024/03/buffalochickenlasagna-30-300x300.jpg,22,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded or finely chopped, 140g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'celery', 'notes': 'chopped, 87g'}, {'amount': '1', 'unit': 'lb.', 'name': 'shredded chicken breast ', 'notes': 'cooked'}, {'amount': '16', 'unit': 'oz.', 'name': 'buffalo sauce', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'marinara sauce', 'notes': '9 oz.'}, {'amount': '16', 'unit': 'oz.', 'name': 'low-fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '2.5', 'unit': 'Tbsp.', 'name': 'Dry ranch seasoning', 'notes': ' homemade below'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '8', 'unit': None, 'name': 'oven-ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low-moisture mozzarella cheese', 'notes': 'shredded, 224g'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'dried parsley', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried chives', 'notes': 'optional'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic, onions, carrots and celery to the pan and cook until nice and soft, approximately 3-5 minutes.,Remove from the pan and add to a large mixing bowl. Combine the sauteed vegetables with the shredded chicken, buffalo sauce and marinara sauce. Mix to combine. ,In a small mixing bowl or mason jar (to store) combine the homemade ranch seaosning ingredients and mix well to combine. ,For the filling, combine the cottage cheese, eggs, parmesan cheese, 2.5 Tbsp. dried ranch seasoning and fresh cracked pepper. Mix to fully combine. ,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of sauce from the chicken buffalo mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking sheet (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the buffalo chicken mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the buffalo chicken mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining chicken mixture, remaining cottage cheese filling and 1 cup cheese on top. ,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and golden brown and the sauce is nice and bubbly at the edges. Broil if needed to brown the cheese for a few minutes. ,Remove from the oven, top with freshly chopped parsley and cut into 12 equal servings and enjoy. ",1,optional,,213,30,25,44637,5,12,1583,4,Buffalo Chicken Lasagna
273,1,124,20,Main Course,American,"These , are made in the oven, with no crispy coating and a deliciously subtle teriyaki flavor. They go with just about anything you can dream up and are perfect for meal prep.",11,,The Juiciest Oven Baked Chicken Tenderloins,,6,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'chicken tenderloins', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'soy sauce ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'spicy brown mustard', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}]","Remove the tendon from the tenderloin by grabbing it with a paper towel and placing it between the tines of a fork and pulling down (see step by step images). ,Place the tenderloins in a sealable container and add the soy sauce, olive oil, spicy brown mustard, garlic powder and ground ginger. Put the lid on and shake so everything is evenly covered. Let set overnight OR just be sure to let it marinate while you preheat the oven. ,Preheat the oven to 350 degrees Fahrenheit. Spray a baking sheet with olive oil spray or nonstick spray. Remove the tenderloins from the marinade dish and add them to the prepared baking sheet in a even layer.,Place in the preheated oven and bake for 15-17 minutes or until cooked through and no longer pink. Internal temperature should reach 165 degrees Fahrenheit with a meat thermometer for safety. ,Remove and enjoy. ",1,,1,570,5,39,54782,1,4,595,,Baked Chicken Tenderloins
297,18,67,,Main Course,American,"These jalapeño popper, are an easy recipe to prep beforehand and enjoy as a quick lunch. The filling is made in the crockpot with shredded chicken, spicy flavors, and lighter ingredients, making a healthy and wholesome easy meal. Customize the wraps for individual tastes so everyone can have what they love. ",17,7,Jalapeno Popper Shredded Chicken Wraps,https://ohsnapmacros.com/wp-content/uploads/2024/06/Jalapenopoppershreddedchickenwraps-8-300x300.jpg,7,"[{'amount': '1', 'unit': 'batch', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'Tumaro Wraps (or any preferred burrito size wrap)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomatoes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'jalapeños ', 'notes': None}]","Make the Jalapeno Popper Dip and use the leftovers. ,To make the wraps, add ½ cup (134g) of the chicken mixture onto a warmed wrap. Top with lettuce, tomato, onion or any preferred vegetables. Fold half over the filling, fold in the sides and continue to fold up into a burrito. ,Enjoy as is or sear on a hot grill pan for a crispy outer crunch. ",1,,,255,10,23,48260,9,14,542,6,Jalapeno Popper Shredded Chicken Wraps
265,5,78,,"Appetizer, Snack",American,"This , will be your new favorite appetizer. With a creamy blend of cottage cheese, cream cheese, shredded cheese and jalapeño peppers, this flavorful dip is a high protein crowd pleaser, every single time.",18,,Crockpot Chicken Jalapeno Popper Cottage Cheese Dip,https://ohsnapmacros.com/wp-content/uploads/2024/05/jalapenopopperdip-2-300x300.jpg,15,"[{'amount': '8', 'unit': 'slices', 'name': None, 'notes': 'cooked and chopped (4 inside, 4 on top)'}, {'amount': '16', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'cubed'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat cottage cheese', 'notes': None}, {'amount': '4', 'unit': None, 'name': 'jalapeños (2 seedless, 2 with seeds)', 'notes': 'chopped, see heat note'}, {'amount': '1', 'unit': 'cup', 'name': 'Mexican blend shredded cheese', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'mozzarella cheese low moisture', 'notes': 'shredded'}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '1', 'unit': 'lb. ', 'name': 'boneless skinless chicken breast, raw', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sliced jalapeños', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","In a large skillet cook the bacon, remove from the heat and chop into bite size pieces. ,Add the cream cheese, cottage cheese (no need to blend), jalapeños, half the chopped bacon, shredded cheeses, garlic powder, salt and pepper to the crockpot. Place the lid on and cook on high for 1 hour. Stir a couple times throughout the hour to get everything moving and melting and ensure the edges do not burn. ,While the base cooks in the crockpot, prepare the shredded chicken (this can be done the day before). Add the chicken to a large pot, cover with water and bring to a boil. Cook for 15-20 minutes or until the chicken is fully cooked through, no longer pink and has an internal temperate of 165 degrees Fahrenheit. ,Remove the chicken and shred with two forks or in a large mixing bowl with a hand mixer. ,Once the base has cooked for one hour, add the shredded chicken and 1 cup chicken broth to the crockpot. Stir everything together and let cook on high for an additional hour. ,Once done, stir together, adjust with salt and pepper and serve. Top with the remaining chopped bacon, sliced jalapenos, red onions, green onions or whatever you desire. ",1,,,191,15,22,47460,10,14,669,4,Crockpot Chicken Jalapeno Popper Dip
240,10,120,5,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4,for serving,2,23,5,24,42254,3,6,594,9,Honey Garlic Lemon Pepper Chicken Thighs
53,2,1,22,"Appetizer, Main Course, Snack",Italian,"These , are easy to make, full of flavor, and high in protein. Made with ground chicken, ground beef and sun-dried tomatoes, there's many different ways to enjoy these. Simply bake in the oven, and put over pasta sauce and spaghetti, make into meatball subs or enjoy as is, for a delicious and easy meal the whole family will love. ",2,,Egg Free Beef and Chicken Meatballs with Sun-dried Tomatoes,https://ohsnapmacros.com/wp-content/uploads/2024/08/noeggmeatballs-300x300.jpg,11,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef, (96/4)', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken, (99/1)', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes (not in oil)', 'notes': '50g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese', 'notes': '58g'}, {'amount': '1/3', 'unit': 'cup', 'name': 'Italian breadcrumbs', 'notes': '45g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]","Preheat the oven to 350 degrees fahrenheit. ,In a large mixing bowl, combine the beef, chicken and remaining ingredients. Using your hands, mix so everything is fully combined and evenly distributed. Be sure to mix well so that you get between the meat when it clumps together.,Spray a foil lined baking sheet with nonstick spray.,Using a 1.5 Tbsp. cookie scoop or spoon, scoop meatballs out onto the pan. You will have 32, approximately 1.1 oz, meatballs. Using your hands, roll the meatballs into balls. ,Place in the oven and bake for 20-22 minutes until the meatballs are fully cooked through.,Remove and enjoy as a protein snack, or in pasta, on meatball subs, etc. ",,,,3,15,7,50132,,32,112,,Meatballs without Eggs
200,1,50,9,"Appetizer, Main Course, Snack",American,"These , are the quickest way to add juicy sausages to your dish. Ready in less than ten minutes, this recipe uses precooked chicken sausage, making them a  great option for when you're in a hurry. Add to pasta, enjoy as an appetizer or eat with eggs and toast. ",16,,How to Air Fry Chicken Sausages,https://ohsnapmacros.com/wp-content/uploads/2024/08/airfryerchickensausages-4-300x300.jpg,1,"[{'amount': '1', 'unit': 'package', 'name': 'precooked chicken sausage', 'notes': None}]","Remove the sausages from the package and place in the air fryer basket. I can typically fit up to 2 packages, 8 links in my air fryer.,Cook at 400 degrees fahrenheit for 5 minutes, flip and cook for an additional 5 minutes. I like the skin to be golden brown and crispy.,Remove and serve.",,,,,1,12,51079,5,4,600,1,Air Fryer Chicken Sausages
245,7,111,20,Main Course,American,"This , is a savory combo of juicy chicken and creamy mushroom sauce. Using a can of mushroom soup and a few spices, you have a sauce that's mostly homemade but super easy and ready in less than 20 minutes. Add to pasta, rice veggies, or eat as is.",7,1,Weeknight Cream of Mushroom Chicken Skillet,https://ohsnapmacros.com/wp-content/uploads/2024/09/mushroomskilletchicken-20-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts ', 'notes': 'raw'}, {'amount': '1.5', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '8', 'unit': 'oz.', 'name': 'mushrooms', 'notes': 'sliced'}, {'amount': '3', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'can', 'name': 'reduced-sodium cream of mushroom soup', 'notes': '10.5 oz can '}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'cornstarch (or arrowroot powder)', 'notes': 'optional '}, {'amount': '1/2-1', 'unit': 'Tbsp.', 'name': 'water (to mix)', 'notes': 'optional with cornstarch '}]","Slice all of the chicken breasts in half to butterfly into two pieces. Using a meat pounder, pound the chicken to create even cutlets, approximately ½ inch thick. Season with ½ the salt and chili powder on each side along with freshly cracked black pepper. ,Heat the olive oil in a large skillet over medium heat. Place the seasoned chicken in the pan and cook on each side for 4-5 minutes. Transfer to a plate and set aside. ,Add the sliced mushrooms and garlic to the pan. Cook, stirring, for a couple of minutes to brown the mushrooms. ,Add the cream of mushroom soup to the pan. Fill the can with water and add to the pan (1 cup of water). Using a whisk, whisk until the soup has combined with the water and no chunks remain and bring to a boil. ,Add the chicken back to the pan and simmer for 5 minutes or until the chicken is cooked through to an internal temperature of 165 degrees Fahrenheit. ,Optional: if you want a thicker sauce then in a small bowl, combine the cornstarch and water and mix to combine. Remove the chicken and set aside, add the slurry to the sauce and whisk to combine. Simmer for 1 minute to thicken (add more if you want it thicker). ,. ,Either return the chicken to the pan and coat in the sauce or serce the chicken over brown or white rice, cauliflower rice, a combination of both, mashed potatoes or roasted veggies with sauce poured on top. ",3,optional with cornstarch ,1,844,5,36,51338,2,6,885,2,Cream of Mushroom Chicken Skillet
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
