calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
233,2.5,418,5,Breakfast,American,"This , recipe is all you need for creamy and fluffy eggs. High-protein, easy to make and totally delicious, serve these eggs with your favorite breakfast sides for a complete and hearty meal. ",11,,Creamy High Protein Cottage Cheese Scrambled Eggs,https://ohsnapmacros.com/wp-content/uploads/2024/12/cottagecheesescrambledeggs6-300x300.jpg,7,"[{'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'liquid egg whites', 'notes': '92g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '55g'}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': None, 'unit': None, 'name': 'garlic powder (optional)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'olive oil cooking spray ', 'notes': None}]","Whisk eggs, egg whites, cottage cheese, salt, and black pepper in a small mixing bowl until well combined. If you prefer a smoother texture, you can blend in a blender or do the microwave method (see notes!) I also love adding a dash of garlic powder to mine. ,In a medium nonstick pan over medium heat, spray with cooking spray or grease with butter.  Carefully pour the egg mixture into the pan. Using a silicone spatula, cook and stir, scrambling the eggs gently until cooked through but still soft and creamy. Transfer to a plate and serve.",4,,2,172,5,29,55018,4,1,449,2,Cottage Cheese and Eggs
348,17,46,14,Main Course,American,"This , recipe is the perfect weeknight dinner. The salmon is easy to make, full of spicy Cajun flavors and takes only a few minutes of prep. The delicious chimichurri sauce is made with herbs, garlic and honey and makes enough to last the week. Pair with your favorite sides for a complete meal.",19,1,Sweet Heat Baked Salmon with Easy Chimichurri Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/08/salmonandchimi-1-1-300x300.jpg,16,"[{'amount': '1 1/2', 'unit': 'lbs.', 'name': 'salmon filets', 'notes': '24 oz.'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar (for top of fish)', 'notes': None}, {'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]","Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,In a small mixing bowl, combine the coconut aminos, Cajun seasoning and light brown sugar and stir to create your marinade. If using one large fish filet, I like cutting into smaller 4 oz. filets for easy serving. ,Lay the filets in a sealable container and add the marinade. If keeping skin on, be sure to place the fish with the skin-side up so the meat gets marinated. Place in the fridge and let the salmon marinate for 15 minutes. ,Preheat the oven to 400 degrees Fahrenheit. Remove the filets from the marinade and discard any excess. Place the fish on a foil lined baking sheet sprayed with cooking spray. ,Sprinkle the remaining 2 Tbsp. of brown sugar on top of the filets and place in the oven for 12-15 minutes or until the fish flakes with a fork and is no longer mushy. ,The cook time will vary depending on the thickness of your filets. ,Serve topped with ¼ cup (56g) of chimichurri and your favorite sides like rice, roasted potatoes, mashed potatoes or steamed veggies. ",,,,358,30,22,50060,4,6,774,9,Chimichurri and Salmon
53,2,1,22,"Appetizer, Main Course, Snack",Italian,"These , are easy to make, full of flavor, and high in protein. Made with ground chicken, ground beef and sun-dried tomatoes, there's many different ways to enjoy these. Simply bake in the oven, and put over pasta sauce and spaghetti, make into meatball subs or enjoy as is, for a delicious and easy meal the whole family will love. ",2,,Egg Free Beef and Chicken Meatballs with Sun-dried Tomatoes,https://ohsnapmacros.com/wp-content/uploads/2024/08/noeggmeatballs-300x300.jpg,11,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef, (96/4)', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken, (99/1)', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes (not in oil)', 'notes': '50g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese', 'notes': '58g'}, {'amount': '1/3', 'unit': 'cup', 'name': 'Italian breadcrumbs', 'notes': '45g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]","Preheat the oven to 350 degrees fahrenheit. ,In a large mixing bowl, combine the beef, chicken and remaining ingredients. Using your hands, mix so everything is fully combined and evenly distributed. Be sure to mix well so that you get between the meat when it clumps together.,Spray a foil lined baking sheet with nonstick spray.,Using a 1.5 Tbsp. cookie scoop or spoon, scoop meatballs out onto the pan. You will have 32, approximately 1.1 oz, meatballs. Using your hands, roll the meatballs into balls. ,Place in the oven and bake for 20-22 minutes until the meatballs are fully cooked through.,Remove and enjoy as a protein snack, or in pasta, on meatball subs, etc. ",,,,3,15,7,50132,,32,112,,Meatballs without Eggs
337,20,60,12,Main Course,American,"This , is a healthy weeknight meal bursting with savory flavors. Made with fresh veggies, tender salmon and a homemade stir fry sauce with tons of flavor, this is a quick dinner ready in ,.",16,3,Veggie Packed Salmon Stir Fry with Homemade Teriyaki Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/06/salmonstirfry-26-300x300.jpg,19,"[{'amount': '1', 'unit': 'lb.', 'name': 'salmon filets, skin removed', 'notes': 'cut into bite-sized pieces '}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce '}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'hoisin sauce', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'rice vinegar', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'sesame oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cornstarch', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '3', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ginger', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper', 'notes': 'thinly sliced'}, {'amount': '1', 'unit': None, 'name': 'yellow bell pepper', 'notes': 'thinly sliced '}, {'amount': '1', 'unit': 'cup', 'name': 'julienned carrots', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'snap peas', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'broccoli florets', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cooked rice or noodles', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cooked cauliflower rice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sesame seeds', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red pepper flakes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sliced green onions', 'notes': None}]","In a small bowl, whisk together soy sauce, hoisin sauce, rice vinegar, sesame oil, and cornstarch until well combined. Set aside.,Heat one tablespoon of olive oil in a large frying pan or wok over medium-high heat. Add the salmon chunks to the skillet in a single layer and cook for 2-3 minutes on each side, or until golden brown and cooked through. Remove the salmon from the skillet and set aside.,In the same skillet, add the remaining tablespoon of olive oil. Add minced garlic cloves, ground ginger, sliced bell peppers, julienned carrots, snap peas, and broccoli florets to the skillet. Cook for 4-5 minutes, stirring occasionally, until the vegetables are crisp-tender.,Return the cooked salmon to the skillet with the vegetables. Pour the prepared stir-fry sauce over the salmon and vegetables in the skillet. Stir well to coat everything evenly in the sauce.,Cook for an additional 1-2 minutes, or until the sauce has thickened slightly and everything is heated through. Remove the skillet from the heat.,Serve the salmon stir fry hot over cooked rice or noodles. Garnish with sesame seeds and sliced green onions before serving.",1,,,807,5,29,48474,2,4,1114,5,Salmon Stir Fry
200,1,50,9,"Appetizer, Main Course, Snack",American,"These , are the quickest way to add juicy sausages to your dish. Ready in less than ten minutes, this recipe uses precooked chicken sausage, making them a  great option for when you're in a hurry. Add to pasta, enjoy as an appetizer or eat with eggs and toast. ",16,,How to Air Fry Chicken Sausages,https://ohsnapmacros.com/wp-content/uploads/2024/08/airfryerchickensausages-4-300x300.jpg,1,"[{'amount': '1', 'unit': 'package', 'name': 'precooked chicken sausage', 'notes': None}]","Remove the sausages from the package and place in the air fryer basket. I can typically fit up to 2 packages, 8 links in my air fryer.,Cook at 400 degrees fahrenheit for 5 minutes, flip and cook for an additional 5 minutes. I like the skin to be golden brown and crispy.,Remove and serve.",,,,,1,12,51079,5,4,600,1,Air Fryer Chicken Sausages
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
334,,124,,Main Course,American,"Make a perfect bacon wrapped , tonight! This recipe results in a restaurant style filet with gorgonzola cheese on top, all cooked directly in your air fryer. This gluten-free, carb-free steak is the perfect main course for a special dinner or occasion, paired with your favorite sides. ",18,,Air Fryer Bacon Wrapped Filet Mignon with Gorgonzola Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/baconwrappedfiletmignon-12-300x300.jpg,5,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'beef tenderloin steaks (filet mignon)', 'notes': '1 1/2 to 2 inch thick'}, {'amount': '4', 'unit': 'slices', 'name': 'thick cut bacon ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'black pepper', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'gorgonzola or blue cheese crumbles ', 'notes': None}]","Set the filet out for at least 30 minutes before cooking. Cut the tenderloin into four 6 oz. filets and season all sides well with kosher salt and fresh cracked black pepper (optional), you can also do 4 oz. filets.,Preheat the air fryer to 400 degrees Fahrenheit. Take one piece of bacon per filet and wrap it around the top and bottom of the filet or around the outer edge of the filet and secure with a toothpick. ,Add the filets to the air fryer basket, spray the tops with cooking spray and cook at 400 for 10-15 minutes, depending on the desired doneness. (See the notes section for temperature ranges.) You want to remove your steaks when they are 5 ºF BELOW the desired temperature. ,If adding cheese crumbles, top the filet with 0.5 oz. each of cheese crumbles (more if desired!) and cook for one additional minute to melt and soften.,When done, remove the steaks from the air fryer and let rest for 5 minutes. During this time the center of the steak will continue to warm as they rest. Serve and enjoy! ",5,,1,519,5,44,51419,7,4,397,,Air Fryer Filet Mignon
459,67,38,15,Main Course,American,"This , is a one-pot meal loaded with ground beef and pasta shells in a creamy cottage cheese pumpkin sauce. Full of fall flavors, this is a great recipe to warm you up on cold winter nights. It's like hamburger helper went to the pumpkin patch drinking a pumpkin spice latte and came home a high protein, light but hearty meal that's also ready in less than 30 minutes.",7,5,30 Minute One Pot Pumpkin Pasta with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/pumpkinpasta-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'yellow onion, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'garlic cloves, minced', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef ', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2-1/4', 'unit': 'tsp.', 'name': 'chipotle chili powder ', 'notes': 'see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'medium shell pasta', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium beef broth ', 'notes': '32 oz.'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1', 'unit': 'can', 'name': 'pumpkin puree', 'notes': '15 oz.'}, {'amount': '1', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tomato paste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh basil', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sage leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Parmesan cheese', 'notes': None}]","Add the olive oil to a large skillet over medium heat. Add the onions and garlic and saute until the onion is translucent. ,Add the ground beef and cook, breaking into bite size pieces, until cooked through. Approximately 5 minutes. Add the salt, chipotle powder, cumin, rosemary and pepper. Stir to combine.,Add the uncooked pasta, beef broth and water to the pan, stirring to submerge the pasta shells as best as possible. Bring to a boil and reduce to medium heat. Cook, stirring often for 12-14 minutes or until the pasta is cooked. ,Optional, add the cottage cheese, pumpkin puree, tomato paste and cinnamon to a blender and blend so the cottage cheese is smooth. Or, just add in chunky, I promise it doesn’t effect the taste or texture of the pasta. ,Add the cottage cheese, pumpkin puree, tomato paste and cinnamon directly to the pan with the pasta. Stir and cook for a few additional minutes to warm through and evenly coat the pasta shells. ,Adjust with salt and pepper to taste, serve and enjoy! ",,,,644,10,33,50914,1,6,490,7,Pumpkin Pasta
452,45,231,18,Main Course,Chinese,"This , , makes busy weeknights a breeze. Tender shrimp, juicy chicken, and crispy veggies are tossed in a flavorful rice for a high protein meal the whole family can dig into. This fried rice recipe is made in one pan and make delicious leftovers for the week. ",7,3,One Pan Shrimp and Chicken Fried Rice (high protein),https://ohsnapmacros.com/wp-content/uploads/2024/07/chickenandshrimpfriedrice-300x300.jpg,19,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, cubed', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of ground ginger', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'shrimp, peeled and deveined, patted dry', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': None, 'notes': '184g'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen cauliflower rice, cooked and drained', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'carrots, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'frozen green peas', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper, to taste', 'notes': None}]","Chop the chicken into bite-size pieces and place in a bowl. Top with coconut aminos and ginger and mix to combine. In a separate bowl, add the shrimp and top with coconut aminos and garlic powder. Let both marinate while you cook the rice in the microwave. ,In a microwaveable bowl, add the dry rice and water and cook for 12 minutes (or according to the package instructions). Remove and place in the refrigerator right away until ready to add. Cook the cauliflower rice according to the package instructions and drain any excess liquid. ,Heat a large skillet over medium heat and add the olive oil. Once hot, add the chicken and spread into an even layer in the pan. Let the chicken cook, untouched, for 4-5 minutes to cook and brown on one side. Flip and cook an additional 3-4 minutes until the chicken is cooked through. Remove from the pan and set aside.,Add the raw shrimp to the same pan and cook for 2-3 minutes on each side until the shrimp is cooked through, pink, and no longer translucent. Set aside with the cooked chicken. ,To the same pan, add the garlic, bell peppers, carrots and frozen peas. Saute for 5 minutes to brown and then add the coconut aminos to the pan. Without lowering the heat, let this boil and simmer for 3-4 minutes.,Using a spatula push the vegetable mixture to the outer edges of the pan. Directly to the liquid in the center of the pan, crack the two eggs in and begin to stir and scramble. Mix to cook the eggs in the hot liquid, similar to dropping an egg in soup. You're scrambling the egg directly in the liquid. As it begins to cook, start to combine it into the vegetable mixture until fully combined and cooked through.,Add the rice, cauliflower rice and the remaining 2 Tbsp. of coconut aminos to the pan and mix to combine. I like to let the rice burn on the bottom a little before mixing for crispy rice pieces. Mix and cook for an additional 5 minutes to heat the rice and burn the bottom some. ,Return the cooked chicken and shrimp to the pan and stir to mix into the rice. Let the rice cook until the chicken and shrimp are warm and ready to enjoy. ,Top with green onions and desired toppings.",3,,1,685,10,48,49326,3,5,998,9,Shrimp and Chicken Fried Rice
