calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
336,39,49,,Breakfast,American,"These vanilla , are an easy to make and totally customizable, high-protein breakfast. Toss everything together, throw it in the fridge and enjoy the next morning with your favorite toppings. ",6,6,Vanilla Protein Overnight Oats with Water,https://ohsnapmacros.com/wp-content/uploads/2024/12/overnightoatswithwater3-300x300.jpg,6,"[{'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': 'PeScience'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey (or maple syrup)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}]","Add everything to a mason jar or sealable container, shake, and let sit in the refrigerator overnight. ,When ready to enjoy remove from the fridge, stir and enjoy cold. ,Top with your favorite toppings like fresh berries, chopped nuts, a little peanut butter or an extra dollop of Greek yogurt. ",1,,3,253,5,34,54489,1,1,253,20,Overnight Oats with Water
190,31,31,20,"Breakfast, Dessert, Snack",American,"These healthy , are fluffy, moist and perfectly sweet. Low calorie and filled with wholesome ingredients, these are the perfect breakfast or snack to keep you energized and full thoughout the day. ",5,2,Healthy Blackberry Oatmeal Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/07/blackberryoatmealmuffins-300x300.jpg,12,"[{'amount': '1 1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '150g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '30g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'rolled oats', 'notes': '75g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': None, 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2 cup + 2 Tbsp. ', 'unit': None, 'name': 'honey', 'notes': '202g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil, melted', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': '**fresh blackberries', 'notes': '192g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners.,Add the flours, rolled oats, baking powder, baking soda, salt, and ground cinnamon to a medium-sized bowl and whisk to combine. In a separate larger bowl, whisk together the Greek yogurt, eggs, honey, and coconut oil until smooth.,**Add the blackberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blackberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined.,Fold in the blackberries. ,Divide the muffin batter between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter.,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a toothpick inserted into the middle comes out clean.,Cool the muffins in the pan for 10 minutes before moving to a cooling rack.",,192g,,142,15,5,49700,,12,131,15,Healthy Blackberry Oatmeal Muffins
385,35,29,40,"Breakfast, Main Course, Side Dish",American,"This , is a recipe favorite for parties, bridal showers, Mother's Day and Sunday brunch. Made with a flaky pie crust, egg whites and crispy bacon, this quiche is easy to make and delicious.",22,,Easy Bacon and Mushroom Egg White Breakfast Quiche,https://ohsnapmacros.com/wp-content/uploads/2024/04/Baconandmushroomquiche-14-300x300.jpg,8,"[{'amount': '1', 'unit': None, 'name': 'pie crust', 'notes': 'store-bought'}, {'amount': '6', 'unit': 'pieces', 'name': None, 'notes': 'cooked and chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'cremini mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'liquid egg whites', 'notes': '350g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low fat milk', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese, shredded', 'notes': '56g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}]","Pre-heat oven according to pie crust package. Place one pie crust in a pie dish, poke a few holes in the bottom and bake 1/2 the recommended time. Example: if the package asks to bake at 425F for 12 minutes, cook at 425F for 6 minutes.,When the crust is done cooking, remove from the oven and lower the temperature to 350 degrees Fahrenheit. ,While the pie crust bakes, cook the bacon until cooked through and browned. Chop into bite size pieces. ,Drain the excess bacon fat from the pan and in the same pan sautee the garlic and mushrooms over medium heat until the mushrooms are soft and browned. Return the chopped bacon to the pan and mix to combine and remove from the heat. ,In a bowl whisk together egg whites, milk, cheese, salt and pepper.,Place the sautéed mushrooms and bacon in the pie dish on top of the pie crust and evenly coat the bottom.,Pour egg mixture over the bacon mixture. Be sure the cheese does not pool to the middle of the quiche, use a spoon to move around as needed.,Bake at 350F for 35-40 minutes or longer until the egg its fully cooked and toothpick comes out clean. Note, bake times will vary oven to oven.,Slice into 6 equal slices and enjoy!",8,,2,213,15,13,44704,9,6,675,2,Bacon and Mushroom Quiche
130,14,,10,Breakfast,American,"This , recipe is made with frozen hashbrowns, making it a great recipe for when you're in a hurry. Pop them in the air fryer and after only a few minutes of cooking, you'll have the crispiest hash browns to add to your plate.",8,2,How to Perfectly Air Fry Frozen Hash Brown Patties,https://ohsnapmacros.com/wp-content/uploads/2024/08/airfryerhashbrowns-0-300x300.jpg,1,"[{'amount': '1', 'unit': 'package', 'name': 'frozen hashbrown patties', 'notes': None}]","Place 4 patties in an even layer in the air fryer basket and cook at 400 degrees Fahrenheit for 5 minutes. Flip and cook another 5 minutes until nice and crispy and cooked through.,For a crispier outside, spray with cooking oil before air frying and again when you flip.",,,,,1,1,50987,,10,130,,Air Fryer Hashbrowns
359,39,49,1,"Breakfast, Dessert, Snack",American,"These , are perfect for busy mornings. Made with milk, oatmeal, Greek yogurt and protein powder, this oatmeal recipe is an easy way get in extra protein. Play with different flavors and toppings to make each morning unique, delicious and simple. ",8,6,High Protein Overnight Oats (Vanilla and Chocolate),https://ohsnapmacros.com/wp-content/uploads/2024/07/proteinovernightoats-2-300x300.jpg,13,"[{'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '26g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': 'vanilla protein powder (PEScience)', 'notes': 'whey casein blend'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': 'or maple syrup'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '26g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder (Pescience)', 'notes': 'whey casein blend'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': 'or maple syrup'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}]","Add everything to a mason jar or sealable container, shake, and let sit in the refrigerator overnight. ,When ready to enjoy remove from the fridge, stir and enjoy cold. ,Optional, you can add additional almond milk if you like a thin consistency and your favorite toppings like fresh sliced fruit, chopped nuts and an extra dollop of Greek yogurt. ,It is important to note that using a different protein powder will result in different texture results! If you're not using a whey casein blend then you may need to recude the almond milk to 1/2 cup as it will not get as thick as a whey casein blend does. ",2,,4,279,3,35,49370,1,1,328,18,Protein Overnight Oats
107,19,67,5,"Breakfast, Dessert, Snack",American,"These high-protein blender , are a fun twist on breakfast. Easy to make and perfect for meal prep, this quick breakfast will satisfy your morning sweet tooth.  ",2,1,Banana Cream Cottage Cheese Waffles,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesewaffles-300x300.jpg,8,"[{'amount': '1', 'unit': 'ripe', 'name': 'banana', 'notes': '117g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'cottage cheese (2% or 5%)', 'notes': '110g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'protein powder', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'milk (dairy or non-dairy)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}]","Add all ingredients to a high speed blender and blend until smooth. ,Heat a small single waffle waffle maker and spray with nonstick spray. Add ¼ cup of the waffle batter to the waffle maker and cook until cooked through and browned. Repeat with the remaining waffle mix. ",1,,,91,5,8,48796,1,7,106,5,Cottage Cheese Waffles
195,23,26,0,"Breakfast, Dessert, Snack",American,"This high protein , is thick, creamy, and delicious. Filled with tropical flavors and protein, this everyday smoothie is easy to make and can easily be a meal replacement or split into two as a shareable snack. ",3,2,High Protein Tropical Cottage Cheese Smoothie,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesesmoothie-300x300.jpg,7,"[{'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'frozen mango', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'fresh pineapple', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla bean paste', 'notes': None}]","Put everything in a high speed blender and blend until smooth.,Split between two cups (you can store one if needed) and top with sweetened coconut flakes and fresh pineapple.  ",,,,245,3,20,49792,1,2,352,18,Tropical Cottage Cheese Smoothie
145,11,44,10,Breakfast,American,"The next time you want a unique breakfast, these , are a fun way to play with flavors. Fluffy homemade pancakes are filled with a cheesy egg white and bacon scramble, then folded into a taco. This easy breakfast recipe is finished off with your choice of a sweet or savory topping, like syrup or salsa.",5,1,Sweet and Savory Protein Pancake Tacos,https://ohsnapmacros.com/wp-content/uploads/2024/04/pancake-tacos-300x300.jpg,12,"[{'amount': '1 1/4', 'unit': 'cup', 'name': 'oat flour', 'notes': '150g'}, {'amount': '1', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '224g'}, {'amount': '1', 'unit': 'cup', 'name': 'liquid egg whites', 'notes': '250g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'liquid egg whites', 'notes': '250g'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'water', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': None}, {'amount': '6', 'unit': 'pieces', 'name': 'turkey bacon', 'notes': 'cooked and cut in half'}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}]","Mix all the pancake ingredients in a large bowl. ,Heat a pan over medium heat and spray with nonstick cooking spray. ,Heat up a large nonstick skillet or griddle over low to medium heat. Once hot, spray with nonstick cooking spray. Using a 1/4 cup as a scoop per pancake, add the batter to the hot pan. Cook for 3-4 minutes until small bubbles start to form on the outside. Flip and cook for another 1-2 minutes until golden brown. Repeat with all 12 pancakes.,In a large mixing bowl whisk together, egg whites, eggs, water, salt and pepper. Scramble in a hot pan until cooked through. ,Top each pancake with ½ a piece of cooked turkey bacon, 28 grams scrambled eggs, 7 grams cheddar cheese and 1 Tbsp. maple syrup. ",1,84g,1,91,5,12,44977,2,12,199,4,Pancake Tacos
188,31,31,19,"Breakfast, Snack",American,"These , are moist, tender and perfectly fluffy. They're sweetened with only honey and bananas and are a perfect combination of banana bread and fall flavors. Both adults and kids love these muffins and they make a perfect grab and go snack. ",6,2,Easy Banana Pumpkin Muffins (with no added sugar),https://ohsnapmacros.com/wp-content/uploads/2024/08/pumpkinbananamuffins-300x300.jpg,13,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '60g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'nutmeg', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'pumpkin puree', 'notes': '120g'}, {'amount': '2', 'unit': 'ripe', 'name': 'medium bananas, mashed', 'notes': '220g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs, room temperature', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'honey', 'notes': '160g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '48g'}]","Preheat your oven to 375 degrees. Line a muffin pan with a 12 muffin capacity with cupcake liners. ,Add the flours, baking powder, baking soda, salt, cinnamon, and nutmeg to a bowl. Whisk to combine.,In a separate larger bowl, whisk together the pumpkin, mashed bananas, eggs, honey, vanilla, and melted coconut oil until smooth. ,Add the dry ingredients to the wet, mixing until just combined. You want to make sure there are no pockets of flour remaining in the batter. ,Divide the batter between the 12 lined muffin cups. You can do this with a large scoop or using a spoon just evenly distibute between the cups. Tap the pan on the counter a few times to help settle the batter, then place the pan in the preheated oven. Bake the muffins for 16-20 minutes or until the tops have risen and a toothpick or tester inserted into the center comes out clean. ,Cool the muffins in the pan for 5 minutes before moving them to a cooling rack. ",1,48g,,107,10,4,50814,4.3,12,102,14,Pumpkin Banana Muffins
193,31,31,20,"Breakfast, Dessert, Snack",American,"These , are made with wholesome ingredients and sweetened with only applesauce and honey. Ready in less than 20 minutes, these tender and moist muffins are the perfect chocolatey grab and go snack with 4 grams of protein.",7,2,Easy & Healthy Chocolate Zucchini Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/05/chocolatezucchinimuffins-300x300.jpg,12,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'shredded zucchini (1 medium zucchini) ', 'notes': '200g'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened cocoa powder', 'notes': '48g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened apple sauce', 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'honey', 'notes': '240g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '40g'}, {'amount': '1/2', 'unit': 'cup ', 'name': 'chocolate chips', 'notes': 'OPTIONAL '}]","Preheat your oven to 375 degrees. Line a muffin tin with a 12-muffin capacity with paper liners. ,Trim the end off of the zucchini, then grate it. You can do this with the larger holes on a box grater or in a food processor with the grating disc. Once you’ve grated the zucchini, place it in a clean kitchen towel or a couple of layers of paper towels. Gently squeeze out the excess moisture. Set the zucchini aside for now.,Add the flour, cocoa powder, baking powder, baking soda, and salt to a mixing bowl. Whisk to combine, making sure to break up any clumps of cocoa powder. ,In a separate larger bowl, whisk together the applesauce, eggs, honey, vanilla extract, and olive oil until smooth. Whisk in the grated zucchini.,Add the dry ingredients to the wet, mixing until just combined. You want to make sure there are no pockets of flour remaining in the batter. ,Divide the muffin batter between the 12 lined muffin cups. You can do this with a large scoop or with a ⅓ cup measure. Tap the pan on the counter a few times to help settle the batter, then place the pan in the preheated 375-degree oven. Bake the muffins for 15-20 minutes or until the tops have risen and a toothpick or tester inserted into the center comes out clean. ,Cool the muffins in the pan for 5 minutes before moving them to a cooling rack. ",3,OPTIONAL ,1,316,10,4,48171,2,12,194,18,Healthy Chocolate Zucchini Muffins
