calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
107,14,13,10,Dessert,American,"These , are the perfect cookies to make when you want something homemade and not too sweet. With crisp edges and a soft and chewy texture, these classic cookies are perfect for school lunches, as an after work snack and when you want a little sweet treat. ",5,,The Best Chewy Eggless Oatmeal Cookies,https://ohsnapmacros.com/wp-content/uploads/2023/11/oatmealcookieswithouteggs-26-300x300.jpg,10,"[{'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': '90g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'room temperature'}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsweetened applesauce', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups ', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'old-fashioned rolled oats', 'notes': '40g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}]","Preheat the oven to 350 degrees Fahrenheight and line a baking sheet with parchment paper.,In a large bowl, cream together the sugar and butter until well combined with a hand mixer. Add the vanilla and applesauce and mix.,In a separate bowl, whisk together the flour, oats, baking soda and salt.,Add the dry ingredients to the wet ingredients, mixing until just combined.,Drop 1.5 Tbsp. spoonfuls of dough onto the prepared baking sheet. This recipes makes approximately 19 cookies with a 1.5 Tbsp. cookie scoop. ,Bake for 10-11 minutes or until the edges are lightly golden. Allow the cookies to cool on the baking sheet for a few minutes before transferring them to a cooling rack to cool completely. ,Note: If you want the cookies to all be the same shape after baking, take to top of a mason jar lid, place it over the cookie and swirl it around in a circular motion for a few minutes. This will result in the perfect circular cookies.,Store your cookies in an airtight container for 3-4 days.",1,,,14,10,1,40056,3,19,48,5,Oatmeal Cookies without Eggs
133,16,22,15,Dessert,American,"These , are soft and chewy with chunks of dark chocolate perfectly paired with a deep coffee flavor. Perfect for coffee lovers with a sweet tooth, these easy to make cookies are ready in about 25 minutes in one bowl with simple ingredients. ",7,1,Dark Chocolate Coffee Cookies,https://ohsnapmacros.com/wp-content/uploads/2024/11/coffeecookies26-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '96g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': '96g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': 'room temperature'}, {'amount': '3/4', 'unit': 'Tbsp.', 'name': 'espresso powder', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '210g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': '(3.5 oz.)', 'name': 'dark chocolate bar, roughly chopped into bite-sized chunks', 'notes': '90g'}, {'amount': None, 'unit': None, 'name': 'flaky sea salt, for sprinkling on top', 'notes': None}]","Preheat the oven to 350 degrees. Line two baking sheets with parchment paper. ,Cream the butter for 1 minute in a stand mixer or with a hand mixer. Scrape the sides of the bowl down, then add both sugars and cream for 2-3 minutes until the mixture looks fluffy. Mix in the egg until incorporated, then add the espresso powder and vanilla and mix well.,In a separate medium bowl, whisk together the flour, baking powder, baking soda, and salt. Add the flour to the butter mixture, mixing until just combined. Fold in the dark chocolate chunks by hand, I like to keep chocolate 2 squares to break and press into the tops of the cookies after scooping.,Scoop up 2 tablespoon-sized portions of dough (or use a 1-ounce sized cookie scoop) and place the dough on the prepared baking sheet at least 2-inches apart. Add the reserved chocolate chunks. Sprinkle a pinch of flaky sea salt on top of each cookie.,Bake the cookies for 12-14 minutes in the preheated oven or until the edges are just beginning to turn golden. To ensure a soft and chewy texture, rap the baking sheet on the counter firmly once or twice to deflate the baked cookies. Cool the cookies on the pan for 10 minutes before moving them to a cooling rack.",1,,,32,10,2,52978,4,19,87,7,Coffee Cookies
147,22,25,12,Dessert,American,"These , are the perfect buttery fluffy yet chewy cookies, with crisp edges and soft centers. They are everything we love about a classic chocolate chip cookie, without the chocolate chips! These unique and delicious cookies will be a new favorite. ",6,,Chewy and Soft Chocolate Chipless Cookies,https://ohsnapmacros.com/wp-content/uploads/2024/03/chocolatechiplesscookies-main-300x300.jpg,10,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute)', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar (or sugar substitute)', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '240g'}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt ', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'ground cinnamon (1/4-1/2 tsp. if you like heavy cinnamon)', 'notes': None}]","Preheat your oven to 350 degrees Fahrenheit. Line a cookie sheet with parchment paper or a silicone baking mat.,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, baking powder, salt and cinnamon.,Add the dry ingredients to the wet ingredients, mixing until just combined. You will need to use a rubber spatula to fully mix as the dough is a bit dryer. (You will begin to think something’s missing and they’re too dry, just keep mixing! It’ll come together!),Using a 1.5-tablespoon cookie scoop, drop cookie dough balls onto the prepared baking sheet, leaving space between each cookie. Bake for 11-12 minutes, or until the edges are golden but the center is still soft.,Remove from the oven and allow the cookies to cool on the baking sheet for about 5 minutes before transferring them to a wire rack to cool completely.,Store your cookies in an airtight container for 3-4 days.",2,,2,7,10,2,45657,3,17,109,11,Chocolate Chipless Cookies
120,15.5,15,10,"Dessert, Snack",American,"If you love fresh lime flavors, white chocolate and cream cheese, these, are your new favorite cookies. They're velvety and rich but only 120 calories each so you never need to feel anything but happy when eating them. ",6,1,Easy Key Lime Pie Cookies with White Chocolate Chips,https://ohsnapmacros.com/wp-content/uploads/2023/10/keylimepiecookies-300x300.jpg,11,"[{'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar (or sugar substitie) ', 'notes': 'lightly packed, 90g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1', 'unit': 'lime', 'name': 'zest ', 'notes': None}, {'amount': '3', 'unit': 'small ', 'name': 'limes, juiced', 'notes': 'approx. 1/4 cup'}, {'amount': '2', 'unit': 'oz.', 'name': 'reduced fat cream cheese', 'notes': 'room temp'}, {'amount': '1 3/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '210g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': ""LIly's white chocolate chips (any brand)"", 'notes': '40g'}, {'amount': None, 'unit': None, 'name': 'lime zest on top', 'notes': 'optional, but recommended '}]","Preheat the oven to 400 degrees Fahrenheight and line a baking sheet with parchment paper.,In a large bowl, cream the sugar and butter until light and fluffy. ,Add the cream cheese cheese, lime zest and lime juice and mix until combined. ,In a separate medium bowl, whisk together the flour, baking soda and salt.,Add the dry ingredients to the wet ingredients, mixing until just combined.,Fold in the chocolate chips.,Drop 1.5 Tbsp. spoonfuls of dough onto the prepared baking sheet. This recipes makes approximately 19 cookies with a 1.5 Tbsp. cookie scoop. Sprinkle additional lime zest on top if using. ,Bake for 11-12 minutes or until the edges are lightly golden. Allow the cookies to cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely. ",2,"optional, but recommended ",,29,10,2,38810,4,19,86,10,Key Lime Pie Cookies
156,22.5,25.3,10,Dessert,American,"These, are the perfect way to curb your sweet tooth. With a chocolatey buttery taste, soft chewy inside and crispy outside, these cookies are everything a cookie should be. ",7,1,Easy Chocolate Chip Cookies,https://ohsnapmacros.com/wp-content/uploads/2023/10/chocolatechipcookies-300x300.jpg,10,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar substitute) ', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups ', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'semi-sweet chocolate chips', 'notes': '80g '}]","Preheat your oven to 350 degrees Fahrenheit. Line a baking sheet with parchment paper or a silicone baking mat.,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined. ,Gently fold in the chocolate chips. ,Using a 1.5 tablespoons cookie scoop, drop scoops of dough onto the prepared baking sheet, leaving space between each cookie. Bake for 10-12 minutes, or until the edges are golden but the center is still soft.,Remove from the oven and allow the cookies to cool on the baking sheet for about 5 minutes before transferring them to a wire rack to cool completely.,Store your cookies in an airtight container for 3-4 days.",1.5,80g ,0.3,17.8,10,1.5,39020,4.6,17,84.4,13.4,Chocolate Chip Cookies
113,16,11,10,"Dessert, Snack",American,"These , are the perfect pre-workout fuel or grab-and-go snack. This family favorite is made with healthy ingredients, are super easy to make and have just the right amount of sweetness. ",5,2,Pre-Workout Chocolate Chip Oatmeal Breakfast Cookies,https://ohsnapmacros.com/wp-content/uploads/2024/01/breakfastcookies-18-300x300.jpg,15,"[{'amount': '1 1/4 ', 'unit': 'cup', 'name': 'old-fashioned rolled oats', 'notes': '100g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '114g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'honey or pure maple syrup', 'notes': '74g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsweetened applesauce ', 'notes': '64g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil', 'notes': 'melted, 48g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'semi sweet chocolate chips', 'notes': '57g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'raisins or dried cranberries', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'chopped nuts', 'notes': 'optional'}]","Preheat your oven to 350 degrees Fahrenheit. Line a baking sheet with parchment paper.,In a large mixing bowl, combine the oats, whole wheat flour, baking powder, cinnamon, and salt.,In a separate large bowl, whisk together the honey or maple syrup, brown sugar, applesauce, egg, coconut oil and vanilla extract.,Pour the dry ingredients into the wet ingredients and stir until just combined.,Fold in the chia seeds, and chocolate chips (or any other mix ins if using).,Using a 1.5 Tbsp cookie scoop drop scoops onto the prepared baking sheet.,Bake for 8-10 minutes or until the edges are lightly golden. I bake for 8 minutes.,Allow the cookies to cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely. ",,optional,1,35,5,2,43620,3,17,34,7,Oatmeal Breakfast Cookies
83,5,12,12,Dessert,American,"These , are soft and chewy with a delicious nutty flavor. Gluten and dairy-free and only 83 calories each, these cookies are easy to throw together in just one bowl and a perfect snack or lunch box addition throughout the week. ",6,1,Almond Flour Peanut Butter Cookies (gluten and dairy-free),https://ohsnapmacros.com/wp-content/uploads/2024/10/almondflourpeanutbuttercookies10-300x300.jpg,8,"[{'amount': '1/2', 'unit': 'cup', 'name': 'natural peanut butter', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '48g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'almond flour', 'notes': '60g'}]","Preheat the oven to 350 degrees and line a large baking sheet with parchment paper. ,Beat together the peanut butter, sugars, egg, vanilla, and salt in a stand mixer or with an electric mixer until combined. The mixture will be smooth and fairly thick. Add the almond flour and baking powder and mix until you have a stiff and tacky cookie dough. ,Scoop rounded tablespoons of the dough then roll it into a ball with your hands. Place the cookie dough balls about 1 ½ inches apart on the lined baking sheet. Use a dinner fork dipped in cold water to create a criss-cross pattern and flatten the top of each cookie. To ensure the fork doesn’t stick, make sure to dip it into cold water between each cookie and use a rocking motion rather than trying to lift it straight up. ,Bake the cookies for 10-12 minutes until they are just turning golden around the edges. Cool the cookies on the pan for at least 10 minutes before moving them to a cooling rack.",3,60g,1,90,10,3,52841,1,18,68,4,Almond Flour Peanut Butter Cookies
218,32,36,25,Dessert,American,"Chocolate chip cookies and s'mores collide with these , They have a golden brown outside with a soft and chewy center of melted chocolate and mini marshmallows. This easy recipe can be thrown together with classic cookie ingredients in less then 10 minutes with a 25 minute bake time. ",9,1,S’mores Cookie Bars (without graham crackers),https://ohsnapmacros.com/wp-content/uploads/2024/06/smorescookiebars-19-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened '}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar substitute) ', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract ', 'notes': None}, {'amount': '1.5 ', 'unit': 'cups', 'name': 'all-purpose flour ', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'semi-sweet chocolate chips', 'notes': '60g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mini marshmallows ', 'notes': '38g'}, {'amount': '1/2', 'unit': None, 'name': 'chocolate bar ', 'notes': 'chopped'}]","Preheat your oven to 350 degrees Fahrenheit. Line a 9×9-inch baking pan with parchment paper or spray with nonstick spray. ,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined.,Gently fold in the chocolate chips and marshmallows. ,Add the cookie dough to the prepared baking pan and using a rubber spatula or your hands work the dough so it covers the entire surface of the pan. ,Optional: add 1/2 chopped chocolate bar on top.,Bake for 20-25  minutes until the edges are browned and a toothpick comes out with a few crumbs. ,Remove from the oven and allow the cookie bars to cool in the pan for about 5-10 minutes. When ready to transfer either remove with the parchment paper or a place cutting board over the top of the pan and flip out onto the cutting board. To flip the top side back up use a second surface or cutting board, place on the bottom of the bars and flip over. Or just enjoy right out of the pan. ,Cut into 12 equal squares and enjoy. ",,chopped,,28,10,3,48890,6,12,134,11,S’mores Cookie Bars
99,20,,12,Dessert,American,"These , are a lazy baker's dream!  They're the easiest cookies with just 4 simple ingredients to make a rich, chocolatey, chewy dessert. Perfect for snacking or sharing, you're going to love this cake mix cookie recipe. ",2,,Easy Chocolate Crinkle Cool Whip Cake Mix Cookies,https://ohsnapmacros.com/wp-content/uploads/2023/10/coolwhipcookies-300x300.jpg,4,"[{'amount': '1', 'unit': 'box', 'name': 'Triple Chocolate Fudge Cake Mix', 'notes': '13.25 oz.'}, {'amount': '8 ', 'unit': 'oz.', 'name': 'Zero Sugar Cool Whip', 'notes': 'defrosted '}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsweetened applesauce ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'powdered sugar', 'notes': 'or sugar substitute'}]","Preheat the oven to 350 degrees Fahrenheit and line a baking sheet with parchment paper. ,In a large mixing bowl, combine the cake mix, cool whip and applesauce and mix until fully combined. This dough will be super sticky. ,Pour the powdered sugar in a separate bowl, you will roll the dough in the sugar. ,Using a 1 Tbsp. cookie scoop, scoop a ball of dough out and drop it into the bowl of sugar. ,Roll the ball in the sugar to fully coat and place on the lined baking sheet.,Repeat for all 24 cookies. Leave a couple inches between each cookie on the cookie sheet as these will spread a bit.,Bake for 12 minutes until mostly set in the middle of the cookies.,Cool on the baking sheet for a few minutes before moving to a cooling rack to completely cool.",,or sugar substitute,,46,5,1,37630,1,24,158,10,Chocolate Cool Whip Cookies
155,20,23,10,Dessert,American,"If you're a peanut butter lover, these , are for you. With creamy peanut butter and peanut butter chocolate chips these rich and soft cookies are easy to make and double the peanut butter pleasure. Warning, they're highly addicting but only 155 calories a cookie.",7,1,Chewy and Crispy Double Peanut Butter Cookies,https://ohsnapmacros.com/wp-content/uploads/2023/10/peanut-butter-cookies-1-300x300.jpg,11,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar replacement)', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar replacement)', 'notes': '90g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'peanut butter', 'notes': '33g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups ', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': ""Lily's peanut butter chips (or any brand)"", 'notes': '40g'}]","Preheat your oven to 350 degrees Fahrenheit. Line a cookie sheet with parchment paper or a silicone baking mat.,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg, peanut butter and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined. Gently fold in the peanut butter chips. ,Using a 1.5 tablespoons cookie scoop, drop scoops of dough onto the prepared baking sheet, leaving space between each cookie. If desired add extra peanut butter chips on top of each cookie dough ball. Bake for 10-12 minutes, or until the edges are golden brown but the center is still soft.,Remove from the oven and allow the cookies to cool on the baking sheet for about 5 minutes before transferring them to a cooling rack to cool completely.,Store your cookies in an airtight container for 3-4 days.",2,40g,1,26,10,2,38791,3,19,45,10,Double Peanut Butter Cookies
