calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
233,2.5,418,5,Breakfast,American,"This , recipe is all you need for creamy and fluffy eggs. High-protein, easy to make and totally delicious, serve these eggs with your favorite breakfast sides for a complete and hearty meal. ",11,,Creamy High Protein Cottage Cheese Scrambled Eggs,https://ohsnapmacros.com/wp-content/uploads/2024/12/cottagecheesescrambledeggs6-300x300.jpg,7,"[{'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'liquid egg whites', 'notes': '92g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '55g'}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': None, 'unit': None, 'name': 'garlic powder (optional)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'olive oil cooking spray ', 'notes': None}]","Whisk eggs, egg whites, cottage cheese, salt, and black pepper in a small mixing bowl until well combined. If you prefer a smoother texture, you can blend in a blender or do the microwave method (see notes!) I also love adding a dash of garlic powder to mine. ,In a medium nonstick pan over medium heat, spray with cooking spray or grease with butter.  Carefully pour the egg mixture into the pan. Using a silicone spatula, cook and stir, scrambling the eggs gently until cooked through but still soft and creamy. Transfer to a plate and serve.",4,,2,172,5,29,55018,4,1,449,2,Cottage Cheese and Eggs
62,6,6,0,"Appetizer, Snack",American,"This , is made with simple ingredients like Greek yogurt, cottage cheese, spinach and flavorful spices. This healthier option to a classic dip is low in fat, high in protein and perfect for game days, parties or when you want a healthy snack. Serve this great dip with pita chips, fresh veggies or fresh bread.",1,1,Low Fat Cottage Cheese Spinach Dip,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesespinachdip-10-300x300.jpg,8,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '112g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen chopped spinach', 'notes': 'cooked, cooled and squeezed dry'}, {'amount': '1', 'unit': 'package', 'name': 'Knorr Vegetable Recipe Mix', 'notes': None}, {'amount': '8', 'unit': 'oz', 'name': 'water chestnuts', 'notes': 'drained and chopped'}, {'amount': '3', 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'garlic powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}]","In a high-speed blender add the cottage cheese and Greek yogurt. Blend until smooth and no chalkiness from the cottage cheese remains approx 5 minutes. ,Remove the blade and add the remaining ingredients directly to the blender, this helps to ensure you get all the cottage cheese mixture out easier. Combine with a rubber spatula and transfer to a large bowl. ,Cover and refrigerate for 2 hours before serving. Adjust with salt and pepper or additional garlic powder to taste. ,Optional! You can add 1-2 tsp of honey to cut the taste of the Greek yogurt some if it’s too tart for you. ",,to taste,,115,5,7,48729,0.5,11,390,3,Cottage Cheese Spinach Dip
459,67,38,15,Main Course,American,"This , is a one-pot meal loaded with ground beef and pasta shells in a creamy cottage cheese pumpkin sauce. Full of fall flavors, this is a great recipe to warm you up on cold winter nights. It's like hamburger helper went to the pumpkin patch drinking a pumpkin spice latte and came home a high protein, light but hearty meal that's also ready in less than 30 minutes.",7,5,30 Minute One Pot Pumpkin Pasta with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/pumpkinpasta-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'yellow onion, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'garlic cloves, minced', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef ', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2-1/4', 'unit': 'tsp.', 'name': 'chipotle chili powder ', 'notes': 'see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'medium shell pasta', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium beef broth ', 'notes': '32 oz.'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1', 'unit': 'can', 'name': 'pumpkin puree', 'notes': '15 oz.'}, {'amount': '1', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tomato paste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh basil', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sage leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Parmesan cheese', 'notes': None}]","Add the olive oil to a large skillet over medium heat. Add the onions and garlic and saute until the onion is translucent. ,Add the ground beef and cook, breaking into bite size pieces, until cooked through. Approximately 5 minutes. Add the salt, chipotle powder, cumin, rosemary and pepper. Stir to combine.,Add the uncooked pasta, beef broth and water to the pan, stirring to submerge the pasta shells as best as possible. Bring to a boil and reduce to medium heat. Cook, stirring often for 12-14 minutes or until the pasta is cooked. ,Optional, add the cottage cheese, pumpkin puree, tomato paste and cinnamon to a blender and blend so the cottage cheese is smooth. Or, just add in chunky, I promise it doesn’t effect the taste or texture of the pasta. ,Add the cottage cheese, pumpkin puree, tomato paste and cinnamon directly to the pan with the pasta. Stir and cook for a few additional minutes to warm through and evenly coat the pasta shells. ,Adjust with salt and pepper to taste, serve and enjoy! ",,,,644,10,33,50914,1,6,490,7,Pumpkin Pasta
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
241,24,40,0,"Dessert, Snack",American,"This creamy chocolate , is a great post workout snack or guilt-free dessert. Made with Greek yogurt, cottage cheese, protein powder and honey, this easy recipe is rich, velvety and actually has pudding texture! ",4,1,High Protein Velvety Chocolate Pudding,https://ohsnapmacros.com/wp-content/uploads/2024/07/proteinpudding-9-300x300.jpg,5,"[{'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1/2', 'unit': 'cup', 'name': '0% plain greek yogurt', 'notes': '112g'}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder', 'notes': 'PEScience Chocolate Truffle '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}]","Add everything to a blender and blend for at least 5 minutes until fully combined and the cottage cheese is no longer chalky. You may need to stop and push the sides down the a rubbed spatula while blending to get everything to combine.,Split evenly between two small pudding cups and let set in the fridge for at least one hour before enjoying.,Top with fresh fruit, whipped cream and your favorite toppings or enjoy as is right out of the fridge. ",,,,134,5,32,49185,2,2,477,22,Protein Pudding
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
277,15,75,,Main Course,Italian,"These ,are not only easy but absoteluy delicious. With everything from lasagna, dips and desserts there are recipes here to make anyone beliver that cottage cheese really can go in pretty much anything. ",14,2,Easy High Protein Cottage Cheese Recipes,https://ohsnapmacros.com/wp-content/uploads/2024/01/cottagecheeselasagna-1-300x300.jpg,21,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'black pepper or fresh cracked', 'notes': 'to taste'}, {'amount': '32', 'unit': 'oz.', 'name': 'jar of marinara sauce ', 'notes': '(I use Raos)'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen spinach', 'notes': 'defrosted and strained '}, {'amount': '8', 'unit': None, 'name': 'oven ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low moisture mozzarella cheese', 'notes': 'shredded, 224g'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic and onions to the pan and cook until nice and browned, approximately 3-5 minutes.,Add the ground beef to the pan and break into bite size pieces. Cook until fully cooked through, mixing often, approximately 5 minutes. ,Add the oregano, italian seasoning, paprika, chili powder, salt and pepper to the beef mixture and combine to evenly coat. ,Add sauce, combine and simmer while you prepare the cottage cheese filling. ,For the filling: combine the cottage cheese, eggs, parmesan cheese, oregano, Italian seasoning, salt and pepper and mix well to combine.,Add the defrosted and strained spinach to the cottage cheese mixture and mix to combine.,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of the meat mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking dish (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the meat mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the meat mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining meat mixture, remaining cottage cheese filling and 1 cup cheese on top.,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and browned and the sauce is nice and bubbly at the edges. ,Top with freshly chopped parsley and cut into 12 equal servings and enjoy this easy lasagna recipe. ",1,"shredded, 224g",,183,30,22,49704,6,12,849,4,Cottage Cheese Lasagna
228,34,4,,Main Course,American,"This higher protein , is silky, light and full of fall flavors. Made with roasted vegetables, herbs and spices this , soup packs a punch of cream with cottage cheese for protein and richness. It's a wonderful easy recipe that's both simple and satisfying. ",4.4,3,Roasted Garlic Butternut Squash and Red Pepper Soup (13g protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/butternutsquashsoup-300x300.jpg,14,"[{'amount': '2', 'unit': None, 'name': 'red bell peppers ', 'notes': ""chopped, 2' pieces""}, {'amount': '20', 'unit': 'oz.', 'name': 'frozen cubed butternut squash', 'notes': 'or fresh'}, {'amount': '6', 'unit': 'small', 'name': ' garlic cloves ', 'notes': 'peeled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'chicken bone broth', 'notes': '32 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': '*see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Preheat the oven to 400 degrees fahrenheit. Add the bell peppers, butternut squash and garlic to a large sheet pan. Drizzle the olive oil, salt and pepper over the top and mix to combine and coat. Roast in the oven for 40-45 minutes or until the bell peppers are nice and chared and soft. ,Remove the peppers and squash from the oven and scoop into a large high speed blender. Add 1 cup bone broth and the cottage cheese and blend for approximately 5 minutes or until everything is smooth and well blended.,Over medium heat, add the blended peppers and squash to a large dutch oven or soup pot. Pour 2 cups of the broth into the blender and swish around, this is how you’ll get all the blended mixture out, and pour into the dutch oven. ,Add the remaining broth, salt, onion powder, garlic powder, ginger, coconut aminos and lots of fresh cracked pepper. Bring to a simmer and simmer until it’s warmed through while whisking to ensure the mixture incorporates into the broth. ,Serve topped with blended cottage cheese for extra creaminess, or cream, croutons, fresh basil or chopped green onions and a dash of red pepper flakes for some heat is desired.",2.5,,0.5,461,10,13,52533,0.9,4,1479,10,Butternut Squash and Red Pepper Soup
309,16,55,,Main Course,American,"This , recipe is lasagna with a twist. Made with oven-ready noodles, tender chicken, and buffalo wing sauce, this easy meal takes lasagna to the next level. High protein and delicious, this is a weeknight winner the entire family will love. ",16,2,Buffalo Ranch Chicken Lasagna (oven-ready noodles),https://ohsnapmacros.com/wp-content/uploads/2024/03/buffalochickenlasagna-30-300x300.jpg,22,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded or finely chopped, 140g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'celery', 'notes': 'chopped, 87g'}, {'amount': '1', 'unit': 'lb.', 'name': 'shredded chicken breast ', 'notes': 'cooked'}, {'amount': '16', 'unit': 'oz.', 'name': 'buffalo sauce', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'marinara sauce', 'notes': '9 oz.'}, {'amount': '16', 'unit': 'oz.', 'name': 'low-fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '2.5', 'unit': 'Tbsp.', 'name': 'Dry ranch seasoning', 'notes': ' homemade below'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '8', 'unit': None, 'name': 'oven-ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low-moisture mozzarella cheese', 'notes': 'shredded, 224g'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'dried parsley', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried chives', 'notes': 'optional'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic, onions, carrots and celery to the pan and cook until nice and soft, approximately 3-5 minutes.,Remove from the pan and add to a large mixing bowl. Combine the sauteed vegetables with the shredded chicken, buffalo sauce and marinara sauce. Mix to combine. ,In a small mixing bowl or mason jar (to store) combine the homemade ranch seaosning ingredients and mix well to combine. ,For the filling, combine the cottage cheese, eggs, parmesan cheese, 2.5 Tbsp. dried ranch seasoning and fresh cracked pepper. Mix to fully combine. ,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of sauce from the chicken buffalo mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking sheet (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the buffalo chicken mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the buffalo chicken mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining chicken mixture, remaining cottage cheese filling and 1 cup cheese on top. ,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and golden brown and the sauce is nice and bubbly at the edges. Broil if needed to brown the cheese for a few minutes. ,Remove from the oven, top with freshly chopped parsley and cut into 12 equal servings and enjoy. ",1,optional,,213,30,25,44637,5,12,1583,4,Buffalo Chicken Lasagna
297,18,67,,Main Course,American,"These jalapeño popper, are an easy recipe to prep beforehand and enjoy as a quick lunch. The filling is made in the crockpot with shredded chicken, spicy flavors, and lighter ingredients, making a healthy and wholesome easy meal. Customize the wraps for individual tastes so everyone can have what they love. ",17,7,Jalapeno Popper Shredded Chicken Wraps,https://ohsnapmacros.com/wp-content/uploads/2024/06/Jalapenopoppershreddedchickenwraps-8-300x300.jpg,7,"[{'amount': '1', 'unit': 'batch', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'Tumaro Wraps (or any preferred burrito size wrap)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomatoes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'jalapeños ', 'notes': None}]","Make the Jalapeno Popper Dip and use the leftovers. ,To make the wraps, add ½ cup (134g) of the chicken mixture onto a warmed wrap. Top with lettuce, tomato, onion or any preferred vegetables. Fold half over the filling, fold in the sides and continue to fold up into a burrito. ,Enjoy as is or sear on a hot grill pan for a crispy outer crunch. ",1,,,255,10,23,48260,9,14,542,6,Jalapeno Popper Shredded Chicken Wraps
