calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
212,30,43,25,Dessert,American,"This , is moist and fluffy with a delicious brown sugar streusel topping. Made with Greek yogurt and applesauce instead of traditional sour cream, this lighter version of a classic coffee cake has the flavor and texture you love, without an overload of calories.",8,1,Applesauce and Greek Yogurt Coffee Cake,https://ohsnapmacros.com/wp-content/uploads/2024/12/applesaucecoffeecake14-300x300.jpg,13,"[{'amount': '1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '30g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar, lightly packed', 'notes': '24g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': '28g'}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1 ½\xa0', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '95g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened applesauce ', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsalted butter, melted and slightly cooled', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'nonfat Greek yogurt', 'notes': '55g'}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}]","Preheat the oven to 350 degrees. Lightly grease an 8-inch square pan then line it with parchment paper leaving an overhang.,Make the streusel topping first. Add all of the ingredients to a small bowl. Mix with a rubber spatula, pressing into it to break up the butter and rubbing it into the dry ingredients. It’s ready once it looks moist and sandy. Set the streusel topping aside.,To make the cake batter, combine flour, baking powder, salt, and brown sugar in a medium-sized bowl until combined. Make sure to break up any lumps of brown sugar.,In a separate larger bowl, whisk together the applesauce, melted butter, Greek yogurt, egg, and vanilla until smooth. Add the flour mixture to the wet ingredients and mix until just combined. The batter will be thick and sticky, that is ok! Pour batter into an even layer in the prepared pan. ,Sprinkle the streusel topping over the batter in an even layer. ,Bake the cake in the preheated oven on the center rack for 23-25 minutes or until a toothpick inserted into the middle comes out clean and the top of the cake springs back when gently touched. ,Cool the cake in the pan for at least 20 minutes before serving. Cut into 9 equal squares for serving. ",2,,,142,10,4,53069,5,9,138,12,Applesauce Coffee Cake
83,10,,0,Dessert,American,"These pistachio covered ,have all the right crunch in every bite with a creamy peanut butter center. A deliciously flavorful snack that feels like a treat. ",5,1,Pistachio Peanut Butter Chocolate Covered Dates,https://ohsnapmacros.com/wp-content/uploads/2024/06/pistachiodates-300x300.jpg,6,"[{'amount': '20', 'unit': None, 'name': 'pitted dates', 'notes': '12 oz. package'}, {'amount': '1/3', 'unit': 'cup', 'name': 'creamy peanut butter ', 'notes': '80g'}, {'amount': '1', 'unit': 'cup', 'name': 'dark chocolate chips ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'coconut oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pistachios', 'notes': 'crushed'}, {'amount': None, 'unit': None, 'name': 'flakey sea salt ', 'notes': None}]","Line a baking sheet with parchment paper. Make a slit in each date, across the top. Carefully pry open the slit to make it easier to fill.,Spoon peanut butter into each date. Fill each with about 1 teaspoon of peanut butter (4g) but do not overflow. Place the filled dates in a freezer for 10 minutes to harden up.,Once the dates are set, prepare your chocolate. In a small microwave-safe bowl bowl add dark chocolate chips and coconut oil. Cook for 1 minute. Remove from the microwave and stir well. The chocolate will continue to melt as you stir. If needed, pop it back into the microwave for an additional 20 seconds. Mixture should be smooth. Once dates are set, prepare your dipping station. This part will go quickly so be sure to have your chocolate, sea salt and crushed pistachios ready.,Place stuffed dates in the chocolate one at a time. Roll it around with a fork to fully coat. Drip excess chocolate off before placing back on the baking sheet. Quickly sprinkle top with sea salt and crushed pistachios. With the stuffed dates being cold these will set very quickly. You will want to dip and sprinkle each date one at a time. Repeat this step until each date is dipped and sprinkled. ",,,,85,20,2,49142,2,20,15,8,Pistachio Chocolate Coated Dates
393,54,88,20,Dessert,American,"This , is the perfect holiday dessert. Spiced with nutmeg, cinnamon and vanilla, the creamy sweet potato filling is decadent, rich and easy to make. No one will even notice the store-bought pie dough to help save on time and ensure a perfect flaky crust. Serve this pie with whipped cream and cinnamon for a beautiful holiday pie. ",19,3,Simple Sweet Potato Pie (store-bought crust),https://ohsnapmacros.com/wp-content/uploads/2024/10/sweetpotatopie-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'sweet potatoes', 'notes': 'approx 3 medium sweet potatoes'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': 'packed'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': None}, {'amount': '2', 'unit': 'eggs', 'name': 'room temperature ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'whole milk', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'nutmeg', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'refrigerated pie crust', 'notes': None}]","Preheat oven to 400 degrees Fahrenheit.  Poke several holes in the potatoes with a fork.  Place potatoes on a baking sheet, bake until fork tender, about one hour.  Remove from oven and allow to cool for 5-10 minutes.,While the potatoes cool blind bake the pie crust. Roll the pie crust into a 9-inch pie plate and line with parchment paper or foil, fill it with pie weights or even raw beans.  Bake for 15-20 minutes, remove from the oven, carefully remove the pie weights, and set aside to cool.,Reduce oven temperature to 350 degrees Fahreneight.,Remove the skin from the cooked sweet potatoes, with a knife remove any scorched flesh or dark areas.,Add potatoes to the bowl of a food processor, and blend until the potatoes are pureed.  Or mash with a potato masher or ricer, until no large lumps remain. You should have 2 ¼ to 2 ½ cups of potato puree.,In a large bowl add the puree and softened butter.  Stir until the butter is melted and thoroughly incorporated.,Add brown sugar, white sugar, salt, cinnamon, and nutmeg and stir to combine.,Add the eggs, milk, and vanilla extract, stirring with a whisk until fully incorporated.,Pour the mixture into the par baked pie crust.  Bake for 1 hour, or until pie is puffed up and the center wiggles slightly.  Tent crust with foil the final 15 minutes of baking if it is getting too browned.,Remove the pie from the oven and cool for an hour, refrigerate until ready to serve.",6,,1,37,25,4,52627,10,8,413,33,Sweet Potato Pie
127,18,10,10,Dessert,American,"These , are the perfect no bake dessert. Made with chocolate chips, marshmallows, Rice Krispies and a sneaky scoop of undetectable protein powder, this easy recipe is a chocolate lovers dream.  ",5,1,Chocolate Rice Krispie Treats with Protein Powder,https://ohsnapmacros.com/wp-content/uploads/2024/10/chocolatericekrispietreats-2-300x300.jpg,7,"[{'amount': '4', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': 'cubed'}, {'amount': '10', 'unit': 'oz.', 'name': 'mini marshmallows', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder, 31g', 'notes': 'PeScience Chocolate Truffle'}, {'amount': '1 ½', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}, {'amount': '½', 'unit': 'cup', 'name': 'chocolate chips', 'notes': '170g'}, {'amount': '5', 'unit': 'cups', 'name': 'Rice Krispie Cereal', 'notes': '133g'}, {'amount': None, 'unit': None, 'name': 'flaky sea salt', 'notes': None}]","Melt the cubed butter in a large saucepan over medium heat. Add the mini marshmallows, protein powder, cocoa powder and chocolate chips and stir to combine and melt the marshmallows and chocolate into a sauce. ,Remove from the heat and immediately mix in the cereal, stirring to combine. This will take some arm power to get it to fully mix and combine, just keep mixing. ,Add the mixture to a parchment or wax paper lined 8×8-inch square pan and press it down to mold into the baking dish. Don’t smash the treats in the pan too hard or you’ll have dense Rice Krispies treats. You want some spacing between and pockets to get in there. Let it sit until completely cooled and hardened, approximately 1 hour or more. ,Cut into 16 equal squares and top with flakey sea salt for serving. ",1,,,17,2,3,52713,3,16,100,7,Chocolate Rice Krispie Treats
83,5,12,12,Dessert,American,"These , are soft and chewy with a delicious nutty flavor. Gluten and dairy-free and only 83 calories each, these cookies are easy to throw together in just one bowl and a perfect snack or lunch box addition throughout the week. ",6,1,Almond Flour Peanut Butter Cookies (gluten and dairy-free),https://ohsnapmacros.com/wp-content/uploads/2024/10/almondflourpeanutbuttercookies10-300x300.jpg,8,"[{'amount': '1/2', 'unit': 'cup', 'name': 'natural peanut butter', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '48g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'almond flour', 'notes': '60g'}]","Preheat the oven to 350 degrees and line a large baking sheet with parchment paper. ,Beat together the peanut butter, sugars, egg, vanilla, and salt in a stand mixer or with an electric mixer until combined. The mixture will be smooth and fairly thick. Add the almond flour and baking powder and mix until you have a stiff and tacky cookie dough. ,Scoop rounded tablespoons of the dough then roll it into a ball with your hands. Place the cookie dough balls about 1 ½ inches apart on the lined baking sheet. Use a dinner fork dipped in cold water to create a criss-cross pattern and flatten the top of each cookie. To ensure the fork doesn’t stick, make sure to dip it into cold water between each cookie and use a rocking motion rather than trying to lift it straight up. ,Bake the cookies for 10-12 minutes until they are just turning golden around the edges. Cool the cookies on the pan for at least 10 minutes before moving them to a cooling rack.",3,60g,1,90,10,3,52841,1,18,68,4,Almond Flour Peanut Butter Cookies
218,32,36,25,Dessert,American,"Chocolate chip cookies and s'mores collide with these , They have a golden brown outside with a soft and chewy center of melted chocolate and mini marshmallows. This easy recipe can be thrown together with classic cookie ingredients in less then 10 minutes with a 25 minute bake time. ",9,1,S’mores Cookie Bars (without graham crackers),https://ohsnapmacros.com/wp-content/uploads/2024/06/smorescookiebars-19-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened '}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar substitute) ', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract ', 'notes': None}, {'amount': '1.5 ', 'unit': 'cups', 'name': 'all-purpose flour ', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'semi-sweet chocolate chips', 'notes': '60g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mini marshmallows ', 'notes': '38g'}, {'amount': '1/2', 'unit': None, 'name': 'chocolate bar ', 'notes': 'chopped'}]","Preheat your oven to 350 degrees Fahrenheit. Line a 9×9-inch baking pan with parchment paper or spray with nonstick spray. ,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined.,Gently fold in the chocolate chips and marshmallows. ,Add the cookie dough to the prepared baking pan and using a rubber spatula or your hands work the dough so it covers the entire surface of the pan. ,Optional: add 1/2 chopped chocolate bar on top.,Bake for 20-25  minutes until the edges are browned and a toothpick comes out with a few crumbs. ,Remove from the oven and allow the cookie bars to cool in the pan for about 5-10 minutes. When ready to transfer either remove with the parchment paper or a place cutting board over the top of the pan and flip out onto the cutting board. To flip the top side back up use a second surface or cutting board, place on the bottom of the bars and flip over. Or just enjoy right out of the pan. ,Cut into 12 equal squares and enjoy. ",,chopped,,28,10,3,48890,6,12,134,11,S’mores Cookie Bars
241,24,40,0,"Dessert, Snack",American,"This creamy chocolate , is a great post workout snack or guilt-free dessert. Made with Greek yogurt, cottage cheese, protein powder and honey, this easy recipe is rich, velvety and actually has pudding texture! ",4,1,High Protein Velvety Chocolate Pudding,https://ohsnapmacros.com/wp-content/uploads/2024/07/proteinpudding-9-300x300.jpg,5,"[{'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1/2', 'unit': 'cup', 'name': '0% plain greek yogurt', 'notes': '112g'}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder', 'notes': 'PEScience Chocolate Truffle '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}]","Add everything to a blender and blend for at least 5 minutes until fully combined and the cottage cheese is no longer chalky. You may need to stop and push the sides down the a rubbed spatula while blending to get everything to combine.,Split evenly between two small pudding cups and let set in the fridge for at least one hour before enjoying.,Top with fresh fruit, whipped cream and your favorite toppings or enjoy as is right out of the fridge. ",,,,134,5,32,49185,2,2,477,22,Protein Pudding
160,25,8,,Dessert,American,"These , bars taste like strawberry crunch bars from the ice cream truck but higher in protein. A graham cracker crust topped with cottage cheese ice cream and a crunchy cookie topping, this high protein dessert has everything you love about traditional ice cream but made in your own kitchen.",5,1,Strawberry Crunch Cottage Cheese Ice Cream Bars,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheeseicecreambars-300x300.jpg,7,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese (Good Culture)', 'notes': '16 oz.'}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': 'strawberries ', 'notes': 'halved'}, {'amount': '4', 'unit': 'sheets', 'name': 'graham crackers', 'notes': 'crumbled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted'}, {'amount': '4', 'unit': None, 'name': 'Golden Oreo Thins', 'notes': 'crumbled'}, {'amount': '1/4', 'unit': 'cup', 'name': 'freeze-dried strawberries', 'notes': '8g crumbled'}]","In a high-speed blender, add the cottage cheese, honey and strawberries. Blend for at least 5 minutes until completely smooth.,Add the graham crackers to a ziplock and crush with a rolling pin and transfer to a small bowl. Add the melted coconut oil and mix to combine until it resembles wet sand. ,Line a loaf pan with parchment paper so the long side hangs over, this will help pull the bars out once frozen. Add the graham cracker mixture to the bottom and press it down well.,Pour the cottage cheese ice cream mixture over the graham crackers. ,To another ziplock, add the Golden Oreo Thins and freeze dried strawberries and crush with rolling pin. Sprinkle on top of the ice cream to evenly coat the top.,Top with foil and freeze for 4-5 hours. Remove and pull the ice cream bars out using the parchment paper. Cut down the center lengthwise and into 8 equal squares (you can eat them at this point though they'll be slightly soft in the center still). Return to the pan, top with foil and freeze for another 3-4 hours.   ,When ready to enjoy you MUST let these defrost for 15-20 minutes before eating to ensure they're soft and creamy and no longer icy. Let the pan sit at room temp until you can easily pull the bars out using the parchment paper. The longer you freeze the ice cream bars, the longer it will take to defrost. ,: it’s easier to cut halfway through freezing ~ after 4-5 hours in the freezer before it’s super hard, otherwise you'll have to let the entire pan defrost before cutting vs. pre cutting and pulling out however many you want to enjoy to defrost! Return to the freezer to easily enjoy the bars, when desired. ",,8g crumbled,,105,10,8,49486,3,8,228,18,Strawberry Crunch Cottage Cheese Ice Cream Bars
165,22,54,35,Dessert,American,"These chocolate , are the perfect treat. Layers of fudgy chocolate brownies and pumpkin cake are swirled together, with each bite filled with the rich flavors of chocolate and pumpkin. ",8,2,Chocolate Pumpkin Swirl Fudge Brownies,https://ohsnapmacros.com/wp-content/uploads/2024/08/pumpkinbrownies-300x300.jpg,15,"[{'amount': '1', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '192g'}, {'amount': '2', 'unit': None, 'name': 'eggs, room temperature ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder', 'notes': '80g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'sugar', 'notes': '48g'}, {'amount': '1', 'unit': None, 'name': 'egg, room temperature ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'pumpkin puree', 'notes': '108g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'creamy peanut butter (or almond butter)', 'notes': '33g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '60g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'pumpkin pie spice', 'notes': None}]","Preheat the oven at 350 degrees. Lightly grease an 8×8-inch pan and line it with parchment paper, leaving an overhand. This will make it easier to remove and slice the brownies later on.,Start by making the chocolate brownie batter. Add the sugar, eggs, and vanilla extract to a medium sized bowl and whisk to combine. ,Slowly add in the melted butter, whisking as you go so that any residual warmth from the butter doesn’t scramble the egg.,Once you’ve incorporated the butter, add the cocoa powder, salt, and baking soda to the bowl. Whisk until you have a smooth batter and there are no longer any pockets of dry ingredients remaining. Set the bowl aside and give your whisk a quick rinse. ,Make the pumpkin batter next. Add the sugar, egg, pumpkin puree, and peanut butter to a bowl and whisk until smooth. Add the flour, salt, baking soda, and pumpkin pie spice and whisk until just combined. ,Spread about two-thirds of the chocolate brownie batter on the bottom of the prepared pan in an even layer. ,Then, gently spread half of the pumpkin layer on top., Lastly, alternate placing dollops of the remaining pumpkin and brownie batters across the top of the surface. Gently swirl the dollops together with a butter knife or spoon, then tap the pan on the counter firmly a few times to help settle the batter. ,Bake the brownies in the preheated oven for 30-35 minutes or until a tester comes out with a few moist crumbs. Cool the brownies in the pan completely before slicing into 16 squares.",3,,1,111,15,3,50749,4,16,88,16,Pumpkin Brownies
152,14,29,20,Dessert,American,"The next time you're in the mood for cheesecake, these , are incredible. With a creamy strawberry filling and a graham cracker crust, this dessert is easy to make and serve, with little clean up. Ideal for gatherings, parties and quick snacking, these cheesecakes are made with lighter ingredients for zero guilt and all the taste.",10,,Mini Strawberry Cheesecakes with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2024/06/minicheesecakes-300x300.jpg,11,"[{'amount': '2.7', 'unit': 'oz.', 'name': 'graham crackers', 'notes': '5 sheets'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'coconut oil or butter', 'notes': 'melted'}, {'amount': '8', 'unit': 'oz.', 'name': '1/3 less fat cream cheese', 'notes': 'softened to room temperature '}, {'amount': '1/3', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '74g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'sugar free strawberry jam', 'notes': None}, {'amount': '4', 'unit': 'Tbsp. ', 'name': 'sugar free strawberry jam', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sliced strawberries', 'notes': None}]","Preheat the oven to 325 degrees Fahrenheit and line a muffin tin with cupcake liners and spray with nonstick spray. In a food processor, crumble the graham crackers until well crushed and you have a bowl of fine crumbs.,Pour in the melted coconut oil or butter and pulse to combine. The mixture should resemble wet sand.  ,Evenly split the graham cracker crust in the bottom of each liner in the muffin pan and press firmly into the bottom.  Bake for 6-10 minutes or until the edges begin to brown. Allow to cool while making the cheesecake filling. ,To make the cheesecake filling, in a large bowl beat the less-fat cream cheese and sugar until light and fluffy with a hand or electric mixer, about 3-5 minutes. The sugar should not be grainy at this point but well incorporated into the cream cheese.,Mix in the greek yogurt, vanilla extract, and flour until incorporated.  ,Slowly beat in the large egg, just until combined. Do not overmix your cheesecake batter.  ,Using a large cookie scoop (1.5 Tbsp.) place one scoop of the cheesecake filling in each prepared and cooled crust using the cookie scoop. Evenly distributed between all 12 muffin tins. ,Top each filling with 1 tsp. strawberry jam and swirl into the cheesecake filling with a small spoon or toothpick being carful not to move the crust. ,Bake cheesecakes for 14-16 minutes or until the edges are set and the middle slightly wobbles.  ,Allow the mini cupcakes to cool to room temperature, cover with plastic wrap, and refrigerate for 2 hours or overnight for best results. ,When ready to serve, top each with an additional 1 tsp. of jam, freshly sliced strawberries and serve. ",1,,,31,15,3,43295,7,12,120,9,Mini Strawberry Cheesecakes
