calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
386,39,26,30,Main Course,American,"This skillet , has a high-protein 2 ingredient crust made with ,that is completely undetectable. With a deliciously thick and fluffy crust, this high-protein meat pie has , in one slice and is one you'll be skipping the drive-thru for. ",13,1,Big Mac Pizza with 2 Ingredient Cottage Cheese Crust,https://ohsnapmacros.com/wp-content/uploads/2021/12/bigmacpizza-26-300x300.jpg,20,"[{'amount': '2 1/4', 'unit': 'cups', 'name': 'self-rising flour', 'notes': '270g (plus more for rolling)'}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': '16 oz. '}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': None, 'unit': None, 'name': 'chopped green leaf lettuce', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'yellow mustard', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'light mayonnaise', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'kethcup', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dill pickles ', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'pickkle juice ', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}, {'amount': None, 'unit': None, 'name': 'shredded iceberg lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'finely chopped white onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'dil pickles', 'notes': None}]","Preheat the oven to 425 degrees Fahrenheit.,In a large mixing bowl combine the flour, cottage cheese, salt, basil and oregano. Using a rubber spatula and eventually your hands mash the ingredients together until they begin to stick and form a large dough ball. This will take some work but it , come together. ,The dough will be VERY sticky and that is ok! Lay the ball onto a well floured surface and roll it around so it’s coated in the flour. Use well floured hands and press it down into a thick disk. Transfer the disk to a large 12-inch cast iron (or larger) coated with nonstick spray and press it out so it evenly reaches the edges of the cast iron surface.,Heat a large skillet over medium and brown the ground beef until cooked through. Add the yellow mustard, garlic powder, onion powder, salt and pepper and stir to combine. ,While the meat cooks, add the mayonnaise, ketchup, pickles and juice to a small mixing bowl. Mix to combine and top the raw dough with ½ to ¾ of the sauce, leaving some remaining to drizzle on top of the pizza. ,Top the sauce with ½ cup shredded cheddar cheese, 56g. Using a slotted spoon scoop the ground beef out of the skillet and onto the cheese-covered pizza. Evenly spread the meat around the pizza. ,Top with the remaining ¼ cup of cheddar cheese. Lightly spray the edges of the crust with cooking spray to help them brown in the oven and place the pizza in the oven and bake for 25-30 minutes. ,Remove the pizza and let cool for 5 minutes. Top with shredded lettuce, chopped white onion, pickles and the remaining Big Mac Sauce. Cut into 6 pieces and enjoy. ",2,,1,92,10,33,19243,4,6,950,4,Big Mac Pizza
356,45,98,10,Main Course,American,"The sweet and salty combination of this , makes the best fried rice! Your whole family will love this vibrant and satiating meal, that's ready in less than 15 minutes. Even better, it's a great recipe for using up holiday ham or leftover rice.",9,3,Sweet and Savory Ham and Pineapple Fried Rice,https://ohsnapmacros.com/wp-content/uploads/2024/03/hamandpineapplerice-300x300.jpg,11,"[{'amount': '2', 'unit': 'cups', 'name': 'uncooked jasmine Minute Rice', 'notes': '192g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen riced cauliflower', 'notes': 'cooked'}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': 'split'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'lb.', 'name': 'pre cooked diced ham', 'notes': 'chopped'}, {'amount': '1.5', 'unit': 'cups', 'name': 'pineapple chunks', 'notes': 'fresh preferred or canned, 250g,'}, {'amount': '1', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'diced'}, {'amount': '1/2', 'unit': 'cup', 'name': 'frozen peas', 'notes': 'thawed'}, {'amount': '2', 'unit': 'whole', 'name': 'eggs', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': None, 'notes': '105g (or soy sauce)'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Microwave 2 cups of rice plus 2 cups of water for 8 minutes, according to the package instructions. Once cooked, transfer the bowl to the fridge to cool rice. Cook the cauliflower rice according to the package, strain any excess liquid and and it to the bowl of the jasmine rice and combine. ,In a large pan or wok, heat 1 Tbsp. sesame oil over medium heat. Add the garlic and saute for a couple minutes until fragrant. Add the ham and red pepper to sear and soften the peppers. You want a nice browning on the ham chunks, this will take approximately 5 minutes. ,Add the thawed peas to the pan and stir to combine. Push everything to the outer edges of the pan and add the remaining 1 Tbsp. oil, crack 2 eggs in the center. Stir to scramble and cook until fully cooked through. Mix into the ham mixture to combine. ,Add the chilled cooked rice and cauliflower blend, breaking apart any large clumps, stirring together to combine everything evenly. Let it fry on the bottom for a minute at a time before stirring everything together. Pour the coconut aminos over the rice, and season with pepper. Mix everything well.,Stir in the pineapple chunks and cook for another 2 minutes.,Once everything is well combined and the rice is hot, serve and garnish with chopped green onions if desired. ",2,,2,217,5,21,39605,2,6,1148,10,Ham and Pineapple Fried Rice
403,31,100,10,Main Course,American,"These , are the easiest way to make the best burgers, ever! Made with homemade bbq sauce, crispy bacon and fresh toppings, these burgers are perfect for busy weeknights when you want something quick and easy but completely delicious.",15,1,Frozen BBQ Bacon Burgers in the Air Fryer,https://ohsnapmacros.com/wp-content/uploads/2024/03/bbqbaconburgers-300x300.jpg,25,"[{'amount': '2', 'unit': None, 'name': 'burger patties', 'notes': 'Signature Farms 100% Beef 91/9 are my favorite'}, {'amount': '2', 'unit': 'slices', 'name': None, 'notes': 'Hemplers Zero Sugar'}, {'amount': '2', 'unit': 'tsp.', 'name': 'burger seasoning', 'notes': 'I like Kinders Seasonings'}, {'amount': '2', 'unit': 'slices', 'name': 'thin cut cheddar cheese', 'notes': 'optional'}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomato', 'notes': None}, {'amount': None, 'unit': None, 'name': 'onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pickles', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sprouts', 'notes': None}, {'amount': None, 'unit': None, 'name': None, 'notes': 'Signature Select '}, {'amount': '8', 'unit': 'oz.', 'name': 'tomato sauce ', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic vinegar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'hickory liquid smoke', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'arrowroot powder', 'notes': 'or constrarch '}, {'amount': '1-2 ', 'unit': 'Tbsp. ', 'name': 'water', 'notes': 'mixed with arrowroot or cornstarch '}]","Add the tomato sauce, water, honey, apple cider vinegar, coconut aminos, liquid smoke, paprika, garlic powder, onion powder, chili powder, salt and pepper to a sauce pan and bring to a boil. ,Lower the heat and simmer for 10-15 minutes. Combine the arrowroot or cornstarch and water in a small bowl and mix to combine. Gradually add a little at a time while whisking and allowing the sauce to simmer for a few minutes between each addition. If you want a thinner sauce, use 1/2-3/4 of the mixture. I find using all of it is a great consistency. Be sure to whisk well while adding the arrowroot or cornstarch to avoid clumping. ,Remove from the heat and let the barbeque sauce cool completely while you cook your burgers and bacon.,Season the burgers with your preferred burger seasoning on both sides, ½ tsp per side. I like using Kinders Steak Blend.,Add the burgers and slices of bacon the air fryer basket. Cook at 380 for 8 minutes, flipping both the burgers and bacon halfway through. This will give you a medium to medium-well burger. Cook 3 mins each side for medium-rare and and 5 mins each side for well-done (160 degrees Fahrenheit internal temperature using a meat thermometer). ,If adding cheese, top the burgers with cheese and cook for an additional 1 minute until melted. ,Assemble your burgers with a bun of choice, I like using Brioche buns. Top your bottom bun with lettuce, then burger patty, then bacon, tomato, pickles, onion, and 2 Tbsp. of homemade barbecue sauce. ",5,mixed with arrowroot or cornstarch ,,94,15,32,44938,6,2,683,11,BBQ Bacon Burgers
195,23,26,0,"Breakfast, Dessert, Snack",American,"This high protein , is thick, creamy, and delicious. Filled with tropical flavors and protein, this everyday smoothie is easy to make and can easily be a meal replacement or split into two as a shareable snack. ",3,2,High Protein Tropical Cottage Cheese Smoothie,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesesmoothie-300x300.jpg,7,"[{'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'frozen mango', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'fresh pineapple', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla bean paste', 'notes': None}]","Put everything in a high speed blender and blend until smooth.,Split between two cups (you can store one if needed) and top with sweetened coconut flakes and fresh pineapple.  ",,,,245,3,20,49792,1,2,352,18,Tropical Cottage Cheese Smoothie
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
423,38,172,20,Main Course,Japanese,"These chicken ,are healthy, delicious and requires no hibachi grill. Made with marinated chicken, crispy veggies and a rice/cauliflower rice combo, this easy weeknight meal is high in protein and heavy on flavor. ",11,3,Homemade Hibachi Style Chicken Bowls with Vegetables,https://ohsnapmacros.com/wp-content/uploads/2024/03/hibachibowls-18-300x300.jpg,28,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts', 'notes': 'chopped into bite-sized pieces'}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '4-5', 'unit': 'cloves', 'name': 'garlic', 'notes': 'roughly minced'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'hoisin sauce', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ginger paste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'for cooking'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': 'for cooking'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'medium', 'name': 'zucchini', 'notes': 'chopped (3 cups)'}, {'amount': '8', 'unit': 'oz.', 'name': 'sliced crimini mushrooms', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'carrot chips', 'notes': '100g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'Jasmine Minute Rice', 'notes': 'dry, 192g'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen riced cauliflower', 'notes': 'cooked'}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': 'lightly scrambled'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'black pepper', 'notes': 'to taste'}, {'amount': '4', 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': None, 'unit': None, 'name': 'spicy mustard', 'notes': None}, {'amount': None, 'unit': None, 'name': 'toasted sesame seeds', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red pepper flakes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'chopped green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'extra coconut aminos', 'notes': None}]","Add the coconut aminos, sesame oil, garlic, hoisin sauce, ginger, salt and pepper to a sealable bowl or bag for marinating. Mix together to evenly combine. Add the chopped chicken breast to the bowl and mix to coat. ,Cover and let marinate in the refrigerator for at least 1 hour but best overnight. Every so often give the bowl a shake to evenly marinate the chicken. ,Heat ½ Tbsp. of olive oil in a large wok or large skillet. Add the zucchini, mushrooms and carrots to the wok and top with coconut aminos, salt and pepper. Saute over medium heat for 5-10 minutes until the vegetables are fork tender. ,Remove the sautéed vegetables from the pan and set aside. ,Add ½ Tbsp. olive oil to the same pan you cooked the vegetables in and add the marinated chicken and any remaining sauce. ,Saute for 7-10 minutes until the chicken is browned and coked through and no longer pink. The internal temperature should read 165 degrees Fahrenheight with a meat thermometer. ,While the veggies and chicken cook add the uncooked rice to a large microwave safe bowl. Add 2 cups of water and microwave for 8 minutes (or according to the package instructions).,Remove the rice from the microwave and cook the riced cauliflower according to the package instructions.,Once the chicken is done cooking, remove, set aside and add the rice to the same pan along with the cooked cauliflower rice. Mix to evenly combine and push to the outer edges to create a hole in the center to cook your eggs.,Spray the center with nonstick spray and add 2 lightly scrambled eggs to the center of the pan to cook. Scramble in the center and once cooked through mix into the rice. Add the coconut aminos, dijon mustard, green onions, salt and pepper and mix to evenly combine. ,Each bowl gets approximately 135 grams of rice (1 cup loosely packed), 100 grams of vegetables (1/2 cup) and 130 grams of chicken (3/4 cup). ,Top with toasted sesame seeds, red pepper flakes, sriracha sauce or chopped green onions for serving. ",4,,2,756,10,40,44507,2,6,661,10,Hibachi Bowls
432,34,89,10,Main Course,American,"These , are the perfect snack wrap for the entire family to love. Made with air fried frozen burgers, the most delicious Big Mac sauce and all the burger fixings, these delicious wraps are everything we love about the famous burger. Ready in 10 minutes and full of delicious flavor, these are a great way to skip the drive-thru.",21,1,Air Fryer Big Mac Wraps,https://ohsnapmacros.com/wp-content/uploads/2024/04/bigmacwraps-17-300x300.jpg,10,"[{'amount': '3', 'unit': None, 'name': 'frozen burger patties ', 'notes': 'I use Signature Farms 100% Beef 91/9'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'burger seasoning', 'notes': None}, {'amount': '3', 'unit': 'slices', 'name': 'thin-cut cheddar cheese', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'light mayonnaise ', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'ketchup ', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dill pickles', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'pickle juice', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'Soft Taco Flour Tortilla', 'notes': 'Mission Brand '}, {'amount': '1/4', 'unit': 'cup', 'name': 'white onion', 'notes': 'finely chopped'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dill pickle rounds', 'notes': None}]","Evenly season the burgers with your preferred burger seasoning on both sides. I like using Kinders Steak Blend and Kinders Carmalized Onion Burger seasoning. ,Add the burgers to the air fryer basket. Cook at 380 for 8 minutes, flipping the burgers halfway through. This will give you a medium to medium well burger. Cook 3 mins on each side for medium rare and 5 mins each side for well done. My air fryer can do 3 burgers at one time. You may need to work in batches if making more than 3 wraps. ,Top the burgers with cheese and cook for an additional 1 minute until melted. ,While the burgers cook, make your Big Mac Sauce. Add the mayonnaise, ketchup, chopped dill pickles and pickle juice to a small mixing bowl and combine.,To make the wraps nice and soft, microwave your tortillas for 15-20 seconds so they’re soft and slightly warm. ,Top each wrap with shredded iceberg lettuce, 1 cooked burger cut in half going the length of the wrap, Big Mac sauce, finely chopped white onion, pickles and wrap it up and enjoy. ",,,,145,5,30,46565,,3,935,7,Big Mac Wrap
277,15,75,,Main Course,Italian,"These ,are not only easy but absoteluy delicious. With everything from lasagna, dips and desserts there are recipes here to make anyone beliver that cottage cheese really can go in pretty much anything. ",14,2,Easy High Protein Cottage Cheese Recipes,https://ohsnapmacros.com/wp-content/uploads/2024/01/cottagecheeselasagna-1-300x300.jpg,21,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'black pepper or fresh cracked', 'notes': 'to taste'}, {'amount': '32', 'unit': 'oz.', 'name': 'jar of marinara sauce ', 'notes': '(I use Raos)'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen spinach', 'notes': 'defrosted and strained '}, {'amount': '8', 'unit': None, 'name': 'oven ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low moisture mozzarella cheese', 'notes': 'shredded, 224g'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic and onions to the pan and cook until nice and browned, approximately 3-5 minutes.,Add the ground beef to the pan and break into bite size pieces. Cook until fully cooked through, mixing often, approximately 5 minutes. ,Add the oregano, italian seasoning, paprika, chili powder, salt and pepper to the beef mixture and combine to evenly coat. ,Add sauce, combine and simmer while you prepare the cottage cheese filling. ,For the filling: combine the cottage cheese, eggs, parmesan cheese, oregano, Italian seasoning, salt and pepper and mix well to combine.,Add the defrosted and strained spinach to the cottage cheese mixture and mix to combine.,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of the meat mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking dish (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the meat mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the meat mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining meat mixture, remaining cottage cheese filling and 1 cup cheese on top.,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and browned and the sauce is nice and bubbly at the edges. ,Top with freshly chopped parsley and cut into 12 equal servings and enjoy this easy lasagna recipe. ",1,"shredded, 224g",,183,30,22,49704,6,12,849,4,Cottage Cheese Lasagna
233,32,31,15,Main Course,Italian,"Look no further than this list for ,for all your weeknight needs. From chicken gnocchi soup to homemade chicken meatballs, we have it all. Each delicious recipe is filled with flavor, is high in protein and is sure to please even the pickiest of eaters. ",4,4,Delicious and Healthy Recipes Using Ground Chicken,https://ohsnapmacros.com/wp-content/uploads/2023/09/IPchickengnocchisoup-20-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken', 'notes': None}, {'amount': '1', 'unit': 'medium ', 'name': 'yellow onion', 'notes': 'diced'}, {'amount': '2', 'unit': None, 'name': 'carrots', 'notes': 'peeled and diced in rounds'}, {'amount': '2', 'unit': 'stalks', 'name': 'celery', 'notes': 'diced'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'paprika ', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'potato gnocchi', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'fresh spinach', 'notes': 'packed'}, {'amount': '1', 'unit': 'cup ', 'name': 'frozen peas', 'notes': '130g'}, {'amount': '1', 'unit': 'cup', 'name': 'frozen corn', 'notes': '140g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half-and-half', 'notes': '115g'}, {'amount': None, 'unit': None, 'name': 'fresh chopped parsley', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh grated Parmesan cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","Set your Instant Pot to the sauté setting. Add the olive oil, once hot, add the ground chicken. Cook until browned, breaking into bite size pieces. This takes about 5 minutes. If using frozen ground chicken do the same this may just take longer to cook. ,Add the salt, pepper, basil, paprika and oregano to the chicken. Stir to evenly coat. ,Add the garlic, onions, carrots, and celery. Sauté for about 2 minutes until the vegetables start to soften and garlic is fragrant. ,Pour in the chicken broth, stirring well to combine and to scrape any bits off the bottom of the pot. This will prevent the ""burn"" warning.,Add the gnocchi to the pot. Stir well to combine.,Put the lid on the Instant Pot, set the valve to sealing position, and cook on Manual High Pressure for 4 minutes.,When the timer beeps, quick release the pressure. Once the pressure is fully released, remove the lid.,Set the Instant Pot back to the sauté setting. Stir in the spinach, peas and corn. Cook for a few minutes until the spinach has wilted and the peas and corn are warmed through.,Add in the fat-free half-and-half, stirring until well combined.,Allow the soup to simmer for a few more minutes until it's heated through and the peas and corn are warm. ,Taste and adjust seasonings as needed.,Serve the soup hot, garnished with a sprinkle of fresh chopped parsley. ",2,,1,510,10,19,51749,1,8,843,5,Instant Pot Chicken Gnocchi Soup
350,13,216,15,Main Course,American,"These , are crispy, crunchy and flavorful. Easy to make and ready in less than 25 minutes, pair them with your favorite sides or add to salads, wraps or sandwiches for the perfect lunch or dinner on busy weeknights.",11,1,Easy Breaded Air Fryer Chicken Cutlets,https://ohsnapmacros.com/wp-content/uploads/2024/02/airfryerchickencutlets-300x300.jpg,12,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast', 'notes': 'or precut cutlets'}, {'amount': '1/2', 'unit': 'cup', 'name': 'breadcrumbs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'grated'}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': 'beaten '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh parsley (optional)', 'notes': 'chopped, for garnish'}]","Preheat your air fryer to 400 degrees Fahrenheit.,In a shallow bowl, mix breadcrumbs, grated Parmesan cheese, garlic powder, onion powder, dried oregano, dried basil, smoked paprika, salt, and black pepper. This will be your coating mixture.,Butterfly each chicken breast and cut in half to create thinner cutlets. You can also use a meat mallet to gently pound them to an even thickness.,Dip each chicken cutlet into the beaten eggs, ensuring both sides are coated.,Press each side of the chicken cutlet into the breadcrumb mixture, making sure the coating adheres well.,Place the breaded chicken cutlets in a single layer in the air fryer basket, making sure they are not touching. You may need to cook in batches if there is not enough room. ,Lightly spray the top of the chicken cutlets with olive oil or avocado oil spray to help them crisp up. Air fry the chicken cutlets for 12-15 minutes, flipping halfway through, until they are golden brown and cooked through.,Check the internal temperature, which should reach 165 degrees Fahrenheit for safety. Cook time will vary depending on the size of your chicken breast. ,Remove the chicken cutlets from the air fryer and let them rest for a couple of minutes before serving. Sprinkle with fresh chopped parsley and serve. ",2,"chopped, for garnish",1,641,10,48,44545,4,4,414,1,Air Fryer Chicken Cutlets
