calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
120,4,21,,Appetizer,American," has everything you love about a blue cheese stuffed dirty martini but in dip form. This creamy appetizer is great for parties, special events or when you want a dirty martini with more protein and no tini. ",8,,High Protein Blue Cheese Stuffed Dirty Martini Dip,https://ohsnapmacros.com/wp-content/uploads/2024/11/Dirtymartinidip10-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': '440g'}, {'amount': '4', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened '}, {'amount': '1/4', 'unit': 'cup', 'name': 'non-fat plain greek yogurt', 'notes': '56g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh black pepper', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'green olive juice', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'pimento-stuffed green olives, chopped', 'notes': '5.75 oz container'}, {'amount': '2', 'unit': 'oz.', 'name': 'blue cheese crumbles ', 'notes': None}]","In a medium mixing bowl combine the cottage cheese, softened cream cheese, greek yogurt, garlic powder, pepper and olive juice. Mix to combine until the cream cheese is fully combined into the mixture and no chunks remain. (See note below on blending.),Fold in the chopped green olives and blue cheese. Transfer to a sealable container and store in the fridge overnight or at least 4 hours. This allows the flavors to meld and the dip to thicken.,When ready to serve, transfer mixture to a serving bowl and top with additional green olives for garnish and blue cheese crumbles. Serve with pita chips, veggies and/or wheat thins. ",,,,52,10,10,54287,3,8,617,2,Dirty Martini Dip
186,24,23,50,"Appetizer, Side Dish",American,"These , have crispy potato skins, crunchy turkey bacon bits and shredded cheddar cheese. These are the ultimate decadent but easy side dish to make for a busy weeknight or even a fancy dinner with friends. ",7,2,Air Fryer Twice Baked Greek Yogurt Loaded Potatoes,https://ohsnapmacros.com/wp-content/uploads/2024/04/twicebakedpotatoes-300x300.jpg,6,"[{'amount': '2.5', 'unit': 'lbs.', 'name': 'russet potatoes ', 'notes': '4 potatoes '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': '0% plain Greek yogurt', 'notes': '224g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '84g'}, {'amount': '6', 'unit': 'slices', 'name': 'turkey bacon', 'notes': 'cooked and chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}]","Preheat the air fryer to 400 degrees Fahrenheight. ,Wash and dry your potatoes. Using a fork, poke holes around the skin of the potatoes. Spray them with olive oil spray and season with salt and pepper. Place in the air fryer basket and cook at 400 for 40-45 minutes or until the skin is crispy and the inside is fork tender, flipping halfway through. The cooking time will vary based on the size of your potatoes. ,While the potatoes cook, cook the turkey bacon on a skillet and chop into bite size pieces. Set aside to mix into your mashed potatoes.,Once cooked, remove the cooked potatoes from the air fryer and slice lengthwise in half. Using a spoon remove the insides of the potatoes, leaving the skin in tact and some of the potato along the skin to help keep its shape. Place the potato flesh in a large mixing bowl. Repeat with all potato halves. ,Mash the potatoes with a fork, potato masher or hand mixer until smooth. Add the greek yogurt, cheddar cheese, butter and cooked bacon to the bowl with the potatoes and combine. Season with salt and pepper to taste. Evenly add the mashed potato mixture back into the skins of the potatoes. Optional: top with additional cheddar cheese. ,Place the potato halves back in the air fryer basket, you may need to work in 2 batches depending on the size of your air fryer basket. Cook at 400 degrees Fahrenheit for 5 minutes.,Once done, remove and top with fresh chives and enjoy! ",1,,,589,10,9,40139,3,8,188,4,Air Fryer Twice Baked Potatoes
277,15,75,,Main Course,Italian,"These ,are not only easy but absoteluy delicious. With everything from lasagna, dips and desserts there are recipes here to make anyone beliver that cottage cheese really can go in pretty much anything. ",14,2,Easy High Protein Cottage Cheese Recipes,https://ohsnapmacros.com/wp-content/uploads/2024/01/cottagecheeselasagna-1-300x300.jpg,21,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'black pepper or fresh cracked', 'notes': 'to taste'}, {'amount': '32', 'unit': 'oz.', 'name': 'jar of marinara sauce ', 'notes': '(I use Raos)'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen spinach', 'notes': 'defrosted and strained '}, {'amount': '8', 'unit': None, 'name': 'oven ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low moisture mozzarella cheese', 'notes': 'shredded, 224g'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic and onions to the pan and cook until nice and browned, approximately 3-5 minutes.,Add the ground beef to the pan and break into bite size pieces. Cook until fully cooked through, mixing often, approximately 5 minutes. ,Add the oregano, italian seasoning, paprika, chili powder, salt and pepper to the beef mixture and combine to evenly coat. ,Add sauce, combine and simmer while you prepare the cottage cheese filling. ,For the filling: combine the cottage cheese, eggs, parmesan cheese, oregano, Italian seasoning, salt and pepper and mix well to combine.,Add the defrosted and strained spinach to the cottage cheese mixture and mix to combine.,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of the meat mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking dish (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the meat mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the meat mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining meat mixture, remaining cottage cheese filling and 1 cup cheese on top.,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and browned and the sauce is nice and bubbly at the edges. ,Top with freshly chopped parsley and cut into 12 equal servings and enjoy this easy lasagna recipe. ",1,"shredded, 224g",,183,30,22,49704,6,12,849,4,Cottage Cheese Lasagna
62,6,6,0,"Appetizer, Snack",American,"This , is made with simple ingredients like Greek yogurt, cottage cheese, spinach and flavorful spices. This healthier option to a classic dip is low in fat, high in protein and perfect for game days, parties or when you want a healthy snack. Serve this great dip with pita chips, fresh veggies or fresh bread.",1,1,Low Fat Cottage Cheese Spinach Dip,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesespinachdip-10-300x300.jpg,8,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '112g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen chopped spinach', 'notes': 'cooked, cooled and squeezed dry'}, {'amount': '1', 'unit': 'package', 'name': 'Knorr Vegetable Recipe Mix', 'notes': None}, {'amount': '8', 'unit': 'oz', 'name': 'water chestnuts', 'notes': 'drained and chopped'}, {'amount': '3', 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'garlic powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}]","In a high-speed blender add the cottage cheese and Greek yogurt. Blend until smooth and no chalkiness from the cottage cheese remains approx 5 minutes. ,Remove the blade and add the remaining ingredients directly to the blender, this helps to ensure you get all the cottage cheese mixture out easier. Combine with a rubber spatula and transfer to a large bowl. ,Cover and refrigerate for 2 hours before serving. Adjust with salt and pepper or additional garlic powder to taste. ,Optional! You can add 1-2 tsp of honey to cut the taste of the Greek yogurt some if it’s too tart for you. ",,to taste,,115,5,7,48729,0.5,11,390,3,Cottage Cheese Spinach Dip
127,23,11,0,"Breakfast, Dessert, Snack",American,"This ,is creamy, refreshing and bursting with tropical flavors. Made with frozen banana, dragon fruit, pineapple and a touch of protein, this easy smoothie has all the health benefits fruit has to offer, in a delicious and totally customizable way.",2,4,Dragon Fruit Smoothie Recipe,https://ohsnapmacros.com/wp-content/uploads/2024/07/dragonfruitsmoothie-1-1-300x300.jpg,6,"[{'amount': '3/4', 'unit': 'cup', 'name': 'frozen dragon fruit cubes', 'notes': '100g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'frozen pineapple cubes', 'notes': '95g'}, {'amount': '1', 'unit': None, 'name': 'frozen ripe banana, quartered', 'notes': '70g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened almond milk (or milk of choice)', 'notes': '175g'}, {'amount': '1/2', 'unit': 'scoop', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lime juice (juice of 1-2 limes)', 'notes': None}]","Add ingredients to a blender and blend on low speed. Increase the speed gradually, and blend until creamy and smooth.,Pour your smoothie into a large glass, then enjoy!",,,,402,5,8,48976,,1,128,14,Dragon Fruit Smoothie Recipe
200,1,50,9,"Appetizer, Main Course, Snack",American,"These , are the quickest way to add juicy sausages to your dish. Ready in less than ten minutes, this recipe uses precooked chicken sausage, making them a  great option for when you're in a hurry. Add to pasta, enjoy as an appetizer or eat with eggs and toast. ",16,,How to Air Fry Chicken Sausages,https://ohsnapmacros.com/wp-content/uploads/2024/08/airfryerchickensausages-4-300x300.jpg,1,"[{'amount': '1', 'unit': 'package', 'name': 'precooked chicken sausage', 'notes': None}]","Remove the sausages from the package and place in the air fryer basket. I can typically fit up to 2 packages, 8 links in my air fryer.,Cook at 400 degrees fahrenheit for 5 minutes, flip and cook for an additional 5 minutes. I like the skin to be golden brown and crispy.,Remove and serve.",,,,,1,12,51079,5,4,600,1,Air Fryer Chicken Sausages
146,11,15,0,Appetizer,American,"This sweet and spicy , ,is the perfect appetizer. Made with feta cheese, cottage cheese, simple spices and a drizzle of hot honey, this creamy appetizer is perfectly paired with pita chips, veggies or as a spread on a sandwich.",8,,Sweet Heat Whipped Feta Dip with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/10/fetadip-10-300x300.jpg,12,"[{'amount': '8', 'unit': 'oz.', 'name': 'feta cheese, block or crumbled ', 'notes': 'full fat '}, {'amount': '1/3', 'unit': 'cup', 'name': 'low fat cottage cheese (drain excess water, if needed)', 'notes': '88g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'milk ', 'notes': 'any milk works! '}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'hot honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chopped chives', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'crushed red pepper flakes', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black sesame seeds', 'notes': None}]","Add the feta, cottage cheese, lemon juice, olive oil, sea salt and black pepper to a food processor. Blend for 5 minutes until fully combined and smooth. Add the milk and blend again for another 3-5 minutes. This will help get that final smooth whip we want. ,Place the dip in the refridgerator to set for 2 hours prior to serving. The longer the better so it can thicken. ,Once thickened, pour the feta mixture into a serving dish.,Drizzle the hot honey over the whipped feta and sprinkle the chives, red pepper flakes, sesame seeds and black pepper on top. ",,,2,6,10,7,52905,4,8,341,8,Whipped Feta Dip
233,32,31,15,Main Course,Italian,"Look no further than this list for ,for all your weeknight needs. From chicken gnocchi soup to homemade chicken meatballs, we have it all. Each delicious recipe is filled with flavor, is high in protein and is sure to please even the pickiest of eaters. ",4,4,Delicious and Healthy Recipes Using Ground Chicken,https://ohsnapmacros.com/wp-content/uploads/2023/09/IPchickengnocchisoup-20-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken', 'notes': None}, {'amount': '1', 'unit': 'medium ', 'name': 'yellow onion', 'notes': 'diced'}, {'amount': '2', 'unit': None, 'name': 'carrots', 'notes': 'peeled and diced in rounds'}, {'amount': '2', 'unit': 'stalks', 'name': 'celery', 'notes': 'diced'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'paprika ', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'potato gnocchi', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'fresh spinach', 'notes': 'packed'}, {'amount': '1', 'unit': 'cup ', 'name': 'frozen peas', 'notes': '130g'}, {'amount': '1', 'unit': 'cup', 'name': 'frozen corn', 'notes': '140g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half-and-half', 'notes': '115g'}, {'amount': None, 'unit': None, 'name': 'fresh chopped parsley', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh grated Parmesan cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}]","Set your Instant Pot to the sauté setting. Add the olive oil, once hot, add the ground chicken. Cook until browned, breaking into bite size pieces. This takes about 5 minutes. If using frozen ground chicken do the same this may just take longer to cook. ,Add the salt, pepper, basil, paprika and oregano to the chicken. Stir to evenly coat. ,Add the garlic, onions, carrots, and celery. Sauté for about 2 minutes until the vegetables start to soften and garlic is fragrant. ,Pour in the chicken broth, stirring well to combine and to scrape any bits off the bottom of the pot. This will prevent the ""burn"" warning.,Add the gnocchi to the pot. Stir well to combine.,Put the lid on the Instant Pot, set the valve to sealing position, and cook on Manual High Pressure for 4 minutes.,When the timer beeps, quick release the pressure. Once the pressure is fully released, remove the lid.,Set the Instant Pot back to the sauté setting. Stir in the spinach, peas and corn. Cook for a few minutes until the spinach has wilted and the peas and corn are warmed through.,Add in the fat-free half-and-half, stirring until well combined.,Allow the soup to simmer for a few more minutes until it's heated through and the peas and corn are warm. ,Taste and adjust seasonings as needed.,Serve the soup hot, garnished with a sprinkle of fresh chopped parsley. ",2,,1,510,10,19,51749,1,8,843,5,Instant Pot Chicken Gnocchi Soup
327,26,5,35,Side Dish,American,"A nutrient powerhouse, this , is one to add to your holiday or meal prep menu. It's loaded with crispy quinoa, fresh roasted kale, feta cheese and peptias and topped with a creamy lemon dressing that wraps this delicious salad with a bow.  ",24,6,Crispy Quinoa Kale and Apple Salad with Chili Oil,https://ohsnapmacros.com/wp-content/uploads/2024/10/crispyquinoakalesalad-20-300x300.jpg,19,"[{'amount': '1', 'unit': 'cup', 'name': 'cooked and cooled quinoa', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili oil ', 'notes': '*'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '8 ', 'unit': 'cups', 'name': 'roughly chopped kale', 'notes': 'ribs removed'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado ', 'notes': 'peeled and sliced thin'}, {'amount': '1', 'unit': 'small', 'name': 'shallot', 'notes': 'thily sliced '}, {'amount': '1', 'unit': 'small', 'name': 'apple', 'notes': 'thinly sliced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pepitas', 'notes': 'pumpkin seeds'}, {'amount': '3', 'unit': 'Tbsp. ', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic glaze', 'notes': '**'}, {'amount': '1', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'black pepper ', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit. Line two rimmed baking sheets with parchment paper.,Spread the quinoa on the first baking sheet and toss with 2 tablespoons chili oil, 1/2 teaspoon salt, and 1/8 teaspoon ground cinnamon. Roast in the preheated oven for 15 minutes. Stir and shake the pan, then return to the oven for another 5 to 10 minutes, until golden brown. Set aside to cool.,Toss the kale leaves with 1 tbsp. olive oil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Transfer to the second baking sheet and arrange in a single layer. Add to the oven when the quinoa is nearly done and roast for 8 to 10 minutes, stirring once, until softened and crisped.***,Prepare the salad dressing by whisking all the ingredients together until emulsified.,Assemble the salad by transferring the kale to a large serving bowl and topping it with avocado, shallot, apple, cranberries, pepitas, and feta. Drizzle the dressing over the salad and top with the crispy quinoa. Mix and serve immediately.",,,,460,10,6,53739,4,5,110,11,Crispy Quinoa Kale Salad
130,5,25,3,"Side Dish, Snack",American,"Pickle lovers unite, this High Protein ,is a must make! Loaded with protein using cottage cheese and greek yogurt this delicious and easy-to-make dip is the perfect addition to any party, game night, or even just a midday snack. Plus, it's a great way to use up any extra pickles you may have in your fridge.",9,1,High Protein Fried Dill Pickle Dip,https://ohsnapmacros.com/wp-content/uploads/2023/02/friedpickledip-300x300.jpg,15,"[{'amount': '1/3', 'unit': 'cup', 'name': 'panko breadcrumbs ', 'notes': None}, {'amount': '2', 'unit': 'tbsp.', 'name': 'butter', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low fat cottage cheese', 'notes': '220g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'nonfat plain 0% Greek yogurt', 'notes': '170g'}, {'amount': '8', 'unit': 'oz. ', 'name': '1/3 less fat cream cheese ', 'notes': 'softened'}, {'amount': '2', 'unit': 'tbsp.', 'name': 'pickle juice', 'notes': None}, {'amount': '2 ', 'unit': 'cups', 'name': 'dill pickle rounds', 'notes': 'chopped'}, {'amount': '2', 'unit': 'tbsp.', 'name': 'fresh dill', 'notes': 'chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': None, 'unit': None, 'name': 'vegetables', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crackers', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pita chips', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pita bread ', 'notes': None}]","Add the butter to a saucepan and melt over medium high heat. Add the panko breadcrumbs to the pan and coat with the melted butter. Continue to cook for a couple of minutes, just until the breadcrumbs are slightly browned. ,Add cottage cheese, greek yogurt, cream cheese, pickle juice, pickles, dill, garlic powder, salt and pepper to the mixing bowl. Add half of the breadcrumb mixture and mix everything together until thoroughly combined. Place it in the fridge covered to set for at least one hour before serving to let it thicken up and the flavors meld together.,When ready to serve, top with the remaining browned breadcrumbs, fresh dill and serve with vegetables, crackers or pitas. ",,,,198,5,9,26723,,8,731,4,Fried Pickle Dip
