calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title,dairy_free,gluten_free
116,8.0,,1.0,Main Course,American,"This , is a flavor powerhouse! Made with fresh herbs and spices there's many different ways to enjoy this easy recipe. This versatile sauce comes together in minutes and is perfectly paired with grilled meats, salmon or shrimp. ",8.0,1.0,Sweet Chimichurri Sauce with Cilantro,https://ohsnapmacros.com/wp-content/uploads/2024/09/chimichurri-sauce-300x300.jpg,11,"[{'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]",Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,,,,,5.0,1.0,51201,,6,170.0,6.0,Sweet Chimichurri Sauce,1,0
240,10.0,120.0,5.0,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13.0,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4.0,for serving,2.0,23.0,5.0,24.0,42254,3.0,6,594.0,9.0,Honey Garlic Lemon Pepper Chicken Thighs,1,0
356,45.0,98.0,10.0,Main Course,American,"The sweet and salty combination of this , makes the best fried rice! Your whole family will love this vibrant and satiating meal, that's ready in less than 15 minutes. Even better, it's a great recipe for using up holiday ham or leftover rice.",9.0,3.0,Sweet and Savory Ham and Pineapple Fried Rice,https://ohsnapmacros.com/wp-content/uploads/2024/03/hamandpineapplerice-300x300.jpg,11,"[{'amount': '2', 'unit': 'cups', 'name': 'uncooked jasmine Minute Rice', 'notes': '192g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen riced cauliflower', 'notes': 'cooked'}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': 'split'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'lb.', 'name': 'pre cooked diced ham', 'notes': 'chopped'}, {'amount': '1.5', 'unit': 'cups', 'name': 'pineapple chunks', 'notes': 'fresh preferred or canned, 250g,'}, {'amount': '1', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'diced'}, {'amount': '1/2', 'unit': 'cup', 'name': 'frozen peas', 'notes': 'thawed'}, {'amount': '2', 'unit': 'whole', 'name': 'eggs', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': None, 'notes': '105g (or soy sauce)'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Microwave 2 cups of rice plus 2 cups of water for 8 minutes, according to the package instructions. Once cooked, transfer the bowl to the fridge to cool rice. Cook the cauliflower rice according to the package, strain any excess liquid and and it to the bowl of the jasmine rice and combine. ,In a large pan or wok, heat 1 Tbsp. sesame oil over medium heat. Add the garlic and saute for a couple minutes until fragrant. Add the ham and red pepper to sear and soften the peppers. You want a nice browning on the ham chunks, this will take approximately 5 minutes. ,Add the thawed peas to the pan and stir to combine. Push everything to the outer edges of the pan and add the remaining 1 Tbsp. oil, crack 2 eggs in the center. Stir to scramble and cook until fully cooked through. Mix into the ham mixture to combine. ,Add the chilled cooked rice and cauliflower blend, breaking apart any large clumps, stirring together to combine everything evenly. Let it fry on the bottom for a minute at a time before stirring everything together. Pour the coconut aminos over the rice, and season with pepper. Mix everything well.,Stir in the pineapple chunks and cook for another 2 minutes.,Once everything is well combined and the rice is hot, serve and garnish with chopped green onions if desired. ",2.0,,2.0,217.0,5.0,21.0,39605,2.0,6,1148.0,10.0,Ham and Pineapple Fried Rice,1,0
193,31.0,31.0,20.0,"Breakfast, Dessert, Snack",American,"These , are made with wholesome ingredients and sweetened with only applesauce and honey. Ready in less than 20 minutes, these tender and moist muffins are the perfect chocolatey grab and go snack with 4 grams of protein.",7.0,2.0,Easy & Healthy Chocolate Zucchini Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/05/chocolatezucchinimuffins-300x300.jpg,12,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'shredded zucchini (1 medium zucchini) ', 'notes': '200g'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened cocoa powder', 'notes': '48g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened apple sauce', 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'honey', 'notes': '240g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '40g'}, {'amount': '1/2', 'unit': 'cup ', 'name': 'chocolate chips', 'notes': 'OPTIONAL '}]","Preheat your oven to 375 degrees. Line a muffin tin with a 12-muffin capacity with paper liners. ,Trim the end off of the zucchini, then grate it. You can do this with the larger holes on a box grater or in a food processor with the grating disc. Once you’ve grated the zucchini, place it in a clean kitchen towel or a couple of layers of paper towels. Gently squeeze out the excess moisture. Set the zucchini aside for now.,Add the flour, cocoa powder, baking powder, baking soda, and salt to a mixing bowl. Whisk to combine, making sure to break up any clumps of cocoa powder. ,In a separate larger bowl, whisk together the applesauce, eggs, honey, vanilla extract, and olive oil until smooth. Whisk in the grated zucchini.,Add the dry ingredients to the wet, mixing until just combined. You want to make sure there are no pockets of flour remaining in the batter. ,Divide the muffin batter between the 12 lined muffin cups. You can do this with a large scoop or with a ⅓ cup measure. Tap the pan on the counter a few times to help settle the batter, then place the pan in the preheated 375-degree oven. Bake the muffins for 15-20 minutes or until the tops have risen and a toothpick or tester inserted into the center comes out clean. ,Cool the muffins in the pan for 5 minutes before moving them to a cooling rack. ",3.0,OPTIONAL ,1.0,316.0,10.0,4.0,48171,2.0,12,194.0,18.0,Healthy Chocolate Zucchini Muffins,1,0
208,19.0,65.0,15.0,Breakfast,American,"These , are easy to meal prep and completely customizable. Make them into breakfast bowls with eggs or into taco salads with lettuce.",2.0,8.0,High Fiber Breakfast Burrito Bowls with Cauliflower Rice,https://ohsnapmacros.com/wp-content/uploads/2023/01/breakfastburritobowls-14-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground turkey ', 'notes': '99/1'}, {'amount': None, 'unit': None, 'name': None, 'notes': None}, {'amount': '1', 'unit': None, 'name': 'orange bell pepper', 'notes': 'sliced'}, {'amount': '1 ', 'unit': None, 'name': 'small red onion', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'garlic clove', 'notes': 'minced '}, {'amount': '10 oz.', 'unit': None, 'name': 'frozen riced cauliflower', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'fresh cilantro', 'notes': 'chopped'}, {'amount': '1/2', 'unit': None, 'name': 'lime, juiced', 'notes': None}, {'amount': '15', 'unit': 'oz.', 'name': 'black beans', 'notes': 'rinsed and drained'}, {'amount': '1', 'unit': 'tsp. ', 'name': 'salt ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp,', 'name': 'garic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'chili powder', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp. ', 'name': 'cumin', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}]","Heat a pan over medium, spray with cooking spray and add the ground turkey. Using a spatula break the turkey into bite size pieces as it cooks. Cook until it is fully cooked through and no longer pink in the center approximately 5 minutes. ,While the turkey cooks add all the taco seasonings to a small bowl. Top with the water and mix to form a paste. Add the paste to the cooked turkey, mix together well to combine and turn the heat to low. Let the turkey cook in the seasonings for a few minutes while you prep the vegetables. ,Remove the cooked turkey from the pan and set aside. Spray the pan with non stick cooking spray and add the garlic, bell pepper and onion to the pan. Let the veggies saute over medium heat, stirring often so they do not burn, while you prepare the cauliflower rice. ,Cook the cauliflower according to the package instructions. Remove from the bag and add to a bowl. Combine with the chopped cilantro and lime juice and mix together well. ,Assemble your breakfast burrito bowls. Top with eggs if desired or turn into a salad over  a bed of lettuce. Egg is not included in the nutrition facts, see notes.,Approximate measurements per bowl. Turkey Meat – 114 grams, Black Beans – 53 grams, Peppers & Onions – 55 gram, Cauliflower Rice – 67 grams",,,,432.0,5.0,32.0,25729,,4,919.0,6.0,Breakfast Burrito Bowls,1,0
65,18.0,,1.0,Drinks,drinks,"This , is perfect for hot summer days or your next spring get together. With a fizzy taste and tart flavor, this virgin sangria recipe is a blend of grape juice, soda water and fresh fruit and is guaranteed to please the crowd. ",,,White Sparkling Sangria Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/sangriamocktail-300x300.jpg,7,"[{'amount': '3', 'unit': 'cups', 'name': 'white grape juice', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'sliced strawberries', 'notes': 'plus extra for garnish'}, {'amount': '2', 'unit': 'small', 'name': 'lemons', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'orange', 'notes': 'sliced'}, {'amount': '4', 'unit': 'cups', 'name': 'plain sparkling water', 'notes': 'or seltzer'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}]","Add the white grape juice, lemon juice, sliced strawberries, sliced lemons, and sliced orange to a large pitcher. Stir to combine. Cover and refrigerate overnight or for at least 6-8 hours.,When you’re ready to serve, add the sparkling water to the pitcher. Stir gently, making sure not to break up the fruit. ,Fill wine glasses or rocks glasses three quarters full of ice, then pour the sangria over the ice. ,If desired, you can use extra fruit to garnish each drink. ",,,,85.0,5.0,1.0,42690,,8,6.0,15.0,White Sangria Mocktail,1,0
52,13.0,,5.0,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1.0,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188.0,5.0,1.0,42710,,1,64.0,10.0,Blueberry Mint Mocktail,1,0
74,,42.0,45.0,"Appetizer, Main Course",American,"These oven baked , are made with a homemade Cajun seasoning and dry ranch mix, and are the easiest way to make juicy wings. Crispy and full of spicy flavors, these awesome wings are perfect for a big game, parties or simple snacking. Serve with French fries or with your favorite dipping sauce for a complete spread.",5.0,,Dry Rub Oven Baked Crispy Cajun Ranch Wings,https://ohsnapmacros.com/wp-content/uploads/2024/05/cajunranchwings-14-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'wings (drumlettes and winglettes)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': '2 Tbsp. for added heat'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried oregano ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cayenne pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit and line a baking sheet with foil. Spray with nonstick spray to keep the wings from sticking to the foil. ,Pat the wings dry with paper towels and add to a large mixing bowl or ziplock bag. Add the baking powder to the bag, seal and shake or mix in the bowl to evenly coat. Do not skip this part, this helps make the wings extra crispy. ,Add 1.5 Tbsp. cajun seasoning and 1.5 Tbsp. dry ranch seasoning to the bag or bowl and shake or mix to evenly coat the wings.,Place the wings on the baking sheet without overlapping. Bake for 45 minutes. Flip halfway through baking. (Optional: Lightly spray the top of the wings with avocado oil or olive oil spray before baking.),Remove from the oven and enjoy your dry rub ribs alone or dipped in ranch dressing.",1.0,,2.0,137.0,5.0,7.0,45123,1.0,24,113.0,,Dry Rubbed Wings,1,0
136,9.0,45.0,10.0,Main Course,American,"These , are filled with crunchy veggies, flavorful chicken and topped off with a homemade low-fat peanut sauce. Ready in less than 20 minutes, this easy, healthy and flavorful meal is a weeknight winner. ",4.0,,Peanut Chicken Lettuce Wraps with Low-Fat Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/01/chickenlettucewrapswithpeanutsauce-10-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground chicken ', 'notes': '98/2'}, {'amount': '1', 'unit': 'cup', 'name': 'PB2 powdered peanut butter', 'notes': '78g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': '30g'}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '75g'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'red curry paste', 'notes': '45g (use 1 Tbsp. for MILD)'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'red pepper flakes', 'notes': None}, {'amount': '8', 'unit': 'leaves ', 'name': 'living butter lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'bell peppers', 'notes': 'sliced thinly'}, {'amount': None, 'unit': None, 'name': 'carrots', 'notes': 'julienned '}, {'amount': None, 'unit': None, 'name': 'cucumber', 'notes': 'sliced'}, {'amount': None, 'unit': None, 'name': 'chopped peanuts', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': 'sliced'}, {'amount': None, 'unit': None, 'name': 'limes', 'notes': None}]","In a medium bowl combine the peanut sauce ingredients, mix until well combined and set aside. ,Spray a large skillet over medium heat with nonstick cooking spray. Add the ground chicken and cook, breaking into bite sized pieces until cooked through, approximately 5 minutes. ,Once cooked through lower the heat to low and add ¼ cup of the peanut sauce (64g) mixing to evenly coat the chicken. Let the chicken simmer while you prepare you lettuce wraps. ,Evenly split the cooked chicken between each piece of lettuce, with desired add-ins like bell pepper, cucumber and carrots. Top with 2 tbsp. peanut sauce (approx 30g) and chopped green onions and peanuts. ",1.0,,,,10.0,17.0,42546,,8,509.0,7.0,Chicken Lettuce Wraps with Peanut Sauce,1,0
68,15.0,,5.0,seasoning,American,"This , is easy to make, filled with ranch flavor and made with 7 simple spices. Make into ranch dressing and dips or add to casseroles and pasta bakes for a flavorful spice blend. This seasoning is Inexpensive, dairy and gluten-free and elevates any dish. ",,3.0,Dairy Free Ranch Seasoning,https://ohsnapmacros.com/wp-content/uploads/2024/03/homemaderanchseasoning-300x300.jpg,7,"[{'amount': '3', 'unit': 'Tbsp.', 'name': 'dried parsley', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried chives', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'fresh cracked black pepper', 'notes': None}]","Mix all ingredients in a small bowl.,Store In an air-tight container in a cool dry place for up to 6 months.",,,,333.0,2.0,3.0,45354,,4,4577.0,1.0,Dairy Free Ranch Seasoning,1,0
