calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
184,6,36,,"Appetizer, Snack",American,"This chilled , is a delicious and healthy dip that's perfect for parties. Made with real shredded cheese, cottage cheese and taco seasoning, this high-protein snack give taco flavored queso meets pimento cheese vibes. Serve with tortilla chips, crackers or veggies and get your dip on. ",12,1,Chilled Cottage Cheese Taco Queso Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheesequeso-300x300.jpg,12,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': 'Good Culture'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': 'Siete or homemade'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded pepper jack cheese', 'notes': '84g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded cheddar cheese', 'notes': '84g'}, {'amount': '2.25', 'unit': 'oz.', 'name': 'sliced black olives ', 'notes': 'small can'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cilantro ', 'notes': 'chopped'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'finely chopped'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'pickled jalapeños ', 'notes': 'minced'}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'extra taco seasoning ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green chiles', 'notes': None}]","Add the cottage cheese and taco seasoning to a large mixing bowl and mix to combine, no need to blend the cottage cheese. Add the pepper jack, cheddar, black olives, cilantro, red bell pepper and pickled jalapenos and mix to combine.,Let set in the fridge for an hour to chill before serving. ,Serve and enjoy with chips or sliced raw veggies.",,,,125,5,16,49055,7,6,625,4,Chilled Cottage Cheese Queso
296,13,109,,Main Course,Mexican,"This,recipe is a guaranteed crowd pleaser. Made in less than an hour, this juicy pork is flavorful, easy to make and comes with a homemade chipotle adobo sauce. Perfect for potlucks, taco Tuesday or busy weeknights. ",18,1,Instant Pot Carnitas,https://ohsnapmacros.com/wp-content/uploads/2023/05/Carnitas-17-300x300.jpg,23,"[{'amount': '3.5', 'unit': 'lbs. ', 'name': 'boneless pork shoulder', 'notes': 'cut into 2 inch chunks '}, {'amount': '1', 'unit': 'medium', 'name': 'white onion', 'notes': 'chopped'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'cup', 'name': 'fresh orange juice', 'notes': '2-3 oranges'}, {'amount': '2', 'unit': None, 'name': 'limes', 'notes': 'juiced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'chicken broth ', 'notes': 'any broth works or water'}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'ground cumin', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'ground oregano', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'cayenne pepper ', 'notes': None}, {'amount': '18', 'unit': None, 'name': None, 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': 'shredded cheddar cheese ', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': None, 'notes': 'Fage'}, {'amount': '1-2', 'unit': None, 'name': None, 'notes': 'start with 1 and adjust for heat preference '}, {'amount': '1', 'unit': 'Tbsp. ', 'name': None, 'notes': 'from the can of peppers'}, {'amount': '1', 'unit': 'clove', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'tsp. ', 'name': 'salt ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chopped cilantro ', 'notes': None}]","In a small bowl, combine the chili powder, ground cumin, dried oregano, smoked paprika, kosher salt, black pepper and cayenne pepper. Mix well and set aside.,Place the chopped onion and minced garlic in the bottom of your Instant Pot. Next, add the pork shoulder pieces on top of the onion mixture, and sprinkle the spice mixture evenly over the pork. Then, pour the orange juice, lime juice, and chicken broth over the pork.,Secure the lid on your Instant Pot, and set the pressure release valve to the “sealing” position. Set the Instant Pot to “Manual” or “Pressure Cook” mode, and cook on high pressure for 45 minutes.,After the cooking time is up on the carnitas, allow the pressure to release naturally for 15 minutes, then carefully turn the valve to the “venting” position to release any remaining pressure. Remove the lid and use a slotted spoon to transfer the cooked pork to a baking sheet. Shred the pork using two forks.,Turn the oven on broil and place the shredded pork on the sheet pan in the oven for 5-7 minutes until crispy. Be careful not to burn. Alternatively, you can do this in batches in a hot pan with some cooking spray but I find the sheet pan to be easier. You can stop here and serve in tacos, burritos, salad, burrito bowls etc., or move onto crispy cheese tacos! ,Heat a pan over medium heat and spray with cooking spray. ,Using tongs dip the corn tortillas in the sauce in the instant pot. Be sure not to leave them in the sauce for too long as this will soften the tortillas making them hard to handle, they will be too soft and break apart. ,Place the soaked tortillas on the hot pan and top with 2 oz. cooked crispy carnitas, 14 grams of cheddar cheese and fold in half. Cook like a quesadilla and brown on both sides until crispy and the cheese has melted. Remove from the pan and repeat with the remaining tortillas. ,Serve the tacos with chipotle sauce and fresh cilantro. ,While the meat cooks make your Chipotle sauce by combining all the ingredients and mixing well to combine. Taste the sauce and adjust the seasoning, if necessary. You can add more salt, pepper, or adobo sauce to suit your taste preferences. Cover the bowl with plastic wrap or a lid and refrigerate the sauce for at least 30 minutes to let the flavors meld together. This will also help thicken the sauce a bit.",,,,84,5,21,29219,,18,226,3,Instant Pot Carnitas
45,18,,1,Drinks,mocktail,"This , has the perfect amount of spice without the buzz. Whether it's a hot summer day, holiday season or an evening with the family this is a delicious option for something different than sparkling water. ",,,Refreshing Non-Alcoholic Moscow Mule Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/namules-300x300.jpg,10,"[{'amount': '7.5', 'unit': 'oz.', 'name': 'Light Ginger Beer ', 'notes': 'Q Brand preferred'}, {'amount': '0.5', 'unit': 'oz.', 'name': 'fresh lime juice', 'notes': '~ 1/4 shot'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh mint leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh lime wedge', 'notes': None}, {'amount': None, 'unit': None, 'name': 'mint leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh strawberries', 'notes': None}, {'amount': None, 'unit': None, 'name': 'jalapeno lime syrup', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cranberry juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Apple Cider', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Orange juice and slices ', 'notes': None}]","Add the lime juice and mint leaves to the bottom of a copper mule cup. Using a drink muddler, muddle the mint and lime until the leaves have softened. ,Fill the cup with ice, pour the ginger beer over top and stir. ,Garnish with a lime wedge and additional mint. ",,,,,5,,42634,,1,10,10,Non-Alcoholic Moscow Mule
99,11,2,1,"Appetizer, Side Dish, Snack",American,"This, is an easy appetizer or snack, packed with fresh flavors and using simple ingredients. It's easy to make, healthy, delicious and perfect for any gathering. Serve it with tortilla chips, pita bread, or fresh vegetables for dipping. ",3,3,Easy Black Bean Corn Feta Dip,https://ohsnapmacros.com/wp-content/uploads/2022/08/osm-66-300x300.jpg,11,"[{'amount': '1', 'unit': 'can', 'name': 'black beans', 'notes': 'drained and rinsed 15 oz.'}, {'amount': '1', 'unit': 'can', 'name': 'corn', 'notes': 'drained and rinsed 15 oz. or 1.5 cups fresh or frozen corn, thawed'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat free feta cheese', 'notes': '3 oz'}, {'amount': '1/2', 'unit': 'small', 'name': 'red onion', 'notes': 'diced 100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fresh cilantro', 'notes': 'thinly diced'}, {'amount': '1/2 ', 'unit': 'large', 'name': 'jalapeno ', 'notes': 'chopped, seeds removed (optional)'}, {'amount': '1', 'unit': None, 'name': 'lime', 'notes': 'juiced '}, {'amount': '2', 'unit': 'Tbsp', 'name': 'olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","Drain and rinse the black beans and corn, finely dice the red onion, chop the cilantro, remove seeds and dice the jalapeño (if using). ,If you want to use BBQ charred corn, grill it on the bbq. Then, using a sharp knife, cut along side of the cob to release the corn. Use approximtaltey 3 corn on the cob or 1 ½ cups.,In a large mixing bowl, combine the black beans, corn, crumbled feta cheese, red onion, cilantro and jalapeño (if using). Gently mix the ingredients to evenly distribute them.,In a small bowl or a glass measuring cup, whisk together the lime juice, olive oil, ground cumin, chili powder, salt, and pepper to create the dressing.,Pour the dressing over the black bean and corn mixture. Gently toss everything together to ensure all ingredients are well coated with the dressing.,Taste the dip and adjust the seasoning as needed. If you prefer a spicier dip, you can add more jalapeño or a pinch of cayenne pepper.,Let the dip chill in the refrigerator for at least 30 minutes to allow the flavors to meld together. This step is optional but recommended for the best flavor.",2,to taste,,251,10,5,28136,,10,225,1,Black Bean Corn Feta Dip
144,13,11,,"Appetizer, Side Dish",Mexican,"Make your next party a flavorful fiesta with this crazy addicting ,! With Mexican flavors in each layer, this easy appetizer takes just a few minutes to come together and is perfect for parties. Pair with tortilla chips or cut up veggies and your new favorite dip is served.  ",8,4,Greek Yogurt 5 Layer Dip with Homemade Taco Seasoning,https://ohsnapmacros.com/wp-content/uploads/2023/10/5-layer-dip-2-300x300.jpg,12,"[{'amount': '16', 'unit': 'oz.', 'name': 'fat-free refried beans', 'notes': 'one can '}, {'amount': '8', 'unit': 'oz.', 'name': 'Wholly Guacamole', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'non-fat Greek yogurt', 'notes': '448g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'shredded Mexican cheese blend', 'notes': '112g'}, {'amount': '1', 'unit': 'cup', 'name': 'fresh pico de gallo', 'notes': '230g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}]","In a 8×8-inch baking dish, spread the refried beans along the bottom.,On top of the bean layer, add the layer of guacamole and spread to evenly coat. Do not push the layers into each other to avoid mixing the layers,,In a small mason jar, combine the taco seasoning ingredients and mix together. You will only use 1 Tbsp. of this seasoning, saving the rest for many other uses. ,In a medium bowl, combine the Greek yogurt with 1 Tbsp. taco seasoning and mix until fully combined. Spread the taco seasoned yogurt over the guacamole and spread in a even layer. ,Top the yogurt with the shredded cheese followed by the salsa. Garnish with fresh chopped parsley or jalapeños. ,Refrigerate for at least one hour prior to serving to allow the layers to settle. Serve with fresh chopped veggies, pita chips, chips or popcorners.",,,,404,10,7,36499,3,8,574,2,5 Layer Dip
232,3,75,15,Main Course,American,"This , includes an easy to prepare, deliciously flavorful marinade that ensures you get the most out of your steak. The cast iron produces a beautiful golden brown crust while leaving the inside juicy and tender. Perfectly paired with your favorite side and a salad, this steak is sure to be a win around the dinner table.",13,,Marinated Cast Iron Flank Steak,https://ohsnapmacros.com/wp-content/uploads/2023/01/osm-62-300x300.jpg,10,"[{'amount': '1', 'unit': 'lb', 'name': 'flank steak', 'notes': None}, {'amount': '1', 'unit': 'Tbsp', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '60g'}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'Tbsp', 'name': 'brown sugar', 'notes': '13g'}, {'amount': '1', 'unit': 'Tbsp', 'name': 'Worcestershire sauce ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp', 'name': 'balsamic vinegar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper, to taste', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp', 'name': 'olive oil', 'notes': 'for cooking'}]","In a small bowl, whisk together the olive oil, coconut aminos, minced garlic, brown sugar, Worcestershire sauce, balsamic vinegar, dried rosemary, salt, and black pepper to create the marinade.,Place the flank steak in a large resealable plastic bag or shallow dish. Pour the marinade over the steak, ensuring that it is well-coated. Seal the bag or cover the dish and refrigerate for at least 1 hour, or up to 2 hours for a more intense flavor. Overnight is always best. ,Preheat the oven to 400 degrees Fahrenheit. Remove the flank steak from the marinade, discarding the excess marinade, and let the steak rest at room temperature for about 15 minutes before cooking. The discarded marinade has been accounted for in the nutrition facts.,In a large cast iron skillet, heat the olive oil over medium-high heat until it begins to shimmer. Carefully place the flank steak in the hot skillet and sear each side for 2 minutes, or until a golden brown crust forms.,Transfer the cast iron skillet with the seared flank steak to the preheated oven. Cook the steak for 5-10 minutes, or until the internal temperature reaches your desired level of doneness (125°F / 51°C for medium-rare, 135°F / 57°C for medium). I recommend medium rare, which is about 5 minutes in the oven.,Remove the skillet from the oven and transfer the flank steak to a cutting board. Tent the steak with aluminum foil and let it rest for 5-10 minutes to allow the juices to redistribute.,After resting, slice the cast iron flank steak against the grain into thin strips.",2,for cooking,2,36,10,24,27939,5,4,185,3,Cast Iron Flank Steak
50,11,,1,Drinks,drinks,"Using freshly squeezed orange juice and instant espresso this , is one you'll keep coming back to. Whether it's a summer refresher, afternoon pick me up or an after-dinner mocktail, it's delicious any time of the day and leaves you with zero buzz. ",,,Fizzy Orange Coffee Mocktail (Non-Alcoholic),https://ohsnapmacros.com/wp-content/uploads/2023/12/coffeemocktail-300x300.jpg,8,"[{'amount': '2', 'unit': 'tsp. ', 'name': 'instant espresso powder', 'notes': 'or instant coffee'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cold water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'freshly squeezed orange juice ', 'notes': 'or storebought juice'}, {'amount': '1', 'unit': 'tsp.', 'name': 'maple syrup', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'plain selzter ', 'notes': 'or sparking water'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Orange Slice', 'notes': 'garnish'}]","Add the instant espresso powder, cold water, orange juice, maple syrup, and vanilla extract to a small jar. Cover with a tight fitting lid then shake vigorously for 30-60 seconds or until the espresso powder has fully dissolved.,Fill a tall tumbler or Collins glass half full with ice, then pour the shaken espresso mixture over it. Make sure to get the foam as well. ,Top with the seltzer or sparkling water and garnish with an orange slice if desired.",,garnish,,17,5,,42667,,1,1,9,Coffee Mocktail
41,,18,50,Main Course,American,"This,is easy, flavorful and extremely versatile. You only need beef, broth and seasonings to have this ready on a busy weeknight. Serve in tacos, on salads, in quesadillas or in a sandwich and use the sauce as a delicious dip. ",2,,Instant Pot Shredded Beef,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-13191-300x300.jpg,9,"[{'amount': '3', 'unit': 'lbs.', 'name': 'boneless chuck roast', 'notes': None}, {'amount': '2', 'unit': 'tbsp.', 'name': 'olive oil', 'notes': 'split'}, {'amount': '1', 'unit': 'tbsp. ', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tbsp. ', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tbsp. ', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'lime', 'notes': 'juiced'}, {'amount': '1', 'unit': 'cup', 'name': 'beef broth', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'handful cilantro', 'notes': 'chopped (optional)'}]","Turn the instant pot on sauté. Trim the fat off your beef and cut into 2 inch chunks and place in a bowl. Add 1 tbsp. of olive oil, garlic powder, salt, onion powder, chili powder and lime juice to the bowl and mix together well to combine. ,Add the second 1 tbsp. olive oil to the instant pot and sauté the beef on all sides until slightly browned but not cooked. ,Add the beef broth to the pot, cover with the lid and seal the release valve. Pressure cook for 30 minutes. ,Let the beef slow release for 20 minutes before quick releasing. Once done you can either shred the beef directly in the pot or remove the beef with a slotted spoon, shred and return. ,To slightly thicken the sauce mix the tapioca flour with water and add to the pot. Mix well to combine. Lastly, add (optional) a handful of chopped cilantro. ,Serve in tacos, sandwiches, on salads or as is. ",1,chopped (optional),,94,10,5,17482,1,53,155,,Instant Pot Shredded Beef
438,33,106,25,Main Course,"American, Mexican","This , will be an instant family favorite. Easy to make with minimal ingredients, this high protein pie is meaty, cheesy, and full of enchilada flavors. Top with sour cream, Greek yogurt, avocado or lettuce for a taco Tuesday twist the whole family will love.",15,14,High Protein Turkey Taco Pie (14g fiber),https://ohsnapmacros.com/wp-content/uploads/2023/06/turkeytacopie17-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground turkey', 'notes': '99/1%'}, {'amount': '1', 'unit': 'can', 'name': 'green chiles', 'notes': '4 oz.'}, {'amount': None, 'unit': None, 'name': None, 'notes': 'see below'}, {'amount': '1', 'unit': 'cup ', 'name': 'canned corn', 'notes': 'drained 170g'}, {'amount': '1', 'unit': 'cup', 'name': 'black beans', 'notes': 'drained and rinsed, 160g'}, {'amount': '1', 'unit': 'can', 'name': 'mild red enchilada sauce', 'notes': '10 oz.'}, {'amount': '4', 'unit': None, 'name': 'Mission Balance flour tortillas', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'Monterey Jack cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'cheddar cheese', 'notes': 'shredded, 56g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp. ', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}]","Pre heat the oven to 350 degrees Fahrenheit.,In a pan over medium heat add the ground turkey, breaking into pieces and brown until completely cooked through, approximately 5 minutes.,While the turkey cooks, mix together the taco seasoning and water to form a paste. ,Then, add the chilies to the turkey, stirring to combine, followed by the taco seasoning. Mix until the turkey is evenly covered. Lower the heat to simmer. Let the mixture simmer while the oven heats.,Spray a round baking dish (like a pie dish similar in size to the tortillas) with nonstick cooking spray.,Add 1 tortilla to the bottom of the prepared baking dish. Top with ⅓ of the meat mixture, ⅓ of the corn, ⅓ of the beans and ¼ of the enchilada sauce. Save some sauce for the top. Top this first layer with ¼ cup (28g) Monterey jack cheese. Repeat this step, alternating between the two cheese varieties, until you place the last tortilla. You will have 3 filled layers.,Finally, top the final tortilla with the remaining enchilada sauce and cheddar cheese and place in the oven for 10 minutes.,After 10 minutes turn the oven to broil to crisp the top tortilla for approximately 3-5 minutes. Be sure to watch closely so it doesn’t burn. ,Remove from the oven and cut into 4 servings. ,If desired, top with Greek yogurt, sour cream, avocado slices, red onion or cilantro. Serve hot!",1,,1,722,10,49,30941,7,4,1691,4,Taco Pie
167,1,63,25,Breakfast,American,"This protein-packed , is easy and perfect for meal prep or brunch with friends. Using breakfast sausage, egg whites, and fresh veggies you'll have a delicious, nutritious, and show-stopping frittata in 30 minutes.",9,0.2,Southwest Frittata,https://ohsnapmacros.com/wp-content/uploads/2023/03/osm-03-300x300.jpg,14,"[{'amount': '1', 'unit': 'lb.', 'name': 'Jennie-O Turkey Sausage ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper', 'notes': 'diced'}, {'amount': '1/4', 'unit': None, 'name': 'small red onion', 'notes': 'diced'}, {'amount': '1', 'unit': None, 'name': 'jalapeño', 'notes': 'seeded and chopped'}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'cumin', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper, to taste', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'shredded cheddar cheese', 'notes': '56 g'}, {'amount': None, 'unit': None, 'name': 'Fresh cilantro ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Salsa', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Hot sauce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Greek yogurt', 'notes': None}]","Preheat your oven to 375 degree Fahrenheit. Heat up a 10-inch oven-safe skillet or cast iron with olive oil.,Add the turkey sausage to your preheated skillet, breaking it into small chunks. Cook the meat through, stirring often, until no longer pink. ,Once the meat is cooked, add the bell pepper, onion and jalapeño to the pan with the turkey. Cook, stirring occasionally, until the vegetables are tender, about 5 minutes. Add the chili powder, cumin, salt and pepper and stir to combine. Remove from heat. ,Once the pan is removed from the heat, pour the egg whites over the sausage and vegetable mixture into the skillet. Sprinkle the top with shredded cheddar cheese and transfer to the oven.,Bake for 25 minutes or until egg whites are set and cheese is melted and bubbly. Remove the frittata from the oven and let it cool. Cut your southwest frittata into 8 equal slices and serve with hot sauce, cilantro, salsa, or Greek yogurt in place of sour cream. ",,,,15,5,19,27233,3,8,537,,Southwest Frittata
