calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
240,10,120,5,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4,for serving,2,23,5,24,42254,3,6,594,9,Honey Garlic Lemon Pepper Chicken Thighs
52,13,,5,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188,5,1,42710,,1,64,10,Blueberry Mint Mocktail
21,1,2,5,"Appetizer, Snack",American,"This , is an easy and flavorful dip to make in less then 5 minutes. The tangy flavor of cottage cheese blended with fresh herbs and spices make a healthy ranch dip with so many delicious ways to enjoy. Serve with fresh vegetables, pita chips or make into a creamy dressing. ",,,Easy Cottage Cheese Ranch Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheeseranch-300x300.jpg,8,"[{'amount': '1.5 ', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': 'strain water if needed*'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chicken bone broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried parsley ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}]",Put everything in a blender and blend until smooth. You will want to be sure to blend at LEAST 5 minutes to ensure the cottage cheese breaks down completely and leaves no chalkiness. ,,,,23,2,3,48583,,14,154,,Cottage Cheese Ranch Dip
74,,42,45,"Appetizer, Main Course",American,"These oven baked , are made with a homemade Cajun seasoning and dry ranch mix, and are the easiest way to make juicy wings. Crispy and full of spicy flavors, these awesome wings are perfect for a big game, parties or simple snacking. Serve with French fries or with your favorite dipping sauce for a complete spread.",5,,Dry Rub Oven Baked Crispy Cajun Ranch Wings,https://ohsnapmacros.com/wp-content/uploads/2024/05/cajunranchwings-14-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'wings (drumlettes and winglettes)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': '2 Tbsp. for added heat'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried oregano ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cayenne pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit and line a baking sheet with foil. Spray with nonstick spray to keep the wings from sticking to the foil. ,Pat the wings dry with paper towels and add to a large mixing bowl or ziplock bag. Add the baking powder to the bag, seal and shake or mix in the bowl to evenly coat. Do not skip this part, this helps make the wings extra crispy. ,Add 1.5 Tbsp. cajun seasoning and 1.5 Tbsp. dry ranch seasoning to the bag or bowl and shake or mix to evenly coat the wings.,Place the wings on the baking sheet without overlapping. Bake for 45 minutes. Flip halfway through baking. (Optional: Lightly spray the top of the wings with avocado oil or olive oil spray before baking.),Remove from the oven and enjoy your dry rub ribs alone or dipped in ranch dressing.",1,,2,137,5,7,45123,1,24,113,,Dry Rubbed Wings
206,42,2,,Side Dish,American,"This , is just what you need for your next summer barbecue. Tender potatoes, crunchy veggies with a flavorful and creamy sauce, this easy to make recipe can be a light lunch or tasty addition to your party table. ",2,2,Greek Yogurt Potato Salad,https://ohsnapmacros.com/wp-content/uploads/2023/06/healthypotatosalad-1-300x300.jpg,13,"[{'amount': '3', 'unit': 'lbs.', 'name': 'petite gold potatoes', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'non-fat plain 0% Greek yogurt', 'notes': '226g'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'apple cider vinegar ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'celery seed', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chives', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'spear', 'name': 'dill pickles ', 'notes': 'chopped 35g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'dill pickle juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red onion ', 'notes': 'chopped'}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","First, chop the potatoes into quarters or smaller if using larger potatoes. You want to have bite size pieces. Place the chopped potatoes in a pot and fill with water to cover. Season the water generously with salt and bring to a boil. Boil the potatoes for 6-8 minutes until they’re fork tender but not mashed potato soft.,Once the potatoes are done strain them in a strainer and let them sit until completely cooled.,In a bowl, combine the remaining ingredients to make the sauce. Mix together well to combine and adjust the flavor with salt and pepper as needed.,Add the cooled potatoes to a large mixing bowl and cover with the sauce. Mix to combine. Be gentle when mixing to not smash the potatoes. Cover with a lid or plastic wrap and place in the fridge for at least one hour prior to serving.,Remove from the fridge and serve.",,to taste,,1037,10,8,30879,,8,133,2,Greek Yogurt Potato Salad
218,32,36,25,Dessert,American,"Chocolate chip cookies and s'mores collide with these , They have a golden brown outside with a soft and chewy center of melted chocolate and mini marshmallows. This easy recipe can be thrown together with classic cookie ingredients in less then 10 minutes with a 25 minute bake time. ",9,1,S’mores Cookie Bars (without graham crackers),https://ohsnapmacros.com/wp-content/uploads/2024/06/smorescookiebars-19-300x300.jpg,12,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened '}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute) ', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar (or sugar substitute) ', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract ', 'notes': None}, {'amount': '1.5 ', 'unit': 'cups', 'name': 'all-purpose flour ', 'notes': '180g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'semi-sweet chocolate chips', 'notes': '60g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mini marshmallows ', 'notes': '38g'}, {'amount': '1/2', 'unit': None, 'name': 'chocolate bar ', 'notes': 'chopped'}]","Preheat your oven to 350 degrees Fahrenheit. Line a 9×9-inch baking pan with parchment paper or spray with nonstick spray. ,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, salt, and cinnamon.,Add the dry ingredients to the wet mixture, mixing until just combined.,Gently fold in the chocolate chips and marshmallows. ,Add the cookie dough to the prepared baking pan and using a rubber spatula or your hands work the dough so it covers the entire surface of the pan. ,Optional: add 1/2 chopped chocolate bar on top.,Bake for 20-25  minutes until the edges are browned and a toothpick comes out with a few crumbs. ,Remove from the oven and allow the cookie bars to cool in the pan for about 5-10 minutes. When ready to transfer either remove with the parchment paper or a place cutting board over the top of the pan and flip out onto the cutting board. To flip the top side back up use a second surface or cutting board, place on the bottom of the bars and flip over. Or just enjoy right out of the pan. ,Cut into 12 equal squares and enjoy. ",,chopped,,28,10,3,48890,6,12,134,11,S’mores Cookie Bars
45,18,,1,Drinks,mocktail,"This , has the perfect amount of spice without the buzz. Whether it's a hot summer day, holiday season or an evening with the family this is a delicious option for something different than sparkling water. ",,,Refreshing Non-Alcoholic Moscow Mule Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/namules-300x300.jpg,10,"[{'amount': '7.5', 'unit': 'oz.', 'name': 'Light Ginger Beer ', 'notes': 'Q Brand preferred'}, {'amount': '0.5', 'unit': 'oz.', 'name': 'fresh lime juice', 'notes': '~ 1/4 shot'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh mint leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh lime wedge', 'notes': None}, {'amount': None, 'unit': None, 'name': 'mint leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh strawberries', 'notes': None}, {'amount': None, 'unit': None, 'name': 'jalapeno lime syrup', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cranberry juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Apple Cider', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Orange juice and slices ', 'notes': None}]","Add the lime juice and mint leaves to the bottom of a copper mule cup. Using a drink muddler, muddle the mint and lime until the leaves have softened. ,Fill the cup with ice, pour the ginger beer over top and stir. ,Garnish with a lime wedge and additional mint. ",,,,,5,,42634,,1,10,10,Non-Alcoholic Moscow Mule
184,6,36,,"Appetizer, Snack",American,"This chilled , is a delicious and healthy dip that's perfect for parties. Made with real shredded cheese, cottage cheese and taco seasoning, this high-protein snack give taco flavored queso meets pimento cheese vibes. Serve with tortilla chips, crackers or veggies and get your dip on. ",12,1,Chilled Cottage Cheese Taco Queso Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheesequeso-300x300.jpg,12,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': 'Good Culture'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': 'Siete or homemade'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded pepper jack cheese', 'notes': '84g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded cheddar cheese', 'notes': '84g'}, {'amount': '2.25', 'unit': 'oz.', 'name': 'sliced black olives ', 'notes': 'small can'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cilantro ', 'notes': 'chopped'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'finely chopped'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'pickled jalapeños ', 'notes': 'minced'}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'extra taco seasoning ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green chiles', 'notes': None}]","Add the cottage cheese and taco seasoning to a large mixing bowl and mix to combine, no need to blend the cottage cheese. Add the pepper jack, cheddar, black olives, cilantro, red bell pepper and pickled jalapenos and mix to combine.,Let set in the fridge for an hour to chill before serving. ,Serve and enjoy with chips or sliced raw veggies.",,,,125,5,16,49055,7,6,625,4,Chilled Cottage Cheese Queso
208,21,,,"Dessert, Snack",American,"These healthy frozen ,Bars are the perfect chocolatey treat. They're a twist on the classic candy bar but a nice frozen and refreshing dessert that uses up all those ripe bananas. ",12.9,3,Frozen Banana Snickers Bars,https://ohsnapmacros.com/wp-content/uploads/2024/06/bananasnickers-300x300.jpg,8,"[{'amount': '2', 'unit': 'ripe ', 'name': 'bananas', 'notes': '300g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'creamy peanut butter', 'notes': 'melted'}, {'amount': '1', 'unit': 'oz.', 'name': 'roasted salted peanuts', 'notes': 'chopped, 28g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'chocolate chips', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted'}]","Add the banana, almond milk, vanilla and salt to a high speed blender and blend until smooth.,Line a rectangle 6×8 glass dish or freezer safe container (rectangle meal prep containers work best!) with parchment paper overlapping 2 sides to make it easy to remove once frozen.,Pour the banana mixture in the container so that it creates your banana ice cream layer for the ice cream bars. Top the banana mixture the melted peanut butter drizzled over the top, spread with a rubber spatula to evenly cover the top followed by the chopped peanuts. ,Place in the freezer for 4-6 hours until frozen solid. Once frozen remove from the container using the overlapping parchment paper. Cut into 6 equal bars. ,Add the chocolate chips and coconut oil to a microwave-safe bowl and microwave to melt in 20-30 second intervals until completely melted. ,Place a banana bar into the melted chocolate and cover completely. Transfer to a parchment lined baking sheet, sprinkle with flakey sea salt and repeat with all 6 bars. Return to the freezer and enjoy once solid.",4,melted,2,274,5,5,43974,5,6,49,12,Banana Snickers
89,16,1,1,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2,3,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198,10,4,31207,,8,35,12,Broccoli Crunch Salad
