calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
322,35,68,15,Main Course,Italian,"With its rich, bold flavors, this , is every bit as delicious as it sounds. Filled with lean protein, hearty noodles, and fresh herbs, this simple ingredient soup is one you won't want to miss!  ",4,6,Easy Turkey Lasagna Soup Recipe (30-minute meal),https://ohsnapmacros.com/wp-content/uploads/2022/01/Turkeylasagnasoup-16-300x300.jpg,19,"[{'amount': '2', 'unit': 'lbs.', 'name': 'lean ground turkey', 'notes': '99/1'}, {'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'yellow onion, diced', 'notes': '135g'}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic ', 'notes': 'minced'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'Italian Seasoning', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'dried basil', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'tsp.', 'name': 'red pepper flakes', 'notes': 'depending on desired heat'}, {'amount': None, 'unit': None, 'name': 'Fresh cracked pepper', 'notes': None}, {'amount': '1 ', 'unit': None, 'name': 'large can Crushed Tomatoes', 'notes': '28 oz. '}, {'amount': '1', 'unit': 'can', 'name': 'Rotel tomatoes and green chilies', 'notes': '10 oz.'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium beef broth', 'notes': '32 oz. '}, {'amount': '8', 'unit': 'oz.', 'name': 'uncooked lasagna noodles', 'notes': 'broken into pieces'}, {'amount': '3', 'unit': 'oz.', 'name': 'part skim ricotta cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ricotta cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chopped basil', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crushed red pepper', 'notes': None}, {'amount': None, 'unit': None, 'name': 'grated parmesan cheese', 'notes': None}]","Heat a large pot or dutch oven or over medium-high heat and add oil and garlic. Cook the garlic until fragrant. Add onions and cook until translucent, stirring often.,Add ground turkey to the pan and cook until browned. Break the turkey up as you cook into bite size pieces.,Once the turkey is browned add Italian Seasoning, basil, salt, fresh cracked pepper and cayenne pepper. Mix together well to coat the turkey evenly.,Add crushed tomatoes, rotel, water and broth to the pot and bring to a rapid boil. Taste your sauce and see if you need to add any salt, pepper or additional seasonings to taste. I like to add a lot of fresh ground pepper. ,Add the uncooked broken lasagne noodles directly to the sauce and submerge so they’re covered for cooking. Bring the sauce with noodles to a rapid boil. Lower heat to a steady simmer and cook noodles for 12-15 minutes until the noodles are cooked to desired doneness.,Once the pasta is cooked, stir in ricotta cheese. Serve hot!,Serve immediately topped with a extra dollop of ricotta cheese if desired, fresh grated parmesan cheese and fresh chopped basil.",2,,,423,10,35,19217,1,8,1230,7,Turkey Lasagna Soup
208,19,65,15,Breakfast,American,"These , are easy to meal prep and completely customizable. Make them into breakfast bowls with eggs or into taco salads with lettuce.",2,8,High Fiber Breakfast Burrito Bowls with Cauliflower Rice,https://ohsnapmacros.com/wp-content/uploads/2023/01/breakfastburritobowls-14-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground turkey ', 'notes': '99/1'}, {'amount': None, 'unit': None, 'name': None, 'notes': None}, {'amount': '1', 'unit': None, 'name': 'orange bell pepper', 'notes': 'sliced'}, {'amount': '1 ', 'unit': None, 'name': 'small red onion', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'garlic clove', 'notes': 'minced '}, {'amount': '10 oz.', 'unit': None, 'name': 'frozen riced cauliflower', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'fresh cilantro', 'notes': 'chopped'}, {'amount': '1/2', 'unit': None, 'name': 'lime, juiced', 'notes': None}, {'amount': '15', 'unit': 'oz.', 'name': 'black beans', 'notes': 'rinsed and drained'}, {'amount': '1', 'unit': 'tsp. ', 'name': 'salt ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp,', 'name': 'garic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'chili powder', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp. ', 'name': 'cumin', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}]","Heat a pan over medium, spray with cooking spray and add the ground turkey. Using a spatula break the turkey into bite size pieces as it cooks. Cook until it is fully cooked through and no longer pink in the center approximately 5 minutes. ,While the turkey cooks add all the taco seasonings to a small bowl. Top with the water and mix to form a paste. Add the paste to the cooked turkey, mix together well to combine and turn the heat to low. Let the turkey cook in the seasonings for a few minutes while you prep the vegetables. ,Remove the cooked turkey from the pan and set aside. Spray the pan with non stick cooking spray and add the garlic, bell pepper and onion to the pan. Let the veggies saute over medium heat, stirring often so they do not burn, while you prepare the cauliflower rice. ,Cook the cauliflower according to the package instructions. Remove from the bag and add to a bowl. Combine with the chopped cilantro and lime juice and mix together well. ,Assemble your breakfast burrito bowls. Top with eggs if desired or turn into a salad over  a bed of lettuce. Egg is not included in the nutrition facts, see notes.,Approximate measurements per bowl. Turkey Meat – 114 grams, Black Beans – 53 grams, Peppers & Onions – 55 gram, Cauliflower Rice – 67 grams",,,,432,5,32,25729,,4,919,6,Breakfast Burrito Bowls
102,17,,6,"Appetizer, Main Course, Snack",American,"!! Using the easiest , recipe, ever, and combining it with the magic of an air fryer .. I now present you Air Fryer,!! ",1,,Air Fryer Egg Rolls,https://ohsnapmacros.com/wp-content/uploads/2022/12/ezgif.com-gif-maker-80-300x300.jpg,13,"[{'amount': '1', 'unit': 'lbs.', 'name': 'ground turkey ', 'notes': '99/1'}, {'amount': '1/2', 'unit': 'tbsp.', 'name': None, 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': '\xa0broccoli slaw mix ', 'notes': '100g'}, {'amount': '1', 'unit': 'tbsp.', 'name': 'minced garlic', 'notes': None}, {'amount': '6.5', 'unit': 'tbsp.', 'name': None, 'notes': '90g'}, {'amount': '3', 'unit': None, 'name': 'heaping cups sliced cabbage', 'notes': '150g'}, {'amount': '1/2', 'unit': 'can', 'name': 'water chestnuts, chopped', 'notes': '75g'}, {'amount': '1', 'unit': 'tsp', 'name': 'sriracha', 'notes': None}, {'amount': '1/2', 'unit': 'tsp', 'name': 'ground ginger', 'notes': None}, {'amount': '1-2', 'unit': None, 'name': '\xa0chopped green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': None}, {'amount': None, 'unit': None, 'name': 'additional sriracha as needed', 'notes': None}, {'amount': '24', 'unit': None, 'name': 'Egg Roll Wrappers', 'notes': None}]","Spray cooking pan with nonstick and brown ground turkey in a pan over medium heat. Once browned add 1/2 tsp. sesame oil and stir.,If there is a lot of excess liquid from the meat, drain it prior to moving on.,Add minced garlic, broccoli slaw, coconut aminos to the turkey and stir. Simmer until broccoli is slightly soft. Add cabbage, water chestnuts, sriracha, ginger, salt and pepper. Stir and simmer until cabbage is wilted. Mix in chopped green onions.,Top with extra sriracha, drizzle of coconut aminos or sesame seeds.,Lay 1 egg roll wrapper flat with one of the 4 points pointed towards you. Place 32 grams (or full recipe weight divided by 24) in the bottom portion of the egg roll paper. Work from the corner closest to you roll the wrapper over the filling, tuck in the corners and continue to roll up like a burrito. Continue for all egg rolls.,Place eggs rolls in the basket / tray of the air fryer and cook at 400 for 6 minutes. Do not layer egg rolls, work in batches as needed.",,,,,10,8,19205,,24,,,Air Fryer Egg Rolls
254,21,,15,Main Course,American,"Ready in under 30 minutes this , is perfect for a weeknight dinner or breakfast paired with eggs. It’s dairy free, gluten free and full of flavors. ",11,3,Turkey Sweet Potato Hash,https://ohsnapmacros.com/wp-content/uploads/2022/12/ezgif.com-gif-maker-34-300x300.jpg,12,"[{'amount': '1', 'unit': 'lbs.', 'name': 'lean ground turkey (93/7)', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'large sweet potatoes (630g / 1 lbs. 6 oz.), chopped', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'large yellow onion (150g), diced', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Olive Oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '2', 'unit': None, 'name': '\xa0garlic cloves, minced', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Salt and fresh cracked pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': '\xa0smoked paprika', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'nutmeg', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': '\xa0water', 'notes': None}]","Wash and dry the sweet potatoes and chop into bite sized pieces leaving the skin on. The larger the pieces the longer this will take to cook. I like to cut the potato into 1/2"" rounds and into approximately 8 bite size pieces from each round. This will vary based on the size and shape.,Finely dice your yellow onion and mince garlic.,In a pan over medium heat add 1 Tbsp. of olive oil, garlic and onion. Cook until fragrant.,Add sweet potatoes to the pan with the garlic and onion, 1/4 cup of water and season with salt and pepper. Stir together well, cover and simmer at medium for 5-7 minutes until the potatoes are tender.,Stir the potatoes frequently as they will burn. This however is the best added flavor.,While the potatoes cook, cook the turkey until cooked through in a separate pan over medium heat.,Mix seasonings in a small dish with 1 Tbsp. of water and add to the turkey once fully cooked. Mix to evenly coat the turkey.,Add the turkey to the skillet of potatoes and stir together well to combine.,Serve by itself, with eggs or in a salad.",,,,,15,17,19080,,6,437,,Turkey Sweet Potato Hash
301,17,,30,Breakfast,American,"Layers of tortillas, taco meat and egg make for the perfect,. This bake stores in the fridge well, reheats easily and can be topped with salsa, sour cream, nonfat greek yogurt or your favorite hot sauce. Add chopped green chilis or jalapenos to your taco meat when cooking for a added kick.",5,,Turkey Taco Breakfast Bake,https://ohsnapmacros.com/wp-content/uploads/2022/12/ezgif.com-gif-maker-92-300x300.jpg,14,"[{'amount': '1', 'unit': 'lbs.', 'name': 'lean ground turkey', 'notes': '99/1'}, {'amount': None, 'unit': None, 'name': None, 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'can\xa0black beans', 'notes': '150g'}, {'amount': '3/4', 'unit': 'cup', 'name': '\xa0canned corn', 'notes': '100g'}, {'amount': '32', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': '1 full carton'}, {'amount': '6', 'unit': None, 'name': 'white corn tortillas (100 cals for 2)\xa0', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'reduced fat Mexican cheese blend ', 'notes': '56g'}, {'amount': '1', 'unit': 'tsp.', 'name': '\xa0salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'tbsp.', 'name': 'cumin', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Brown ground turkey in a pan over medium heat. Mix all taco seasonings together in a bowl and add water until it forms a slurry paste. Add the seasoning to the turkey meat when almost fully cooked. Add beans and corn and let everything simmer while you get the rest of your ingredients together.,Preheat oven to 400. Chop all 6 corn tortillas into slices.,Spray baking dish with nonstick spray and layer the bottom with half the tortillas slices.,Top the tortillas with half the meat mixture and half the egg whites. Repeat.,Once you have 2 layers of tortillas, meat mixture and eggs, top with shredded cheese and bake for 30 minutes.,To serve cut into 6 equal squares or approximately 283 grams per square.",,,,,10,44,19240,,6,,,Turkey Taco Breakfast Bake
254,23,60,25,Main Course,American,"Your warm bowl of chili awaits! This Easy ,Recipe is a hearty mix of ground turkey, beans, veggies and flavorful spices. Fast, easy and makes amazing leftovers, this chili recipe is a family favorite.",2,7,Easy High-Protein Instant Pot Turkey Chili,https://ohsnapmacros.com/wp-content/uploads/2023/09/turkeychili-300x300.jpg,23,"[{'amount': '2', 'unit': 'lbs.', 'name': 'lean ground turkey ', 'notes': '99/1%'}, {'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'medium yellow onion', 'notes': 'chopped'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '2', 'unit': 'cans', 'name': 'Great Northern beans, rinsed and drained ', 'notes': '15.5 oz. each'}, {'amount': '1', 'unit': 'can', 'name': 'chopped green chilis', 'notes': '4 oz.'}, {'amount': '1', 'unit': 'can ', 'name': 'Rotel Original Diced Tomatoes and Green Chilies', 'notes': '10 oz.'}, {'amount': '2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregeno ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '3', 'unit': 'cups', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'corn (frozen, fresh, or canned)', 'notes': '70g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half and half', 'notes': '105g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'arrowroot powder', 'notes': 'cornstarch is fine too '}, {'amount': None, 'unit': None, 'name': 'shredded cheddar cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'chopped fresh chives', 'notes': None}, {'amount': None, 'unit': None, 'name': 'diced avocado', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Greek yogurt or sour cream', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime wedges', 'notes': None}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sliced jalapeño ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tortilla chips', 'notes': None}]","Turn on the Instant Pot to the sauté setting. Add the olive oil, ground turkey, onion, and garlic. Cook, breaking up the turkey with a spoon, until the turkey is browned and the onion is softened.,Add the cumin, oregano, salt and pepper and mix evenly into the turkey to coat. Add the beans, rotel, green chilies, chicken broth amd corn. Stir until well combined.,Close the lid on the Instant Pot and set the valve to the sealing position. Select Manual or Pressure Cook and set the timer for 15 minutes.,When the cooking cycle is complete, let the pressure release naturally for 10 minutes, then quick release the remaining pressure. Open the lid and turn the Instant Pot back to the sauté mode.,In a small bowl, whisk together the half and half and arrowroot powder. Stir the mixture into the chili. Cook the chili for an additional 3-5 minutes, stirring regularly, until it thickens to a creamy consistency.,Taste and adjust seasonings as necessary and serve with your favorite toppings. ",,,,340,10,33,33478,1,8,872,6,Instant Pot Turkey Chili
378,22.5,68,35,Main Course,American,"This , is a lightened up version of the traditional Tater Tot Hotdish. Using deliciously seasoned ground turkey and Alexia Seasoned Taters Tots you’ll have the best weeknight dish the entire family will enjoy. ",19.8,1.7,Turkey Tater Tot Casserole,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80348-300x300.jpg,10,"[{'amount': '1', 'unit': 'lbs.', 'name': 'lean ground turkey ', 'notes': '99/1'}, {'amount': '1/2', 'unit': None, 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '2', 'unit': None, 'name': 'garlic cloves', 'notes': 'minced'}, {'amount': '1', 'unit': 'tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'to taste'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': None, 'notes': None}, {'amount': '1', 'unit': 'can', 'name': '98% fat free cream of mushroom soup', 'notes': '10.5 oz. '}, {'amount': '1', 'unit': 'cup', 'name': 'cheddar cheese, shredded', 'notes': 'split in half '}, {'amount': '5', 'unit': 'servings', 'name': None, 'notes': '420 grams'}]","Pre heat the oven to 375 degrees Fahrenheit. ,Heat a large cast iron or pan over medium and warm 1 tbsp. of olive oil. Add garlic and chopped onion the oil and cook until fragrant. ,Add the raw ground turkey to the dish and break with a spoon into small bite sized pieces. Cook until cooked through. ,Once the turkey is cooked through add the cream of mushroom soup, salt, liquid smoke, fresh cracked pepper to taste and mix together well to combine. If using a baking dish transfer this mixture to the dish. If using a cast iron continue with the cast iron. ,Top the mixture with 1/2 cup of cheddar cheese. Then arrange the tater tots over the top and top with the second 1/2 cup of cheddar cheese. ,Place the pan in the oven uncovered and bake for 30-35 minutes until the cheese is bubbling and the tater tots are crispy. Remove from the oven and enjoy! ",6.5,420 grams,2.5,276.9,10,27.3,17544,5.7,5,1003.6,1,Turkey Tater Tot Casserole
438,33,106,25,Main Course,"American, Mexican","This , will be an instant family favorite. Easy to make with minimal ingredients, this high protein pie is meaty, cheesy, and full of enchilada flavors. Top with sour cream, Greek yogurt, avocado or lettuce for a taco Tuesday twist the whole family will love.",15,14,High Protein Turkey Taco Pie (14g fiber),https://ohsnapmacros.com/wp-content/uploads/2023/06/turkeytacopie17-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'lean ground turkey', 'notes': '99/1%'}, {'amount': '1', 'unit': 'can', 'name': 'green chiles', 'notes': '4 oz.'}, {'amount': None, 'unit': None, 'name': None, 'notes': 'see below'}, {'amount': '1', 'unit': 'cup ', 'name': 'canned corn', 'notes': 'drained 170g'}, {'amount': '1', 'unit': 'cup', 'name': 'black beans', 'notes': 'drained and rinsed, 160g'}, {'amount': '1', 'unit': 'can', 'name': 'mild red enchilada sauce', 'notes': '10 oz.'}, {'amount': '4', 'unit': None, 'name': 'Mission Balance flour tortillas', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'Monterey Jack cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'cheddar cheese', 'notes': 'shredded, 56g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp. ', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}]","Pre heat the oven to 350 degrees Fahrenheit.,In a pan over medium heat add the ground turkey, breaking into pieces and brown until completely cooked through, approximately 5 minutes.,While the turkey cooks, mix together the taco seasoning and water to form a paste. ,Then, add the chilies to the turkey, stirring to combine, followed by the taco seasoning. Mix until the turkey is evenly covered. Lower the heat to simmer. Let the mixture simmer while the oven heats.,Spray a round baking dish (like a pie dish similar in size to the tortillas) with nonstick cooking spray.,Add 1 tortilla to the bottom of the prepared baking dish. Top with ⅓ of the meat mixture, ⅓ of the corn, ⅓ of the beans and ¼ of the enchilada sauce. Save some sauce for the top. Top this first layer with ¼ cup (28g) Monterey jack cheese. Repeat this step, alternating between the two cheese varieties, until you place the last tortilla. You will have 3 filled layers.,Finally, top the final tortilla with the remaining enchilada sauce and cheddar cheese and place in the oven for 10 minutes.,After 10 minutes turn the oven to broil to crisp the top tortilla for approximately 3-5 minutes. Be sure to watch closely so it doesn’t burn. ,Remove from the oven and cut into 4 servings. ,If desired, top with Greek yogurt, sour cream, avocado slices, red onion or cilantro. Serve hot!",1,,1,722,10,49,30941,7,4,1691,4,Taco Pie
418,52.5,70,30,Main Course,American,"These , are filled with lean protein, fiber and so much flavor from a homemade peanut sauce. Made with kale and sweet potatoes, these healthy bowls are the best way to meal prep or enjoy an easy weeknight dinner. ",4.6,10.4,High Protein Ground Turkey Bowls with Peanut Sauce,https://ohsnapmacros.com/wp-content/uploads/2023/01/groundturkeybowls-1-1-300x300.jpg,25,"[{'amount': '1 ', 'unit': 'lb.', 'name': 'lean ground turkey', 'notes': '99/1'}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground turmeric ', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'large sweet potatoes, chopped', 'notes': '948g raw'}, {'amount': '3', 'unit': 'cups', 'name': 'kale, chopped', 'notes': '1 large bunch'}, {'amount': '1/2', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'english cucumber, sliced', 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': 'cherry tomatoes ', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'sliced carrots', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': '+ 2 Tbsp. powdered peanut butter PB2 ', 'notes': '52g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lite maple syrup', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': None, 'unit': None, 'name': 'dash of cayenne pepper ', 'notes': 'to taste'}, {'amount': None, 'unit': None, 'name': 'pinch of salt ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp. ', 'name': 'kosher salt', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red onion', 'notes': 'sliced'}, {'amount': '3', 'unit': None, 'name': 'garlic cloves', 'notes': 'whole'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'black peppercorns ', 'notes': None}]","Whisk apple cider vinegar, honey, salt, and 1 cup water in a small bowl until honey and salt dissolve. Place the red onion, garlic and peppercorns in a mason jar with a tight-fitting lid; pour the vinegar mixture over top and let it sit at room temperature for at least 1 hour.,Pre-heat the oven to 425 degrees Fahrenheit. Wash and chop the sweet potatoes into bite size pieces, add to a baking sheet prayed with nonstick cooking spray. Spray the potatoes with cooking spray and season with salt and pepper. Roast for 25-30 minutes until fork tender and browned. ,add the chopped potatoes to a pre-heated air fryer pan. Cook at 400 degrees Fahrenheit for 10-15 minutes until fork tender and browned. Shake the basket halfway through. I personally prefer roasting in the oven because you may need to work in batched with the air fryer depending on the size of your basket. ,While the potatoes roast cook the ground turkey. Heat a pan over medium, spray with cooking spray and add the ground turkey. Using a spatula break the turkey into bite size pieces as it cooks. Cook until it is fully cooked through and no longer pink in the center, approximately 5 minutes. Add the chili powder, smoked paprika and ground turmeric. Stir together to evenly coat and remove from the heat. ,Remove the kale from the stems by slicing along the side of the stem and discarding the stem. Chop into bite size pieces and rinse. Add the rinsed and dried kale to a bowl with the olive oil, salt and lemon juice and using your hands massage the oil into the kale. You will start to notice the texture of the kale changes, softens and shrinks. Once you have massaged the kale for a few minutes and it has decreased in size by about half set aside. ,Combine the powdered peanut butter and water in a bowl and forming a peanut butter paste. Add the remaining ingredients to the bowl and mix together well to combine. Set aside until you’re ready to assemble your bowls. If you want the sauce to be any thinner just add more water. ,Assemble your ground turkey bowls. As always it’s best to weigh your final weights and divide by the numbers of servings for accurate measurements. Ex. weigh your roasted sweet potatoes in grams and divide by 4, that’s how many grams each bowl gets.,Each bowl gets the following: 1/4 ground turkey (approx. 90 grams), 1/4 roasted sweet potatoes (approx. 155 grams), 1/4 kale salad, 4 cherry tomatoes, 4 cucumber slices, 1/4 cup sliced carrots, 37 grams peanut sauce, pickled red onions (if using). ,Nutrition facts without sweet potatoes: 252 calories 38 P / 19 C / 4 F ,Nutrition facts with sweet potatoes: 418 calories 42 P / 52 C / 5 F ",0.8,,0.1,1196,10,42,26035,0.2,4,288.7,23.8,Ground Turkey Bowls
44,1,,35,"Breakfast, Snack",American,"These homemade, are a meal prep must-have! Made with egg whites, cottage cheese, veggies and turkey sausage, these creamy bites are high protein, low-carb and totally delicious. This recipe makes 24 little egg bites to make breakfast a breeze all week. ",2,,Cheesy Oven Baked Egg White Bites with Turkey Sausage,https://ohsnapmacros.com/wp-content/uploads/2024/02/eggwhitebites-20-300x300.jpg,6,"[{'amount': '1', 'unit': 'lb.', 'name': None, 'notes': 'Jeannie-O'}, {'amount': '1', 'unit': 'large', 'name': 'bell pepper', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'spinach', 'notes': 'chopped'}, {'amount': '16', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '2', 'unit': 'oz.', 'name': 'shredded gruyere cheese', 'notes': 'or any preferred cheese'}]","Preheat oven to 350 degrees F. Prep muffin pans by placing each silicone pan on a baking sheet or spray muffin trays well with non-stick spray.,In a skillet over medium heat, cook the turkey, breaking into bite sized pieces until browned. Add the bell peppers and sauté until softened. Add the spinach and stir to wilt. Drain any excess liquid. ,Place each silicone muffin pan on a baking sheet or spray muffin trays well with non-stick spray. Evenly distribute the turkey mixture between the 24 muffin cups. ,In a blender combine the egg whites and cottage cheese. Blend until the cottage cheese is smooth. ,Evenly distribute the egg white mixture between to each cup followed by the shredded cheese over the 24 cups. Using a spoon slightly stir each cup to spread the cheese throughout vs. just on top. ,Bake in a preheated oven at 350 degrees Fahrenheit for 30-35 minutes until the eggs are cooked through and no longer runny. ,If baking one tray at a time or halving the recipe bake for 15-20 minutes or until the eggs are fully cooked through and no longer runny. ",,or any preferred cheese,,27,10,6,42183,1,24,139,,Egg White Bites
