calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
348,17,46,14,Main Course,American,"This , recipe is the perfect weeknight dinner. The salmon is easy to make, full of spicy Cajun flavors and takes only a few minutes of prep. The delicious chimichurri sauce is made with herbs, garlic and honey and makes enough to last the week. Pair with your favorite sides for a complete meal.",19,1,Sweet Heat Baked Salmon with Easy Chimichurri Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/08/salmonandchimi-1-1-300x300.jpg,16,"[{'amount': '1 1/2', 'unit': 'lbs.', 'name': 'salmon filets', 'notes': '24 oz.'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Cajun seasoning', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar (for top of fish)', 'notes': None}, {'amount': '1', 'unit': 'bunch ', 'name': 'fresh cilantro, finely chopped with stems (not end stems)', 'notes': None}, {'amount': '3/4', 'unit': 'bunch', 'name': 'fresh parsley (finely chopped with stems (not end stems)', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'red wine vinegar', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'agave nectar or honey', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'lemons, juiced', 'notes': None}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '2', 'unit': 'roma ', 'name': 'tomatoes, finely chopped, with juices', 'notes': None}, {'amount': '1/4', 'unit': 'large', 'name': 'red onion, finely sliced and chopped', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'kosher salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}]","Add all the chimichurri ingredients to a large mixing bowl and stir to combine. Be sure to finely chop the cilantro and parsley. Place in the fridge for at least 30 minutes prior to serving for the best flavor. ,In a small mixing bowl, combine the coconut aminos, Cajun seasoning and light brown sugar and stir to create your marinade. If using one large fish filet, I like cutting into smaller 4 oz. filets for easy serving. ,Lay the filets in a sealable container and add the marinade. If keeping skin on, be sure to place the fish with the skin-side up so the meat gets marinated. Place in the fridge and let the salmon marinate for 15 minutes. ,Preheat the oven to 400 degrees Fahrenheit. Remove the filets from the marinade and discard any excess. Place the fish on a foil lined baking sheet sprayed with cooking spray. ,Sprinkle the remaining 2 Tbsp. of brown sugar on top of the filets and place in the oven for 12-15 minutes or until the fish flakes with a fork and is no longer mushy. ,The cook time will vary depending on the thickness of your filets. ,Serve topped with ¼ cup (56g) of chimichurri and your favorite sides like rice, roasted potatoes, mashed potatoes or steamed veggies. ",,,,358,30,22,50060,4,6,774,9,Chimichurri and Salmon
428,42,,20,Main Course,American,"This , is quick, easy and bursting with flavors. Cajun seasoned salmon with a creamy spicy fettuccine alfredo makes this dish simply irresistible. ",14,2.5,Cajun Salmon Pasta,https://ohsnapmacros.com/wp-content/uploads/2022/07/cajunsalmonpasta-300x300.jpg,18,"[{'amount': '1.5', 'unit': 'lbs.', 'name': '(24 oz.) fresh Salmon Filets', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'Fettuccine Pasta (uncooked)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Olive Oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}, {'amount': '1', 'unit': None, 'name': '\xa0garlic clove, minced', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': '\xa0All-Purpose Flour', 'notes': None}, {'amount': '1 1/3', 'unit': 'cup', 'name': '(300ml) Fat Free Half and Half', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': '(28g) Parmesan & Romano Shredded Cheese', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Cajun Seasoning (for salmon)', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Cajun Seasoning (for sauce)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Chopped Parsley for garnish', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'Smoked Paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'Salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Garlic Powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Onion Powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried Oregano', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Cayenne Pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'fresh ground black pepper', 'notes': None}]","Pre heat the oven to 450 degrees Fahrenheit.,In a small bowl mix together all Cajun seasonings and set aside.,Prep your salmon by rinsing and patting dry. Cut into 4, 4 oz. filets if not already. You should have 6, 5 oz. filets.,Line a baking sheet with foil and drizzle with 1/2 Tbsp. olive oil. Top with the salmon filets skin side down.,Top salmon filets with 1 Tbsp. olive oil and evenly coat with 2 Tbsp. Cajun seasoning. Using your hand be sure to coat all areas of the salmon with the seasoning.,Place in the oven at 450 degrees Fahrenheit for 12-14 minutes until they are fully cooked and flake easily with a fork. You can also use a meat thermometer and check for doneness. Salmon should read 145 degrees Fahrenheit when fully cooked. Remove the skin (optional) prior to serving once it has been cooked. It should stick to the foil and peel right off.,While the salmon bakes cook 10 oz. (uncooked) fettuccine is a pot according to the directions.,While the salmon and noodles cook, prep your creamy cajun sauce. Heat a large pan over medium and add in 2 Tbsp. of butter. Once the butter has melted add garlic and simmer until you begin to smell the garlic. Add 2 Tbsp. flour and stir until you have a thick paste, or roux.,Slowly add the half and half a little as a time to the roux and whisk until the flour is no longer chunky and the sauce begins to thicken. This takes approximately 5 minutes. Remove from the heat.,Add 1 Tbsp. Cajun seasoning to the sauce and stir together well. Sprinkle 1/4 cup of cheese in the sauce and mix together well.,Add the cooked and drained noodles to the sauce and mix together to evenly coat.,Top with chopped parsley and salmon filets. Enjoy your cajun salmon pasta.,For nutrition facts on the pasta without salmon see post for details.",,,,,10,33,17198,,6,,,Cajun Salmon Pasta
317,23,282,15,Main Course,"American, Indian","This , curry has an explosion of flavor in each bite. This quick weeknight dinner has tender shrimp, a creamy curry coconut sauce and crispy fresh veggies. Serve over rice, noodles or by itself for a memorable and simple meal for the whole family. ",9,5,Quick and Creamy Coconut Shrimp with Vegetables and Curry,https://ohsnapmacros.com/wp-content/uploads/2023/11/creamycoconutshrimp-300x300.jpg,10,"[{'amount': '2', 'unit': 'lbs.', 'name': 'large shrimp, peeled and deveined', 'notes': 'fresh or frozen'}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': 'for shrimp'}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'green curry paste, store bought', 'notes': '4 oz.'}, {'amount': '1', 'unit': 'can (13.5oz.)', 'name': 'lite coconut milk', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'fat-free half and half', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'corn, canned or fresh', 'notes': '92g'}, {'amount': '2', 'unit': 'cups', 'name': 'broccoli florets', 'notes': None}, {'amount': '1 ', 'unit': 'cup', 'name': 'baby carrots', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'red bell pepper', 'notes': 'thinly sliced'}]","Shell and devein your shrimp and place in a bowl with the coconut aminos, salt and pepper. Let sit until ready to cook and drain the excess liquid prior to adding to the pan. ,In a large pan or wok add the green curry paste and sauté over medium heat for a minute until fragrant.,Pour in the coconut milk and stir well with the curry paste. Let it simmer for about 5 minutes. ,Add the half and half, corn, broccoli florets and bell pepper to the pan. Cook for another 5-7 minutes, or until the vegetables start to soften.,Stir in the shrimp and cook for 3-4 minutes until they turn pink and opaque.,Add the coconut aminos and a pinch of salt. Adjust the seasoning according to taste. Stir well to combine.,Once the shrimp are fully cooked and the vegetables are tender, remove the pan from heat.,Serve alone or with cooked jasmine rice, cauliflower rice, zoodles, noodles or anything you prefer.,Garnish with fresh basil or cilantro leaves for a burst of flavor and serve with lime wedges to squeeze on top.",,thinly sliced,,777,15,40,37224,5,4,1871,10,Creamy Coconut Shrimp Curry
124,,,15,Main Course,American,"This quick , will make your week that much easier. Using halibut or any white fish, lemon juice and some dried herbs you’ll have a deliciously flavorful dish ready in minutes. Pair it with your favorite sides or turn it into a fish sandwich. ",3,,Air Fryer Halibut,https://ohsnapmacros.com/wp-content/uploads/2022/12/ezgif.com-gif-maker-31-300x300.jpg,6,"[{'amount': '1', 'unit': 'lbs.', 'name': 'fresh Halibut filets, thawed', 'notes': None}, {'amount': '1/4', 'unit': None, 'name': '\xa0lemon, juiced', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': '\xa0dried dill', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Fresh Cacked Pepper', 'notes': None}]","Pre heat your air fryer.,While the air fryer heats, prep your halibut filets by patting dry and cutting into serving sizes as desired. You can cut into 4 – 4 oz. filets or 2 – 8 oz. filets.,Top filets with fresh squeezed lemon juice. Evenly cover the filets with dried dill, garlic powder, salt and pepper and place in a foil lined air fryer tray skin side down. Be sure to spray the foil with non stick spray before placing the filets on top. If your halibut has skin on, the skin will stick to the foil when you take it out, this is ok. If you filets do not have skin be sure to coat the foil well with non stick spray or oil.,Air fry the filets at 350 for 5-7 minutes. Remove and check if done. Cooking time will depend on the thickness of the fish. I suggest started with 6 minutes (thinner filets will be done at this time) and cook for 3 minute increments after until fully cooked. The filets pictured were about 2"" thick and took approximately 12 minutes to cook through.",,,,,5,24,19073,,4,,,Air Fryer Halibut
382,35,5,15,Main Course,Japanese,"These , are the perfect protein and fiber packed meal for busy weeknights! Loaded with fresh veggies, a cauliflower rice base, delicious homemade teriyaki sauce and perfectly baked salmon, this simple recipe is filling, healthy and ready in a snap.",12,9.2,Macro Friendly Teriyaki Salmon Bowls (with cauliflower rice),https://ohsnapmacros.com/wp-content/uploads/2023/10/teriyakisalmonbowls-14-300x300.jpg,19,"[{'amount': '1 lb.', 'unit': None, 'name': 'salmon filet', 'notes': 'chopped into 1"" squares'}, {'amount': '1', 'unit': 'cup', 'name': None, 'notes': '210g'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'water', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'rice vinegar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'arrowroot starch', 'notes': 'or cornstarch (to thicken)'}, {'amount': '2', 'unit': 'tsp', 'name': 'water', 'notes': '(to thicken)'}, {'amount': '12', 'unit': 'oz.', 'name': None, 'notes': 'cooked'}, {'amount': '1', 'unit': 'cup', 'name': 'edamame', 'notes': 'shelled'}, {'amount': '1', 'unit': 'cup', 'name': 'shredded carrots', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'chopped cucumber', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'bean sprouts', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado', 'notes': 'sliced'}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': None, 'unit': None, 'name': 'Everything But The Bagel Seasoning', 'notes': 'optional but recommended'}, {'amount': None, 'unit': None, 'name': 'red pepper flakes', 'notes': 'optional '}, {'amount': None, 'unit': None, 'name': 'Seaweed crisps', 'notes': 'optional'}]","Preheat the oven to 400 degrees Fahrenheit and line a baking sheet with foil and spray with nonstick spray. ,Cube the salmon into 1 inch cubes and place in a ziplock or flat glass container for marinating.,Mix all of the teriyaki sauce ingredients together except the arrowroot and 2 tsp. of water which will be for thickening the sauce for the bowl. ,Add ¼ cup of the homemade teriyaki sauce to the container with the salmon and place in the refrigerator for 10 minutes to marinate. Do not marinate salmon longer than 15 minutes and definitely not overnight it will turn mushy. Set the remaining sauce aside to thicken later for the bowls. ,Remove the marinated salmon from the container and place on the foil lined baking sheet. Bake for 10-15 minutes until the salmon is cooked through and flakes easily with a fork or has a internal temperature of 145 degrees fahrenheit. ,While the salmon bakes, prepare your sauce and bowls. Pour the remaining sauce into a small saucepan and bring to a simmer. Whisk 1 tsp. arrowroot and water in a small bowl and add to the sauce. The sauce will thicken within 1-2 minutes. Use additional 1 tsp. if you want it thicker but note too thick will get sticky. You do not want to cook this for too long as it will become too thick, you just want to slightly thicken it. ,Remove the salmon from the oven and assemble your bowls. ,Add ¼ of the cooked cauliflower rice, edamame, carrots, cucumber, bean sprouts, and avocado to 4 bowls. Top with 1/4 of your salmon, 1/4 of the thickened sauce. Garnish with everything but the bagel seasoning, or toasted sesame seeds and green onions. Add red pepper flakes for a little bite of heat.",3.5,optional,1,395.1,10,30,35707,2,4,1146.8,16,Teriyaki Salmon Bowls
344,21,,15,Main Course,American,"This flavorful , is made in less than 20 minutes and comes with a quick homemade teriyaki sauce. Add it to bowls, salads or pair with your favorite side dish for a complete and healthy meal.",18,0.3,Air Fryer Teriyaki Salmon,https://ohsnapmacros.com/wp-content/uploads/2022/08/turkeytacopie-3-300x300.jpg,7,"[{'amount': '1', 'unit': 'lbs.', 'name': 'fresh salmon filets, thawed', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'light pancake syrup', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'fresh ginger, minced', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': None, 'notes': None}, {'amount': '1/2-1', 'unit': 'tsp.', 'name': 'arrowroot powder (at the end)', 'notes': None}]","Pre-heat the air fryer.,While the air fryer heats, prep your salmon filets by patting dry and cutting into serving sizes as desired. For this recipe I am cutting into 4 – 4 oz. filets. Place the filets skin side up, flesh side down, in a dish to marinate.,Whisk all the teriyaki sauce ingredients, except the arrowroot powder, in a bowl. Pour half the sauce on top of the salmon and marinate in the refrigerator for 10 minutes.,Line the air fryer pan with foil, drizzle with olive oil or non stick spray so they fish does not stick to the bottom.,Air fry the filets at 380 degrees Fahrenheit for 8-10 minutes. When the salmon easily flakes with a fork or the internal temperature reads 145 degrees Fahrenheit with a meat thermometer the salmon is done. The time will vary depending on your air fryer and thickness of filets.,While the fish is cooking in the air fryer pour the remaining sauce to a sauce pan and heat. Add 1/2 tsp. of arrowroot powder and stir well to thicken. Add additional 1/2 tsp. as needed to thicken into a sticky teriyaki sauce.,Remove the fish from the air fryer, top with sauce, chopped green onions and toasted sesame seeds and enjoy your easy air fryer teriyaki salmon.",,,,,15,24,22990,,4,805,,Air Fryer Teriyaki Salmon
444,43,,20,Main Course,American,"This , is a weeknight winner. Spicy, creamy sauce with buttery shrimp topped with roasted red bell pepper chicken sausage creates a melt in your mouth flavor bomb that's ready in less than 30 minutes. ",13,1.7,Creamy Cajun Shrimp and Sausage Pasta,https://ohsnapmacros.com/wp-content/uploads/2022/07/cajun-shrimp-pasta-2-300x300.jpg,19,"[{'amount': '1', 'unit': 'lbs.', 'name': '\xa0frozen medium size shrimp', 'notes': '(deveined with tails off Waterfront Bistro brand)'}, {'amount': '4', 'unit': None, 'name': 'Roasted Red Pepper and Garlic Chicken Sausage Links ', 'notes': 'sliced, (Open Nature Brand)'}, {'amount': '10', 'unit': 'oz.', 'name': 'Bow Tie Pasta, Farfalle ', 'notes': '(Barilla uncooked)'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Olive Oil', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'butter', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'garlic clove', 'notes': 'minced'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'All-Purpose Flour', 'notes': None}, {'amount': '1 1/3', 'unit': 'cup', 'name': 'Fat Free Half and Half', 'notes': '(300ml) '}, {'amount': '1/4', 'unit': 'cup', 'name': 'Parmesan & Romano Shredded Cheese', 'notes': '\xa0(28g) '}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Cajun Seasoning ', 'notes': '(for shrimp)'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Cajun Seasoning', 'notes': ' (for sauce)'}, {'amount': None, 'unit': None, 'name': 'Chopped Parsley for garnish', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'Smoked Paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'Salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'Garlic Powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': '\xa0Onion Powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': '\xa0dried Oregano', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Cayenne Pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'fresh ground black pepper', 'notes': None}]","If using frozen shrimp, defrost your frozen shrimp by placing it in a bowl of luke warm water to defrost. This takes 10-15 minutes. Once defrosted, shell devein and pat dry. ,In a small bowl mix together all Cajun seasonings and set aside. ,Boil a pot of water and cook your pasta according to the package instructions. When draining the pasta I like to leave a little pasta water in as I add it to the pasta sauce to keep the sauce creamy.  While the pasta boils, make the shrimp, sausage and sauce.,Add 1 Tbsp. Cajun seasoning to the bowl of thawed shrimp and mix together well to evenly coat. ,Add 1 Tbsp. of oil to a pan over medium. Add the shrimp to the hot pan and sear on one side for a few minutes. Flip and add the sausage. Cook until the shrimp is no longer translucent and fully cooked, approximately 5 minutes total. Remove the shrimp and sausage from the pan and set aside. ,In the same pan you cooked the shrimp and sausage add in 2 Tbsp. of butter. Once the butter has melted add garlic and sautee for 30-60 seconds until fragrant. Add 2 Tbsp. flour and stir until you have a thick paste, or roux. ,Slowly add the half and half a little as a time to the roux and whisk until the flour is no longer chunky and the sauce begins to thicken. This takes approximately 3-5 minutes. Remove from the heat.,Add 1 Tbsp. Cajun seasoning to the sauce and stir together well. Sprinkle 1/4 cup of cheese in the sauce and mix together well until melted. ,Add the cooked and drained noodles to the sauce and mix together to evenly coat. I like to keep a small amount of water in the pasta so that it keeps the cajun sauce nice and creamy.,Add the shrimp and sausage directly to the pasta and mix together well to coat. Top with chopped parsley. ",,,,,15,38,17189,,6,,,Creamy Cajun Shrimp Pasta with Sausage
452,45,231,18,Main Course,Chinese,"This , , makes busy weeknights a breeze. Tender shrimp, juicy chicken, and crispy veggies are tossed in a flavorful rice for a high protein meal the whole family can dig into. This fried rice recipe is made in one pan and make delicious leftovers for the week. ",7,3,One Pan Shrimp and Chicken Fried Rice (high protein),https://ohsnapmacros.com/wp-content/uploads/2024/07/chickenandshrimpfriedrice-300x300.jpg,19,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, cubed', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of ground ginger', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'shrimp, peeled and deveined, patted dry', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': None, 'notes': '184g'}, {'amount': '2', 'unit': 'cups', 'name': 'water', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen cauliflower rice, cooked and drained', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic, minced', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'carrots, chopped', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'frozen green peas', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper, to taste', 'notes': None}]","Chop the chicken into bite-size pieces and place in a bowl. Top with coconut aminos and ginger and mix to combine. In a separate bowl, add the shrimp and top with coconut aminos and garlic powder. Let both marinate while you cook the rice in the microwave. ,In a microwaveable bowl, add the dry rice and water and cook for 12 minutes (or according to the package instructions). Remove and place in the refrigerator right away until ready to add. Cook the cauliflower rice according to the package instructions and drain any excess liquid. ,Heat a large skillet over medium heat and add the olive oil. Once hot, add the chicken and spread into an even layer in the pan. Let the chicken cook, untouched, for 4-5 minutes to cook and brown on one side. Flip and cook an additional 3-4 minutes until the chicken is cooked through. Remove from the pan and set aside.,Add the raw shrimp to the same pan and cook for 2-3 minutes on each side until the shrimp is cooked through, pink, and no longer translucent. Set aside with the cooked chicken. ,To the same pan, add the garlic, bell peppers, carrots and frozen peas. Saute for 5 minutes to brown and then add the coconut aminos to the pan. Without lowering the heat, let this boil and simmer for 3-4 minutes.,Using a spatula push the vegetable mixture to the outer edges of the pan. Directly to the liquid in the center of the pan, crack the two eggs in and begin to stir and scramble. Mix to cook the eggs in the hot liquid, similar to dropping an egg in soup. You're scrambling the egg directly in the liquid. As it begins to cook, start to combine it into the vegetable mixture until fully combined and cooked through.,Add the rice, cauliflower rice and the remaining 2 Tbsp. of coconut aminos to the pan and mix to combine. I like to let the rice burn on the bottom a little before mixing for crispy rice pieces. Mix and cook for an additional 5 minutes to heat the rice and burn the bottom some. ,Return the cooked chicken and shrimp to the pan and stir to mix into the rice. Let the rice cook until the chicken and shrimp are warm and ready to enjoy. ,Top with green onions and desired toppings.",3,,1,685,10,48,49326,3,5,998,9,Shrimp and Chicken Fried Rice
145,18,,10,Main Course,"American, Mexican","These , are an easy weeknight dinner, packed with sweet and spicy flavors and high in protein. With tender shrimp, avocado crema and a homemade mango corn salsa, this delicious recipe is light, fresh and totally tasty. ",2,8.5,The Best Air Fryer Shrimp Tacos with Homemade Mango Salsa,https://ohsnapmacros.com/wp-content/uploads/2022/07/OHSNAPMACROS-206-300x300.jpg,14,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'raw jumbo shrimp, tails off and deveined', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '6', 'unit': None, 'name': 'flour tortillas', 'notes': None}, {'amount': None, 'unit': None, 'name': 'shredded cabbage', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'can corn', 'notes': '150g'}, {'amount': '1', 'unit': None, 'name': 'small mango', 'notes': 'chopped, 140g'}, {'amount': '2', 'unit': None, 'name': 'small vine tomatoes', 'notes': 'chopped, 200g'}, {'amount': '1/2', 'unit': None, 'name': 'red onion', 'notes': 'finely sliced, 100g'}, {'amount': '1', 'unit': 'cup', 'name': '\xa0fresh cilantro', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of 1 lime', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}]","For the salsa: add the corn, mango, tomatoes, red onion, and cilantro to a bowl and refrigerate for at least an hour before serving.,Preheat the air fryer while you prep your shrimp. If you’re using frozen shrimp add them to a large bowl and fill with room temperature water to defrost, swap out the water if needed and let them sit until fully defrosted. If not already done, remove the tails and devein the shrimp. Pat dry and add to a large mixing bowl.,In a separate small bowl, mix together the paprika, cumin, chili powder and salt and add to the shrimp. Mix well so the shrimp is evenly coated.,Add the shrimp in a single layer to the air fryer and cook at 390 degrees Fahrenheit for 4-6 minutes until they're pink and no longer translucent. Flip the shrimp halfway through.,Over a open flame on the stove sear the tortillas and top with shredded cabbage, shrimp, mango corn salsa (65g) and desired additional toppings.",,,,,15,19,17204,,6,,,Air Fryer Shrimp Tacos
337,20,60,12,Main Course,American,"This , is a healthy weeknight meal bursting with savory flavors. Made with fresh veggies, tender salmon and a homemade stir fry sauce with tons of flavor, this is a quick dinner ready in ,.",16,3,Veggie Packed Salmon Stir Fry with Homemade Teriyaki Sauce,https://ohsnapmacros.com/wp-content/uploads/2024/06/salmonstirfry-26-300x300.jpg,19,"[{'amount': '1', 'unit': 'lb.', 'name': 'salmon filets, skin removed', 'notes': 'cut into bite-sized pieces '}, {'amount': '3', 'unit': 'Tbsp.', 'name': None, 'notes': 'or soy sauce '}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'hoisin sauce', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'rice vinegar', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'sesame oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cornstarch', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '3', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ginger', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'red bell pepper', 'notes': 'thinly sliced'}, {'amount': '1', 'unit': None, 'name': 'yellow bell pepper', 'notes': 'thinly sliced '}, {'amount': '1', 'unit': 'cup', 'name': 'julienned carrots', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'snap peas', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'broccoli florets', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cooked rice or noodles', 'notes': None}, {'amount': None, 'unit': None, 'name': 'cooked cauliflower rice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sesame seeds', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red pepper flakes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'sliced green onions', 'notes': None}]","In a small bowl, whisk together soy sauce, hoisin sauce, rice vinegar, sesame oil, and cornstarch until well combined. Set aside.,Heat one tablespoon of olive oil in a large frying pan or wok over medium-high heat. Add the salmon chunks to the skillet in a single layer and cook for 2-3 minutes on each side, or until golden brown and cooked through. Remove the salmon from the skillet and set aside.,In the same skillet, add the remaining tablespoon of olive oil. Add minced garlic cloves, ground ginger, sliced bell peppers, julienned carrots, snap peas, and broccoli florets to the skillet. Cook for 4-5 minutes, stirring occasionally, until the vegetables are crisp-tender.,Return the cooked salmon to the skillet with the vegetables. Pour the prepared stir-fry sauce over the salmon and vegetables in the skillet. Stir well to coat everything evenly in the sauce.,Cook for an additional 1-2 minutes, or until the sauce has thickened slightly and everything is heated through. Remove the skillet from the heat.,Serve the salmon stir fry hot over cooked rice or noodles. Garnish with sesame seeds and sliced green onions before serving.",1,,,807,5,29,48474,2,4,1114,5,Salmon Stir Fry
