calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
228,34,4,,Main Course,American,"This higher protein , is silky, light and full of fall flavors. Made with roasted vegetables, herbs and spices this , soup packs a punch of cream with cottage cheese for protein and richness. It's a wonderful easy recipe that's both simple and satisfying. ",4.4,3,Roasted Garlic Butternut Squash and Red Pepper Soup (13g protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/butternutsquashsoup-300x300.jpg,14,"[{'amount': '2', 'unit': None, 'name': 'red bell peppers ', 'notes': ""chopped, 2' pieces""}, {'amount': '20', 'unit': 'oz.', 'name': 'frozen cubed butternut squash', 'notes': 'or fresh'}, {'amount': '6', 'unit': 'small', 'name': ' garlic cloves ', 'notes': 'peeled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'chicken bone broth', 'notes': '32 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': '*see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Preheat the oven to 400 degrees fahrenheit. Add the bell peppers, butternut squash and garlic to a large sheet pan. Drizzle the olive oil, salt and pepper over the top and mix to combine and coat. Roast in the oven for 40-45 minutes or until the bell peppers are nice and chared and soft. ,Remove the peppers and squash from the oven and scoop into a large high speed blender. Add 1 cup bone broth and the cottage cheese and blend for approximately 5 minutes or until everything is smooth and well blended.,Over medium heat, add the blended peppers and squash to a large dutch oven or soup pot. Pour 2 cups of the broth into the blender and swish around, this is how you’ll get all the blended mixture out, and pour into the dutch oven. ,Add the remaining broth, salt, onion powder, garlic powder, ginger, coconut aminos and lots of fresh cracked pepper. Bring to a simmer and simmer until it’s warmed through while whisking to ensure the mixture incorporates into the broth. ,Serve topped with blended cottage cheese for extra creaminess, or cream, croutons, fresh basil or chopped green onions and a dash of red pepper flakes for some heat is desired.",2.5,,0.5,461,10,13,52533,0.9,4,1479,10,Butternut Squash and Red Pepper Soup
60,14,,,Dessert,American,"If you love all things pumpkin then these creamy , are exactly what you need this fall season. With a light but creamy texture, this sweet treat has the perfect pumpkin spice flavor and is so easy to make. The hardest part will be waiting for your homemade popsicles to freeze!",,1,Creamy Pumpkin Pie Spice Popsicle Recipe,https://ohsnapmacros.com/wp-content/uploads/2023/10/pumpkinpopsicles-300x300.jpg,8,"[{'amount': '1', 'unit': 'box', 'name': 'sugar-free vanilla instant pudding mix', 'notes': '1 oz. '}, {'amount': '1', 'unit': 'cup', 'name': 'cold unsweetened almond milk ', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'pumpkin puree', 'notes': '240g'}, {'amount': '1', 'unit': 'cup', 'name': 'zero sugar Cool Whip', 'notes': '110g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'light brown sugar', 'notes': 'packed, 55g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground cloves', 'notes': None}]","In a large mixing bowl, whisk together the instant vanilla pudding mix and cold almond milk. It should thicken quickly. ,Once the pudding starts to thicken, fold in the pumpkin puree.,Add the brown sugar, cinnamon, ginger, and cloves to the mixture. Mix thoroughly until everything is well-combined and no chunks remain. ,Gently fold in the 1 cup of Cool Whip until well blended. If the cook whip is frozen, zap it in the microwave first to soften before adding to the bowl. ,Transfer the pudding mixture into 8 silicone popsicle mold and freeze overnight.",,,,8,5,1,36887,,8,159,8,Pumpkin Popsicles
165,22,54,35,Dessert,American,"These chocolate , are the perfect treat. Layers of fudgy chocolate brownies and pumpkin cake are swirled together, with each bite filled with the rich flavors of chocolate and pumpkin. ",8,2,Chocolate Pumpkin Swirl Fudge Brownies,https://ohsnapmacros.com/wp-content/uploads/2024/08/pumpkinbrownies-300x300.jpg,15,"[{'amount': '1', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '192g'}, {'amount': '2', 'unit': None, 'name': 'eggs, room temperature ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder', 'notes': '80g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'sugar', 'notes': '48g'}, {'amount': '1', 'unit': None, 'name': 'egg, room temperature ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'pumpkin puree', 'notes': '108g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'creamy peanut butter (or almond butter)', 'notes': '33g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '60g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'pumpkin pie spice', 'notes': None}]","Preheat the oven at 350 degrees. Lightly grease an 8×8-inch pan and line it with parchment paper, leaving an overhand. This will make it easier to remove and slice the brownies later on.,Start by making the chocolate brownie batter. Add the sugar, eggs, and vanilla extract to a medium sized bowl and whisk to combine. ,Slowly add in the melted butter, whisking as you go so that any residual warmth from the butter doesn’t scramble the egg.,Once you’ve incorporated the butter, add the cocoa powder, salt, and baking soda to the bowl. Whisk until you have a smooth batter and there are no longer any pockets of dry ingredients remaining. Set the bowl aside and give your whisk a quick rinse. ,Make the pumpkin batter next. Add the sugar, egg, pumpkin puree, and peanut butter to a bowl and whisk until smooth. Add the flour, salt, baking soda, and pumpkin pie spice and whisk until just combined. ,Spread about two-thirds of the chocolate brownie batter on the bottom of the prepared pan in an even layer. ,Then, gently spread half of the pumpkin layer on top., Lastly, alternate placing dollops of the remaining pumpkin and brownie batters across the top of the surface. Gently swirl the dollops together with a butter knife or spoon, then tap the pan on the counter firmly a few times to help settle the batter. ,Bake the brownies in the preheated oven for 30-35 minutes or until a tester comes out with a few moist crumbs. Cool the brownies in the pan completely before slicing into 16 squares.",3,,1,111,15,3,50749,4,16,88,16,Pumpkin Brownies
62,14,,15,"Breakfast, Dessert",American,"These easy , are the perfect fall treat. They have a simple two ingredient batter which makes them shockingly easy to make. The best part? They have half the fat and calories as a normal mini donut so you can finally get your donut fix in, guilt-free.",,,Baked Pumpkin Mini Donuts (with 2 ingredient batter),https://ohsnapmacros.com/wp-content/uploads/2023/10/minipumpkindonuts-300x300.jpg,8,"[{'amount': '1', 'unit': 'box', 'name': 'Spice Cake Mix', 'notes': 'Duncan Hines® '}, {'amount': '1', 'unit': 'can', 'name': '100% pure pumpkin puree', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': 'or sugar substitute'}, {'amount': '1', 'unit': 'tsp.', 'name': 'pumpkin pie spice', 'notes': None}, {'amount': '1 ', 'unit': 'Tbsp. ', 'name': 'butter', 'notes': 'melted'}, {'amount': '3/4', 'unit': 'cup', 'name': 'powdered sugar', 'notes': 'or sugar substitute'}, {'amount': '1 1/2-2', 'unit': 'tsp.', 'name': 'pumpkin pie spice', 'notes': None}, {'amount': '3-4', 'unit': 'Tbsp.', 'name': 'milk', 'notes': 'any kind works '}]","Preheat the oven to 425 degrees fahrenheit.,In a large bowl combine the cake mix and pumpkin puree. Mix until fully combined and no powdered cake mix remains. ,In a 12-mini donut baking pan, evenly scoop the donut dough into the pan approximately ¾ the way full. A great trick is to fill a ziplock with the batter, cut a hole at the corner and use it as a piping bag to add the batter to the pan. The dough will be sticky, you can use a rubber spatula to smooth out or wet your fingers. ,Place the donuts in the oven and bake for 9-10 minutes or until cooked through and browned. Remove and let cook in the pan for 5 minutes prior to transferring to a wire rack to completely cool. ,While the donuts bake decide if you want sugar coated, glazed of a mixture of both. , simply mix the brown sugar and pumpkin spice in a small bowl wide enough to dip the donuts in.,Brush the tops of the donuts with the melted butter before dipping into the bowl of sugar to get the sugar to coat to the donuts. If coating with glaze be sure to let them completely cool first so the glaze doesn’t melt off. , whisk together the powdered sugar, pumpkin spice and milk until a frosting like consistency. Use 1 ½-2 tsp. Of pumpkin spice to your preferred taste and 3-4 Tbsp. of milk to the desired sticky frosting consistency. Let the donuts fully cool to room temperature and then place the tops in the glaze and pull out in a circular motion so the glaze coats the entire top. Place back on the cooling rack to set. ",,any kind works ,,,5,1,36722,,24,122,7,Pumpkin Mini Donuts
286,31,91,25,Main Course,American,"Find the perfect comfort meal in this ,. Homemade cajun meatballs, veggies, and potatoes are simmered in a stewy beef broth. The cajun seasoning is perfectly spicy, and intensely flavorful which makes this rich stew one that'll make you warm and cozy. ",9,3,Cajun Meatball Stew Recipe with Homemade Meatballs,https://ohsnapmacros.com/wp-content/uploads/2023/10/cajunmeatballstew-27-300x300.jpg,25,"[{'amount': '3', 'unit': 'Tbsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'cayenne pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'fresh ground black pepper', 'notes': None}, {'amount': '1', 'unit': 'lb', 'name': 'lean ground chicken', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'Italian breadcrumbs', 'notes': None}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '2', 'unit': 'tsp.', 'name': 'Cajun seasoning', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': 'for cooking'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'large', 'name': 'yellow onion', 'notes': 'diced'}, {'amount': '1', 'unit': 'cup', 'name': 'celery', 'notes': 'diced'}, {'amount': '1', 'unit': 'clove', 'name': 'garlic', 'notes': 'minced'}, {'amount': '2', 'unit': 'cups', 'name': 'carrots', 'notes': 'sliced into rounds'}, {'amount': '2.5', 'unit': 'cups', 'name': 'low sodium beef broth', 'notes': 'or chicken'}, {'amount': '1 ', 'unit': 'can', 'name': 'diced tomatoes', 'notes': '14.5 oz'}, {'amount': '1.5', 'unit': 'lbs.', 'name': 'russet potatoes', 'notes': 'peeled and diced'}, {'amount': '2', 'unit': None, 'name': 'bay leaves', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'Cajun seasoning', 'notes': '3-4 tsp. for spicy'}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}, {'amount': None, 'unit': None, 'name': 'fresh parsley', 'notes': 'chopped, for garnish'}]","In a large mixing bowl, combine ground chicken, bread crumbs, egg, garlic and 2 tsp. Cajun seasoning. Mix meatball ingredients until just combined. Roll the mixture into 12 equal 2-inch meatballs, approximately 45 grams each. Set aside.,In a large pot or Dutch oven, heat 1 tablespoon of olive oil over medium heat. Add the meatballs in batches, making sure not to overcrowd the pot. Brown meatballs on all sides, then remove them and set aside. They don't need to be fully cooked at this point. ,In the same pot, add the remaining tablespoon of olive oil. Add the diced onion, celery, and carrots. Sauté until the onions are translucent. Add the minced garlic and sauté for another minute.,Pour in the beef broth and diced tomatoes (with their juices). Scrape the bottom of the pot with a wooden spoon to release any brown bits of meatball drippings. Bring the mixture to a simmer. Add the diced potatoes, bay leaves, and 2 tsp. Cajun seasoning (more for extra spicy). Stir well.  Gently add the meatballs back into the pot.,Reduce the heat to low, cover, and let the stew simmer for about 20-25 minutes, or until the potatoes are tender and the meatballs are cooked through.,Once cooked through, serve and top with fresh chopped parsley. ",4,"chopped, for garnish",1,751,15,21,36039,2,6,1169,5,Cajun Meatball Stew
308,27,93,20,Main Course,Mexican,"This , is nutritious and delicious. Made in the crock pot, instant pot or stovetop this is a perfect high-protein and comforting meal that the whole family will love. ",8,6,Creamy High Protein Chicken Enchilada Soup,https://ohsnapmacros.com/wp-content/uploads/2022/02/chickenenchiladasoup-300x300.jpg,18,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast, raw', 'notes': None}, {'amount': '1', 'unit': None, 'name': '\xa0red bell pepper, chopped ', 'notes': '144g'}, {'amount': '1', 'unit': None, 'name': '\xa0small yellow onion, chopped ', 'notes': '150g'}, {'amount': '15', 'unit': 'oz.', 'name': 'can Whole Kernel Corn (no salt added) ', 'notes': 'drained'}, {'amount': '15', 'unit': 'oz.', 'name': 'can low sodium Black Beans Low Sodium', 'notes': 'drained and rinsed'}, {'amount': '15', 'unit': 'oz.', 'name': 'can petite diced Tomatoes (no salt added)', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'can mild Red Enchilada Sauce ', 'notes': None}, {'amount': '4', 'unit': 'oz.', 'name': 'can diced green chilies', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium Chicken Broth', 'notes': '32 oz. '}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pepper', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '4', 'unit': 'oz', 'name': '1/3 less fat Cream Cheese', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '56g'}]","Add the chicken the the base of the crockpot. Top with bell pepper, onions, corn, beans, tomatoes, chilies, enchilada sauce, seasonings and chicken broth. ,Stir to combine and set the crockpot to cook on low for 6-8 hours or high for 3 hours, or until the chicken is tender. ,Remove the chicken from the crockpot and shred with forks. Return to the pot. ,Add the cream cheese and greek yogurt and stir until melted and combined. Serve and enjoy with desired toppings. ,Add all ingredients except the cream cheese and greek yogurt to the instant pot. ,Set the instant pot on manual (pressure cook mode) for 20 minutes. Quick release the pressure when the timer in done. ,Remove the chicken and shred with forks. Add the chicken back to the instant pot.,Add cream cheese and greek yogurt to the soup and stir until completely melted into the soup. Serve and enjoy with desired toppings. ,In a large pot, sauté the chopped bell pepper and onion over medium heat until they begin to soften.,Place the raw chicken breasts on top of the sautéed vegetables. Add the corn, black beans, diced tomatoes, green chilies, enchilada sauce, and all the seasonings. Pour the chicken broth over everything, ensuring the chicken is mostly submerged.,Bring the pot to a boil, then reduce the heat to a simmer. Cover the pot and let it cook for about 20-30 minutes, or until the chicken is cooked through and tender.,Carefully remove the chicken breasts from the pot. Shred the chicken using forks and then return the shredded chicken to the pot.,Stir in the cream cheese and Greek yogurt until they are fully melted and combined with the rest of the ingredients.,Let the pot simmer for an additional 5-10 minutes to allow the flavors to meld together.",1,56g,1,772,5,32,19208,2,8,674,9,Chicken Enchilada Soup
233,33,46,,Side Dish,American,"This gluten-free , is a holiday season must! Fresh sweet potatoes, warming spices, and a honey walnut topping make this a perfect side dish for any table. This easy, lightened up casserole is a sweet and savory twist on a holiday favorite.",9,5,Gluten-Free Sweet Potato Casserole with Honey Walnut Topping,https://ohsnapmacros.com/wp-content/uploads/2023/10/gfsweetpotatocasserole-20-300x300.jpg,13,"[{'amount': '3.5', 'unit': 'lbs.', 'name': 'sweet potatoes (4-5 potatoes)', 'notes': 'peeled and cut into chunks'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'butter or coconut oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'almond milk', 'notes': 'almond, coconut or regular based on preference'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': '113g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'chopped walnuts', 'notes': '60g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '42g'}, {'amount': '1/2 ', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}]","Preheat your oven to 375 degrees Fahrenheit and grease a 9×13-inch casserole dish.  ,In a large pot, cover the sweet potato chunks with water. Bring to a boil, then reduce the heat and simmer until the sweet potatoes are tender when poked with a fork (about 20-25 minutes). Drain and let them cool for a few minutes.,In a large bowl, mash the sweet potatoes with a potato masher or hand-held mixer ensuring a smooth texture. For best results on a super creamy texture, use a hand mixer.,Add butter, milk, eggs, honey, vanilla extract, salt, cinnamon, and nutmeg to the mashed sweet potatoes. Mix until well combined. Transfer the sweet potato mixture into a greased 9×13-inch baking dish.,In a separate bowl, combine the walnuts and honey and mix to evenly combine. Evenly sprinkle the walnuts over the sweet potato mixture followed by cinnamon and salt. I like to pour the cinnamon in my palm and evenly spread it over the top. You will need to work the nuts around the top as they will be sticky. ,Bake in the preheated oven for 25-30 minutes, or until the topping is golden and the casserole is hot. Remove from the oven, serve and enjoy.",2,,3,447,15,5,35475,3,10,293,18,Sweet Potato Casserole
272,25,40,,Dessert,American,"There's no better addition to your dessert spread during the holidays than a ,. This classic pumpkin pie has everything we love about Thanksgiving desserts: delicious, decadent, and creamy. After trying a added crunchy twist from graham crackers you'll be making this every year. ",11,1,Creamy Pumpkin Pie with Graham Cracker Crust,https://ohsnapmacros.com/wp-content/uploads/2023/10/pumpkinpie-300x300.jpg,13,"[{'amount': '1 1/2 ', 'unit': 'cups', 'name': 'finely crushed graham crackers', 'notes': 'about 12 whole sheets'}, {'amount': '1/4', 'unit': 'cup', 'name': 'granulated sugar', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted, 90g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'can', 'name': 'pumpkin puree', 'notes': '15 oz'}, {'amount': '3/4', 'unit': 'cup', 'name': 'granulated sugar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground cloves', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'heavy cream', 'notes': '245g'}]","Preheat your oven to 375 degrees Fahrenheight.,In a food processor, pulse the graham crackers into fine crumbs.,In a medium bowl, combine the crushed graham crackers, sugar, melted coconut oil, and salt. Stir until the mixture is well combined and has a consistency similar to wet sand. Press the mixture firmly into the bottom and up the sides of a 9-inch pie pan.,Bake in the preheated oven for 7-8 minutes until slightly golden. Remove from the oven and set aside.,In a large bowl, whisk together the pumpkin puree, sugar, cinnamon, ginger, cloves, nutmeg, and salt until well combined. Beat in the eggs one at a time, followed by the heavy cream, mixing until the filling is smooth.,Pour the pumpkin mixture over the crust and smooth the top with a rubber spatula, if needed. Bake in the preheated oven for about 55-65 minutes, or until the center is slightly jiggly and set. You can also check the internal temperature is 185 degrees Fahrenheight to confirm it is done prior to removing from the oven. ,At the 30 minute mark, cover the edges of the pie with aluminum foil or a pie crust shield so the edges do not burn. You can cover just the edges of the pie with foil or use a pie shield to avoid burning the tips of the pie crust. To make a pie guard, cut a ring out of parchment paper and lay it over the edge to cover the crust and leave the center of the pie open. ,Remove the pie from the oven and allow it to cool on a wire rack for at least 3-4 hours to set. ,Cover with foil and transfer to the refrigerator to set overnight for best results.,Slice and serve with a dollop of whipped cream on top of the pie, if desired.",1,245g,,26,15,2.4,35862,8,10,40,26,Pumpkin Pie with Graham Cracker Crust
56,16,,2,Drinks,American,"This , is the perfect drink for holiday celebrations. Made with unsweetened cranberry juice, soda water and homemade rosemary simple syrup, this 60 calorie non-alcoholic drink can be shared with everyone. Hangover not included.",,,Cranberry Lime Mocktail with Easy Rosemary Simple Syrup,https://ohsnapmacros.com/wp-content/uploads/2024/09/cranberrylimemocktail-1-1-300x300.jpg,11,"[{'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'white sugar ', 'notes': None}, {'amount': '1', 'unit': 'sprig ', 'name': 'fresh rosemary ', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'rosemary syrup', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeeze lime juice', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'pure unsweetened cranberry juice', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'lime or lemon flavored sparkling water or seltzer', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ice, as needed', 'notes': None}, {'amount': None, 'unit': None, 'name': 'rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime slices ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cranberries ', 'notes': None}]","Make a rosemary simple syrup by adding the water, granulated sugar, and rosemary to a small pot or saucepan. Set it over medium heat. Stir frequently to encourage the sugar to dissolve. Once the syrup just begins to simmer, remove it from the heat. Set it aside for 30 minutes to cool and allow the rosemary to further infuse its flavor. After 30 minutes, strain out the rosemary and bottle the syrup. Keep leftovers in the refrigerator for up to 2 weeks. ,Add 1 ½ teaspoons of the rosemary simple syrup to a rocks glass or short tumbler along with the lime juice and the cranberry juice. Stir to combine.,Fill the glass ½ to ¾ full of ice.,Top the drink with ¼ to ½ cup lime flavored sparkling water. ,If you prefer, you can garnish the mocktail with a rosemary sprig, a lime slice, and fresh cranberries before enjoying. ",,,,83,30,,52472,,1,2,14,Cranberry Lime Mocktail
459,67,38,15,Main Course,American,"This , is a one-pot meal loaded with ground beef and pasta shells in a creamy cottage cheese pumpkin sauce. Full of fall flavors, this is a great recipe to warm you up on cold winter nights. It's like hamburger helper went to the pumpkin patch drinking a pumpkin spice latte and came home a high protein, light but hearty meal that's also ready in less than 30 minutes.",7,5,30 Minute One Pot Pumpkin Pasta with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/09/pumpkinpasta-300x300.jpg,20,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'yellow onion, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'garlic cloves, minced', 'notes': None}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef ', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2-1/4', 'unit': 'tsp.', 'name': 'chipotle chili powder ', 'notes': 'see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cumin', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'medium shell pasta', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'low sodium beef broth ', 'notes': '32 oz.'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '220g'}, {'amount': '1', 'unit': 'can', 'name': 'pumpkin puree', 'notes': '15 oz.'}, {'amount': '1', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tomato paste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh basil', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh sage leaves', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Parmesan cheese', 'notes': None}]","Add the olive oil to a large skillet over medium heat. Add the onions and garlic and saute until the onion is translucent. ,Add the ground beef and cook, breaking into bite size pieces, until cooked through. Approximately 5 minutes. Add the salt, chipotle powder, cumin, rosemary and pepper. Stir to combine.,Add the uncooked pasta, beef broth and water to the pan, stirring to submerge the pasta shells as best as possible. Bring to a boil and reduce to medium heat. Cook, stirring often for 12-14 minutes or until the pasta is cooked. ,Optional, add the cottage cheese, pumpkin puree, tomato paste and cinnamon to a blender and blend so the cottage cheese is smooth. Or, just add in chunky, I promise it doesn’t effect the taste or texture of the pasta. ,Add the cottage cheese, pumpkin puree, tomato paste and cinnamon directly to the pan with the pasta. Stir and cook for a few additional minutes to warm through and evenly coat the pasta shells. ,Adjust with salt and pepper to taste, serve and enjoy! ",,,,644,10,33,50914,1,6,490,7,Pumpkin Pasta
