calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
107,19,67,5,"Breakfast, Dessert, Snack",American,"These high-protein blender , are a fun twist on breakfast. Easy to make and perfect for meal prep, this quick breakfast will satisfy your morning sweet tooth.  ",2,1,Banana Cream Cottage Cheese Waffles,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesewaffles-300x300.jpg,8,"[{'amount': '1', 'unit': 'ripe', 'name': 'banana', 'notes': '117g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'cottage cheese (2% or 5%)', 'notes': '110g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': 'protein powder', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'milk (dairy or non-dairy)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt', 'notes': None}]","Add all ingredients to a high speed blender and blend until smooth. ,Heat a small single waffle waffle maker and spray with nonstick spray. Add ¼ cup of the waffle batter to the waffle maker and cook until cooked through and browned. Repeat with the remaining waffle mix. ",1,,,91,5,8,48796,1,7,106,5,Cottage Cheese Waffles
90,11,10,5,Breakfast,American,"These , take high protein breakfast to the next level. Fluffy, light and delicious, these waffles are made with wholesome ingredients but taste like classic waffles. They are a satisfying breakfast for the entire family and are extremely freezer-friendly, making busy mornings a breeze. ",1,1,High Protein Waffles with Oat Flour,https://ohsnapmacros.com/wp-content/uploads/2024/02/proteinwaffles-15-300x300.jpg,8,"[{'amount': '1.5', 'unit': 'cups', 'name': 'old-fashioned oats (or oat flour)', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '45g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '4', 'unit': None, 'name': 'egg whites¼', 'notes': '~ 120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': '120ml'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '21g'}, {'amount': '2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'salt', 'notes': None}]","Add the oats to a high-speed blender and pulse into a flour consistency. Alternatively, you can use oat flour.,Add the oats, protein powder, yogurt, egg whites, almond milk, honey, baking powder and salt to a bowl and mix until fully combined. You should have a nice not too runny and not too thick batter. ,Heat a small single waffle maker and spray with non-stick cooking spray. Using a ¼ cup as a spoon, spoon the waffle mix into the hot waffle maker and close. ,Cook until fully cooked through and browned. Remove from the waffle maker and continue with all remaining waffles. Optional, toast them after to get them extra crispy. ,Top with sliced fruit, butter, real maple syrup and enjoy! ",,,,75,5,9,44105,,10,219,2,Protein Waffles
312,35,39,5,Dessert,American,"These , require minimal prep work, have zero bake time and a short 2-hour chill time. Made with Greek yogurt, low-fat cream cheese and sweetened with honey and brown sugar, these dreamy creamy cheesecake cups make the perfect party dessert. ",13,1,Greek Yogurt Mini No Bake Cheesecake Cups,https://ohsnapmacros.com/wp-content/uploads/2024/03/nobakecheesecakecups-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'plain Greek yogurt (2%)', 'notes': '453g'}, {'amount': '8', 'unit': 'oz.', 'name': '1/3 less fat cream cheese', 'notes': 'softened'}, {'amount': '1/4', 'unit': 'cup', 'name': 'honey', 'notes': '60g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'light brown sugar', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'lemon juice', 'notes': 'add more to taste, as needed'}, {'amount': '8', 'unit': None, 'name': None, 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'butter', 'notes': 'melted'}]","Place graham crackers and melted butter in a food processor. Blend until mixture turns into a crumble.,Spoon graham cracker mixture into 6 small containers and use a spoon or your fingers to press into the bottom. Each container should get approx. 3 Tbsp. ,Clean out the food processor so you don’t get crumbs in the cheesecake mixture. ,Add Greek yogurt, cream cheese, honey, brown sugar, vanilla and lemon juice into the food processor. Blend until combined. ,Evenly spoon the cheesecake mixture on top of graham cracker layer, 128 grams.,Cover each cup with plastic wrap and place in the refrigerator for 1-2 hours to set. ,Garnish with your choice of berries, graham cracker crumbles or whipped cream. ",1,melted,1,,11,11,44751,8,6,307,24,No Bake Cheesecake Cups
189,29,31,18,"Breakfast, Dessert, Snack",bowl,"These , are moist, tender and bursting with lemon flavor. Made with fresh blueberries, no refined sugars and Greek yogurt, these delicious muffins are the perfect healthy snack or quick breakfast. Ready in less than 25 minutes, this easy recipe is calling your name.",6,1,Healthy Blueberry Lemon Muffins with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2024/02/lemonblueberrymuffins-300x300.jpg,13,"[{'amount': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'whole-wheat flour', 'notes': '60g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon zest', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'fresh lemon juice ', 'notes': '44g'}, {'amount': '2/3', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'honey', 'notes': '160g'}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '60g'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'fresh blueberries', 'notes': '190g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners. ,Add the flours, baking powder, baking soda, and salt to a medium-sized bowl and whisk to aerate and combine. In a separate large bowl, whisk together the lemon zest and juice, Greek yogurt, eggs, honey, vanilla, and olive oil until smooth. ,Add the blueberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blueberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined. Fold in the blueberries. Divide the batter evenly between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter. ,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a tooth pick inserted into the middle comes out clean.,Cool in the pan for 10 minutes before moving the muffins to a cooling rack.",4,190g,1,113,10,5,44656,1,12,149,13,Healthy Blueberry Lemon Muffins
89,16,1,1,"Salad, Side Dish",American,"Colorful, crunchy and delicious, this classic , comes with a creamy homemade dressing that's low in calories and heavy on flavor. This easy salad makes the perfect side dish for your next barbeque or meal prep Sunday. ",2,3,Creamy Broccoli Crunch Salad (under 100 calories),https://ohsnapmacros.com/wp-content/uploads/2023/06/broccolicrunchsalad-1-300x300.jpg,11,"[{'amount': '5', 'unit': 'heaping cups', 'name': 'broccoli florets', 'notes': 'chopped, 340g'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded, 80g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'sunflower seeds', 'notes': '35g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red onion', 'notes': 'chopped, 35g'}, {'amount': '1', 'unit': None, 'name': 'honeycrisp apple', 'notes': 'chopped, 200g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '170g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1.5 ', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '31g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and pepper', 'notes': 'to taste'}]","In a large bowl, combine the broccoli florets, shredded carrots, dried cranberries, sunflower seeds, chopped red onion, and chopped apple.,In a separate small bowl, whisk together the Greek yogurt, apple cider vinegar, honey, and lemon juice. Add salt and pepper to taste.,Pour the dressing over the broccoli mixture. Toss until all the ingredients are evenly coated.,Cover the bowl and refrigerate for at least an hour before serving. This will allow the flavors to meld together. Toss the salad again before serving and adjust the seasoning with salt and pepper if necessary and serve. ",,to taste,,198,10,4,31207,,8,35,12,Broccoli Crunch Salad
403,33,84,10,Main Course,American,"The famous burger meets classic sloppy Joe with these ,. Easy to make and ready in less than 15 minutes, this healthier twist on two classic recipes is sure to be a new family favorite. Picky eater approved!",17,0.3,Lightened Up Big Mac Sloppy Joes,https://ohsnapmacros.com/wp-content/uploads/2024/02/bigmacsloppyjoes-19-300x300.jpg,16,"[{'amount': '1/2', 'unit': None, 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'lbs.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'yellow mustard', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': 'to taste'}, {'amount': '1/2', 'unit': 'cup', 'name': 'beef broth', 'notes': 'split'}, {'amount': '1', 'unit': 'tsp.', 'name': 'corn starch', 'notes': 'mixed with 1/4 cup broth'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Worcestershire sauce', 'notes': None}, {'amount': '5', 'unit': 'slices', 'name': 'American Cheese', 'notes': None}, {'amount': '5', 'unit': None, 'name': 'Brioche hamburger buns', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'mayonnaise ', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'ketchup', 'notes': '60g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dill pickles', 'notes': 'finely chopped'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dill pickle juice', 'notes': None}]","Spray a large skillet over medium heat with nonstick spray. Add the onions and meat and cook breaking until pieces until cooked through, approximately 5 minutes. ,Add garlic powder, onion powder, salt and pepper and stir to coat the meat. Add the mustard and stir to combine. Add the Worcestershire and ¼ cup beef broth. Stir together and simmer for 2-3 minutes. ,Add the cornstarch to the remaining ¼ cup broth and add to the meat. Stir and let simmer for 5 minutes to thicken. ,While the sauce thickens make the Big Mac sauce. Combine the mayonnaise, ketchup, pickles and pickle juice in a small bowl. ,To assemble, turn the oven to broil. Place the bottom buns on a baking sheet and top the with 1 tbsp. Sauce (16g), shredded iceberg lettuce, ½ cup meat mixture (103g), a slice of American cheese. Place in the oven and broil until the cheese has melted. Put an additional 1 tbsp. (16g) sauce on the top bun, pickles (optional) and place the top bun on top of the burger and enjoy! ,Optional: broil your buns before assembling for a nice crispy bun.",1,,2,,5,29,43875,7,5,1205,8,Big Mac Sloppy Joes
350,13,216,15,Main Course,American,"These , are crispy, crunchy and flavorful. Easy to make and ready in less than 25 minutes, pair them with your favorite sides or add to salads, wraps or sandwiches for the perfect lunch or dinner on busy weeknights.",11,1,Easy Breaded Air Fryer Chicken Cutlets,https://ohsnapmacros.com/wp-content/uploads/2024/02/airfryerchickencutlets-300x300.jpg,12,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast', 'notes': 'or precut cutlets'}, {'amount': '1/2', 'unit': 'cup', 'name': 'breadcrumbs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'grated'}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': 'beaten '}, {'amount': None, 'unit': None, 'name': 'olive oil spray', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh parsley (optional)', 'notes': 'chopped, for garnish'}]","Preheat your air fryer to 400 degrees Fahrenheit.,In a shallow bowl, mix breadcrumbs, grated Parmesan cheese, garlic powder, onion powder, dried oregano, dried basil, smoked paprika, salt, and black pepper. This will be your coating mixture.,Butterfly each chicken breast and cut in half to create thinner cutlets. You can also use a meat mallet to gently pound them to an even thickness.,Dip each chicken cutlet into the beaten eggs, ensuring both sides are coated.,Press each side of the chicken cutlet into the breadcrumb mixture, making sure the coating adheres well.,Place the breaded chicken cutlets in a single layer in the air fryer basket, making sure they are not touching. You may need to cook in batches if there is not enough room. ,Lightly spray the top of the chicken cutlets with olive oil or avocado oil spray to help them crisp up. Air fry the chicken cutlets for 12-15 minutes, flipping halfway through, until they are golden brown and cooked through.,Check the internal temperature, which should reach 165 degrees Fahrenheit for safety. Cook time will vary depending on the size of your chicken breast. ,Remove the chicken cutlets from the air fryer and let them rest for a couple of minutes before serving. Sprinkle with fresh chopped parsley and serve. ",2,"chopped, for garnish",1,641,10,48,44545,4,4,414,1,Air Fryer Chicken Cutlets
385,35,29,40,"Breakfast, Main Course, Side Dish",American,"This , is a recipe favorite for parties, bridal showers, Mother's Day and Sunday brunch. Made with a flaky pie crust, egg whites and crispy bacon, this quiche is easy to make and delicious.",22,,Easy Bacon and Mushroom Egg White Breakfast Quiche,https://ohsnapmacros.com/wp-content/uploads/2024/04/Baconandmushroomquiche-14-300x300.jpg,8,"[{'amount': '1', 'unit': None, 'name': 'pie crust', 'notes': 'store-bought'}, {'amount': '6', 'unit': 'pieces', 'name': None, 'notes': 'cooked and chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'cremini mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'liquid egg whites', 'notes': '350g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low fat milk', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese, shredded', 'notes': '56g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}]","Pre-heat oven according to pie crust package. Place one pie crust in a pie dish, poke a few holes in the bottom and bake 1/2 the recommended time. Example: if the package asks to bake at 425F for 12 minutes, cook at 425F for 6 minutes.,When the crust is done cooking, remove from the oven and lower the temperature to 350 degrees Fahrenheit. ,While the pie crust bakes, cook the bacon until cooked through and browned. Chop into bite size pieces. ,Drain the excess bacon fat from the pan and in the same pan sautee the garlic and mushrooms over medium heat until the mushrooms are soft and browned. Return the chopped bacon to the pan and mix to combine and remove from the heat. ,In a bowl whisk together egg whites, milk, cheese, salt and pepper.,Place the sautéed mushrooms and bacon in the pie dish on top of the pie crust and evenly coat the bottom.,Pour egg mixture over the bacon mixture. Be sure the cheese does not pool to the middle of the quiche, use a spoon to move around as needed.,Bake at 350F for 35-40 minutes or longer until the egg its fully cooked and toothpick comes out clean. Note, bake times will vary oven to oven.,Slice into 6 equal slices and enjoy!",8,,2,213,15,13,44704,9,6,675,2,Bacon and Mushroom Quiche
52,13,,5,Drinks,drinks,"Whip up this easy low calorie , anytime you need a quick summer refresh!  With coconut water, hand squeezed lemon, mint and fresh blueberries it's a summertime favorite for everyone. ",,1,Coconut Blueberry Mint Mocktail (low calorie),https://ohsnapmacros.com/wp-content/uploads/2023/12/blueberrymintmocktail-300x300.jpg,7,"[{'amount': '1/3', 'unit': 'cup', 'name': 'fresh blueberries', 'notes': None}, {'amount': '1', 'unit': 'handful', 'name': 'fresh mint leaves', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut water', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'plain sparkling water or seltzer', 'notes': None}]","Add the blueberries, mint, honey, and lemon juice to a tumbler or rocks glass. Muddle with a cocktail muddler or a wooden spoon until the blueberries have begun to release their juices and are mostly broken down. ,Add ice cubes or crushed ice to the blueberry mixture to fill the glass about halfway to three-quarters full. ,Pour the coconut water into the glass then top it off with the sparkling water or seltzer. , you can muddle in a cocktail shaker, then add the coconut water, shake and pour in a glass to avoid blueberry chunks, then top with seltzer. Delicious both ways. ",,,,188,5,1,42710,,1,64,10,Blueberry Mint Mocktail
65,18,,1,Drinks,drinks,"This , is perfect for hot summer days or your next spring get together. With a fizzy taste and tart flavor, this virgin sangria recipe is a blend of grape juice, soda water and fresh fruit and is guaranteed to please the crowd. ",,,White Sparkling Sangria Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/sangriamocktail-300x300.jpg,7,"[{'amount': '3', 'unit': 'cups', 'name': 'white grape juice', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'sliced strawberries', 'notes': 'plus extra for garnish'}, {'amount': '2', 'unit': 'small', 'name': 'lemons', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'orange', 'notes': 'sliced'}, {'amount': '4', 'unit': 'cups', 'name': 'plain sparkling water', 'notes': 'or seltzer'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}]","Add the white grape juice, lemon juice, sliced strawberries, sliced lemons, and sliced orange to a large pitcher. Stir to combine. Cover and refrigerate overnight or for at least 6-8 hours.,When you’re ready to serve, add the sparkling water to the pitcher. Stir gently, making sure not to break up the fruit. ,Fill wine glasses or rocks glasses three quarters full of ice, then pour the sangria over the ice. ,If desired, you can use extra fruit to garnish each drink. ",,,,85,5,1,42690,,8,6,15,White Sangria Mocktail
