calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
180,7,415,0,"Main Course, Salad, Side Dish, Snack",American,"This , is made with cottage cheese, honey mustard and classic egg salad add-ins and makes the perfect lunch or post workout snack. This low calorie, high protein version has all the flavor, texture and creaminess you'd expect from a classic egg salad recipe. Make it into a sandwich, add to a salad or eat right out of the bowl. ",11,,Dill Pickle Cottage Cheese Egg Salad,https://ohsnapmacros.com/wp-content/uploads/2024/11/cottagecheeseeggsalad7-300x300.jpg,9,"[{'amount': '8', 'unit': None, 'name': 'hard boiled eggs, chopped', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g (more for extra creamy)'}, {'amount': '2-3', 'unit': 'Tbsp.', 'name': 'honey mustard', 'notes': '*'}, {'amount': '3', 'unit': None, 'name': 'dill pickles, chopped', 'notes': None}, {'amount': '3', 'unit': None, 'name': 'green onions, chopped', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'paprika, optional', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper to taste', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chives, chopped', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh dill, chopped ', 'notes': None}]",Add everything to a mixing bowl and combine.,4,,2,216,5,16,49983,4,4,445,5,Cottage Cheese Egg Salad
127,23,11,0,"Breakfast, Dessert, Snack",American,"This ,is creamy, refreshing and bursting with tropical flavors. Made with frozen banana, dragon fruit, pineapple and a touch of protein, this easy smoothie has all the health benefits fruit has to offer, in a delicious and totally customizable way.",2,4,Dragon Fruit Smoothie Recipe,https://ohsnapmacros.com/wp-content/uploads/2024/07/dragonfruitsmoothie-1-1-300x300.jpg,6,"[{'amount': '3/4', 'unit': 'cup', 'name': 'frozen dragon fruit cubes', 'notes': '100g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'frozen pineapple cubes', 'notes': '95g'}, {'amount': '1', 'unit': None, 'name': 'frozen ripe banana, quartered', 'notes': '70g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened almond milk (or milk of choice)', 'notes': '175g'}, {'amount': '1/2', 'unit': 'scoop', 'name': None, 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lime juice (juice of 1-2 limes)', 'notes': None}]","Add ingredients to a blender and blend on low speed. Increase the speed gradually, and blend until creamy and smooth.,Pour your smoothie into a large glass, then enjoy!",,,,402,5,8,48976,,1,128,14,Dragon Fruit Smoothie Recipe
359,39,49,1,"Breakfast, Dessert, Snack",American,"These , are perfect for busy mornings. Made with milk, oatmeal, Greek yogurt and protein powder, this oatmeal recipe is an easy way get in extra protein. Play with different flavors and toppings to make each morning unique, delicious and simple. ",8,6,High Protein Overnight Oats (Vanilla and Chocolate),https://ohsnapmacros.com/wp-content/uploads/2024/07/proteinovernightoats-2-300x300.jpg,13,"[{'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '26g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': 'vanilla protein powder (PEScience)', 'notes': 'whey casein blend'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': 'or maple syrup'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '26g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'plain nonfat Greek yogurt', 'notes': '56g'}, {'amount': '1', 'unit': 'scoop', 'name': 'chocolate protein powder (Pescience)', 'notes': 'whey casein blend'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey ', 'notes': 'or maple syrup'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chia seeds', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'unsweetened cocoa powder', 'notes': None}]","Add everything to a mason jar or sealable container, shake, and let sit in the refrigerator overnight. ,When ready to enjoy remove from the fridge, stir and enjoy cold. ,Optional, you can add additional almond milk if you like a thin consistency and your favorite toppings like fresh sliced fruit, chopped nuts and an extra dollop of Greek yogurt. ,It is important to note that using a different protein powder will result in different texture results! If you're not using a whey casein blend then you may need to recude the almond milk to 1/2 cup as it will not get as thick as a whey casein blend does. ",2,,4,279,3,35,49370,1,1,328,18,Protein Overnight Oats
147,22,25,12,Dessert,American,"Macro Friendly 4th of July recipes! No BBQ is completely with these ,which are the perfect buttery fluffy yet chewy cookies, with crisp edges and soft centers. Whether you're looking for dips, cookies, or wings, we've got you covered to hit your macro goals and celebrate. ",6,,20+ Macro Friendly 4th of July Recipes,https://ohsnapmacros.com/wp-content/uploads/2024/03/chocolatechiplesscookies-main-300x300.jpg,10,"[{'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar (or sugar substitute)', 'notes': '100g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar (or sugar substitute)', 'notes': '90g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '240g'}, {'amount': '3/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'baking powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'pinch of salt ', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'ground cinnamon (1/4-1/2 tsp. if you like heavy cinnamon)', 'notes': None}]","Preheat your oven to 350 degrees Fahrenheit. Line a cookie sheet with parchment paper or a silicone baking mat.,In a large mixing bowl, cream together the softened butter, granulated sugar, and brown sugar until light and fluffy using a hand mixer. Beat in the egg and vanilla extract until well combined.,In a separate medium bowl, whisk together the flour, baking soda, baking powder, salt and cinnamon.,Add the dry ingredients to the wet ingredients, mixing until just combined. You will need to use a rubber spatula to fully mix as the dough is a bit dryer. (You will begin to think something’s missing and they’re too dry, just keep mixing! It’ll come together!),Using a 1.5-tablespoon cookie scoop, drop cookie dough balls onto the prepared baking sheet, leaving space between each cookie. Bake for 11-12 minutes, or until the edges are golden but the center is still soft.,Remove from the oven and allow the cookies to cool on the baking sheet for about 5 minutes before transferring them to a wire rack to cool completely.,Store your cookies in an airtight container for 3-4 days.",2,,2,7,10,2,49109,3,17,109,11,Chocolate Chipless Cookies
184,6,36,,"Appetizer, Snack",American,"This chilled , is a delicious and healthy dip that's perfect for parties. Made with real shredded cheese, cottage cheese and taco seasoning, this high-protein snack give taco flavored queso meets pimento cheese vibes. Serve with tortilla chips, crackers or veggies and get your dip on. ",12,1,Chilled Cottage Cheese Taco Queso Dip,https://ohsnapmacros.com/wp-content/uploads/2024/06/cottagecheesequeso-300x300.jpg,12,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': 'Good Culture'}, {'amount': '1.5', 'unit': 'Tbsp.', 'name': None, 'notes': 'Siete or homemade'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded pepper jack cheese', 'notes': '84g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'freshly shredded cheddar cheese', 'notes': '84g'}, {'amount': '2.25', 'unit': 'oz.', 'name': 'sliced black olives ', 'notes': 'small can'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cilantro ', 'notes': 'chopped'}, {'amount': '1/4', 'unit': 'cup', 'name': 'red bell pepper', 'notes': 'finely chopped'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'pickled jalapeños ', 'notes': 'minced'}, {'amount': None, 'unit': None, 'name': 'hot sauce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'extra taco seasoning ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime juice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green chiles', 'notes': None}]","Add the cottage cheese and taco seasoning to a large mixing bowl and mix to combine, no need to blend the cottage cheese. Add the pepper jack, cheddar, black olives, cilantro, red bell pepper and pickled jalapenos and mix to combine.,Let set in the fridge for an hour to chill before serving. ,Serve and enjoy with chips or sliced raw veggies.",,,,125,5,16,49055,7,6,625,4,Chilled Cottage Cheese Queso
297,18,67,,Main Course,American,"These jalapeño popper, are an easy recipe to prep beforehand and enjoy as a quick lunch. The filling is made in the crockpot with shredded chicken, spicy flavors, and lighter ingredients, making a healthy and wholesome easy meal. Customize the wraps for individual tastes so everyone can have what they love. ",17,7,Jalapeno Popper Shredded Chicken Wraps,https://ohsnapmacros.com/wp-content/uploads/2024/06/Jalapenopoppershreddedchickenwraps-8-300x300.jpg,7,"[{'amount': '1', 'unit': 'batch', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'Tumaro Wraps (or any preferred burrito size wrap)', 'notes': None}, {'amount': None, 'unit': None, 'name': 'tomatoes', 'notes': None}, {'amount': None, 'unit': None, 'name': 'red onion', 'notes': None}, {'amount': None, 'unit': None, 'name': 'green onions', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lettuce', 'notes': None}, {'amount': None, 'unit': None, 'name': 'jalapeños ', 'notes': None}]","Make the Jalapeno Popper Dip and use the leftovers. ,To make the wraps, add ½ cup (134g) of the chicken mixture onto a warmed wrap. Top with lettuce, tomato, onion or any preferred vegetables. Fold half over the filling, fold in the sides and continue to fold up into a burrito. ,Enjoy as is or sear on a hot grill pan for a crispy outer crunch. ",1,,,255,10,23,48260,9,14,542,6,Jalapeno Popper Shredded Chicken Wraps
190,31,31,20,"Breakfast, Dessert, Snack",American,"These healthy , are fluffy, moist and perfectly sweet. Low calorie and filled with wholesome ingredients, these are the perfect breakfast or snack to keep you energized and full thoughout the day. ",5,2,Healthy Blackberry Oatmeal Muffins,https://ohsnapmacros.com/wp-content/uploads/2024/07/blackberryoatmealmuffins-300x300.jpg,12,"[{'amount': '1 1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '150g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'whole wheat flour', 'notes': '30g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'rolled oats', 'notes': '75g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking soda', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': None, 'notes': '150g'}, {'amount': '2', 'unit': 'large', 'name': 'eggs', 'notes': None}, {'amount': '1/2 cup + 2 Tbsp. ', 'unit': None, 'name': 'honey', 'notes': '202g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil, melted', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': '**fresh blackberries', 'notes': '192g'}]","Preheat your oven to 375 degrees Fahrenheit. Line a muffin tin with a 12 muffin capacity with paper liners.,Add the flours, rolled oats, baking powder, baking soda, salt, and ground cinnamon to a medium-sized bowl and whisk to combine. In a separate larger bowl, whisk together the Greek yogurt, eggs, honey, and coconut oil until smooth.,**Add the blackberries to a separate small bowl, then measure out a teaspoon of the dry ingredients and add it to the bowl. Toss the blackberries so that they are coated in the dry ingredients (this will help keep them from sinking to the bottom of the muffins).,Add the dry ingredients to the wet ingredients and whisk until just combined.,Fold in the blackberries. ,Divide the muffin batter between the 12 muffin cups. Tap the muffin pan on the counter a few times to help settle the batter.,Bake the muffins in the preheated 375 degree Fahrenheit oven for 15 -18 minutes or until the tops are golden and a toothpick inserted into the middle comes out clean.,Cool the muffins in the pan for 10 minutes before moving to a cooling rack.",,192g,,142,15,5,49700,,12,131,15,Healthy Blackberry Oatmeal Muffins
160,25,8,,Dessert,American,"These , bars taste like strawberry crunch bars from the ice cream truck but higher in protein. A graham cracker crust topped with cottage cheese ice cream and a crunchy cookie topping, this high protein dessert has everything you love about traditional ice cream but made in your own kitchen.",5,1,Strawberry Crunch Cottage Cheese Ice Cream Bars,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheeseicecreambars-300x300.jpg,7,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese (Good Culture)', 'notes': '16 oz.'}, {'amount': '1/3', 'unit': 'cup', 'name': 'honey', 'notes': None}, {'amount': '1.5', 'unit': 'cups', 'name': 'strawberries ', 'notes': 'halved'}, {'amount': '4', 'unit': 'sheets', 'name': 'graham crackers', 'notes': 'crumbled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': 'melted'}, {'amount': '4', 'unit': None, 'name': 'Golden Oreo Thins', 'notes': 'crumbled'}, {'amount': '1/4', 'unit': 'cup', 'name': 'freeze-dried strawberries', 'notes': '8g crumbled'}]","In a high-speed blender, add the cottage cheese, honey and strawberries. Blend for at least 5 minutes until completely smooth.,Add the graham crackers to a ziplock and crush with a rolling pin and transfer to a small bowl. Add the melted coconut oil and mix to combine until it resembles wet sand. ,Line a loaf pan with parchment paper so the long side hangs over, this will help pull the bars out once frozen. Add the graham cracker mixture to the bottom and press it down well.,Pour the cottage cheese ice cream mixture over the graham crackers. ,To another ziplock, add the Golden Oreo Thins and freeze dried strawberries and crush with rolling pin. Sprinkle on top of the ice cream to evenly coat the top.,Top with foil and freeze for 4-5 hours. Remove and pull the ice cream bars out using the parchment paper. Cut down the center lengthwise and into 8 equal squares (you can eat them at this point though they'll be slightly soft in the center still). Return to the pan, top with foil and freeze for another 3-4 hours.   ,When ready to enjoy you MUST let these defrost for 15-20 minutes before eating to ensure they're soft and creamy and no longer icy. Let the pan sit at room temp until you can easily pull the bars out using the parchment paper. The longer you freeze the ice cream bars, the longer it will take to defrost. ,: it’s easier to cut halfway through freezing ~ after 4-5 hours in the freezer before it’s super hard, otherwise you'll have to let the entire pan defrost before cutting vs. pre cutting and pulling out however many you want to enjoy to defrost! Return to the freezer to easily enjoy the bars, when desired. ",,8g crumbled,,105,10,8,49486,3,8,228,18,Strawberry Crunch Cottage Cheese Ice Cream Bars
195,23,26,0,"Breakfast, Dessert, Snack",American,"This high protein , is thick, creamy, and delicious. Filled with tropical flavors and protein, this everyday smoothie is easy to make and can easily be a meal replacement or split into two as a shareable snack. ",3,2,High Protein Tropical Cottage Cheese Smoothie,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesesmoothie-300x300.jpg,7,"[{'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'unsweetened vanilla almond milk', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'frozen mango', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'fresh pineapple', 'notes': None}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla bean paste', 'notes': None}]","Put everything in a high speed blender and blend until smooth.,Split between two cups (you can store one if needed) and top with sweetened coconut flakes and fresh pineapple.  ",,,,245,3,20,49792,1,2,352,18,Tropical Cottage Cheese Smoothie
240,10,120,5,Main Course,American,"These , are exploding with rich and bold flavors for an easy meal your whole house will love. Bbq, bake or air fry, these chicken thighs are healthy, flavorful and totally delicious. Marinate for at least 30 minutes or make the day before and have dinner on the table in no time!",13,,Honey Garlic Lemon Pepper Chicken Thighs,https://ohsnapmacros.com/wp-content/uploads/2024/06/chickenthighs-1-1-300x300.jpg,12,"[{'amount': '2', 'unit': 'lbs.', 'name': 'boneless skinless chicken thighs', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'finely chopped '}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'honey', 'notes': '63g'}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'zest of one lemon', 'notes': None}, {'amount': None, 'unit': None, 'name': 'juice of one large lemon', 'notes': 'approx 3-4 Tbsp.'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'freshly ground black pepper', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'fresh chopped parsley ', 'notes': 'additional for garnish'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper ', 'notes': 'on top'}, {'amount': None, 'unit': None, 'name': 'lemon wedges', 'notes': 'for serving'}]","In a large bowl, combine the minced garlic, honey, coconut aminos, lemon zest, lemon juice, black pepper, salt, parsley and oil. Whisk together until thoroughly combined.,Add the chicken thighs to the bowl or ziplock resealable bag, ensuring each piece is coated well with the marinade. Allow the chicken to marinate for at least 30 minutes. For best results, marinate for 2 to 4 hours in the refrigerator or overnight. Halfway through give the chicken a good shake or flip to be sure all sides marinate.  ,: Preheat the grill or grill pan to medium high heat. Remove the chicken from the marinade and place directly on the hot grill. Add a spoonful of the chunks from the marinade on top of the chicken prior to discarding excess the remaining marinade. Grill for 4-5 minutes on each side until the chicken is cooked through or until the internal temperature reaches 165 degrees Fahrenheit.,: Preheat the oven to 425 degrees Fahrenheit. Line a baking sheet with parchment paper or aluminum foil. Place a wire rack on top of the baking sheet and arrange the chicken thighs on the rack. This will allow for better air circulation and even cooking. I like using my cooking cooling rack and placing directly on top of the pan. Pour a spoonful of marinade on top of each thigh and discard the rest. ,Bake for about 25-30 minutes or until the internal temperature reaches 165 degrees Fahrenheit and the exterior is nicely browned. If desired, broil for the last 2-3 minutes for extra crispiness.,Preheat the air fryer to 375. Remove chicken from the marinade and place directly in the air fryer basket, ensuring they do not overlap, you may need to work in batches. Top each thigh with a spoonful of the marinade and cook for approximately 10-15 minutes on each side or until the internal temperature has reached 165 degrees Fahrenheit.,Once cooked, let the chicken thighs rest for 5 minutes to allow the juices to redistribute. ,Garnish with freshly chopped parsley and extra fresh cracked pepper if desired. Serve with a lemon wedge to squeeze on top if desired. ",4,for serving,2,23,5,24,42254,3,6,594,9,Honey Garlic Lemon Pepper Chicken Thighs
