calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
50,11,,1,Drinks,drinks,"Using freshly squeezed orange juice and instant espresso this , is one you'll keep coming back to. Whether it's a summer refresher, afternoon pick me up or an after-dinner mocktail, it's delicious any time of the day and leaves you with zero buzz. ",,,Fizzy Orange Coffee Mocktail (Non-Alcoholic),https://ohsnapmacros.com/wp-content/uploads/2023/12/coffeemocktail-300x300.jpg,8,"[{'amount': '2', 'unit': 'tsp. ', 'name': 'instant espresso powder', 'notes': 'or instant coffee'}, {'amount': '1/4', 'unit': 'cup', 'name': 'cold water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'freshly squeezed orange juice ', 'notes': 'or storebought juice'}, {'amount': '1', 'unit': 'tsp.', 'name': 'maple syrup', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'plain selzter ', 'notes': 'or sparking water'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}, {'amount': None, 'unit': None, 'name': 'Orange Slice', 'notes': 'garnish'}]","Add the instant espresso powder, cold water, orange juice, maple syrup, and vanilla extract to a small jar. Cover with a tight fitting lid then shake vigorously for 30-60 seconds or until the espresso powder has fully dissolved.,Fill a tall tumbler or Collins glass half full with ice, then pour the shaken espresso mixture over it. Make sure to get the foam as well. ,Top with the seltzer or sparkling water and garnish with an orange slice if desired.",,garnish,,17,5,,42667,,1,1,9,Coffee Mocktail
381,33,88,20,Main Course,American,"This , is the ultimate comfort food for the whole family. Tender chicken, creamy sauce, classic pot pie veggies and a golden brown flaky crust, make this easy dinner recipe one you won't want to pass up.",13,2,Chicken Pot Pie Casserole with Crescent Roll Crust,https://ohsnapmacros.com/wp-content/uploads/2021/11/chickenpotpiecasserole-20-300x300.jpg,21,"[{'amount': '1.5', 'unit': 'lbs.', 'name': 'boneless skinless chicken breast', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'black pepper', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried thyme', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried oregano', 'notes': None}, {'amount': None, 'unit': None, 'name': 'chicken breast, shredded and seasoned', 'notes': 'per above'}, {'amount': '1', 'unit': 'tbsp.', 'name': 'butter', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'garlic clove', 'notes': 'minced'}, {'amount': '1/2', 'unit': None, 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '2', 'unit': 'tbsp.', 'name': 'chicken broth', 'notes': 'used first '}, {'amount': '1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': None}, {'amount': '2/3', 'unit': 'cup', 'name': 'whole milk', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'chicken broth', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'frozen corn ', 'notes': '160g'}, {'amount': '1', 'unit': 'cup', 'name': 'frozen peas and carrots', 'notes': '160g'}, {'amount': None, 'unit': None, 'name': 'salt and pepper to taste', 'notes': None}, {'amount': '8', 'unit': None, 'name': '\xa0crescent rolls', 'notes': '1 full sheet of rolls '}]","Add chicken breasts to a pot of boiling water with a pinch of salt. Boil until done and no longer pink on the inside, approximately 20 minutes. When the chicken is done, remove from the water and shred with a fork. Pour out the water from the pot and return the shredded chicken to the empty pot. Add all seasonings and stir together well to coat the chicken.,Pre-heat the oven to 375. Spray a 9 x 13 inch baking dish with cooking spray.,Add butter to a pan over medium and melt. Once melted add onions and garlic, cook and stir until onions are translucent. Add the flour and 2 tbsp. Chicken broth and stir until onions are well coated. ,Slowly add the milk and broth and stir. Season well with salt and pepper, stir everything together and simmer until the sauce thickens. The consistency should be similar to a potato soup.,Transfer the chicken, vegetables and sauce mixture to the prepared casserole dish and stir to evenly tix everything together. ,Unroll your crescent rolls and either place them along the top as is OR using a rolling pin roll them into one single sheet and lay across the top of the chicken mixture. ,Bake for 20-25 minutes until the top is golden brown and cooked through. Remove from the oven and serve. ",1,1 full sheet of rolls ,1,560,15,32,19261,5,6,763,9,Chicken Pot Pie Casserole
202,12,29,15,Dessert,American,"The perfect holiday dessert is here with these mini ,. Creamy and decadent with peppermint flavor and an Oreo crust, these mini cheesecakes are made with Greek yogurt but still rich and indulgent. ",12,1,Mini Greek Yogurt Peppermint Cheesecakes with Oreo Crust,https://ohsnapmacros.com/wp-content/uploads/2023/12/oreopeppermmintcheesecakes-300x300.jpg,12,"[{'amount': '5.5 ', 'unit': 'oz.', 'name': 'oreo cookies', 'notes': '18 cookies'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil', 'notes': 'melted'}, {'amount': '8', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened'}, {'amount': '1/3', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '74g (or sugar substitute) '}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'peppermint extract', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': None, 'unit': None, 'name': 'whipped cream', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crushed oreo cookies', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crushed peppermints ', 'notes': None}]","Preheat the oven to 325 degrees Fahrenheit and line a muffin tin with cupcake liners and spray with nonstick spray. ,Remove the cream from the Oreos so you just have dry cookies. ,In a food processor, crumble the oreo cookies until well crushed and you have a bowl of fine crumbs. Pour in the melted coconut oil or melted butter and pulse to combine. The mixture should resemble wet sand.  ,Using a 1 ½ Tablespoon cookie scoop, place a ¾ scoop full of cookie crust in each liner in the muffin pan and press firmly into the bottom.  Bake for 6-10 minutes or until the edges begin to brown. Allow to cool while making the cheesecake filling. ,To make the cheesecake filling, in a large bowl beat the less-fat cream cheese and sugar until light and fluffy with a hand or electric mixer, about 3-5 minutes. The sugar should not be grainy at this point but well incorporated into the cream cheese.  ,Mix in the greek yogurt, vanilla extract, peppermint extract and flour until incorporated.  ,Slowly beat in the large egg, just until combined. Do not overmix your cheesecake batter.  ,Place 3/4 scoop of the cheesecake filling in each prepared and cooled crust using the cookie scoop. Evenly distribute the filling between all 12 muffin tins. ,Bake cheesecakes for 12-15 minutes or until the edges are set and the middle slightly wobbles.  ,Allow the mini cupcakes to cool to room temperature, cover with plastic wrap, and refrigerate for 4 hours or overnight for best results.  ,When ready to serve, remove from the baking pan, top with whipped topping, crushed peppermint candies, crushed Oreo cookies, and serve. ",2,,1,49,10,3,41858,8,12,153,14,Peppermint Cheesecakes
212,30,43,25,Dessert,American,"This , is moist and fluffy with a delicious brown sugar streusel topping. Made with Greek yogurt and applesauce instead of traditional sour cream, this lighter version of a classic coffee cake has the flavor and texture you love, without an overload of calories.",8,1,Applesauce and Greek Yogurt Coffee Cake,https://ohsnapmacros.com/wp-content/uploads/2024/12/applesaucecoffeecake14-300x300.jpg,13,"[{'amount': '1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': '30g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'light brown sugar, lightly packed', 'notes': '24g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': '28g'}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1 ½\xa0', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '180g'}, {'amount': '2', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '95g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsweetened applesauce ', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsalted butter, melted and slightly cooled', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'nonfat Greek yogurt', 'notes': '55g'}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}]","Preheat the oven to 350 degrees. Lightly grease an 8-inch square pan then line it with parchment paper leaving an overhang.,Make the streusel topping first. Add all of the ingredients to a small bowl. Mix with a rubber spatula, pressing into it to break up the butter and rubbing it into the dry ingredients. It’s ready once it looks moist and sandy. Set the streusel topping aside.,To make the cake batter, combine flour, baking powder, salt, and brown sugar in a medium-sized bowl until combined. Make sure to break up any lumps of brown sugar.,In a separate larger bowl, whisk together the applesauce, melted butter, Greek yogurt, egg, and vanilla until smooth. Add the flour mixture to the wet ingredients and mix until just combined. The batter will be thick and sticky, that is ok! Pour batter into an even layer in the prepared pan. ,Sprinkle the streusel topping over the batter in an even layer. ,Bake the cake in the preheated oven on the center rack for 23-25 minutes or until a toothpick inserted into the middle comes out clean and the top of the cake springs back when gently touched. ,Cool the cake in the pan for at least 20 minutes before serving. Cut into 9 equal squares for serving. ",2,,,142,10,4,53069,5,9,138,12,Applesauce Coffee Cake
309,16,55,,Main Course,American,"This , recipe is lasagna with a twist. Made with oven-ready noodles, tender chicken, and buffalo wing sauce, this easy meal takes lasagna to the next level. High protein and delicious, this is a weeknight winner the entire family will love. ",16,2,Buffalo Ranch Chicken Lasagna (oven-ready noodles),https://ohsnapmacros.com/wp-content/uploads/2024/03/buffalochickenlasagna-30-300x300.jpg,22,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves ', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'carrots', 'notes': 'shredded or finely chopped, 140g'}, {'amount': '3/4', 'unit': 'cup', 'name': 'celery', 'notes': 'chopped, 87g'}, {'amount': '1', 'unit': 'lb.', 'name': 'shredded chicken breast ', 'notes': 'cooked'}, {'amount': '16', 'unit': 'oz.', 'name': 'buffalo sauce', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'marinara sauce', 'notes': '9 oz.'}, {'amount': '16', 'unit': 'oz.', 'name': 'low-fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '2.5', 'unit': 'Tbsp.', 'name': 'Dry ranch seasoning', 'notes': ' homemade below'}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '8', 'unit': None, 'name': 'oven-ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low-moisture mozzarella cheese', 'notes': 'shredded, 224g'}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'dried parsley', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried dill', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'onion powder', 'notes': None}, {'amount': '2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'dried chives', 'notes': 'optional'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic, onions, carrots and celery to the pan and cook until nice and soft, approximately 3-5 minutes.,Remove from the pan and add to a large mixing bowl. Combine the sauteed vegetables with the shredded chicken, buffalo sauce and marinara sauce. Mix to combine. ,In a small mixing bowl or mason jar (to store) combine the homemade ranch seaosning ingredients and mix well to combine. ,For the filling, combine the cottage cheese, eggs, parmesan cheese, 2.5 Tbsp. dried ranch seasoning and fresh cracked pepper. Mix to fully combine. ,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of sauce from the chicken buffalo mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking sheet (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the buffalo chicken mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the buffalo chicken mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining chicken mixture, remaining cottage cheese filling and 1 cup cheese on top. ,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and golden brown and the sauce is nice and bubbly at the edges. Broil if needed to brown the cheese for a few minutes. ,Remove from the oven, top with freshly chopped parsley and cut into 12 equal servings and enjoy. ",1,optional,,213,30,25,44637,5,12,1583,4,Buffalo Chicken Lasagna
228,34,4,,Main Course,American,"This higher protein , is silky, light and full of fall flavors. Made with roasted vegetables, herbs and spices this , soup packs a punch of cream with cottage cheese for protein and richness. It's a wonderful easy recipe that's both simple and satisfying. ",4.4,3,Roasted Garlic Butternut Squash and Red Pepper Soup (13g protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/butternutsquashsoup-300x300.jpg,14,"[{'amount': '2', 'unit': None, 'name': 'red bell peppers ', 'notes': ""chopped, 2' pieces""}, {'amount': '20', 'unit': 'oz.', 'name': 'frozen cubed butternut squash', 'notes': 'or fresh'}, {'amount': '6', 'unit': 'small', 'name': ' garlic cloves ', 'notes': 'peeled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'chicken bone broth', 'notes': '32 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': '*see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Preheat the oven to 400 degrees fahrenheit. Add the bell peppers, butternut squash and garlic to a large sheet pan. Drizzle the olive oil, salt and pepper over the top and mix to combine and coat. Roast in the oven for 40-45 minutes or until the bell peppers are nice and chared and soft. ,Remove the peppers and squash from the oven and scoop into a large high speed blender. Add 1 cup bone broth and the cottage cheese and blend for approximately 5 minutes or until everything is smooth and well blended.,Over medium heat, add the blended peppers and squash to a large dutch oven or soup pot. Pour 2 cups of the broth into the blender and swish around, this is how you’ll get all the blended mixture out, and pour into the dutch oven. ,Add the remaining broth, salt, onion powder, garlic powder, ginger, coconut aminos and lots of fresh cracked pepper. Bring to a simmer and simmer until it’s warmed through while whisking to ensure the mixture incorporates into the broth. ,Serve topped with blended cottage cheese for extra creaminess, or cream, croutons, fresh basil or chopped green onions and a dash of red pepper flakes for some heat is desired.",2.5,,0.5,461,10,13,52533,0.9,4,1479,10,Butternut Squash and Red Pepper Soup
539,43,118,15,Main Course,American,"This , has deliciously seasoned chicken, a homemade creamy cottage cheese sauce (no heavy cream!), sun-dried tomatoes and perfectly coated noodles. Whether you're making this for a special occasion or busy weeknight family dinner, this easy, dish has you covered in under ,. Marriage proposal not included. ",18,6,High-Protein Marry Me Chicken Pasta (58g of protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/Marrymechickenpasta15-300x300.jpg,16,"[{'amount': '10', 'unit': 'oz.', 'name': 'Banza chickpea pasta shells', 'notes': None}, {'amount': '1 1/2', 'unit': 'lbs.', 'name': 'boneless skinless chicken breasts, cubed', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'low-sodium chicken broth', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'oil from sun-dried tomatoes ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded 56g', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes ', 'notes': '85g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'spinach, packed', 'notes': None}]","Bring a pot of water to a boil and add the pasta shells, cook according to the package instructions. If using chickpea pasta, I like to undercook it by a minute so it doesn’t get mushy. ,Add the chicken, Italian seasoning, salt and pepper to a large mixing bowl. Mix to evenly coat the chicken. ,In a large pan over medium heat, add the oil from the sundried tomatoes. Once hot, add the chicken and cook on each side untouched for 3-4 minutes or until cooked through and no longer pink. ,While the chicken cooks, add the cottage cheese, broth, garlic powder and oil from the sundried tomatoes in a high speed blender and blend until smooth and the cottage cheese is no longer chunky or chalky, approximately 4-5 minutes.,Add the cooked and drained pasta to the pan with the chicken, the blended cottage cheese sauce, parmesan cheese, sundried tomatoes, Italian seasoning, salt, and pepper. Stir to melt the cheese and heat the sauce over medium to medium low heat to avoid clumping. ,Add the spinach and stir to wilt. Serve topped with freshly chopped basil, parmesan cheese and adjust with salt and pepper, as needed.",4,,1,1147,10,58,51557,4,5,1192,4,Marry Me Chicken Pasta
384,35,91,15,Main Course,Russian,"This , is a lightened version of the classic. Tender beef, cooked egg noodles and a creamy mushroom sauce that takes less than 30 minutes to come together. A healthier version of this dinnertime favorite is one the whole family will love!",14,2,Easy Beef Stroganoff with Greek Yogurt (30 minute meal),https://ohsnapmacros.com/wp-content/uploads/2023/12/beefstroganoff-300x300.jpg,16,"[{'amount': '1', 'unit': 'lb.', 'name': 'beef sirloin or beef tenderloin', 'notes': 'thinly sliced against the grain'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'finely chopped'}, {'amount': '3', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '8', 'unit': 'oz.', 'name': 'baby Bella mushrooms', 'notes': 'sliced'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': 'or to taste'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'black pepper', 'notes': 'or to taste'}, {'amount': '1-2', 'unit': 'Tbsp.', 'name': 'dijon mustard', 'notes': '2 for added flavor '}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '2 1/4', 'unit': 'cups', 'name': 'beef broth', 'notes': None}, {'amount': '3/4', 'unit': 'cups ', 'name': '2% plain Greek yogurt', 'notes': 'full-fat for creamier version'}, {'amount': '3', 'unit': 'tsp.', 'name': 'Worcestershire sauce', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'smoked paprika', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh parsley', 'notes': 'chopped, for garnish'}, {'amount': '8', 'unit': 'oz.', 'name': 'egg noodles', 'notes': 'measured uncooked '}, {'amount': None, 'unit': None, 'name': 'salt and pepper, to taste', 'notes': None}]","Boil the uncooked egg noodles according to the package instructions while you prepare the stroganoff. ,Make sure your beef is thinly sliced against the grain and all your vegetables are chopped. Season the beef with salt and pepper. ,Heat the olive oil in a large skillet over medium-high heat. Add the beef strips and cook until browned on all sides, approx. 2 minutes each side to give a good sear. Remove the beef from the skillet and set aside.,In the same skillet, add the onions, garlic, and mushrooms. Sauté until the onions are translucent and the mushrooms are browned. Season with salt and pepper.,Stir in the Dijon mustard and flour to coat the vegetables, cooking for 1-2 minutes. Gradually whisk in the beef broth, ensuring there are no lumps. Bring the mixture to a simmer and let it thicken.,Add the Greek yogurt, Worcestershire sauce, and smoked paprika and continue whisking until the yogurt has fully melted into the sauce. ,Return the beef to the skillet, stir to combine and cook for an additional 2-3 minutes, or until the beef is cooked to your liking and the sauce is creamy.,Add the drained and cooked egg noodles directly to the sauce or in individual servings and stir to combine. Season with salt and fresh cracked pepper to taste and top with freshly chopped parsley. ",2,,1,581,10,27,39825,5,6,527,4,Greek Yogurt Beef Stroganoff
56,16,,2,Drinks,American,"This , is the perfect drink for holiday celebrations. Made with unsweetened cranberry juice, soda water and homemade rosemary simple syrup, this 60 calorie non-alcoholic drink can be shared with everyone. Hangover not included.",,,Cranberry Lime Mocktail with Easy Rosemary Simple Syrup,https://ohsnapmacros.com/wp-content/uploads/2024/09/cranberrylimemocktail-1-1-300x300.jpg,11,"[{'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'white sugar ', 'notes': None}, {'amount': '1', 'unit': 'sprig ', 'name': 'fresh rosemary ', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'rosemary syrup', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeeze lime juice', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'pure unsweetened cranberry juice', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'lime or lemon flavored sparkling water or seltzer', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ice, as needed', 'notes': None}, {'amount': None, 'unit': None, 'name': 'rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime slices ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cranberries ', 'notes': None}]","Make a rosemary simple syrup by adding the water, granulated sugar, and rosemary to a small pot or saucepan. Set it over medium heat. Stir frequently to encourage the sugar to dissolve. Once the syrup just begins to simmer, remove it from the heat. Set it aside for 30 minutes to cool and allow the rosemary to further infuse its flavor. After 30 minutes, strain out the rosemary and bottle the syrup. Keep leftovers in the refrigerator for up to 2 weeks. ,Add 1 ½ teaspoons of the rosemary simple syrup to a rocks glass or short tumbler along with the lime juice and the cranberry juice. Stir to combine.,Fill the glass ½ to ¾ full of ice.,Top the drink with ¼ to ½ cup lime flavored sparkling water. ,If you prefer, you can garnish the mocktail with a rosemary sprig, a lime slice, and fresh cranberries before enjoying. ",,,,83,30,,52472,,1,2,14,Cranberry Lime Mocktail
158,14,29,15,Dessert,American,"These, have a buttery graham cracker crust with a creamy eggnog filling. Made with light cream cheese, this eggnog dessert is every bit as rich and delicious as classic cheesecake but a little lighter. This bite-sized treat is the perfect dessert to make ahead of time and bring to your next holiday party.",10,,Mini Eggnog Cheesecakes with Graham Cracker Crust,https://ohsnapmacros.com/wp-content/uploads/2023/12/minieggnogcheesecakes-300x300.jpg,12,"[{'amount': '2.7', 'unit': 'oz.', 'name': 'graham crackers', 'notes': '5 sheets'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'coconut oil or butter', 'notes': 'melted 20g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': '8', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened to room temperature'}, {'amount': '1/3', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '74g (or sugar substitute)'}, {'amount': '1/2', 'unit': 'cup', 'name': 'eggnog ', 'notes': 'choose good quality for better flavor'}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'vanilla extract ', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground nutmeg', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': None, 'unit': None, 'name': 'whipped topping', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ground cinnamon ', 'notes': None}]","Preheat the oven to 325 degrees Fahrenheit and line a muffin tin with cupcake liners and spray with nonstick spray. ,In a food processor, crumble the graham crackers and nutmeg until well crushed and you have a bowl of fine crumbs. ,Pour in the melted coconut oil or butter and pulse to combine. The mixture should resemble wet sand.  ,Evenly split the graham cracker crust in the bottom of each liner in the muffin pan and press firmly into the bottom.  Bake for 6-10 minutes or until the edges begin to brown. Allow to cool while making the cheesecake filling. ,To make the cheesecake filling, in a large bowl beat the less-fat cream cheese and sugar until light and fluffy with a hand or electric mixer, about 3-5 minutes. The sugar should not be grainy at this point but well incorporated into the cream cheese.  ,Mix in the eggnog, vanilla extract, nutmeg and flour until incorporated.  ,Slowly beat in the large egg, just until combined. Do not overmix your cheesecake batter. ,Distribute the cheesecake filling in each prepared and cooled crust using the cookie scoop. Evenly distributed between all 12 muffin tins.,Bake cheesecakes for 14-15 minutes or until the edges are set and the middle slightly wobbles.  ,Allow the mini cupcakes to cool to room temperature, cover with plastic wrap, and refrigerate for 4 hours or overnight for best results.  ,When ready to serve, remove from the baking pan, top with whipped topping, cinnamon and serve. ",1,,,17,5,3,42042,7,12,117,9,Eggnog Cheesecakes
